dataset,family,control_mode,n,base_alpha_mean,base_alpha_ci95_low,base_alpha_ci95_high,test_accuracy_mean,test_accuracy_ci95_low,test_accuracy_ci95_high,fixed_test_accuracy_mean,fixed_test_accuracy_ci95_low,fixed_test_accuracy_ci95_high,accuracy_delta_pp_mean,accuracy_delta_pp_ci95_low,accuracy_delta_pp_ci95_high,corrected_rate_mean,corrected_rate_ci95_low,corrected_rate_ci95_high,harmed_rate_mean,harmed_rate_ci95_low,harmed_rate_ci95_high,net_correction_rate_mean,net_correction_rate_ci95_low,net_correction_rate_ci95_high,margin_delta_mean_mean,margin_delta_mean_ci95_low,margin_delta_mean_ci95_high,alpha_abs_adjustment_mean_mean,alpha_abs_adjustment_mean_ci95_low,alpha_abs_adjustment_mean_ci95_high,alpha_signed_adjustment_mean_mean,alpha_signed_adjustment_mean_ci95_low,alpha_signed_adjustment_mean_ci95_high,alpha_channel_std_mean_mean,alpha_channel_std_mean_ci95_low,alpha_channel_std_mean_ci95_high,local_channel_fraction_mean_mean,local_channel_fraction_mean_ci95_low,local_channel_fraction_mean_ci95_high,relation_norm_mean_mean,relation_norm_mean_ci95_low,relation_norm_mean_ci95_high,base_mixed_norm_mean_mean,base_mixed_norm_mean_ci95_low,base_mixed_norm_mean_ci95_high,relation_to_base_norm_mean_mean,relation_to_base_norm_mean_ci95_low,relation_to_base_norm_mean_ci95_high,weighted_local_shift_mean_mean,weighted_local_shift_mean_ci95_low,weighted_local_shift_mean_ci95_high,corr_relation_ratio_margin_delta_mean,corr_relation_ratio_margin_delta_ci95_low,corr_relation_ratio_margin_delta_ci95_high,corr_alpha_abs_margin_delta_mean,corr_alpha_abs_margin_delta_ci95_low,corr_alpha_abs_margin_delta_ci95_high,corr_weighted_shift_margin_delta_mean,corr_weighted_shift_margin_delta_ci95_low,corr_weighted_shift_margin_delta_ci95_high,corrected_relation_norm_mean_mean,corrected_relation_norm_mean_ci95_low,corrected_relation_norm_mean_ci95_high,harmed_relation_norm_mean_mean,harmed_relation_norm_mean_ci95_low,harmed_relation_norm_mean_ci95_high,corrected_relation_to_base_norm_mean,corrected_relation_to_base_norm_ci95_low,corrected_relation_to_base_norm_ci95_high,harmed_relation_to_base_norm_mean,harmed_relation_to_base_norm_ci95_low,harmed_relation_to_base_norm_ci95_high,corrected_alpha_abs_mean_mean,corrected_alpha_abs_mean_ci95_low,corrected_alpha_abs_mean_ci95_high,harmed_alpha_abs_mean_mean,harmed_alpha_abs_mean_ci95_low,harmed_alpha_abs_mean_ci95_high,corrected_weighted_local_shift_mean_mean,corrected_weighted_local_shift_mean_ci95_low,corrected_weighted_local_shift_mean_ci95_high,harmed_weighted_local_shift_mean_mean,harmed_weighted_local_shift_mean_ci95_low,harmed_weighted_local_shift_mean_ci95_high,preference_count_mean,preference_count_ci95_low,preference_count_ci95_high,weighted_shift_auc_local_preference_mean,weighted_shift_auc_local_preference_ci95_low,weighted_shift_auc_local_preference_ci95_high,local_channel_fraction_auc_local_preference_mean,local_channel_fraction_auc_local_preference_ci95_low,local_channel_fraction_auc_local_preference_ci95_high,alpha_abs_auc_changed_prediction_mean,alpha_abs_auc_changed_prediction_ci95_low,alpha_abs_auc_changed_prediction_ci95_high
Amazon-ratings,iterative_relation_finetune,constant_reliability,10,0.8,0.6869000000000001,0.9131,0.47148457169532776,0.4639520408040091,0.4790171025866464,0.4703250050544739,0.4636149864137926,0.47703502369515516,0.11595666408538818,-0.28930830650472666,0.521221634675503,0.03199412040412426,0.011029503888630724,0.052958736919617805,0.030834558606147765,0.010980773615661639,0.05068834359663389,0.0011595617979764938,-0.002893090846489971,0.005212214442442959,0.0194248978333831,-0.00486288149851687,0.04371267716528307,0.03780004754662514,0.009261655572006377,0.0663384395212439,0.02481156438589096,0.00592661727339985,0.043696511498382065,0.03193742074072361,0.007651673912507526,0.05622316756893969,0.37371182441711426,0.09107607844839,0.6563475703858386,0.29933063983917235,0.07217127414885263,0.5264900055294921,2.3122369766235353,1.9385276834570488,2.685946269790022,0.1443859763912512,0.03487394236918272,0.25389801041331966,0.010453074041288346,0.0003832419072799763,0.020522906175296715,-0.048911112174391744,-0.10059794928186186,0.002775724933078365,0.008932971581816673,-0.04182068113567078,0.05968662429930413,0.04861763026565313,-0.014298859994332738,0.111534120525639,0.4957561194896698,0.2976866779541687,0.6938255610251709,0.4991885721683502,0.2991543095640996,0.6992228347726008,0.24903284880100585,0.14947789250567226,0.34858780509633946,0.24796709761056496,0.1489776093629005,0.3469565858582294,0.06310446932911873,0.03827335823977289,0.08793558041846457,0.0630694180727005,0.038241990504339234,0.08789684564106176,0.01758382038678974,0.0060098384246224205,0.029157802348957058,0.017360442628463108,0.006216220333033042,0.028504664923893176,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.5348696977364894,0.5024132075521917,0.5673261879207872
Amazon-ratings,iterative_relation_finetune,feature_only,10,0.8,0.6869000000000001,0.9131,0.4725461393594742,0.46469275414299305,0.48039952457595536,0.4703250050544739,0.4636149864137926,0.47703502369515516,0.22211343050003052,-0.2475152862464649,0.6917421472465259,0.025526702404022217,0.005546209156638712,0.04550719565140572,0.023305569216609,0.0049849115164313194,0.04162622691678668,0.0022211331874132157,-0.0024751576096080636,0.006917423984434495,0.006993036620485005,-0.0041469425878023075,0.018133015828772317,0.028971455991268158,0.0020894531503191024,0.055853458832217213,0.017990690469741822,0.0013705566321575262,0.03461082430732612,0.025958209484815597,0.0018772410716850485,0.050039177897946145,0.28624372482299804,0.021713910755969512,0.5507735388900266,0.2112623542547226,0.011780635483269825,0.4107440730261753,2.2702977657318115,1.8781374156160373,2.6624581158475857,0.1042999398514267,0.006156790814202492,0.20244308888865092,0.007153801526874304,-0.0008113056805036795,0.015118908734252288,-0.0051305922388564795,-0.02748912170231491,0.01722793722460195,0.018332410138100386,-0.008189492821264185,0.04485431309746496,0.024724426679313183,-0.026199335104017486,0.07564818846264384,0.4194468975067139,0.2009413435006237,0.6379524515128041,0.4227620840072632,0.2013222679159774,0.6442019000985489,0.2165464925878593,0.10534061246949346,0.32775237270622515,0.21400847119790625,0.10304979582705946,0.32496714656875303,0.05794262737035751,0.02914692859561205,0.08673832614510298,0.05792252272367478,0.029122799189980095,0.08672224625736946,0.014308445667847992,0.0036199318899972736,0.02499695944569871,0.013877250719815493,0.003862338926175258,0.023892162513455727,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.5087912024827491,0.4911090172537349,0.5264733877117633
Amazon-ratings,iterative_relation_finetune,shuffled_reliability,10,0.8,0.6869000000000001,0.9131,0.4732974052429199,0.4653999645460473,0.4811948459397925,0.4703250050544739,0.4636149864137926,0.47703502369515516,0.2972400188446045,0.011093828947677409,0.5833862087415316,0.0327943816781044,0.011332217158060261,0.05425654619814854,0.029821983352303506,0.009769735246766956,0.049874231457840056,0.0029723983258008956,0.00011093740595721638,0.005833859245644574,0.024505402899170657,0.0018101862013554931,0.04720061959698582,0.042431654036045076,0.01619878347131578,0.06866452460077438,0.02943807765841484,0.011229832161069323,0.04764632315576035,0.03599117882549763,0.013636579800718095,0.058345777850277156,0.45323842763900757,0.17350914056695,0.7329677147110651,0.31700522899627687,0.11820512315497692,0.5158053348375768,2.2897649884223936,1.907854294626285,2.671675682218502,0.15741255052840128,0.05917939922484439,0.25564570183195817,0.015394669165834785,0.004061586429104338,0.026727751902565232,-0.016738597226018708,-0.03367031479477538,0.00019312034273795756,-0.005123414254436891,-0.02472494111018248,0.014478112601308699,0.03370511873314778,-0.00926932468389377,0.07667956215018933,0.5270983229080836,0.47296748075876605,0.5812291650574011,0.5294712036848068,0.4672587066782695,0.5916837006913441,0.2747170610042956,0.24849053178152514,0.30094359022706607,0.26880529802559505,0.2413323977818456,0.29627819826934454,0.07088638966282208,0.06741377434058093,0.07435900498506323,0.07087426508466403,0.06718966647124604,0.07455886369808203,0.02575176698155701,0.01618148268303627,0.03532205128007775,0.02561640980032583,0.01698715310590397,0.03424566649474769,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.5206032531089309,0.49323741368980106,0.5479690925280607
Amazon-ratings,iterative_relation_frozen,constant_reliability,10,0.8,0.6869000000000001,0.9131,0.4664053589105606,0.4601597780293141,0.4726509397918071,0.466454353928566,0.4601989092739614,0.4727097985831706,-0.004899501800537109,-0.029559327891545972,0.019760324290471754,0.0036256737541407345,-0.0011717562374384018,0.00842310374571987,0.003674669284373522,-0.0012143262546848274,0.008563664823431872,-4.8995530232787135e-05,-0.00029558766664044666,0.00019759660617487242,0.0014760995366960503,-0.0008292631728739203,0.003781462246266021,0.0036881275940686465,-0.001143019121937551,0.008519274310074845,-0.0001820565143134445,-0.0004340811208133125,6.996809218642351e-05,0.004115659976378083,-0.0012622823871983307,0.009493602339954497,0.14952892661094666,-0.022743641174024165,0.3218014943959175,0.058144434541463855,-0.018088351850984202,0.1343772209339119,2.204235827922821,1.7847082270049541,2.623763428840688,0.031196009711924644,-0.00939877212532186,0.07179079154917115,-0.0015834561898373067,-0.0036999411159167293,0.0005330287362421157,-0.046527172749241195,-0.0890289799325984,-0.004025365565884002,0.013280356302857399,-0.0028872646847119265,0.029447977290426725,0.06537469911078612,0.015181535832099628,0.11556786238947261,0.19091102480888367,0.0736072799375725,0.30821476968019484,0.19424210985501608,0.07911737403944584,0.3093668456705863,0.11085847037516107,0.046777491231296334,0.1749394495190258,0.10611118640319488,0.041557807839517624,0.17066456496687213,0.012389866014321646,0.004838667012350499,0.019941065016292794,0.01238666366164883,0.0048546056511869625,0.019918721672110697,-0.004621429097217818,-0.007871601909595165,-0.001371256284840471,-0.004904654691927135,-0.00853237319311241,-0.0012769361907418592,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.542956140300098,0.42900480348649855,0.6569074771136975
Amazon-ratings,iterative_relation_frozen,feature_only,10,0.8,0.6869000000000001,0.9131,0.4659807294607162,0.45985552163741905,0.4721059372840134,0.466454353928566,0.4601989092739614,0.4727097985831706,-0.047362446784973145,-0.19972608558839683,0.10500119201845054,0.00584680715110153,-0.001220485227674666,0.012914099529877725,0.0063204310135915875,-0.0018751551206297457,0.01451601714781292,-0.00047362386249005795,-0.0019972574488349524,0.0010500097238548367,-0.000727830878624544,-0.004859777333979505,0.003404115576730416,0.0048976288177073005,-0.0008050965245521248,0.010600354159966727,-0.002584096753707854,-0.007664656735096548,0.0024964632276808394,0.006755956099368632,-0.0018770675491363454,0.015388979747873609,0.14358170330524445,-0.022448321476712357,0.3096117280872013,0.06589150875806808,-0.004406253442838515,0.13618927095897468,2.197253704071045,1.7865564488669272,2.6079509592751626,0.029778115889564246,-0.0018970818138853741,0.06145331359301387,-0.004319177032448352,-0.010954831815526277,0.002316477750629573,-0.04300680682063103,-0.07745119607853918,-0.008562417562722878,-0.015427742165047675,-0.04085303817638369,0.009997553846288337,0.05610099211335182,0.011322208122161025,0.10087977610454263,0.12722773812711238,0.04290629102207413,0.21154918523215063,0.12542576789855958,0.04258809156958318,0.20826344422753598,0.06390819778724552,0.019067992457765234,0.1087484031167258,0.06056165292176486,0.017390549884215373,0.10373275595931435,0.009881627443246544,0.0018896784241978198,0.017873576462295267,0.00990830382797867,0.001944164514667607,0.01787244314128973,-0.008897799858823418,-0.020062174591068016,0.0022665748734211795,-0.008501528832130133,-0.018992651889884568,0.001989594225624303,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.5244508684287263,0.4436598368871663,0.6052418999702863
Amazon-ratings,iterative_relation_frozen,shuffled_reliability,10,0.8,0.6869000000000001,0.9131,0.46666666865348816,0.4602014801451129,0.4731318571618634,0.466454353928566,0.4601989092739614,0.4727097985831706,0.021231472492218018,-0.07881716191907878,0.12128010690351482,0.003266372671350837,-0.001605767165531474,0.008138512508233147,0.0030540583655238153,-0.0021614337135013196,0.00826955044454895,0.0002123143058270216,-0.0007881737655733834,0.0012128023772274266,0.0017330115430209798,-0.0015922739236859367,0.005058297009727896,0.003548156237229705,-0.0024612359675412416,0.00955754844200065,-0.00014280478790169583,-0.0003570549254167123,7.144534961332067e-05,0.003976512514054775,-0.002623046436010067,0.010576071464119617,0.14922219514846802,-0.022722730248865092,0.3211671205458011,0.05346670150756836,-0.03305374091772353,0.13998714393286024,2.2065130472183228,1.7879480480125667,2.625078046424079,0.028793700907412293,-0.01765394100098819,0.07524134281581278,-0.0015022699371911585,-0.004097492057057059,0.001092952182674742,-0.04150750363866488,-0.0767417787888563,-0.006273228488473455,0.010952865704894066,-0.008515622286516394,0.030421353696304526,0.05853885350128015,0.0018866124472671358,0.11519109455529317,0.176819975177447,-0.02419079270357566,0.37783074305846964,0.17893721908330917,-0.025162173123101955,0.38303661128972033,0.1015611456087874,-0.005686128345712943,0.20880841956328774,0.09742544269199022,-0.012960920908578241,0.2078118062925587,0.011924398286888996,-0.0027723244922295345,0.026621121066007527,0.011853728598604599,-0.0029448254746365678,0.026652282671845766,-0.004212575149722397,-0.009739615814520205,0.001314465515075411,-0.004542248013118903,-0.010420103820927375,0.0013356077946895676,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.5421864905216287,0.41471924248488634,0.6696537385583711
Roman-empire,iterative_relation_finetune,constant_reliability,10,0.775,0.6734896433855146,0.8765103566144854,0.8247617363929749,0.8190363094945194,0.8304871632914304,0.8209318816661835,0.8143034358619141,0.8275603274704528,0.3829854726791382,0.09052070163823445,0.6754502437200419,0.015919519960880278,0.01062730335397433,0.021211736567786226,0.012089657504111529,0.008669229235667042,0.015510085772556016,0.003829862456768751,0.0009052196768634811,0.006754505236674022,0.23249976038597486,0.09273978706744307,0.37225973370450666,0.05159334116615355,0.028482532334366758,0.07470414999794034,0.03294844492338598,0.013291823727251052,0.052605066119520906,0.045102496072649954,0.02896760462115334,0.061237387524146564,0.5412509977817536,0.27300816655417404,0.8094938290093331,0.8307514667510987,0.5726614506161616,1.0888414828860358,2.1337316274642943,1.9569129824493245,2.310550272479264,0.3821445390556144,0.2715935706362729,0.49269550747495594,0.010554661555215717,-0.004355002879643469,0.025464325990074903,0.033530462352145046,-0.0070565810731823,0.07411750577747239,0.06119675665265984,-0.011501246289895982,0.13389475959521566,-0.010996886839469274,-0.0884510411725964,0.06645726749365787,0.9301114479700724,0.7825512205959304,1.0776716753442144,0.926823099454244,0.782542605389903,1.071103593518585,0.44784483293822513,0.3878846606554175,0.5078050052210328,0.445164409275689,0.3923468084380588,0.4979820101133192,0.05724163901888662,0.038582830768286364,0.07590044726948687,0.0572418419437276,0.038643122202089555,0.07584056168536564,0.012003434977183739,-0.0020240977507764556,0.02603096770514393,0.011814704578783777,-0.002252337357700607,0.02588174651526816,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.48877289923023604,0.42208203987570414,0.5554637585847679
Roman-empire,iterative_relation_finetune,feature_only,10,0.775,0.6734896433855146,0.8765103566144854,0.825679486989975,0.8197604262012018,0.8315985477787481,0.8209318816661835,0.8143034358619141,0.8275603274704528,0.4747605323791504,0.0427933114950898,0.906727753263211,0.017666784394532443,0.010605192290220418,0.02472837649884447,0.012919167149811983,0.008775098696797897,0.01706323560282607,0.004747617244720459,0.0004279407313660128,0.009067293758074906,0.2666728881156507,0.030656629947032055,0.5026891462842693,0.05185262886807322,0.030490004693081874,0.07321525304306457,0.0305151985026896,0.010252383797334199,0.050778013208044995,0.04657486733049154,0.031347768594795176,0.06180196606618791,0.5337455570697784,0.26993825439948727,0.7975528597400696,0.9211644232273102,0.6000244560336725,1.2423043904209479,2.148020339012146,1.9474686801431358,2.3485719978811566,0.41404626580177994,0.2903785137062443,0.5377140178973155,0.009213000437011943,-0.005475068303867308,0.023901069177891192,-0.004303318086183733,-0.04188960488703495,0.03328296871466748,-0.017776190096305475,-0.0802428206999173,0.04469044050730635,0.021902029984630644,-0.009993070183608198,0.053797130152869486,1.023227294286092,0.8062842677714414,1.2401703208007426,1.0160263710551791,0.8029630184565357,1.2290897236538225,0.4759756225857525,0.40733622714491563,0.5446150180265894,0.4778967155208511,0.4075598816333309,0.5482335494083713,0.057491856213245124,0.040876234410796734,0.0741074780156935,0.05747790655328168,0.04088748462187482,0.07406832848468854,0.010506096859494897,-0.0030228891647364475,0.02403508288372624,0.010402825334393937,-0.003279804323547509,0.024085454992335383,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.4977747606700996,0.41974679009355575,0.5758027312466435
Roman-empire,iterative_relation_finetune,shuffled_reliability,10,0.775,0.6734896433855146,0.8765103566144854,0.8236321806907654,0.818205080210955,0.8290592811705758,0.8209318816661835,0.8143034358619141,0.8275603274704528,0.2700299024581909,-0.0019789527952371877,0.542038757711619,0.016554888617247344,0.010046526452293293,0.023063250782201394,0.013854571105912327,0.009073788381917136,0.018635353829907518,0.0027003175113350154,-1.9778001192866795e-05,0.0054204130238628976,0.2058779689892627,-0.00031139851812991837,0.4120673364966553,0.05124886790290475,0.030263414215144314,0.07223432159066517,0.02986879451200366,0.009646204408283433,0.050091384615723884,0.04558952953666449,0.030334257278231833,0.060844801795097145,0.5361430823802948,0.2712247109397076,0.801061453820882,0.9213034391403199,0.6232470860105094,1.2193597922701302,2.144971525669098,1.9538882767981909,2.3360547745400053,0.4167217453777076,0.2988103962476606,0.5346330945077546,0.009392807143740356,-0.0047793445948270084,0.02356495888230772,0.02203958471202188,-0.021974498306075854,0.06605366773011961,0.02540424127235181,-0.015888822249279955,0.06669730479398357,-0.006988408768342601,-0.060843482254713054,0.046866664718027855,1.0202838646041021,0.8422623757042518,1.1983053535039525,1.0130600995487637,0.8366499648039094,1.189470234293618,0.48762744957006204,0.4313377315832463,0.5439171675568778,0.4816598573857276,0.4260058864039564,0.5373138283674987,0.05690226062304444,0.04076051166751179,0.0730440095785771,0.05694798928582006,0.040807058163804005,0.07308892040783611,0.010483553012212118,-0.002814591003572498,0.023781697027996734,0.010428708667556444,-0.0029339019726869614,0.02379131930779985,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.5052402785252572,0.45422995429839796,0.5562506027521165
Roman-empire,iterative_relation_frozen,constant_reliability,10,0.775,0.6734896433855146,0.8765103566144854,0.823120367527008,0.8183253279380956,0.8279154071159204,0.8169255197048187,0.812737143280547,0.8211138961290905,0.6194847822189331,0.3441490786651389,0.8948204857727273,0.02151429569348693,0.013492553361954653,0.02953603802501921,0.01531944940215908,0.009084004750569289,0.02155489405374887,0.006194846291327849,0.003441490554981357,0.00894820202767434,0.009465339396920135,-0.004882624103166963,0.023813302897007234,0.050743776565650475,0.03154469041750996,0.069942862713791,0.01980771710514091,0.010735128403833635,0.02888030580644818,0.054027519188821316,0.033757876539590316,0.07429716183805232,0.5221193313598633,0.3222683389206127,0.721970323799114,0.80428147315979,0.4950474193775836,1.1135155269419965,1.9520540714263916,1.7981122379325782,2.105995904920205,0.43020310758845265,0.26587699966677425,0.594529215510131,0.00887218359275721,0.005157708612211076,0.012586658573303345,-0.07815844627718131,-0.12875909642611888,-0.02755779612824375,-0.04433239748080572,-0.09712298610506474,0.008458191143453309,-0.06684725172817707,-0.10197261259415341,-0.03172189086220074,0.9060882860277262,0.672704720278542,1.1394718517769102,0.9006214429003497,0.6708384641453193,1.1304044216553801,0.4921623255999154,0.3689365839333157,0.6153880672665151,0.5059457899341533,0.37978303442189965,0.6321085454464069,0.05673893504879541,0.04277060232515636,0.07070726777243445,0.05670300967823197,0.04274126914474198,0.07066475021172196,0.009485372161078785,0.006554168759063166,0.012416575563094404,0.009899817497676445,0.007002624559364278,0.012797010435988613,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.5414350925272815,0.5002555531920021,0.5826146318625609
