dataset,family,control_mode,split,seed,base_alpha,test_accuracy,fixed_test_accuracy,accuracy_delta_pp,corrected_rate,harmed_rate,net_correction_rate,margin_delta_mean,alpha_abs_adjustment_mean,alpha_signed_adjustment_mean,alpha_channel_std_mean,local_channel_fraction_mean,relation_norm_mean,base_mixed_norm_mean,relation_to_base_norm_mean,weighted_local_shift_mean,corr_relation_ratio_margin_delta,corr_alpha_abs_margin_delta,corr_weighted_shift_margin_delta,corrected_relation_norm_mean,harmed_relation_norm_mean,corrected_relation_to_base_norm,harmed_relation_to_base_norm,corrected_alpha_abs_mean,harmed_alpha_abs_mean,corrected_weighted_local_shift_mean,harmed_weighted_local_shift_mean,preference_count,weighted_shift_auc_local_preference,local_channel_fraction_auc_local_preference,alpha_abs_auc_changed_prediction,payload_path
Roman-empire,iterative_relation_frozen,feature_only,0,0,0.75,0.8130956292152405,0.809036374092102,0.4059255123138428,0.01976703107357025,0.015707731246948242,0.004059299826622009,0.01618405245244503,0.04438789188861847,0.027927173301577568,0.04187214747071266,0.7592988610267639,0.7154971957206726,1.895029067993164,0.3775652879448357,0.017552951350808144,-0.16737975180149078,-0.13643822073936462,-0.08615486323833466,0.6926450133323669,0.7041143774986267,0.39596635252607865,0.38845811931230645,0.04370672628283501,0.04430961608886719,0.017242388799786568,0.017800351604819298,0,nan,nan,0.4017578118412843,D:\Desktop\调研\experiments\reliability_routing\outputs\iter_relation_mechanism_v1\_node_diagnostics\Roman-empire\iterative_relation_frozen_feature_only\split0_seed0.pt
Roman-empire,iterative_relation_frozen,shuffled_reliability,0,0,0.75,0.8134486675262451,0.809036374092102,0.44122934341430664,0.02188492752611637,0.01747264340519905,0.00441228412091732,0.0175484512001276,0.058936502784490585,0.0377468504011631,0.05499134585261345,0.7491396069526672,0.8494336009025574,1.889024019241333,0.449667972588144,0.01783999614417553,-0.11650292575359344,-0.03130464255809784,-0.08160184323787689,0.8552685976028442,0.8523993492126465,0.4706015121928502,0.4679736741558312,0.059523120522499084,0.059177085757255554,0.018825991079211235,0.019024165347218513,0,nan,nan,0.5276980848939143,D:\Desktop\调研\experiments\reliability_routing\outputs\iter_relation_mechanism_v1\_node_diagnostics\Roman-empire\iterative_relation_frozen_shuffled_reliability\split0_seed0.pt
Roman-empire,iterative_relation_frozen,constant_reliability,0,0,0.75,0.8206847906112671,0.809036374092102,1.164841651916504,0.029297564178705215,0.017649134621024132,0.011648429557681084,0.014767082408070564,0.06261634081602097,0.03292481601238251,0.06371580064296722,0.7074586749076843,0.9930539131164551,1.8902121782302856,0.5253663713277964,0.014774770475924015,-0.1664913445711136,0.02759527787566185,-0.1852230280637741,0.9927933216094971,0.9733297228813171,0.5385040055990966,0.5370813163439078,0.06308268755674362,0.06290385127067566,0.015189395286142826,0.014524657279253006,0,nan,nan,0.5890294578723271,D:\Desktop\调研\experiments\reliability_routing\outputs\iter_relation_mechanism_v1\_node_diagnostics\Roman-empire\iterative_relation_frozen_constant_reliability\split0_seed0.pt
Roman-empire,iterative_relation_frozen,feature_only,1,0,1.0,0.8212142586708069,0.8212142586708069,0.0,0.0012354394420981407,0.0012354394420981407,0.0,0.003449615091085434,0.0002956749522127211,-0.0002956749522127211,0.0007144177798181772,0.0,0.003181450767442584,2.2365915775299072,0.0014224549530657625,-0.0003764521679840982,0.017035383731126785,-0.019137226045131683,0.03364459052681923,0.0022870716638863087,0.003056978341192007,0.0012556894533847565,0.0019532785294346156,0.0002937548269983381,0.00032699014991521835,-0.00036309222923591733,-0.0005401750095188618,0,nan,nan,0.5748557687826792,D:\Desktop\调研\experiments\reliability_routing\outputs\iter_relation_mechanism_v1\_node_diagnostics\Roman-empire\iterative_relation_frozen_feature_only\split1_seed0.pt
Roman-empire,iterative_relation_frozen,shuffled_reliability,1,0,1.0,0.8196258544921875,0.8212142586708069,-0.15884041786193848,0.0017649135552346706,0.0033533356618136168,-0.0015884221065789461,0.017735235393047333,0.000525154173374176,-0.000525154173374176,0.0013657307717949152,0.0,0.005633845459669828,2.241957187652588,0.0025129139355103713,-0.000649572117254138,0.01630166359245777,-0.01722075045108795,-0.023739872500300407,0.005577760748565197,0.005315790418535471,0.002557683518177783,0.0027682529812580827,0.0005327736726030707,0.0005356354522518814,-0.0006067102076485753,-0.000707367667928338,0,nan,nan,0.5044249322493225,D:\Desktop\调研\experiments\reliability_routing\outputs\iter_relation_mechanism_v1\_node_diagnostics\Roman-empire\iterative_relation_frozen_shuffled_reliability\split1_seed0.pt
Roman-empire,iterative_relation_frozen,constant_reliability,1,0,1.0,0.8219202160835266,0.8212142586708069,0.07059574127197266,0.0012354394420981407,0.000529474054928869,0.0007059653871692717,0.012347348034381866,0.0004246347234584391,-0.0004246347234584391,0.0013742763549089432,0.0,0.006045043468475342,2.2375173568725586,0.0027016744473100625,-0.0006224830285646021,0.02228250913321972,-0.1167806014418602,-0.06387920677661896,0.004524231422692537,0.004215260501950979,0.00256282014357045,0.0025178560051506145,0.0004134071059525013,0.00041795274592004716,-0.0005539266858249903,-0.00047035340685397387,0,nan,nan,0.4513736749717645,D:\Desktop\调研\experiments\reliability_routing\outputs\iter_relation_mechanism_v1\_node_diagnostics\Roman-empire\iterative_relation_frozen_constant_reliability\split1_seed0.pt
Roman-empire,iterative_relation_frozen,feature_only,2,0,0.75,0.8206847906112671,0.8155665397644043,0.5118250846862793,0.008648076094686985,0.0035298271104693413,0.005118248984217644,-0.002871731761842966,0.0061822617426514626,0.002245635725557804,0.007129566743969917,0.6670269966125488,0.18340528011322021,1.9075957536697388,0.09614473074832242,0.0034631385933607817,-0.024838263168931007,-0.018537528812885284,0.015118494629859924,0.18668042123317719,0.18359361588954926,0.1016153566033288,0.09962006181755567,0.006233971565961838,0.006188792642205954,0.0037563960067927837,0.003574805799871683,0,nan,nan,0.5142508084800574,D:\Desktop\调研\experiments\reliability_routing\outputs\iter_relation_mechanism_v1\_node_diagnostics\Roman-empire\iterative_relation_frozen_feature_only\split2_seed0.pt
Roman-empire,iterative_relation_frozen,shuffled_reliability,2,0,0.75,0.8155665397644043,0.8155665397644043,0.0,0.0,0.0,0.0,7.78458097983048e-09,0.0,0.0,0.0,0.0,0.0,1.902434229850769,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,D:\Desktop\调研\experiments\reliability_routing\outputs\iter_relation_mechanism_v1\_node_diagnostics\Roman-empire\iterative_relation_frozen_shuffled_reliability\split2_seed0.pt
Roman-empire,iterative_relation_frozen,constant_reliability,2,0,0.75,0.8243911266326904,0.8155665397644043,0.8824586868286133,0.023120367899537086,0.014295799657702446,0.00882456824183464,-0.016220416873693466,0.06445499509572983,0.02595820277929306,0.06896545737981796,0.6502617001533508,0.9816716313362122,1.9335954189300537,0.5076923650757384,0.011250811628997326,-0.1362866759300232,-0.11238112300634384,-0.030257422477006912,0.9502846598625183,0.9385937452316284,0.5278778326639365,0.5046169580887262,0.06418143957853317,0.06409654021263123,0.011760172434151173,0.010335044004023075,0,nan,nan,0.47792056261488053,D:\Desktop\调研\experiments\reliability_routing\outputs\iter_relation_mechanism_v1\_node_diagnostics\Roman-empire\iterative_relation_frozen_constant_reliability\split2_seed0.pt
Roman-empire,iterative_relation_frozen,feature_only,3,0,0.75,0.8203318119049072,0.8166254758834839,0.370633602142334,0.018708083778619766,0.01500176452100277,0.0037063192576169968,-0.013541250489652157,0.050689343363046646,0.02621319703757763,0.05252625048160553,0.7074242234230042,0.8277581334114075,1.9527270793914795,0.4238985274221518,0.015469829551875591,-0.14415843784809113,-0.12273399531841278,-0.06484939903020859,0.8701291084289551,0.9030559659004211,0.4543284612178579,0.49772830531576556,0.05179684981703758,0.05233723670244217,0.016252508386969566,0.016881775110960007,0,nan,nan,0.5973994679767417,D:\Desktop\调研\experiments\reliability_routing\outputs\iter_relation_mechanism_v1\_node_diagnostics\Roman-empire\iterative_relation_frozen_feature_only\split3_seed0.pt
