dataset,family,control_mode,split,seed,base_alpha,test_accuracy,fixed_test_accuracy,accuracy_delta_pp,corrected_rate,harmed_rate,net_correction_rate,margin_delta_mean,alpha_abs_adjustment_mean,alpha_signed_adjustment_mean,alpha_channel_std_mean,local_channel_fraction_mean,relation_norm_mean,base_mixed_norm_mean,relation_to_base_norm_mean,weighted_local_shift_mean,corr_relation_ratio_margin_delta,corr_alpha_abs_margin_delta,corr_weighted_shift_margin_delta,corrected_relation_norm_mean,harmed_relation_norm_mean,corrected_relation_to_base_norm,harmed_relation_to_base_norm,corrected_alpha_abs_mean,harmed_alpha_abs_mean,corrected_weighted_local_shift_mean,harmed_weighted_local_shift_mean,preference_count,weighted_shift_auc_local_preference,local_channel_fraction_auc_local_preference,alpha_abs_auc_changed_prediction,payload_path
Roman-empire,iterative_relation_frozen,reliability_only,0,0,0.75,0.8325096964836121,0.809036374092102,2.347332239151001,0.04712319001555443,0.02364984154701233,0.0234733484685421,0.22494031488895416,0.06509411334991455,0.017000582069158554,0.06965295970439911,0.5965834856033325,1.1506727933883667,1.9033586978912354,0.6045485775556743,0.004528101999312639,0.05742088332772255,0.06792271882295609,0.025857042521238327,1.1600531339645386,1.1016908884048462,0.6359513985468551,0.5848865760326354,0.06558386981487274,0.06426723301410675,0.006531850900501013,0.003893902525305748,0,nan,nan,0.5153965367233004,D:\Desktop\调研\experiments\reliability_routing\outputs\iter_relation_mechanism_v1\_node_diagnostics\Roman-empire\iterative_relation_frozen_reliability_only\split0_seed0.pt
Roman-empire,iterative_relation_frozen,combined,0,0,0.75,0.8233321309089661,0.809036374092102,1.4295756816864014,0.035651251673698425,0.02135545387864113,0.014295797795057297,0.051370833069086075,0.05646660178899765,0.031816814094781876,0.055233217775821686,0.7063956260681152,0.8931766152381897,1.9050214290618896,0.46885384154341314,0.014160905964672565,-0.06653366982936859,-0.08670157939195633,-0.105849489569664,0.9284330606460571,0.9005130529403687,0.5156874847874642,0.4946583609500441,0.057606715708971024,0.05756309628486633,0.015612809918820858,0.015854697674512863,0,nan,nan,0.5803145362053134,D:\Desktop\调研\experiments\reliability_routing\outputs\iter_relation_mechanism_v1\_node_diagnostics\Roman-empire\iterative_relation_frozen_combined\split0_seed0.pt
Roman-empire,iterative_relation_frozen,reliability_only,1,0,1.0,0.8312742710113525,0.8212142586708069,1.0060012340545654,0.026473702862858772,0.016413696110248566,0.010060006752610207,0.09751347452402115,0.02136765606701374,-0.02136765606701374,0.03213440254330635,0.0,0.11770586669445038,2.34610915184021,0.050170669426069035,-0.018290353938937187,0.0248960480093956,0.02556467242538929,0.03375454246997833,0.11947549134492874,0.10489442944526672,0.05218534749702399,0.050897013051090886,0.022086041048169136,0.02169252745807171,-0.01923403888940811,-0.01915801502764225,0,nan,nan,0.5337988624915861,D:\Desktop\调研\experiments\reliability_routing\outputs\iter_relation_mechanism_v1\_node_diagnostics\Roman-empire\iterative_relation_frozen_reliability_only\split1_seed0.pt
Roman-empire,iterative_relation_frozen,combined,1,0,1.0,0.8378044366836548,0.8212142586708069,1.65901780128479,0.03653370961546898,0.019943522289395332,0.016590187326073647,0.039865270256996155,0.027806317433714867,-0.027806317433714867,0.03540989011526108,0.0,0.1372712403535843,2.422442674636841,0.056666455636215717,-0.023448172956705093,-0.05904427170753479,-0.07813487946987152,0.13117995858192444,0.1301453709602356,0.1325022578239441,0.056464283372126486,0.05824119792553071,0.02681688591837883,0.026416314765810966,-0.022098790854215622,-0.023044051602482796,0,nan,nan,0.4366728634215597,D:\Desktop\调研\experiments\reliability_routing\outputs\iter_relation_mechanism_v1\_node_diagnostics\Roman-empire\iterative_relation_frozen_combined\split1_seed0.pt
Roman-empire,iterative_relation_frozen,reliability_only,2,0,0.75,0.8337451219558716,0.8155665397644043,1.8178582191467285,0.03600423410534859,0.017825625836849213,0.018178608268499374,0.10337431728839874,0.06154852733016014,0.013627209700644016,0.0677531436085701,0.5761918425559998,0.993488073348999,1.9285225868225098,0.5151550104403491,0.008293797262012959,-0.0618198961019516,-0.005156206898391247,-0.00895259901881218,0.9928950667381287,0.9897941946983337,0.5476681974052426,0.5431139000668574,0.06270866096019745,0.06258706748485565,0.008281719870865345,0.0075616189278662205,0,nan,nan,0.5784973837938573,D:\Desktop\调研\experiments\reliability_routing\outputs\iter_relation_mechanism_v1\_node_diagnostics\Roman-empire\iterative_relation_frozen_reliability_only\split2_seed0.pt
Roman-empire,iterative_relation_frozen,combined,2,0,0.75,0.8272149562835693,0.8155665397644043,1.164841651916504,0.02823861688375473,0.016590187326073647,0.011648429557681084,-0.014560478739440441,0.056636352092027664,0.01658940128982067,0.06262275576591492,0.5992102026939392,0.9807049036026001,1.9405158758163452,0.5053836022805186,0.01159332413226366,-0.1567663997411728,-0.06659936159849167,-0.09749574214220047,0.9484230875968933,0.9701414108276367,0.5326202875257341,0.5447889279425256,0.05731884762644768,0.0579243004322052,0.01031688041985035,0.01184231135994196,0,nan,nan,0.571920709745565,D:\Desktop\调研\experiments\reliability_routing\outputs\iter_relation_mechanism_v1\_node_diagnostics\Roman-empire\iterative_relation_frozen_combined\split2_seed0.pt
Roman-empire,iterative_relation_frozen,reliability_only,3,0,0.75,0.8319802284240723,0.8166254758834839,1.535475254058838,0.04271090775728226,0.027356158941984177,0.01535474881529808,0.22218598425388336,0.06363722681999207,0.013682525604963303,0.06933248043060303,0.5835989713668823,1.1743491888046265,1.9584052562713623,0.5996456479291155,0.010607319884002209,0.10494030267000198,0.11231664568185806,-0.05578682944178581,1.2279647588729858,1.1762194633483887,0.6534211360296888,0.6350519461010207,0.06418368965387344,0.06378825753927231,0.010284444317221642,0.009099502116441727,0,nan,nan,0.523473646288298,D:\Desktop\调研\experiments\reliability_routing\outputs\iter_relation_mechanism_v1\_node_diagnostics\Roman-empire\iterative_relation_frozen_reliability_only\split3_seed0.pt
Roman-empire,iterative_relation_frozen,combined,3,0,0.75,0.8316272497177124,0.8166254758834839,1.5001773834228516,0.03512177988886833,0.020120013505220413,0.015001766383647919,0.02027679979801178,0.057041630148887634,0.0191769078373909,0.061975207179784775,0.6227166652679443,1.0200538635253906,1.9645150899887085,0.5192395155036725,0.00997867900878191,-0.04539738968014717,0.013181224465370178,-0.1913866251707077,1.0311336517333984,0.9983193278312683,0.5352958136741113,0.5569316211509947,0.05729372426867485,0.05749130621552467,0.009818848222494125,0.00984953809529543,0,nan,nan,0.5098846112082472,D:\Desktop\调研\experiments\reliability_routing\outputs\iter_relation_mechanism_v1\_node_diagnostics\Roman-empire\iterative_relation_frozen_combined\split3_seed0.pt
Roman-empire,iterative_relation_frozen,reliability_only,4,0,0.5,0.8288033604621887,0.811683714389801,1.7119646072387695,0.03829862177371979,0.021178962662816048,0.01711965911090374,0.13855873048305511,0.0682670921087265,0.013504506088793278,0.07345752418041229,0.5742849111557007,0.7809634804725647,1.4918279647827148,0.5234943297140245,0.0041762785986065865,0.0174642875790596,0.03656554967164993,-0.06398889422416687,0.8133352994918823,0.7943069934844971,0.5612189861315531,0.5718684163570573,0.06910167634487152,0.068426214158535,0.0026774907018989325,0.004334137309342623,0,nan,nan,0.5558066164974313,D:\Desktop\调研\experiments\reliability_routing\outputs\iter_relation_mechanism_v1\_node_diagnostics\Roman-empire\iterative_relation_frozen_reliability_only\split4_seed0.pt
Roman-empire,iterative_relation_frozen,combined,4,0,0.5,0.8293328881263733,0.811683714389801,1.7649173736572266,0.04324037954211235,0.025591246783733368,0.017649132758378983,0.10639557987451553,0.06457703560590744,0.012994780205190182,0.06970000267028809,0.5755686163902283,0.8226980566978455,1.4932889938354492,0.5509302352686472,0.003935602959245443,0.029163450002670288,0.1320796012878418,-0.06965146958827972,0.8640051484107971,0.8296036124229431,0.5903594531140037,0.5923353508188891,0.0667664036154747,0.06629593670368195,0.0013128421269357204,0.0022720058914273977,0,nan,nan,0.6562471609810896,D:\Desktop\调研\experiments\reliability_routing\outputs\iter_relation_mechanism_v1\_node_diagnostics\Roman-empire\iterative_relation_frozen_combined\split4_seed0.pt
