"strength","dataset","family","control","acc","gain","alpha","adjust"
"0.05","Actor","hidden_mixing_finetune","combined","0.364473700523376","-0.000263166427612305","0.849650049209595","0.00100000016391277"
"0.05","Actor","hidden_mixing_finetune","combined_constant","0.364473700523376","-0.000263166427612305","0.849650049209595","0.00100000016391277"
"0.05","Actor","hidden_mixing_finetune","combined_shuffled","0.364473700523376","-0.000263166427612305","0.849650049209595","0.00100000016391277"
"0.05","Actor","hidden_mixing_finetune","constant_reliability","0.364473700523376","-0.000263166427612305","0.849650049209595","0.00100000016391277"
"0.05","Actor","hidden_mixing_finetune","fixed","0.364736866950989","0","0.849999940395355","0"
"0.05","Actor","hidden_mixing_finetune","reliability_only","0.364473700523376","-0.000263166427612305","0.849650049209595","0.00100000016391277"
"0.05","Actor","hidden_mixing_finetune","shuffled_reliability","0.364473700523376","-0.000263166427612305","0.849650049209595","0.00100000016391277"
"0.05","Actor","hidden_mixing_finetune","zero_reliability","0.364473700523376","-0.000263166427612305","0.849650049209595","0.00100000016391277"
"0.10","Actor","hidden_mixing_finetune","combined","0.364473700523376","-0.000263166427612305","0.849650049209595","0.00100000004749745"
"0.10","Actor","hidden_mixing_finetune","combined_constant","0.364473700523376","-0.000263166427612305","0.849650049209595","0.00100000004749745"
"0.10","Actor","hidden_mixing_finetune","combined_shuffled","0.364473700523376","-0.000263166427612305","0.849650049209595","0.00100000004749745"
"0.10","Actor","hidden_mixing_finetune","constant_reliability","0.364473700523376","-0.000263166427612305","0.849650049209595","0.00100000004749745"
"0.10","Actor","hidden_mixing_finetune","fixed","0.364736866950989","0","0.849999940395355","0"
"0.10","Actor","hidden_mixing_finetune","reliability_only","0.364473700523376","-0.000263166427612305","0.849650049209595","0.00100000004749745"
"0.10","Actor","hidden_mixing_finetune","shuffled_reliability","0.364473700523376","-0.000263166427612305","0.849650049209595","0.00100000004749745"
"0.10","Actor","hidden_mixing_finetune","zero_reliability","0.364473700523376","-0.000263166427612305","0.849650049209595","0.00100000004749745"
"0.20","Actor","hidden_mixing_finetune","combined","0.364473700523376","-0.000263166427612305","0.849650049209595","0.00100000004749745"
"0.20","Actor","hidden_mixing_finetune","combined_constant","0.364473700523376","-0.000263166427612305","0.849650049209595","0.00100000004749745"
