"strength","dataset","family","comparison","n","delta","low","high","wins","ties","losses"
"0.05","Cora","hidden_mixing_frozen","reliability_only - fixed","5","0","0","0","0","5","0"
"0.05","Cora","hidden_mixing_frozen","combined - fixed","5","0","0","0","0","5","0"
"0.05","Cora","hidden_mixing_frozen","true reliability - shuffled reliability","5","0","0","0","0","5","0"
"0.05","Cora","hidden_mixing_frozen","true reliability - constant reliability","5","0","0","0","0","5","0"
"0.05","Cora","hidden_mixing_frozen","true reliability - zero reliability","5","0","0","0","0","5","0"
"0.05","Cora","hidden_mixing_frozen","combined - feature_only","5","0","0","0","0","5","0"
"0.05","Cora","hidden_mixing_frozen","combined - combined_shuffled","5","0","0","0","0","5","0"
"0.05","Cora","hidden_mixing_frozen","combined - combined_constant","5","0","0","0","0","5","0"
"0.05","Cora","hidden_mixing_finetune","reliability_only - fixed","5","-0.00420001745223999","-0.0299537250201183","0.0215536901156383","2","0","3"
"0.05","Cora","hidden_mixing_finetune","combined - fixed","5","-0.00240001678466797","-0.0308853440059956","0.0260853104366597","2","0","3"
"0.05","Cora","hidden_mixing_finetune","true reliability - shuffled reliability","5","-0.000199997425079346","-0.000755279296993059","0.000355284446834367","0","4","1"
"0.05","Cora","hidden_mixing_finetune","true reliability - constant reliability","5","-0.000200009346008301","-0.00075532431572686","0.000355305623710259","0","4","1"
"0.05","Cora","hidden_mixing_finetune","true reliability - zero reliability","5","0.00139999389648438","-0.00183786062503234","0.00463784841800109","2","3","0"
"0.05","Cora","hidden_mixing_finetune","combined - feature_only","5","0.0031999945640564","-0.00367977485647185","0.0100797639845846","3","2","0"
"0.05","Cora","hidden_mixing_finetune","combined - combined_shuffled","5","0.000199997425079346","-0.00202113006257551","0.0024211249127342","1","3","1"
"0.05","Cora","hidden_mixing_finetune","combined - combined_constant","5","0.00299999713897705","-0.00603947915694283","0.0120394734348969","1","3","1"
"0.05","Citeseer","hidden_mixing_frozen","reliability_only - fixed","5","-0.000799989700317383","-0.00216014694992346","0.000560167549288699","0","3","2"
"0.05","Citeseer","hidden_mixing_frozen","combined - fixed","5","-0.000199997425079346","-0.000755279296993059","0.000355284446834367","0","4","1"
"0.05","Citeseer","hidden_mixing_frozen","true reliability - shuffled reliability","5","-0.000399982929229736","-0.00228305245394412","0.00148308659548464","1","3","1"
"0.05","Citeseer","hidden_mixing_frozen","true reliability - constant reliability","5","-0.000799989700317383","-0.00241890064192164","0.000818921241286872","0","3","2"
"0.05","Citeseer","hidden_mixing_frozen","true reliability - zero reliability","5","-0.000599992275238037","-0.00171055601906546","0.000510571468589389","0","3","2"
