graph_type,model,n,test_acc_mean,test_acc_std,best_val_acc_mean,gate_local_similarity_corr_mean,elapsed_sec_mean,delta_vs_linear_gt
heterophily,gate_gt,5,0.8415873050689697,0.019936913619783073,0.8844444394111634,0.11462984494238539,3.7101838111877443,0.026349222660064675
heterophily,gcn,5,0.7939682483673096,0.02036203889719448,0.8422222256660461,nan,1.1019304752349854,-0.021269834041595437
heterophily,linear_gt,5,0.815238082408905,0.015409101382725566,0.8411110997200012,nan,4.010588836669922,0.0
heterophily,mlp,5,0.6466666698455811,0.028119888819875063,0.6777777552604676,nan,0.12425131797790527,-0.16857141256332397
heterophily,qk_gt,5,0.8219047546386719,0.026851204063416553,0.853333342075348,nan,4.802945137023926,0.006666672229766801
heterophily,reliability_gt,5,0.8476190328598022,0.03155497219545098,0.8922222256660461,-0.02147366724699095,4.807093858718872,0.03238095045089717
homophily,gate_gt,5,0.958730149269104,0.007579255752784815,0.9744444370269776,-0.0424744838689726,2.45670371055603,0.0409523725509644
homophily,gcn,5,0.9965079188346863,0.0023328488573087568,0.997777771949768,nan,0.4440910816192627,0.07873014211654661
homophily,linear_gt,5,0.9177777767181396,0.027864260484243113,0.9377777814865113,nan,2.9647818088531492,0.0
homophily,mlp,5,0.6466666698455811,0.028119888819875063,0.6777777552604676,nan,0.10434083938598633,-0.27111110687255857
homophily,qk_gt,5,0.922857129573822,0.010069056632995253,0.9355555415153504,nan,3.8812913417816164,0.005079352855682395
homophily,reliability_gt,5,0.968571412563324,0.011852797207235687,0.9788888812065124,-0.04767710160168089,3.0224247932434083,0.05079363584518437
noisy,gate_gt,5,0.597777783870697,0.04852678904417718,0.6277777910232544,0.047452695896664995,3.259942579269409,0.013015872240066506
noisy,gcn,5,0.7942857146263123,0.01681640802177688,0.7911111116409302,nan,1.3553162097930909,0.20952380299568174
noisy,linear_gt,5,0.5847619116306305,0.0525164257990933,0.6322222232818604,nan,2.9065025806427003,0.0
noisy,mlp,5,0.5571428656578064,0.02278207308141789,0.5911111116409302,nan,0.1046595573425293,-0.027619045972824163
noisy,qk_gt,5,0.5885714292526245,0.04821217878097514,0.6244444370269775,nan,3.26035532951355,0.0038095176219939964
noisy,reliability_gt,5,0.6244444489479065,0.04745579946950344,0.6422222137451172,0.14476203009183386,4.1950477123260494,0.039682537317276
