graph_type,model,n,test_acc_mean,test_acc_std,best_val_acc_mean,qk_strength_mean,qk_gamma_q_abs_dev_mean,qk_gamma_k_abs_dev_mean,qk_gamma_q_std_mean,qk_gamma_k_std_mean,qk_gamma_q_abs_dev_max_mean,qk_gamma_k_abs_dev_max_mean,gate_corr_degree_mean,gate_corr_local_similarity_mean,gate_corr_neighbor_variance_mean,gate_corr_rwse_mean,gate_corr_layer1_local_similarity_mean,gate_corr_layer2_local_similarity_mean,elapsed_sec_mean,delta_vs_linear_gt
heterophily,gate_gt,10,0.8519047617912292,0.02700325311611778,0.8744444370269775,nan,nan,nan,nan,nan,nan,nan,-0.10859943833385301,0.08630615225218756,-0.15899923750249348,-0.15533383035663076,0.04612133179829272,0.04591188187430802,4.470248675346374,0.03126985430717466
heterophily,linear_gt,10,0.8206349074840545,0.03249124569026325,0.8388888835906982,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.341886687278747,0.0
heterophily,qk_gt,10,0.8152380883693695,0.028696369760797813,0.8283333301544189,0.1,0.015893163904547692,0.017267310060560703,0.01928854826837778,0.018775314278900623,0.04969779253005981,0.04964601099491119,nan,nan,nan,nan,nan,nan,4.80874605178833,-0.005396819114685036
heterophily,reliability_gt,10,0.8709523677825928,0.02099862944474739,0.8805555582046509,0.1,0.013423473201692104,0.015107500366866589,0.016077874600887297,0.01776777794584632,0.04918314218521118,0.049156653881073,0.005941430055894923,0.05849436570494394,0.0635404915979477,0.0822517648148571,0.08765130031198956,-0.016360342187681017,5.976326537132263,0.05031746029853823
homophily,gate_gt,10,0.9657142758369446,0.015277728923080672,0.97833331823349,nan,nan,nan,nan,nan,nan,nan,-0.035694850018572345,-0.047736642476177676,0.018253656848931425,-0.09694889771767615,0.0023426642596571794,-0.03662279293914107,2.6586071729660032,0.04746031165122988
homophily,linear_gt,10,0.9182539641857147,0.024325104552557014,0.9377777814865113,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0977562427520753,0.0
homophily,qk_gt,10,0.9350793540477753,0.0158483916120077,0.9488888800144195,0.1,0.016063365247100593,0.018407657463103532,0.018347923737019302,0.017977771535515785,0.04900642931461334,0.04919815361499787,nan,nan,nan,nan,nan,nan,4.912904524803162,0.016825389862060613
homophily,reliability_gt,10,0.9715872943401337,0.009562087495443107,0.9816666603088379,0.1,0.00935800550505519,0.010867984592914581,0.011566363740712404,0.012956996541470289,0.0452452152967453,0.04736183881759644,-0.07228593174359024,-0.053802924925568776,-0.032995475478780414,-0.0539297331413313,0.03573971894459288,-0.05423797229440072,3.761725902557373,0.05333333015441899
noisy,gate_gt,10,0.6028571486473083,0.040298705522425884,0.6438888907432556,nan,nan,nan,nan,nan,nan,nan,-0.1275632545909026,-0.049631475159139404,-0.0937048442407148,-0.08628888941699057,-0.04192628757682134,-0.03775688638915261,3.3095715999603272,0.0015872985124587569
noisy,linear_gt,10,0.6012698501348496,0.04666127046815236,0.6372222185134888,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.7222269058227537,0.0
noisy,qk_gt,10,0.5982539713382721,0.04797459700496339,0.6316666603088379,0.1,0.015815221797674896,0.017440154496580363,0.01853731442242861,0.01674329610541463,0.048808741569519046,0.04836189150810242,nan,nan,nan,nan,nan,nan,4.153165221214294,-0.003015878796577498
noisy,reliability_gt,10,0.6130158841609955,0.04559617628441922,0.6444444417953491,0.1,0.014155147317796945,0.014863374549895525,0.01700767958536744,0.017224339582026005,0.04871427714824676,0.0481920450925827,-0.16378635096438335,0.12155044463167103,0.0034364189905060284,-0.11775986390087259,0.06905255992215141,0.09502662576340384,4.481919693946838,0.011746034026145935
