graph_type,model,n,test_acc_mean,test_acc_std,best_val_acc_mean,qk_strength_mean,qk_gamma_q_abs_dev_mean,qk_gamma_k_abs_dev_mean,qk_gamma_q_std_mean,qk_gamma_k_std_mean,qk_gamma_q_abs_dev_max_mean,qk_gamma_k_abs_dev_max_mean,gate_corr_degree_mean,gate_corr_local_similarity_mean,gate_corr_neighbor_variance_mean,gate_corr_rwse_mean,gate_corr_layer1_local_similarity_mean,gate_corr_layer2_local_similarity_mean,elapsed_sec_mean,delta_vs_linear_gt
heterophily,gate_gt,10,0.8519047617912292,0.02700325311611778,0.8744444370269775,nan,nan,nan,nan,nan,nan,nan,-0.10859943833385301,0.08630615225218756,-0.15899923750249348,-0.15533383035663076,0.04612133179829272,0.04591188187430802,4.236038184165954,0.03126985430717466
heterophily,linear_gt,10,0.8206349074840545,0.03249124569026325,0.8388888835906982,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.3679514169693,0.0
heterophily,qk_gt,10,0.8220634937286377,0.034466383055951955,0.8366666674613953,0.049268902465701106,0.007970844581723213,0.009478148631751537,0.009585628844797611,0.009767795074731111,0.02443733811378479,0.024444770812988282,nan,nan,nan,nan,nan,nan,5.676668477058411,0.0014285862445831965
heterophily,reliability_gt,10,0.8569841086864471,0.01765332737171093,0.875555545091629,0.048212956823408606,0.005492788832634687,0.0065919171087443825,0.006687948480248451,0.007786845602095127,0.02328953742980957,0.023415198922157286,0.061902821282892595,0.07486459771976846,0.14376777980494013,0.08759275255104831,0.1421888263909904,0.005807672526656795,5.248207998275757,0.0363492012023926
homophily,gate_gt,10,0.9657142758369446,0.015277728923080672,0.97833331823349,nan,nan,nan,nan,nan,nan,nan,-0.035694850018572345,-0.047736642476177676,0.018253656848931425,-0.09694889771767615,0.0023426642596571794,-0.03662279293914107,2.6645302057266234,0.04746031165122988
homophily,linear_gt,10,0.9182539641857147,0.024325104552557014,0.9377777814865113,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.208081293106079,0.0
homophily,qk_gt,10,0.9315872848033905,0.013420908897556259,0.9444444358348847,0.04872066527605057,0.006756206741556525,0.008047345699742437,0.0080183329526335,0.0080819396302104,0.023643544316291808,0.023848053812980653,nan,nan,nan,nan,nan,nan,4.807423305511475,0.013333320617675781
homophily,reliability_gt,10,0.9712698280811309,0.010776127391102928,0.9811111032962799,0.048412508331239223,0.003985640197061002,0.004838089877739549,0.004947271849960089,0.00579506466165185,0.021049028635025023,0.022500830888748168,-0.07120754476542679,-0.05132858051625189,-0.0318034834660548,-0.053140133537094916,0.036415456661838916,-0.05169097686240024,3.7468679189682006,0.05301586389541624
noisy,gate_gt,10,0.6028571486473083,0.040298705522425884,0.6438888907432556,nan,nan,nan,nan,nan,nan,nan,-0.1275632545909026,-0.049631475159139404,-0.0937048442407148,-0.08628888941699057,-0.04192628757682134,-0.03775688638915261,3.327495002746582,0.0015872985124587569
noisy,linear_gt,10,0.6012698501348496,0.04666127046815236,0.6372222185134888,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.6583899021148683,0.0
noisy,qk_gt,10,0.6023809671401977,0.04181719244795713,0.6383333325386047,0.05050034672021866,0.008150808000937104,0.009722197288647294,0.00939196846447885,0.008585899602621794,0.024490159749984742,0.024311479926109315,nan,nan,nan,nan,nan,nan,4.597250247001648,0.0011111170053481612
noisy,reliability_gt,10,0.6126984238624573,0.0425799322157566,0.6444444417953491,0.048740490525960925,0.006512783071957529,0.007156396796926856,0.007873450918123127,0.00827752989716828,0.023460623621940613,0.023442810773849486,-0.13425007387297833,0.1289575325183968,-0.008010374206517347,-0.0835704983843332,0.09073719629292624,0.1090627933179208,4.52347207069397,0.01142857372760775
