graph_type,model,n,test_acc_mean,test_acc_std,best_val_acc_mean,gate_local_similarity_corr_mean,elapsed_sec_mean,delta_vs_linear_gt
heterophily,gate_gt,5,0.8406349182128906,0.01863575229061981,0.8855555534362793,0.11562502690974807,3.9249351978302003,0.02539683580398555
heterophily,linear_gt,5,0.815238082408905,0.015409101382725566,0.8411110997200012,nan,3.9361934661865234,0.0
heterophily,qk_gt,5,0.8095238089561463,0.0361263698203826,0.8322222352027893,nan,4.847657537460327,-0.005714273452758767
heterophily,reliability_gt,5,0.8317460298538208,0.026956098215220804,0.8655555605888366,-0.14173725080412872,4.460009479522705,0.016507947444915794
homophily,gate_gt,5,0.9568253874778747,0.010109004310782025,0.9733333230018616,-0.052259818493685016,2.245181179046631,0.03904761075973506
homophily,linear_gt,5,0.9177777767181396,0.027864260484243113,0.9377777814865113,nan,3.093831443786621,0.0
homophily,qk_gt,5,0.9215872883796692,0.02472524795487212,0.9355555415153504,nan,3.67904109954834,0.003809511661529541
homophily,reliability_gt,5,0.9628571391105651,0.009395972435547522,0.9755555510520935,0.035017193862028576,3.3799190521240234,0.04507936239242549
noisy,gate_gt,5,0.6047618985176086,0.039802989420972636,0.6299999952316284,0.017594788066314208,3.081764650344849,0.014285695552825883
noisy,linear_gt,5,0.5904762029647828,0.056921970607287535,0.6333333373069763,nan,3.45448317527771,0.0
noisy,qk_gt,5,0.5882539749145508,0.04821427608621883,0.6122222304344177,nan,3.1210278987884523,-0.002222228050231978
noisy,reliability_gt,5,0.6092063665390015,0.06154474479391787,0.6411111116409302,-0.011315330068214353,3.2874141216278074,0.01873016357421875
