model,graph_type,seed,reliability_components,reliability_encoder,best_val_acc,test_acc_at_best_val,qk_strength_init,fixed_qk_strength,elapsed_sec,qk_strength_mean,qk_strength_layer1,qk_strength_layer2,qk_gamma_q_abs_dev_mean,qk_gamma_k_abs_dev_mean,qk_gamma_q_std,qk_gamma_k_std,qk_gamma_q_abs_dev_max,qk_gamma_k_abs_dev_max,gate_corr_degree,gate_corr_local_similarity,gate_corr_neighbor_variance,gate_corr_rwse_mean,gate_corr_layer1_local_similarity,gate_corr_layer2_local_similarity
gate_gt,heterophily,0,"degree,local_similarity,neighbor_variance",separate,0.9055556058883667,0.8682540059089661,-5.0,nan,12.584555864334106,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.305163445806237,-0.11583826725235317,-0.20017869413094436,-0.13278168748020555,-0.16299877929988707,-0.09824011326568322
gate_gt,heterophily,1,"degree,local_similarity,neighbor_variance",separate,0.9000000357627869,0.8761904835700989,-5.0,nan,9.802187442779541,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.2749371709009872,0.31767060254561685,-0.08122772460796038,-0.04919514424867066,0.3050002805928711,0.08406142330171493
gate_gt,heterophily,2,"degree,local_similarity,neighbor_variance",separate,0.9055556058883667,0.8476190567016602,-5.0,nan,9.569525241851807,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.19319484541083845,0.00030617646487734286,-0.056619260723740995,-0.11868020831251362,-0.29600028735130707,0.05591653573153344
gate_gt,heterophily,3,"degree,local_similarity,neighbor_variance",separate,0.894444465637207,0.8507936596870422,-5.0,nan,8.100509405136108,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.05167476590132753,0.33411724115780067,-0.5618663532536942,0.06264176631906868,0.31614274957059135,0.019649886328571814
gate_gt,heterophily,4,"degree,local_similarity,neighbor_variance",separate,0.8500000238418579,0.8285714387893677,-5.0,nan,10.115636348724365,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.08297246861754667,-0.04698752976244245,0.5339722117226664,-0.0275261305209998,0.058445020919556084,-0.08619692416958522
gate_gt,heterophily,5,"degree,local_similarity,neighbor_variance",separate,0.8055555820465088,0.8349206447601318,-5.0,nan,9.204509258270264,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.16606941919901927,0.12841573330721703,-0.5848653414389352,0.10911987251147096,0.12087559910600619,0.03693126593047328
gate_gt,heterophily,6,"degree,local_similarity,neighbor_variance",separate,0.9000000357627869,0.8904762268066406,-5.0,nan,16.75414276123047,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.3441885889505298,-0.150171175324053,-0.0781035629273183,-0.09926968351194906,-0.1869198588465563,0.023297961831432734
gate_gt,heterophily,7,"degree,local_similarity,neighbor_variance",separate,0.8611111044883728,0.8587301969528198,-5.0,nan,10.312166452407837,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.37182598629129043,0.0748367179410027,-0.49673803479260054,-0.14979903381435003,0.13295429714262158,-0.04015433525316932
gate_gt,heterophily,8,"degree,local_similarity,neighbor_variance",separate,0.9000000357627869,0.8841270208358765,-5.0,nan,10.742437839508057,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.11339270975250595,-0.21368113572619213,-0.48739398231520165,-0.033811041953227004,-0.2039395990495469,-0.20087967404777335
gate_gt,heterophily,9,"degree,local_similarity,neighbor_variance",separate,0.8277778029441833,0.8365079760551453,-5.0,nan,6.798020601272583,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.023091472635403888,0.1967257540128044,-0.09338547573374034,-0.05287146100388208,0.10691713041284223,0.14433913876314922
reliability_gt,heterophily,0,"degree,local_similarity,neighbor_variance",separate,0.8666666746139526,0.8047618865966797,-5.0,nan,17.485630750656128,0.006648526294156909,0.006541845388710499,0.006755207199603319,0.000254253187449649,0.00046114245196804404,0.00034958840114995837,0.0005236191209405661,0.0018795132637023926,0.002505004405975342,-0.45216296467641953,-0.2791783830702033,-0.2777800910091359,-0.10678558163887551,-0.40561122065141175,0.005375466285628536
reliability_gt,heterophily,1,"degree,local_similarity,neighbor_variance",separate,0.9055556058883667,0.9015873074531555,-5.0,nan,19.824098348617554,0.00695891841314733,0.006723511032760143,0.007194325793534517,0.00044240939314477146,0.0006198527989909053,0.0005307220853865147,0.0007454371079802513,0.0023677945137023926,0.002634376287460327,-0.007306395535019196,0.03685427445496131,0.0646011361857474,0.026252481899372026,0.054331377026040385,0.024503013091888133
reliability_gt,heterophily,2,"degree,local_similarity,neighbor_variance",separate,0.9111111164093018,0.8428571820259094,-5.0,nan,18.1864230632782,0.006685831118375063,0.0063873399049043655,0.00698432233184576,0.00030866716406308115,0.000523878145031631,0.0004119787481613457,0.0006154110305942595,0.002596735954284668,0.002883225679397583,0.022615833120980117,-0.4854905256051859,-0.028870458442197544,0.0625314062958594,-0.6949946891417449,0.1132306731799973
reliability_gt,heterophily,3,"degree,local_similarity,neighbor_variance",separate,0.894444465637207,0.8777778148651123,-5.0,nan,15.36019253730774,0.0067533934488892555,0.006513449363410473,0.006993337534368038,0.0002949225017800927,0.00040883105248212814,0.0003734591300599277,0.0004689187044277787,0.001673281192779541,0.0021103322505950928,-0.3278391742867923,0.15348603949371184,0.10294256110797216,-0.11638309627082959,0.18329578676698596,0.08247419567249815
reliability_gt,heterophily,4,"degree,local_similarity,neighbor_variance",separate,0.8722222447395325,0.8587301969528198,-5.0,nan,12.854588985443115,0.006740892538800836,0.0066052572801709175,0.006876527797430754,0.00029632283258251846,0.0004071982984896749,0.00035228539491072297,0.0005179559229873121,0.0017527341842651367,0.002678900957107544,0.049734082027011246,0.026155652559922866,-0.15338318020051095,0.02306048679828778,0.25998998162060233,-0.011415952764464441
reliability_gt,heterophily,5,"degree,local_similarity,neighbor_variance",separate,0.7611111402511597,0.8222222328186035,-5.0,nan,10.276517629623413,0.006788542959839106,0.006685206200927496,0.006891879718750715,0.00024094831314869225,0.00029683907632716,0.00029623007867485285,0.0003716207284014672,0.001693129539489746,0.0019949674606323242,0.36616109813722947,0.42815665078365245,0.3427207749979308,0.1081107293531609,0.3017653428233433,0.21717684597029235
reliability_gt,heterophily,6,"degree,local_similarity,neighbor_variance",separate,0.8777778148651123,0.8698412775993347,-5.0,nan,19.424687385559082,0.006849695695564151,0.006760273594409227,0.006939117796719074,0.00020465740817598999,0.0003083827905356884,0.0002583446621429175,0.000376773503376171,0.0014153122901916504,0.0020003914833068848,-0.27745760071089187,-0.5129663406785092,-0.19292676869547998,-0.07738799598857124,-0.5137365157819563,-0.08776405205238806
reliability_gt,heterophily,7,"degree,local_similarity,neighbor_variance",separate,0.8611111044883728,0.8666666746139526,-5.0,nan,10.939778327941895,0.006863332353532314,0.0065930308774113655,0.007133633829653263,0.0002860274980776012,0.0003987420059274882,0.0003607464022934437,0.000497473287396133,0.0021505653858184814,0.0022148489952087402,0.048826870866950756,0.039465984369980195,-0.13410173190448893,0.03125210370264421,0.17530941477513073,-0.0032236739824613174
reliability_gt,heterophily,8,"degree,local_similarity,neighbor_variance",separate,0.9222222566604614,0.8984127044677734,-5.0,nan,16.518232345581055,0.006708135129883885,0.006805622950196266,0.006610647309571505,0.00025730556808412075,0.00040235958294942975,0.0003230523143429309,0.0004828672972507775,0.0021315813064575195,0.0023701488971710205,0.02956383285193822,0.0018214470440740256,0.05124835406869941,0.11023239424035187,0.176068388500466,-0.24224312773097326
reliability_gt,heterophily,9,"degree,local_similarity,neighbor_variance",separate,0.8444444537162781,0.8698412775993347,-5.0,nan,15.174715518951416,0.006549570243805647,0.0066532245837152,0.006445915903896093,0.00021605941583402455,0.00030405528377741575,0.00029132954659871757,0.00034678331576287746,0.002570629119873047,0.002236098051071167,0.1040545599356508,0.21717625676163804,0.019047859485802492,0.035199507415372845,0.35089368095958906,0.08171250830645328
gate_gt,homophily,0,"degree,local_similarity,neighbor_variance",separate,0.9722222685813904,0.9555555582046509,-5.0,nan,7.5518598556518555,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.18949996328131327,-0.16326307440556567,0.19695756834895337,-0.0355031874483804,-0.16455667547003885,-0.15271191788484853
gate_gt,homophily,1,"degree,local_similarity,neighbor_variance",separate,0.9555555582046509,0.9746031761169434,-5.0,nan,7.766502618789673,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.12911660455584376,-0.15077882284230185,0.25100558244621163,-0.15310364841607238,-0.1260904515660314,-0.0842406285504675
gate_gt,homophily,2,"degree,local_similarity,neighbor_variance",separate,0.9833333492279053,0.9714285731315613,-5.0,nan,6.288265705108643,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.06344292393593776,-0.19235115975366313,0.08859793245834052,-0.16579052705989736,-0.14895668333127687,-0.19114535376363073
gate_gt,homophily,3,"degree,local_similarity,neighbor_variance",separate,0.9888889193534851,0.9666666984558105,-5.0,nan,5.282240629196167,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.053946792089665144,0.2504346525178459,-0.0806148015989943,0.03852326451581827,0.4183672527555377,-0.061974408150418665
gate_gt,homophily,4,"degree,local_similarity,neighbor_variance",separate,0.9722222685813904,0.9555555582046509,-5.0,nan,5.189189434051514,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3126119814830276,0.22957798649753947,0.25103779518866415,0.054944962529532085,0.284950082857738,0.11956081384679251
gate_gt,homophily,5,"degree,local_similarity,neighbor_variance",separate,0.9555555582046509,0.9634920954704285,-5.0,nan,5.67310905456543,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.04232172390097905,0.4677050020009955,-0.4303341662255328,0.040513093031788135,0.4706198712997567,-0.06476587138462907
gate_gt,homophily,6,"degree,local_similarity,neighbor_variance",separate,0.9888889193534851,0.9714285731315613,-5.0,nan,7.2783262729644775,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.14680065888693455,-0.05677933766388877,0.0785173600832308,0.019327358792453734,-0.010409647041925004,-0.0561351570896385
gate_gt,homophily,7,"degree,local_similarity,neighbor_variance",separate,0.9888889193534851,0.961904764175415,-5.0,nan,5.34894323348999,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.07270108464428031,-0.09735326791407936,-0.17227709938747643,0.01968438826545195,-0.07466910142951047,-0.05938708602685008
gate_gt,homophily,8,"degree,local_similarity,neighbor_variance",separate,0.9888889193534851,0.9873015880584717,-5.0,nan,6.35463809967041,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.21984821324455464,-0.20814594338664894,-0.03449663320578157,0.003469888818893773,-0.20687503304283542,0.01296641414540449
gate_gt,homophily,9,"degree,local_similarity,neighbor_variance",separate,0.9888889193534851,0.9730159044265747,-5.0,nan,6.072722911834717,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.22834838853602563,0.2935786469246321,-0.04604704489147489,0.013522556356700029,0.38744861801133207,-0.1006303689515402
reliability_gt,homophily,0,"degree,local_similarity,neighbor_variance",separate,0.9944444894790649,0.9603174924850464,-5.0,nan,9.704813003540039,0.006812510779127479,0.006702284794300795,0.006922736763954163,0.00015671974688302726,0.0002640120801515877,0.0002035631041508168,0.00031994207529351115,0.0013242065906524658,0.0016185641288757324,-0.15960692291844808,-0.11048010067858696,-0.1518317519606843,-0.09588349635831661,0.1260207993417301,-0.11283771153477515
reliability_gt,homophily,1,"degree,local_similarity,neighbor_variance",separate,0.9666666984558105,0.9777777791023254,-5.0,nan,13.766473054885864,0.006831874372437596,0.0066204555332660675,0.007043293211609125,0.00022948873811401427,0.00030171865364536643,0.000291465490590781,0.00036763696698471904,0.001859128475189209,0.00219804048538208,0.0006049107789092694,-0.05723327864078169,0.14802605503755495,-0.06946717351964923,0.25091067343264734,-0.07069892635206658
reliability_gt,homophily,2,"degree,local_similarity,neighbor_variance",separate,0.9777777791023254,0.9746031761169434,-5.0,nan,16.10066843032837,0.006687140790745616,0.006578952074050903,0.006795329507440329,0.00021180968906264752,0.00039239460602402687,0.0002789274731185287,0.0004227439931128174,0.0019611716270446777,0.002305924892425537,0.1197333046631453,-0.011263776481845159,-0.010708819038199714,-0.08728169784115017,-0.363198269379341,0.021837104579141165
reliability_gt,homophily,3,"degree,local_similarity,neighbor_variance",separate,0.9944444894790649,0.9698413014411926,-5.0,nan,9.47054648399353,0.006711072288453579,0.006635273806750774,0.0067868707701563835,0.00016427019727416337,0.00019941135542467237,0.00021094751718919724,0.0002508710022084415,0.001253962516784668,0.0015054643154144287,-0.2015311848054227,0.04709165873994904,-0.16626383705322517,-0.01517154847101283,-0.2119015115532675,0.04776212529763254
reliability_gt,homophily,4,"degree,local_similarity,neighbor_variance",separate,0.9722222685813904,0.9571428894996643,-5.0,nan,9.273521423339844,0.006690723355859518,0.006665567401796579,0.006715879309922457,0.00019007324590347707,0.0003002583980560303,0.00023391193826682866,0.0003624801756814122,0.00127410888671875,0.0016800463199615479,-0.021087998584260723,-0.10006699120842548,0.05400337618775252,0.09735167095483244,0.2175176795430061,-0.11609189345967016
reliability_gt,homophily,5,"degree,local_similarity,neighbor_variance",separate,0.9611111283302307,0.9730159044265747,-5.0,nan,11.161842107772827,0.006740128388628364,0.006631641648709774,0.006848615128546953,0.00017454774933867157,0.00023124388826545328,0.00022379503934644163,0.0003042499884031713,0.001422107219696045,0.0019093155860900879,0.6277349584994634,-0.008183889990511513,0.3566590240125516,0.14344316771758855,-0.003496741008636423,-0.05288282621361836
reliability_gt,homophily,6,"degree,local_similarity,neighbor_variance",separate,0.9888889193534851,0.9682539701461792,-5.0,nan,12.96455717086792,0.006760752759873867,0.006697027012705803,0.006824478507041931,0.0001590479223523289,0.00022895603615324944,0.0001987007854040712,0.00028520042542368174,0.0011006593704223633,0.001193404197692871,-0.008813751276667765,-0.0766976404093971,-0.4356282747038557,0.05106705576651653,-0.05003081852039277,-0.06317350284580364
reliability_gt,homophily,7,"degree,local_similarity,neighbor_variance",separate,0.9944444894790649,0.9873015880584717,-5.0,nan,22.05035376548767,0.006781675387173891,0.006681493017822504,0.006881857756525278,0.00023390716523863375,0.00034361943835392594,0.0003025494806934148,0.00042269693221896887,0.0016621947288513184,0.001868218183517456,0.09215199346614908,-0.23873168053890945,-0.030062672875335938,0.06985218714056643,-0.2388028026963053,0.05139672117233294
reliability_gt,homophily,8,"degree,local_similarity,neighbor_variance",separate,0.9833333492279053,0.9777777791023254,-5.0,nan,7.303004741668701,0.006789138773456216,0.006662310101091862,0.00691596744582057,0.00019661622354760766,0.00032616074895486236,0.0002553807571530342,0.00038091454189270735,0.001662522554397583,0.001986861228942871,-0.08188122958130625,-0.05469606435024491,-0.15327850597369744,-0.13684199846404038,0.2662327603522419,-0.06137299273822388
reliability_gt,homophily,9,"degree,local_similarity,neighbor_variance",separate,0.9777777791023254,0.9698413014411926,-5.0,nan,11.089859962463379,0.00658359145745635,0.006527284160256386,0.006639898754656315,0.0001402510388288647,0.00018753515905700624,0.00018301597447134554,0.00022554295719601214,0.0017440319061279297,0.001768648624420166,-0.08815442188781089,0.30248283500335876,-0.058109027270923874,0.0349197803229643,0.3936412098720343,0.017068988594059097
