graph_type,model,reliability_components,reliability_encoder,n,test_acc_mean,test_acc_std,best_val_acc_mean,qk_strength_mean,qk_gamma_q_abs_dev_mean,qk_gamma_k_abs_dev_mean,qk_gamma_q_std_mean,qk_gamma_k_std_mean,qk_gamma_q_abs_dev_max_mean,qk_gamma_k_abs_dev_max_mean,gate_corr_degree_mean,gate_corr_local_similarity_mean,gate_corr_neighbor_variance_mean,gate_corr_rwse_mean,gate_corr_layer1_local_similarity_mean,gate_corr_layer2_local_similarity_mean,elapsed_sec_mean,delta_vs_linear_gt
heterophily,gate_gt,"degree,local_similarity,neighbor_variance,rwse",separate,10,0.8411111295223236,0.03135032000134433,0.8622222423553467,nan,nan,nan,nan,nan,nan,nan,-0.13009711206389307,0.05809435586024039,-0.1371205107164124,-0.20821922144093394,0.030344046960125978,0.006074157986673726,8.541937780380248,nan
heterophily,gate_gt_encoded,"degree,local_similarity,neighbor_variance,rwse",branch_specific,10,0.8419047772884369,0.04144772997351905,0.8650000274181366,nan,nan,nan,nan,nan,nan,nan,0.048653271930205265,0.04590007654493395,-0.02109550187359411,-0.0727858910466471,-0.17828098761543718,0.07972366059775028,7.682865881919861,nan
heterophily,qk_gt,"degree,local_similarity,neighbor_variance,rwse",separate,10,0.8203174769878387,0.030834534781568477,0.8411111235618591,0.0068062514066696165,0.000642181938746944,0.0009826356312260033,0.000803332170471549,0.0009513971337582916,0.0031718134880065916,0.003262263536453247,nan,nan,nan,nan,nan,nan,18.837642741203307,nan
heterophily,qk_gt_encoded,"degree,local_similarity,neighbor_variance,rwse",branch_specific,10,0.8188889026641846,0.033600227100128166,0.8361111223697663,0.006805136404000223,0.0014951789169572293,0.001580894412472844,0.0016899120179004966,0.0016459460952319206,0.0032407790422439575,0.00323219895362854,nan,nan,nan,nan,nan,nan,17.405447673797607,nan
heterophily,reliability_gt,"degree,local_similarity,neighbor_variance,rwse",separate,10,0.8636508107185363,0.021618203426449777,0.8788889050483704,0.0068427010672166945,0.00045069205516483634,0.0006551390571985394,0.0005736770544899628,0.0007790914736688137,0.0027646154165267946,0.0030582189559936524,-0.014611531771917825,0.06584528986843935,0.02168278973916974,0.06430956634256878,0.013454461309006821,-0.0029991372694689773,15.213090920448304,nan
heterophily,reliability_gt_encoded,"degree,local_similarity,neighbor_variance,rwse",branch_specific,10,0.855396842956543,0.03619221867546483,0.8666666865348815,0.006851149536669254,0.0012406179099343716,0.0015706680598668755,0.001412083103787154,0.001706027169711888,0.0030609220266342163,0.0031677007675170897,0.07160020534359496,-0.03498636820932023,0.14487792297365482,0.021813643723404812,-0.12793738264812746,0.024609232814759012,16.631028485298156,nan
homophily,gate_gt,"degree,local_similarity,neighbor_variance,rwse",separate,10,0.9685714423656464,0.01033088344969997,0.9794444680213928,nan,nan,nan,nan,nan,nan,nan,-0.0979059984644173,0.010049679408222215,-0.008799022777150993,-0.02923713745055708,0.05627428802754307,-0.04576934071143961,5.747817540168763,nan
homophily,gate_gt_encoded,"degree,local_similarity,neighbor_variance,rwse",branch_specific,10,0.9706349313259125,0.0099949678372475,0.9811111330986023,nan,nan,nan,nan,nan,nan,nan,-0.003675694737447036,-0.10671119063479062,-0.08751619463521775,-0.03581204599622152,-0.09237364601211094,-0.08145732440223447,7.837014436721802,nan
homophily,qk_gt,"degree,local_similarity,neighbor_variance,rwse",separate,10,0.9255555689334869,0.02049340893574929,0.9383333563804627,0.006797397648915649,0.0005081773648271337,0.0007051455380860716,0.0006102191458921879,0.0007176693005021661,0.0027495920658111572,0.002972772717475891,nan,nan,nan,nan,nan,nan,13.232499647140504,nan
homophily,qk_gt_encoded,"degree,local_similarity,neighbor_variance,rwse",branch_specific,10,0.9206349372863769,0.016888172911631964,0.9383333563804627,0.0067258290713652965,0.0012030371581204236,0.0012153333285823465,0.0014028174919076264,0.0013651575893163681,0.0030095458030700685,0.0030232012271881104,nan,nan,nan,nan,nan,nan,12.240024733543397,nan
homophily,reliability_gt,"degree,local_similarity,neighbor_variance,rwse",separate,10,0.9682539880275727,0.009173449152786893,0.9811111390590668,0.006753019778989256,0.00026246783381793647,0.0004034796380437911,0.00034465528442524375,0.0004976459720637649,0.0022392749786376955,0.002576294541358948,-0.050239259810136834,-0.02941913253366756,-0.05646496819842111,-0.06766215663182382,0.004752651091322498,-0.04676942346540747,10.810629510879517,nan
homophily,reliability_gt_encoded,"degree,local_similarity,neighbor_variance,rwse",branch_specific,10,0.9668254137039185,0.00853164741584375,0.9794444680213928,0.0067046834388747815,0.0008728097367566079,0.0010517317510675638,0.001022657210705802,0.0012081528140697629,0.002581191062927246,0.00280647873878479,0.03568366955270998,-0.03646223166170984,0.08014781605224865,-0.014708495845213585,-0.06954574758088759,-0.08693176416471568,11.260747718811036,nan
noisy,gate_gt,"degree,local_similarity,neighbor_variance,rwse",separate,10,0.6071428656578064,0.04458734003963918,0.6477777838706971,nan,nan,nan,nan,nan,nan,nan,-0.14243971907751074,-0.13629869135437578,-0.07473491151453678,-0.12831229391252796,-0.11162144632576543,-0.11127643813363831,6.34046094417572,nan
noisy,gate_gt_encoded,"degree,local_similarity,neighbor_variance,rwse",branch_specific,10,0.5898412823677063,0.054410881100015254,0.6283333539962769,nan,nan,nan,nan,nan,nan,nan,0.035305643642225666,-0.13780542951832156,-0.04687944821130993,0.0538298937112605,-0.15409308188526208,-0.0973397885974849,6.058408975601196,nan
noisy,qk_gt,"degree,local_similarity,neighbor_variance,rwse",separate,10,0.596666669845581,0.047901022303506444,0.6283333420753479,0.00682641074527055,0.0005423156719189138,0.0007143741328036413,0.0006883761700009928,0.0007604923681356013,0.0028857827186584474,0.0029940277338027952,nan,nan,nan,nan,nan,nan,10.330659174919129,nan
noisy,qk_gt_encoded,"degree,local_similarity,neighbor_variance,rwse",branch_specific,10,0.6012698531150817,0.043567309122390555,0.6355555713176727,0.006846922892145812,0.0013445504242554306,0.001308611419517547,0.0015437195310369135,0.0014097898732870818,0.003096497058868408,0.003064292669296265,nan,nan,nan,nan,nan,nan,11.543917798995972,nan
noisy,reliability_gt,"degree,local_similarity,neighbor_variance,rwse",separate,10,0.6117460429668427,0.04971168553911463,0.6405555725097656,0.006753679574467241,0.00048135128599824384,0.0006402733444701881,0.0006160312594147399,0.0007504468550905586,0.002779984474182129,0.0029198557138442995,-0.05073878372125519,0.0996925281445749,0.04825153312471349,-0.021206252922601008,0.05837040296652165,0.08637359948360873,10.7675048828125,nan
noisy,reliability_gt_encoded,"degree,local_similarity,neighbor_variance,rwse",branch_specific,10,0.5920634984970092,0.049446421579231216,0.6316666781902314,0.006735886540263891,0.0013507584459148347,0.0015587589412461966,0.001521477394271642,0.0016852832864969968,0.0029691070318222045,0.0030606091022491455,0.036227038879022434,0.020450836476063283,0.09369064843583218,-0.04037259330631972,0.09721299876267088,-0.017509092385146138,11.743367052078247,nan
