dataset,model,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,reliability_components,normalize_features,rw_steps,rw_samples,qk_strength_init,fixed_qk_strength,elapsed_sec,qk_strength_mean,qk_strength_layer1,qk_strength_layer2,qk_gamma_q_abs_dev_mean,qk_gamma_k_abs_dev_mean,qk_gamma_q_std,qk_gamma_k_std,qk_gamma_q_abs_dev_max,qk_gamma_k_abs_dev_max,gate_corr_degree,gate_corr_local_similarity,gate_corr_neighbor_variance,gate_corr_rwse_mean,gate_corr_layer1_local_similarity,gate_corr_layer2_local_similarity
Actor,gate_gt,0:0,0,0,23,0.3762335479259491,0.3723684251308441,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,10.048316717147827,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.49964178922155855,0.09030548978925453,-0.5269542646221308,0.021771007038314416,-0.20186923994196554,0.21188591646160715
Actor,gate_gt,1:0,1,0,22,0.3725329041481018,0.3453947603702545,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,9.398480415344238,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.05706610903805579,0.2275820778776903,-0.1978133294196495,-0.44710934550939413,-0.11222926175007264,0.2971466816696669
Actor,gate_gt,2:0,2,0,21,0.3787006735801697,0.36250001192092896,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,9.355454921722412,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.36885178885174236,-0.11397863637673955,-0.38233404242929087,-0.18286099238584191,-0.6069552560495731,0.12692918724481544
Actor,gate_gt,3:0,3,0,29,0.3737664520740509,0.35789474844932556,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,9.940945863723755,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.24701405711589908,-0.1444616759967902,-0.3373151604558025,-0.4482633689360779,-0.6474737294197536,0.16751244142044278
Actor,gate_gt,4:0,4,0,28,0.359375,0.35131579637527466,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,9.862520456314087,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.3403205551241037,-0.02723981564599683,-0.34067230831555034,-0.24194909766945205,-0.5938736397298495,0.24388401835438564
Actor,gate_gt,5:0,5,0,26,0.3725329041481018,0.36052632331848145,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,9.771023511886597,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.16395428616013952,0.07059173174029934,-0.28675355435424826,-0.48186822554488384,-0.11218576698591823,0.12339314984705942
Actor,gate_gt,6:0,6,0,22,0.37458881735801697,0.35328948497772217,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,9.453577756881714,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.41506335961848057,0.11156590415784567,-0.4788280031924168,-0.11083594206493606,-0.21671001764993242,0.2303708588570523
Actor,gate_gt,7:0,7,0,22,0.3581414520740509,0.35394737124443054,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,9.470497131347656,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.2765066861636309,0.10465383091845884,-0.37816655676612404,-0.27296204112460865,-0.3703840316929795,0.29726622302834366
Actor,gate_gt,8:0,8,0,24,0.3708881735801697,0.3638158142566681,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,9.531198024749756,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.7785827019437245,-0.30268603802216437,-0.7468170919924413,0.30360433879622256,-0.49250074047791387,0.21603030462466835
Actor,gate_gt,9:0,9,0,28,0.36800986528396606,0.3723684251308441,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,9.889022588729858,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.4606489057109386,-0.03515095651101783,-0.5276798003757386,-0.2469295747772884,-0.5216345857828524,0.26390573686939683
