dataset,model,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,reliability_components,normalize_features,rw_steps,rw_samples,qk_strength_init,fixed_qk_strength,elapsed_sec,qk_strength_mean,qk_strength_layer1,qk_strength_layer2,qk_gamma_q_abs_dev_mean,qk_gamma_k_abs_dev_mean,qk_gamma_q_std,qk_gamma_k_std,qk_gamma_q_abs_dev_max,qk_gamma_k_abs_dev_max,gate_corr_degree,gate_corr_local_similarity,gate_corr_neighbor_variance,gate_corr_rwse_mean,gate_corr_layer1_local_similarity,gate_corr_layer2_local_similarity
Actor,mlp,0:0,0,0,97,0.3721217215061188,0.3684210777282715,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,3.7277979850769043,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Actor,mlp,1:0,1,0,70,0.3708881735801697,0.35789474844932556,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,2.962956666946411,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Actor,mlp,2:0,2,0,51,0.38075658679008484,0.3552631735801697,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,2.6455814838409424,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Actor,mlp,3:0,3,0,69,0.3799342215061188,0.34934210777282715,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,2.8589706420898438,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Actor,mlp,4:0,4,0,96,0.36266449093818665,0.3368421196937561,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,3.3874175548553467,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Actor,mlp,5:0,5,0,120,0.36513158679008484,0.3480263352394104,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,3.797163486480713,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Actor,mlp,6:0,6,0,54,0.37417763471603394,0.36052632331848145,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,2.745290517807007,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Actor,mlp,7:0,7,0,59,0.3490954041481018,0.34934210777282715,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,2.740696907043457,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Actor,mlp,8:0,8,0,77,0.3774670958518982,0.34013158082962036,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,3.082242012023926,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Actor,mlp,9:0,9,0,59,0.36677631735801697,0.370394766330719,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,2.801375150680542,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
