dataset,model,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,reliability_components,normalize_features,rw_steps,rw_samples,qk_strength_init,fixed_qk_strength,elapsed_sec,qk_strength_mean,qk_strength_layer1,qk_strength_layer2,qk_gamma_q_abs_dev_mean,qk_gamma_k_abs_dev_mean,qk_gamma_q_std,qk_gamma_k_std,qk_gamma_q_abs_dev_max,qk_gamma_k_abs_dev_max,gate_corr_degree,gate_corr_local_similarity,gate_corr_neighbor_variance,gate_corr_rwse_mean,gate_corr_layer1_local_similarity,gate_corr_layer2_local_similarity
Actor,qk_gt,0:0,0,0,29,0.38075658679008484,0.35986843705177307,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,14.815603256225586,0.0066325177904218435,0.006693630944937468,0.0065714046359062195,8.064314897637814e-05,0.00013457001477945596,0.00011966947931796312,0.000186107587069273,0.0007866919040679932,0.0010935068130493164,nan,nan,nan,nan,nan,nan
Actor,qk_gt,1:0,1,0,31,0.36513158679008484,0.34934210777282715,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,14.393014430999756,0.006636358331888914,0.006693462375551462,0.006579254288226366,8.327438263222575e-05,0.00014157473924569786,0.00012302954564802349,0.00019380349840503186,0.0008753538131713867,0.0011382102966308594,nan,nan,nan,nan,nan,nan
Actor,qk_gt,2:0,2,0,25,0.3787006735801697,0.34934210777282715,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,13.824873924255371,0.006637775572016835,0.0066932979971170425,0.006582253146916628,7.380182796623558e-05,0.00012927538773510605,0.00010597813525237143,0.00017621902225073427,0.0005922913551330566,0.0009554028511047363,nan,nan,nan,nan,nan,nan
Actor,qk_gt,3:0,3,0,29,0.3643092215061188,0.366447389125824,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,14.263062238693237,0.006641831248998642,0.006693488452583551,0.0065901740454137325,8.586101466789842e-05,0.00014074644423089921,0.00013185194984544069,0.00019334266835357994,0.0010278820991516113,0.0010815262794494629,nan,nan,nan,nan,nan,nan
Actor,qk_gt,4:0,4,0,28,0.3659539520740509,0.343421071767807,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,14.149492263793945,0.006634233053773642,0.006693418137729168,0.006575047969818115,7.890864799264818e-05,0.00013194630446378142,0.00011706939403666183,0.00018190023547504097,0.0008491575717926025,0.0010433793067932129,nan,nan,nan,nan,nan,nan
Actor,qk_gt,5:0,5,0,29,0.36924341320991516,0.3618421256542206,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,13.208157300949097,0.006634915480390191,0.006693633273243904,0.006576197687536478,8.008587610675022e-05,0.00013638516247738153,0.00011942425044253469,0.00018842608551494777,0.0008184313774108887,0.0011608004570007324,nan,nan,nan,nan,nan,nan
Actor,qk_gt,6:0,6,0,33,0.36883223056793213,0.3486842215061188,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,14.620070934295654,0.006615904625505209,0.0066939471289515495,0.006537862122058868,8.609506767243147e-05,0.0001354921841993928,0.00012555139255709946,0.00018618503236211836,0.0007726550102233887,0.0011363029479980469,nan,nan,nan,nan,nan,nan
Actor,qk_gt,7:0,7,0,26,0.35896381735801697,0.35328948497772217,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,13.956928014755249,0.006632693810388446,0.006693456321954727,0.0065719312988221645,7.457811443600804e-05,0.00012797127419617027,0.00011072015331592411,0.00017669983208179474,0.000702589750289917,0.0010383129119873047,nan,nan,nan,nan,nan,nan
Actor,qk_gt,8:0,8,0,32,0.36759868264198303,0.35394737124443054,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,14.482271432876587,0.006634844932705164,0.0066938940435647964,0.0065757958218455315,9.116997534874827e-05,0.00014723400818184018,0.0001367469667457044,0.0002004133420996368,0.0010831058025360107,0.001168966293334961,nan,nan,nan,nan,nan,nan
Actor,qk_gt,9:0,9,0,21,0.3606085479259491,0.36052632331848145,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,13.085763692855835,0.006634591147303581,0.006693592295050621,0.0065755899995565414,6.78331998642534e-05,0.00011937194358324632,9.515549754723907e-05,0.00016412757395301014,0.0005080699920654297,0.0009005367755889893,nan,nan,nan,nan,nan,nan
