dataset,model,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,reliability_components,normalize_features,rw_steps,rw_samples,qk_strength_init,fixed_qk_strength,elapsed_sec,qk_strength_mean,qk_strength_layer1,qk_strength_layer2,qk_gamma_q_abs_dev_mean,qk_gamma_k_abs_dev_mean,qk_gamma_q_std,qk_gamma_k_std,qk_gamma_q_abs_dev_max,qk_gamma_k_abs_dev_max,gate_corr_degree,gate_corr_local_similarity,gate_corr_neighbor_variance,gate_corr_rwse_mean,gate_corr_layer1_local_similarity,gate_corr_layer2_local_similarity
Actor,reliability_gt,0:0,0,0,31,0.37294408679008484,0.35789474844932556,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,15.64902663230896,0.006634777411818504,0.006691535469144583,0.006578019354492426,5.335765308700502e-05,0.00011202451423741877,7.886612002039328e-05,0.00016390529344789684,0.0005491375923156738,0.0010644793510437012,-0.026010912036156054,-0.19840321926474072,-0.07627536723030218,-0.008508181728146443,-0.6712755027670144,-0.18356893764437954
Actor,reliability_gt,1:0,1,0,39,0.3622532784938812,0.3414473831653595,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,15.792050838470459,0.006631717085838318,0.006688252557069063,0.0065751816146075726,8.077925303950906e-05,0.00012421519204508513,0.00012391257041599602,0.0001776146236807108,0.0009999275207519531,0.001208961009979248,-0.2645669199260038,-0.21281823749937404,-0.2670659702761884,-0.006769822366346351,-0.2724111032290057,-0.19417908491174107
Actor,reliability_gt,2:0,2,0,25,0.36924341320991516,0.3546052873134613,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,14.24013090133667,0.006637915736064315,0.006691931746900082,0.006583899725228548,5.2269111620262265e-05,0.00010371903044870123,7.924454985186458e-05,0.0001497815828770399,0.0005257129669189453,0.001008152961730957,-0.2780651404628802,-0.37679297008484897,-0.2666728730823677,0.24233716769237296,-0.520416743384242,-0.16488737956689992
Actor,reliability_gt,3:0,3,0,30,0.36883223056793213,0.3480263352394104,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,14.803272008895874,0.006654495606198907,0.006691348273307085,0.006617642939090729,4.748589708469808e-05,0.00010570486483629793,7.349034422077239e-05,0.00015049849753268063,0.0005238652229309082,0.0010250508785247803,-0.3260946610951024,-0.3212152579281687,-0.23522193108653758,0.300143632710716,0.08825554019907692,-0.32102333844697034
Actor,reliability_gt,4:0,4,0,22,0.3647204041481018,0.3414473831653595,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,13.917094707489014,0.006646806839853525,0.006691931746900082,0.006601681932806969,4.823914059670642e-05,9.79953256319277e-05,7.46209843782708e-05,0.00014227148494683206,0.0005367398262023926,0.0009666979312896729,0.44582598830090725,-0.037265223737814816,0.3468608344818075,-0.25789813037215664,-0.06465325219536501,-0.031718961110884306
Actor,reliability_gt,5:0,5,0,33,0.36883223056793213,0.3500000238418579,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,15.126332998275757,0.006651696749031544,0.006690879352390766,0.006612514145672321,5.179299841984175e-05,0.00011104752047685906,7.48454694985412e-05,0.00015920236182864755,0.00051116943359375,0.0010463297367095947,-0.3039729421628847,-0.299494744695838,-0.2624614123491851,0.10606057523613986,-0.5821001702925356,-0.29165877500974663
Actor,reliability_gt,6:0,6,0,32,0.37294408679008484,0.3526315987110138,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,14.834885835647583,0.00664351275190711,0.006691329646855593,0.006595695856958628,5.719942055293359e-05,0.00011274749704170972,8.053712372202426e-05,0.0001674415252637118,0.000580906867980957,0.00112229585647583,-0.14422027656836842,-0.24703803523705256,-0.15077142630438234,0.06015721227428523,-0.48725737195006813,-0.21217061936884643
Actor,reliability_gt,7:0,7,0,29,0.3552631735801697,0.35789474844932556,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,14.690603256225586,0.00665338383987546,0.0066917757503688335,0.006614991929382086,4.819371679332107e-05,0.00010811456013470888,7.308484055101871e-05,0.0001556822535349056,0.0004588961601257324,0.001094430685043335,-0.1359550074839488,-0.32655041544117014,-0.12101768377810039,0.22620606292557038,-0.7030446669063559,-0.3016035873484401
Actor,reliability_gt,8:0,8,0,40,0.3737664520740509,0.3592105507850647,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,15.911327600479126,0.006644069217145443,0.006688382942229509,0.006599755492061377,8.189888467313722e-05,0.00012597629392985255,0.00012175009032944217,0.0001806067448342219,0.0008490085601806641,0.001154571771621704,-0.20559924472460456,-0.1469498910184629,-0.25026517376261664,-0.06266232254073743,-0.6374149107413422,-0.12332239451763481
Actor,reliability_gt,9:0,9,0,27,0.3552631735801697,0.3638158142566681,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,14.327840089797974,0.006646321387961507,0.006692033261060715,0.006600609514862299,4.798016743734479e-05,0.00010337340063415468,7.413324055960402e-05,0.0001461287320125848,0.00048041343688964844,0.0010241568088531494,-0.08183562781861095,-0.21764086515240194,-0.11115636336915717,-0.010286387455207486,-0.32595315648569306,-0.1851599083284514
