dataset,model,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,reliability_components,normalize_features,rw_steps,rw_samples,qk_strength_init,fixed_qk_strength,elapsed_sec,qk_strength_mean,qk_strength_layer1,qk_strength_layer2,qk_gamma_q_abs_dev_mean,qk_gamma_k_abs_dev_mean,qk_gamma_q_std,qk_gamma_k_std,qk_gamma_q_abs_dev_max,qk_gamma_k_abs_dev_max,gate_corr_degree,gate_corr_local_similarity,gate_corr_neighbor_variance,gate_corr_rwse_mean,gate_corr_layer1_local_similarity,gate_corr_layer2_local_similarity
Chameleon,gcn,0:0,0,0,390,0.6776406168937683,0.6535087823867798,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,25.054455518722534,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Chameleon,gcn,1:0,1,0,250,0.6200274229049683,0.6688596606254578,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,17.557882070541382,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Chameleon,gcn,2:0,2,0,373,0.6584362387657166,0.6228070259094238,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,23.989476442337036,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Chameleon,gcn,3:0,3,0,423,0.6611797213554382,0.6513158082962036,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,24.747682809829712,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Chameleon,gcn,4:0,4,0,496,0.654321014881134,0.6688596606254578,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,25.065059900283813,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Chameleon,gcn,5:0,5,0,441,0.6694101691246033,0.6578947305679321,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,25.0866858959198,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Chameleon,gcn,6:0,6,0,488,0.6639232039451599,0.6008772253990173,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,25.06773018836975,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Chameleon,gcn,7:0,7,0,471,0.6323730945587158,0.6271929740905762,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,24.98455262184143,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Chameleon,gcn,8:0,8,0,471,0.6584362387657166,0.6491228342056274,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,24.836125135421753,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Chameleon,gcn,9:0,9,0,469,0.6502057313919067,0.6732456088066101,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,24.833561420440674,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
