dataset,model,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,reliability_components,normalize_features,rw_steps,rw_samples,qk_strength_init,fixed_qk_strength,elapsed_sec,qk_strength_mean,qk_strength_layer1,qk_strength_layer2,qk_gamma_q_abs_dev_mean,qk_gamma_k_abs_dev_mean,qk_gamma_q_std,qk_gamma_k_std,qk_gamma_q_abs_dev_max,qk_gamma_k_abs_dev_max,gate_corr_degree,gate_corr_local_similarity,gate_corr_neighbor_variance,gate_corr_rwse_mean,gate_corr_layer1_local_similarity,gate_corr_layer2_local_similarity
Chameleon,linear_gt,0:0,0,0,43,0.5898491144180298,0.5701754689216614,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,9.88603401184082,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Chameleon,linear_gt,1:0,1,0,23,0.5253772139549255,0.5701754689216614,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,6.665974140167236,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Chameleon,linear_gt,2:0,2,0,92,0.5665295124053955,0.5460526347160339,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,12.223572492599487,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Chameleon,linear_gt,3:0,3,0,173,0.5857338905334473,0.609649121761322,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,17.40566897392273,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Chameleon,linear_gt,4:0,4,0,34,0.5555555820465088,0.5438596606254578,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,8.633410453796387,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Chameleon,linear_gt,5:0,5,0,108,0.5925925970077515,0.5504385828971863,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,12.549249410629272,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Chameleon,linear_gt,6:0,6,0,192,0.5939643383026123,0.5526315569877625,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,18.644460439682007,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Chameleon,linear_gt,7:0,7,0,216,0.5829904079437256,0.5855263471603394,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,20.234323024749756,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Chameleon,linear_gt,8:0,8,0,135,0.5898491144180298,0.5789473652839661,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,15.087957859039307,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Chameleon,linear_gt,9:0,9,0,404,0.5925925970077515,0.5745614171028137,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,31.589219331741333,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
