dataset,model,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,reliability_components,normalize_features,rw_steps,rw_samples,qk_strength_init,fixed_qk_strength,elapsed_sec,qk_strength_mean,qk_strength_layer1,qk_strength_layer2,qk_gamma_q_abs_dev_mean,qk_gamma_k_abs_dev_mean,qk_gamma_q_std,qk_gamma_k_std,qk_gamma_q_abs_dev_max,qk_gamma_k_abs_dev_max,gate_corr_degree,gate_corr_local_similarity,gate_corr_neighbor_variance,gate_corr_rwse_mean,gate_corr_layer1_local_similarity,gate_corr_layer2_local_similarity
Chameleon,qk_gt,0:0,0,0,58,0.5925925970077515,0.5657894611358643,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,17.06678605079651,0.006696291035041213,0.00666631618514657,0.006726265884935856,0.00026228741626255214,0.00022213641204871237,0.0003053084365092218,0.0003067755023948848,0.003099799156188965,0.003236532211303711,nan,nan,nan,nan,nan,nan
Chameleon,qk_gt,1:0,1,0,28,0.5377228856086731,0.594298243522644,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,13.396714687347412,0.006670172559097409,0.0067007578909397125,0.006639587227255106,0.0001265430182684213,0.00016040143964346498,0.0001829834218369797,0.00024001226120162755,0.002639472484588623,0.0032487213611602783,nan,nan,nan,nan,nan,nan
Chameleon,qk_gt,2:0,2,0,107,0.5761317014694214,0.5504385828971863,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,18.765631198883057,0.007129656616598368,0.006670093629509211,0.007589219603687525,0.0004516907501965761,0.00036717194598168135,0.0004968548892065883,0.00047412177082151175,0.0031422674655914307,0.0034941136837005615,nan,nan,nan,nan,nan,nan
Chameleon,qk_gt,3:0,3,0,174,0.5898491144180298,0.6162281036376953,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,22.57231378555298,0.007035147864371538,0.00667367409914732,0.0073966216295957565,0.0004866430535912514,0.00047168743913061917,0.00048689814866520464,0.0005872693145647645,0.0033780336380004883,0.0035039782524108887,nan,nan,nan,nan,nan,nan
Chameleon,qk_gt,4:0,4,0,226,0.5802469253540039,0.5416666865348816,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,3.4389283657073975,0.006710530491545796,0.006720483768731356,0.006700577214360237,0.00040304745198227465,0.0004634679644368589,0.0005171617958694696,0.0005638242582790554,0.0032589733600616455,0.0033510029315948486,nan,nan,nan,nan,nan,nan
Chameleon,qk_gt,5:0,5,0,63,0.6021947860717773,0.5767543911933899,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,1.7138590812683105,0.00678711524233222,0.006673004012554884,0.006901226472109556,0.0002824964467436075,0.0002569130156189203,0.00033344721305184066,0.00034533339203335345,0.002917468547821045,0.003166884183883667,nan,nan,nan,nan,nan,nan
Chameleon,qk_gt,6:0,6,0,293,0.6035665273666382,0.5723684430122375,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,4.160834789276123,0.0072527360171079636,0.006714323535561562,0.0077911484986543655,0.0006239205249585211,0.0009937579743564129,0.000796919222921133,0.0007206951850093901,0.003117114305496216,0.0036249756813049316,nan,nan,nan,nan,nan,nan
Chameleon,qk_gt,7:0,7,0,119,0.5871056318283081,0.5877193212509155,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,2.351107597351074,0.006882883375510573,0.0066999210976064205,0.007065845653414726,0.00037321922718547285,0.00033779730438254774,0.00040982713107950985,0.0004458036564756185,0.00331956148147583,0.0034072399139404297,nan,nan,nan,nan,nan,nan
Chameleon,qk_gt,8:0,8,0,157,0.5980795621871948,0.5855263471603394,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,2.700068473815918,0.006919358158484101,0.006688166409730911,0.007150549907237291,0.00045114869135431945,0.0003569476830307394,0.00048795182374306023,0.000481711293105036,0.003066718578338623,0.003404557704925537,nan,nan,nan,nan,nan,nan
Chameleon,qk_gt,9:0,9,0,127,0.5925925970077515,0.5679824352264404,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,2.314486026763916,0.0068207539152354,0.006700171623378992,0.006941336207091808,0.00038369098911061883,0.0003457879356574267,0.00042659573955461383,0.0004734032554551959,0.0032656192779541016,0.0033965110778808594,nan,nan,nan,nan,nan,nan
