dataset,model,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,reliability_components,normalize_features,rw_steps,rw_samples,qk_strength_init,fixed_qk_strength,elapsed_sec,qk_strength_mean,qk_strength_layer1,qk_strength_layer2,qk_gamma_q_abs_dev_mean,qk_gamma_k_abs_dev_mean,qk_gamma_q_std,qk_gamma_k_std,qk_gamma_q_abs_dev_max,qk_gamma_k_abs_dev_max,gate_corr_degree,gate_corr_local_similarity,gate_corr_neighbor_variance,gate_corr_rwse_mean,gate_corr_layer1_local_similarity,gate_corr_layer2_local_similarity
Chameleon,reliability_gt,0:0,0,0,88,0.5843621492385864,0.5679824352264404,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,2.968104124069214,0.006818260066211224,0.006693142466247082,0.0069433776661753654,0.0003620964416768402,0.00031896791188046336,0.0003994365979451686,0.0004216787056066096,0.0027660727500915527,0.0033282041549682617,0.08068789586761405,-0.1717516315518534,0.37035669696373097,-0.26732819945518893,0.09891705952195268,-0.18444125607235964
Chameleon,reliability_gt,1:0,1,0,14,0.5486968159675598,0.5723684430122375,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,1.4695873260498047,0.006650164257735014,0.006693979259580374,0.006606349255889654,4.649308175430633e-05,7.199469837360084e-05,7.883572106948122e-05,0.00011481215187814087,0.00207674503326416,0.0028758347034454346,0.20148615153680427,0.26801915580347574,-0.4408527904527068,0.11589322214570448,0.3707398808917341,0.14293222573175102
Chameleon,reliability_gt,2:0,2,0,143,0.5802469253540039,0.5657894611358643,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,2.984205722808838,0.0071121398359537125,0.0066960942931473255,0.007528185378760099,0.0005481460248120129,0.000527199066709727,0.0006059501902200282,0.0006311784381978214,0.0031687915325164795,0.0035080313682556152,0.06108999280438735,-0.12131817305427121,0.3480333647777435,-0.1293264662323505,0.2731170844680329,-0.1523684244755189
Chameleon,reliability_gt,3:0,3,0,127,0.6035665273666382,0.5964912176132202,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,2.8069074153900146,0.00700003863312304,0.006708132103085518,0.0072919451631605625,0.0005332005675882101,0.00041944943950511515,0.0005063283024355769,0.0005530096241272986,0.0027379393577575684,0.003434211015701294,-0.010784019567054987,-0.21167855630128626,0.3475990581630803,-0.1626974740042246,0.21258164828632145,-0.22650006097504125
Chameleon,reliability_gt,4:0,4,0,228,0.5871056318283081,0.5833333134651184,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,4.011649131774902,0.007097506895661354,0.006689541973173618,0.00750547181814909,0.0006964639178477228,0.0008932335185818374,0.0007907120743766427,0.0007664216100238264,0.0030579566955566406,0.0034856796264648438,0.059323828454149505,-0.15698606987280098,0.335668243962484,-0.058054967578590896,0.3353200049486109,-0.19075571408420017
Chameleon,reliability_gt,5:0,5,0,112,0.6063100099563599,0.5811403393745422,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,2.6514134407043457,0.006869076751172543,0.006693460047245026,0.0070446934551000595,0.00043298365199007094,0.0003217517223674804,0.0004780084127560258,0.0004252722719684243,0.0025794506072998047,0.003378063440322876,0.16476399827022487,-0.21799297880703608,0.4319866645091629,-0.11009856963425632,0.34529004117615625,-0.2449132628830324
Chameleon,reliability_gt,6:0,6,0,40,0.604938268661499,0.5635964870452881,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,1.7613255977630615,0.0067070587538182735,0.006684693042188883,0.006729424465447664,0.00019377793068997562,0.0001669324847171083,0.0002454585919622332,0.00024299704818986356,0.0022736787796020508,0.0031427741050720215,0.1218138960424979,-0.20499595436453824,0.5045494365112123,-0.17995615090000033,-0.0673439348878926,-0.19987401306095245
Chameleon,reliability_gt,7:0,7,0,171,0.6035665273666382,0.6008772253990173,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,8.949563026428223,0.007167846662923694,0.006689069792628288,0.007646623533219099,0.0005979512352496386,0.00045011902693659067,0.0006071454845368862,0.0005720166955143213,0.0028634369373321533,0.003434896469116211,-0.01945462022180277,0.06830046063814585,0.15615044589607285,0.025588521085400346,0.42241780548690755,0.028073654976309804
Chameleon,reliability_gt,8:0,8,0,252,0.596707820892334,0.6052631735801697,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,38.745004415512085,0.00724034383893013,0.006691684015095234,0.007789003662765026,0.0008052969351410866,0.0007270067580975592,0.0007726854528300464,0.0008697530720382929,0.003314763307571411,0.003492295742034912,-0.02433304981465669,0.1157026975238525,0.27240088907756804,-0.1350445528394557,0.5285245578864333,0.040343438484041996
Chameleon,reliability_gt,9:0,9,0,184,0.6035665273666382,0.5789473652839661,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,32.50921940803528,0.006978093646466732,0.006705260369926691,0.007250926923006773,0.0005668321391567588,0.0006301398389041424,0.0006331839831545949,0.0007269340567290783,0.0026704072952270508,0.0034002959728240967,-0.05618551090738213,0.0606674921022026,0.2924583045996923,-0.009434634574880375,0.6424341506938896,-0.011439023464068925
