dataset,model,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,reliability_components,normalize_features,rw_steps,rw_samples,qk_strength_init,fixed_qk_strength,elapsed_sec,qk_strength_mean,qk_strength_layer1,qk_strength_layer2,qk_gamma_q_abs_dev_mean,qk_gamma_k_abs_dev_mean,qk_gamma_q_std,qk_gamma_k_std,qk_gamma_q_abs_dev_max,qk_gamma_k_abs_dev_max,gate_corr_degree,gate_corr_local_similarity,gate_corr_neighbor_variance,gate_corr_rwse_mean,gate_corr_layer1_local_similarity,gate_corr_layer2_local_similarity
Citeseer,gate_gt,0:0,0,0,176,0.6480000019073486,0.6190000176429749,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,18.03487467765808,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.36387356356743444,0.10803267443153536,-0.3122643123690305,0.30377245264534497,0.1241770926630531,0.09289750284233267
Citeseer,gate_gt,0:1,0,1,39,0.6420000195503235,0.6130000352859497,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,7.734311103820801,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.42047670455751834,0.03393535369212889,-0.37851536523284285,0.2605886143697725,-0.19167499765400728,0.08190484486446457
Citeseer,gate_gt,0:2,0,2,59,0.6640000343322754,0.6650000214576721,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,10.610343933105469,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0239556970473304,-0.0870673727643865,0.06849937142147365,-0.06816769401665193,0.4042579934944186,-0.15137938698591177
Citeseer,gate_gt,0:3,0,3,183,0.6460000276565552,0.6370000243186951,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,16.919881343841553,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.01922501979555873,-0.0434162810147168,0.03071017318701448,-0.032913328633785356,-0.002024462617024324,-0.04073213610042488
Citeseer,gate_gt,0:4,0,4,42,0.64000004529953,0.6420000195503235,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,9.142004251480103,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.06247897305615476,0.04941874794972834,-0.05742023173719207,-0.010416074300778323,0.27618940211473275,-0.0419312113335699
Citeseer,gate_gt,0:5,0,5,62,0.6380000114440918,0.6050000190734863,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,10.798466920852661,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.4151006610988006,0.10925088012215228,-0.3715535780236353,0.41264151032776986,-0.13706006208254648,0.14593919390168758
Citeseer,gate_gt,0:6,0,6,68,0.6460000276565552,0.6210000514984131,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,11.149216651916504,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.40931211688338087,0.11929116742161697,-0.3809663459611397,0.3172970644834283,-0.06249999791600196,0.1317200653513638
Citeseer,gate_gt,0:7,0,7,153,0.6580000519752502,0.6390000581741333,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,16.078416109085083,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.03350949884904588,-0.19509057509527916,0.02894641376570613,0.11275169488595098,-0.4815839507691308,-0.0980526364469054
Citeseer,gate_gt,0:8,0,8,131,0.6480000019073486,0.6350000500679016,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,14.684220314025879,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.23073823104503557,0.013946395503547577,0.22285293083037758,-0.21325552667703504,-0.04320925013229222,0.021963684984990784
Citeseer,gate_gt,0:9,0,9,92,0.6140000224113464,0.5960000157356262,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,12.796597480773926,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.11127908776147491,0.14406556934989673,-0.1050827967116509,0.2184540621684718,0.14996395616864366,0.12496491513335559
