dataset,model,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,reliability_components,normalize_features,rw_steps,rw_samples,qk_strength_init,fixed_qk_strength,elapsed_sec,qk_strength_mean,qk_strength_layer1,qk_strength_layer2,qk_gamma_q_abs_dev_mean,qk_gamma_k_abs_dev_mean,qk_gamma_q_std,qk_gamma_k_std,qk_gamma_q_abs_dev_max,qk_gamma_k_abs_dev_max,gate_corr_degree,gate_corr_local_similarity,gate_corr_neighbor_variance,gate_corr_rwse_mean,gate_corr_layer1_local_similarity,gate_corr_layer2_local_similarity
Citeseer,gcn,0:0,0,0,105,0.7080000042915344,0.6930000185966492,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,8.789996147155762,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Citeseer,gcn,0:1,0,1,87,0.7200000286102295,0.7010000348091125,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,5.851442098617554,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Citeseer,gcn,0:2,0,2,104,0.7040000557899475,0.6850000619888306,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,23.3397114276886,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Citeseer,gcn,0:3,0,3,73,0.6940000057220459,0.6770000457763672,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,22.21373200416565,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Citeseer,gcn,0:4,0,4,87,0.6980000138282776,0.6890000104904175,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,14.933919429779053,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Citeseer,gcn,0:5,0,5,84,0.706000030040741,0.6910000443458557,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,9.599658727645874,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Citeseer,gcn,0:6,0,6,81,0.7120000123977661,0.6930000185966492,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,8.612221717834473,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Citeseer,gcn,0:7,0,7,114,0.7020000219345093,0.6880000233650208,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,5.919833660125732,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Citeseer,gcn,0:8,0,8,79,0.6680000424385071,0.6350000500679016,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,9.52147912979126,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Citeseer,gcn,0:9,0,9,97,0.7120000123977661,0.690000057220459,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,10.699018716812134,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
