dataset,model,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,reliability_components,normalize_features,rw_steps,rw_samples,qk_strength_init,fixed_qk_strength,elapsed_sec,qk_strength_mean,qk_strength_layer1,qk_strength_layer2,qk_gamma_q_abs_dev_mean,qk_gamma_k_abs_dev_mean,qk_gamma_q_std,qk_gamma_k_std,qk_gamma_q_abs_dev_max,qk_gamma_k_abs_dev_max,gate_corr_degree,gate_corr_local_similarity,gate_corr_neighbor_variance,gate_corr_rwse_mean,gate_corr_layer1_local_similarity,gate_corr_layer2_local_similarity
Citeseer,linear_gt,0:0,0,0,64,0.6260000467300415,0.6190000176429749,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,10.956544399261475,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Citeseer,linear_gt,0:1,0,1,50,0.6360000371932983,0.6340000033378601,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,8.792278051376343,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Citeseer,linear_gt,0:2,0,2,136,0.612000048160553,0.6000000238418579,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,15.330513000488281,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Citeseer,linear_gt,0:3,0,3,158,0.6620000600814819,0.6310000419616699,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,16.621748685836792,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Citeseer,linear_gt,0:4,0,4,130,0.6480000019073486,0.6290000081062317,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,14.63122272491455,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Citeseer,linear_gt,0:5,0,5,164,0.6320000290870667,0.6160000562667847,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,15.12942123413086,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Citeseer,linear_gt,0:6,0,6,80,0.6340000033378601,0.6220000386238098,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,11.431807041168213,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Citeseer,linear_gt,0:7,0,7,116,0.6160000562667847,0.5990000367164612,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,13.901846647262573,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Citeseer,linear_gt,0:8,0,8,178,0.6240000128746033,0.6040000319480896,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,17.855472803115845,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Citeseer,linear_gt,0:9,0,9,20,0.6160000562667847,0.5950000286102295,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,7.439089298248291,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
