dataset,model,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,reliability_components,normalize_features,rw_steps,rw_samples,qk_strength_init,fixed_qk_strength,elapsed_sec,qk_strength_mean,qk_strength_layer1,qk_strength_layer2,qk_gamma_q_abs_dev_mean,qk_gamma_k_abs_dev_mean,qk_gamma_q_std,qk_gamma_k_std,qk_gamma_q_abs_dev_max,qk_gamma_k_abs_dev_max,gate_corr_degree,gate_corr_local_similarity,gate_corr_neighbor_variance,gate_corr_rwse_mean,gate_corr_layer1_local_similarity,gate_corr_layer2_local_similarity
Citeseer,mlp,0:0,0,0,111,0.5100000500679016,0.5260000228881836,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,3.335096597671509,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Citeseer,mlp,0:1,0,1,58,0.5440000295639038,0.5350000262260437,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,2.681236505508423,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Citeseer,mlp,0:2,0,2,253,0.49800002574920654,0.5040000081062317,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,5.336606979370117,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Citeseer,mlp,0:3,0,3,101,0.48000001907348633,0.5170000195503235,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.4682166576385498,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Citeseer,mlp,0:4,0,4,105,0.49400001764297485,0.5,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,3.6123738288879395,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Citeseer,mlp,0:5,0,5,14,0.5260000228881836,0.5220000147819519,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,1.1679730415344238,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Citeseer,mlp,0:6,0,6,125,0.5080000162124634,0.5110000371932983,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,3.65293288230896,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Citeseer,mlp,0:7,0,7,105,0.5060000419616699,0.5130000114440918,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,2.979999542236328,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Citeseer,mlp,0:8,0,8,126,0.484000027179718,0.49000000953674316,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,3.045771837234497,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Citeseer,mlp,0:9,0,9,90,0.4960000216960907,0.5070000290870667,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,2.5252013206481934,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
