dataset,model,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,reliability_components,normalize_features,rw_steps,rw_samples,qk_strength_init,fixed_qk_strength,elapsed_sec,qk_strength_mean,qk_strength_layer1,qk_strength_layer2,qk_gamma_q_abs_dev_mean,qk_gamma_k_abs_dev_mean,qk_gamma_q_std,qk_gamma_k_std,qk_gamma_q_abs_dev_max,qk_gamma_k_abs_dev_max,gate_corr_degree,gate_corr_local_similarity,gate_corr_neighbor_variance,gate_corr_rwse_mean,gate_corr_layer1_local_similarity,gate_corr_layer2_local_similarity
Citeseer,qk_gt,0:0,0,0,150,0.6440000534057617,0.6390000581741333,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,28.10189390182495,0.00689716637134552,0.00671933451667428,0.00707499822601676,0.0002771675062831491,0.00030901108402758837,0.0003447731432970613,0.0004293400561437011,0.0020157694816589355,0.0029032528400421143,nan,nan,nan,nan,nan,nan
Citeseer,qk_gt,0:1,0,1,437,0.6520000100135803,0.6340000033378601,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,50.72672462463379,0.0067059677094221115,0.006694198120385408,0.006717737298458815,0.00042838597437366843,0.0005381499649956822,0.0005208129878155887,0.0006712873000651598,0.0020235180854797363,0.002582728862762451,nan,nan,nan,nan,nan,nan
Citeseer,qk_gt,0:2,0,2,50,0.6540000438690186,0.6210000514984131,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,16.656311750411987,0.006755983456969261,0.0066933101043105125,0.00681865680962801,0.00021986679348628968,0.0002524247975088656,0.00028761301655322313,0.00034781527938321233,0.001890420913696289,0.0024561285972595215,nan,nan,nan,nan,nan,nan
Citeseer,qk_gt,0:3,0,3,36,0.628000020980835,0.6290000081062317,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,14.440090894699097,0.006648753071203828,0.006705749314278364,0.0065917568281292915,0.00016901033814065158,0.00020700733875855803,0.00022331492800731212,0.0002832952595781535,0.0018295049667358398,0.002255260944366455,nan,nan,nan,nan,nan,nan
Citeseer,qk_gt,0:4,0,4,27,0.6100000143051147,0.6140000224113464,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,13.30171251296997,0.006744495825842023,0.006698422599583864,0.006790569052100182,0.00016912550199776888,0.00018769856251310557,0.00022014554997440428,0.0002748779661487788,0.0015031695365905762,0.002265334129333496,nan,nan,nan,nan,nan,nan
Citeseer,qk_gt,0:5,0,5,72,0.6340000033378601,0.6060000061988831,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,20.081536293029785,0.006706671789288521,0.006702722981572151,0.0067106205970048904,0.0002207802317570895,0.00022858267766423523,0.0002703703648876399,0.00030654118745587766,0.0016741752624511719,0.0020540356636047363,nan,nan,nan,nan,nan,nan
Citeseer,qk_gt,0:6,0,6,96,0.628000020980835,0.6290000081062317,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,22.538596868515015,0.006797452457249165,0.0066604712046682835,0.006934433709830046,0.0002465503057464957,0.00029141217237338424,0.0003019127470906824,0.0004082952218595892,0.0020461082458496094,0.0027277469635009766,nan,nan,nan,nan,nan,nan
Citeseer,qk_gt,0:7,0,7,40,0.628000020980835,0.6220000386238098,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,16.015702962875366,0.006685358472168446,0.006695361342281103,0.006675355602055788,0.00017382789519615471,0.00019541289657354355,0.00022753250959794968,0.0002881435211747885,0.0016135573387145996,0.002517521381378174,nan,nan,nan,nan,nan,nan
Citeseer,qk_gt,0:8,0,8,93,0.6500000357627869,0.6030000448226929,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,19.7342426776886,0.007202487671747804,0.006704892031848431,0.007700083311647177,0.000508830533362925,0.0004408712266013026,0.0005089454352855682,0.0005421035457402468,0.0022173523902893066,0.0026321709156036377,nan,nan,nan,nan,nan,nan
Citeseer,qk_gt,0:9,0,9,77,0.64000004529953,0.628000020980835,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,20.533751487731934,0.006715088617056608,0.006693826988339424,0.006736350245773792,0.00022633923799730837,0.0002591460943222046,0.0002764211967587471,0.0003502814215607941,0.0017033815383911133,0.002339005470275879,nan,nan,nan,nan,nan,nan
