dataset,model,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,reliability_components,normalize_features,rw_steps,rw_samples,qk_strength_init,fixed_qk_strength,elapsed_sec,qk_strength_mean,qk_strength_layer1,qk_strength_layer2,qk_gamma_q_abs_dev_mean,qk_gamma_k_abs_dev_mean,qk_gamma_q_std,qk_gamma_k_std,qk_gamma_q_abs_dev_max,qk_gamma_k_abs_dev_max,gate_corr_degree,gate_corr_local_similarity,gate_corr_neighbor_variance,gate_corr_rwse_mean,gate_corr_layer1_local_similarity,gate_corr_layer2_local_similarity
Cora,gate_gt,0:0,0,0,210,0.6980000138282776,0.6810000538825989,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,18.27823567390442,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.10391152883861249,-0.005067197148650939,-0.04682744938157474,-0.06929214923722457,0.12081468491390052,-0.03166537076652806
Cora,gate_gt,0:1,0,1,49,0.7100000381469727,0.6930000185966492,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,9.054774284362793,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.08270400296190904,0.18116739556763406,0.1558495599938024,-0.2896459956809052,-0.09244802505058594,0.20481661768548712
Cora,gate_gt,0:2,0,2,47,0.7120000123977661,0.7380000352859497,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,8.783295631408691,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.1283508429297802,0.13490835517808847,-0.15575201963930788,-0.14181803553705205,0.004070053153702716,0.13902077595328566
Cora,gate_gt,0:3,0,3,179,0.718000054359436,0.706000030040741,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,13.77169394493103,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.22205456884660354,0.04634403996594349,0.003071330034710036,-0.007229765695286872,0.02470201442367741,0.039342833232549175
Cora,gate_gt,0:4,0,4,32,0.7040000557899475,0.6960000395774841,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,7.870866537094116,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.004566044018620681,-0.38647292090411856,0.10610329076888422,-0.5876528027049615,-0.10929406685226234,-0.38103162106898203
Cora,gate_gt,0:5,0,5,56,0.7160000205039978,0.718000054359436,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,9.481809616088867,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.1277972358735716,-0.03594184699509552,0.02349806480957517,-0.1909281731778708,-0.2933545130178442,0.07199657474719381
Cora,gate_gt,0:6,0,6,50,0.6620000600814819,0.6640000343322754,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,8.980678081512451,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.038229142325204565,-0.14110146591442088,0.057295336177271186,-0.3695855057119412,-0.05352817778160955,-0.12351978261950845
Cora,gate_gt,0:7,0,7,161,0.718000054359436,0.7170000076293945,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,14.337885618209839,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.11960789049422393,0.00024039306574387615,-0.12486588059887808,-0.005119158026649853,0.2948352476867293,-0.06837375884764803
Cora,gate_gt,0:8,0,8,45,0.7100000381469727,0.6880000233650208,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,8.844266176223755,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0719983602496944,-0.06693844806108253,0.052580757343750235,-0.13745980724170215,-0.028515255692585662,-0.06094742852321585
Cora,gate_gt,0:9,0,9,100,0.6960000395774841,0.6770000457763672,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,12.11066722869873,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.04133961572933821,-0.006557759214897663,-0.04281419781002222,-0.08829955028202481,-0.13903935429530526,0.024685853765337443
