dataset,model,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,reliability_components,normalize_features,rw_steps,rw_samples,qk_strength_init,fixed_qk_strength,elapsed_sec,qk_strength_mean,qk_strength_layer1,qk_strength_layer2,qk_gamma_q_abs_dev_mean,qk_gamma_k_abs_dev_mean,qk_gamma_q_std,qk_gamma_k_std,qk_gamma_q_abs_dev_max,qk_gamma_k_abs_dev_max,gate_corr_degree,gate_corr_local_similarity,gate_corr_neighbor_variance,gate_corr_rwse_mean,gate_corr_layer1_local_similarity,gate_corr_layer2_local_similarity
Cora,gcn,0:0,0,0,192,0.796000063419342,0.815000057220459,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,12.339385986328125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Cora,gcn,0:1,0,1,235,0.7940000295639038,0.8060000538825989,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,11.484556198120117,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Cora,gcn,0:2,0,2,175,0.7880000472068787,0.8030000329017639,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,10.40387511253357,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Cora,gcn,0:3,0,3,168,0.7940000295639038,0.8140000104904175,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,10.671645641326904,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Cora,gcn,0:4,0,4,133,0.7900000214576721,0.8070000410079956,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,5.760862112045288,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Cora,gcn,0:5,0,5,169,0.7900000214576721,0.8100000619888306,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,9.50259256362915,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Cora,gcn,0:6,0,6,121,0.800000011920929,0.815000057220459,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,8.404011249542236,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Cora,gcn,0:7,0,7,140,0.7940000295639038,0.8100000619888306,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,9.422753095626831,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Cora,gcn,0:8,0,8,100,0.7940000295639038,0.7990000247955322,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,6.174006462097168,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Cora,gcn,0:9,0,9,168,0.8020000457763672,0.8090000152587891,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,9.789099216461182,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
