dataset,model,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,reliability_components,normalize_features,rw_steps,rw_samples,qk_strength_init,fixed_qk_strength,elapsed_sec,qk_strength_mean,qk_strength_layer1,qk_strength_layer2,qk_gamma_q_abs_dev_mean,qk_gamma_k_abs_dev_mean,qk_gamma_q_std,qk_gamma_k_std,qk_gamma_q_abs_dev_max,qk_gamma_k_abs_dev_max,gate_corr_degree,gate_corr_local_similarity,gate_corr_neighbor_variance,gate_corr_rwse_mean,gate_corr_layer1_local_similarity,gate_corr_layer2_local_similarity
Cora,linear_gt,0:0,0,0,142,0.690000057220459,0.6800000071525574,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,13.793410539627075,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Cora,linear_gt,0:1,0,1,71,0.6920000314712524,0.6830000281333923,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,9.746843814849854,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Cora,linear_gt,0:2,0,2,38,0.6860000491142273,0.6700000166893005,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,7.618504047393799,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Cora,linear_gt,0:3,0,3,101,0.7120000123977661,0.6960000395774841,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,11.729350566864014,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Cora,linear_gt,0:4,0,4,106,0.7040000557899475,0.6840000152587891,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,10.782090187072754,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Cora,linear_gt,0:5,0,5,102,0.6840000152587891,0.6670000553131104,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,11.790287494659424,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Cora,linear_gt,0:6,0,6,82,0.6760000586509705,0.6700000166893005,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,10.341954708099365,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Cora,linear_gt,0:7,0,7,39,0.706000030040741,0.6760000586509705,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,7.4207422733306885,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Cora,linear_gt,0:8,0,8,44,0.6980000138282776,0.6830000281333923,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,8.163092613220215,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Cora,linear_gt,0:9,0,9,243,0.6760000586509705,0.6840000152587891,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,19.441671133041382,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
