dataset,model,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,reliability_components,normalize_features,rw_steps,rw_samples,qk_strength_init,fixed_qk_strength,elapsed_sec,qk_strength_mean,qk_strength_layer1,qk_strength_layer2,qk_gamma_q_abs_dev_mean,qk_gamma_k_abs_dev_mean,qk_gamma_q_std,qk_gamma_k_std,qk_gamma_q_abs_dev_max,qk_gamma_k_abs_dev_max,gate_corr_degree,gate_corr_local_similarity,gate_corr_neighbor_variance,gate_corr_rwse_mean,gate_corr_layer1_local_similarity,gate_corr_layer2_local_similarity
Cora,mlp,0:0,0,0,90,0.5520000457763672,0.5370000004768372,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,3.7683095932006836,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Cora,mlp,0:1,0,1,18,0.534000039100647,0.5300000309944153,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,1.144611120223999,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Cora,mlp,0:2,0,2,123,0.5300000309944153,0.5110000371932983,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,3.6083765029907227,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Cora,mlp,0:3,0,3,186,0.5460000038146973,0.5170000195503235,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,4.131438493728638,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Cora,mlp,0:4,0,4,99,0.5580000281333923,0.527999997138977,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.5290212631225586,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Cora,mlp,0:5,0,5,103,0.5400000214576721,0.5300000309944153,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.24845099449157715,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Cora,mlp,0:6,0,6,119,0.5320000052452087,0.5220000147819519,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,3.1532328128814697,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Cora,mlp,0:7,0,7,255,0.550000011920929,0.5250000357627869,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,5.017244100570679,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Cora,mlp,0:8,0,8,140,0.5560000538825989,0.5260000228881836,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,3.2577667236328125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Cora,mlp,0:9,0,9,109,0.5440000295639038,0.5290000438690186,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,2.4211714267730713,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
