dataset,model,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,reliability_components,normalize_features,rw_steps,rw_samples,qk_strength_init,fixed_qk_strength,elapsed_sec,qk_strength_mean,qk_strength_layer1,qk_strength_layer2,qk_gamma_q_abs_dev_mean,qk_gamma_k_abs_dev_mean,qk_gamma_q_std,qk_gamma_k_std,qk_gamma_q_abs_dev_max,qk_gamma_k_abs_dev_max,gate_corr_degree,gate_corr_local_similarity,gate_corr_neighbor_variance,gate_corr_rwse_mean,gate_corr_layer1_local_similarity,gate_corr_layer2_local_similarity
Cora,qk_gt,0:0,0,0,103,0.7220000624656677,0.6990000605583191,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,20.065946578979492,0.006819491041824222,0.006682325154542923,0.00695665692910552,0.00021125952480360866,0.0002676477306522429,0.0002878551313187927,0.00036344066029414535,0.0022919178009033203,0.0022694766521453857,nan,nan,nan,nan,nan,nan
Cora,qk_gt,0:1,0,1,40,0.7020000219345093,0.6850000619888306,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,12.228235483169556,0.006665726425126195,0.006684949155896902,0.006646503694355488,0.00014815844770055264,0.00017542207206133753,0.00021330932213459164,0.00026151895872317255,0.0017948746681213379,0.0019463896751403809,nan,nan,nan,nan,nan,nan
Cora,qk_gt,0:2,0,2,64,0.7140000462532043,0.7080000042915344,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,15.069541931152344,0.006819028640165925,0.0066896178759634495,0.006948439404368401,0.0002403184334980324,0.00028017169097438455,0.000305468391161412,0.0003547919332049787,0.002007901668548584,0.0019068121910095215,nan,nan,nan,nan,nan,nan
Cora,qk_gt,0:3,0,3,36,0.690000057220459,0.6690000295639038,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,12.89033579826355,0.006745040882378817,0.006676276680082083,0.0068138050846755505,0.00020692666294053197,0.0002140270225936547,0.00027273257728666067,0.0002902690612245351,0.0018677711486816406,0.0017729997634887695,nan,nan,nan,nan,nan,nan
Cora,qk_gt,0:4,0,4,86,0.7120000123977661,0.6950000524520874,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,17.21100926399231,0.006883056601509452,0.006687064655125141,0.007079048547893763,0.00034180012880824506,0.0003124798240605742,0.0003709444135893136,0.0003913536493200809,0.0019856691360473633,0.001868128776550293,nan,nan,nan,nan,nan,nan
Cora,qk_gt,0:5,0,5,34,0.6940000057220459,0.6820000410079956,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,12.868013381958008,0.006808828329667449,0.006678604055196047,0.006939052604138851,0.000239799395785667,0.00025501666823402047,0.00030955899273976684,0.0003412408987060189,0.0020607709884643555,0.00196993350982666,nan,nan,nan,nan,nan,nan
Cora,qk_gt,0:6,0,6,266,0.7100000381469727,0.7100000381469727,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,33.084975481033325,0.007381287170574069,0.006708754692226648,0.00805381964892149,0.00036857047234661877,0.00034773602965287864,0.00044797590817324817,0.00048014961066655815,0.0022889673709869385,0.0025671422481536865,nan,nan,nan,nan,nan,nan
Cora,qk_gt,0:7,0,7,47,0.6760000586509705,0.6630000472068787,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,13.627378225326538,0.006865908391773701,0.006694584619253874,0.007037232164293528,0.00024060298164840788,0.00026799715124070644,0.00032039842335507274,0.0003630025312304497,0.0019683837890625,0.002063840627670288,nan,nan,nan,nan,nan,nan
Cora,qk_gt,0:8,0,8,106,0.6940000057220459,0.6820000410079956,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,19.126196146011353,0.006959800608456135,0.006691075395792723,0.007228525821119547,0.0003013108216691762,0.00029733285191468894,0.0003284031408838928,0.0003809632617048919,0.0019120573997497559,0.0019207000732421875,nan,nan,nan,nan,nan,nan
Cora,qk_gt,0:9,0,9,97,0.6960000395774841,0.6820000410079956,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,17.142420530319214,0.006916555808857083,0.006697420496493578,0.007135691121220589,0.0003221524239052087,0.0003198011254426092,0.000355738855432719,0.00042279952322132885,0.002012908458709717,0.002450704574584961,nan,nan,nan,nan,nan,nan
