dataset,model,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,reliability_components,normalize_features,rw_steps,rw_samples,qk_strength_init,fixed_qk_strength,elapsed_sec,qk_strength_mean,qk_strength_layer1,qk_strength_layer2,qk_gamma_q_abs_dev_mean,qk_gamma_k_abs_dev_mean,qk_gamma_q_std,qk_gamma_k_std,qk_gamma_q_abs_dev_max,qk_gamma_k_abs_dev_max,gate_corr_degree,gate_corr_local_similarity,gate_corr_neighbor_variance,gate_corr_rwse_mean,gate_corr_layer1_local_similarity,gate_corr_layer2_local_similarity
Pubmed,gate_gt,0:0,0,0,39,0.7220000624656677,0.7160000205039978,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,16.12554693222046,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.1859739576712204,0.2336421267056881,-0.16570520075403922,-0.04526031669315117,0.6066360357468694,0.015250541081334331
Pubmed,gate_gt,0:1,0,1,68,0.7440000176429749,0.7210000157356262,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,18.695916891098022,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.06335060531236592,0.26467286063055967,0.020478307263720238,0.031386318033150624,0.5667725009215713,0.17065916194679545
Pubmed,gate_gt,0:2,0,2,40,0.7480000257492065,0.7430000305175781,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,15.626655101776123,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.10390659503731794,0.19853706934711784,-0.13785232976134598,-0.13575291363015599,0.5306474101886373,-0.09468719836256509
Pubmed,gate_gt,0:3,0,3,78,0.7260000109672546,0.7160000205039978,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,19.828675746917725,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.5001777824162387,-0.39130965652031513,-0.5388066504555616,-0.6360767995224527,-0.3555984284623931,-0.24414445840220433
Pubmed,gate_gt,0:4,0,4,40,0.7360000610351562,0.7380000352859497,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,15.565057039260864,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.2296758465538432,0.1142602841915744,-0.2656612084660097,-0.2379639492744475,0.6275061697760183,-0.06206271489540944
Pubmed,gate_gt,0:5,0,5,24,0.7280000448226929,0.7330000400543213,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,13.244060039520264,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.007136443208783801,-0.15290602607161669,-0.03646273392143808,0.15260245505965914,-0.6706766498155491,0.03950196721461034
Pubmed,gate_gt,0:6,0,6,44,0.7500000596046448,0.7360000610351562,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,16.11606001853943,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.22392574904494605,0.3497107992041274,-0.18047743995527904,0.057412877704837,0.6266613322850031,0.12292710997325793
Pubmed,gate_gt,0:7,0,7,46,0.7200000286102295,0.7240000367164612,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,16.361220359802246,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.1594317139747236,0.3289353974196547,-0.12465053627486403,0.08834145663093877,0.7361450218885637,0.089187504160342
Pubmed,gate_gt,0:8,0,8,55,0.7420000433921814,0.7420000433921814,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,17.24325704574585,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.1958230566593363,0.1124669348227964,-0.14412548304240755,-0.29049249936459803,-0.2711361254661312,0.22514694753074874
Pubmed,gate_gt,0:9,0,9,75,0.734000027179718,0.7400000095367432,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,19.500049114227295,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.03236651527360806,0.3822267041610508,0.015008141235158853,0.023666208228772963,0.7005598078282129,0.29109870914967273
