dataset,model,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,reliability_components,normalize_features,rw_steps,rw_samples,qk_strength_init,fixed_qk_strength,elapsed_sec,qk_strength_mean,qk_strength_layer1,qk_strength_layer2,qk_gamma_q_abs_dev_mean,qk_gamma_k_abs_dev_mean,qk_gamma_q_std,qk_gamma_k_std,qk_gamma_q_abs_dev_max,qk_gamma_k_abs_dev_max,gate_corr_degree,gate_corr_local_similarity,gate_corr_neighbor_variance,gate_corr_rwse_mean,gate_corr_layer1_local_similarity,gate_corr_layer2_local_similarity
Pubmed,gcn,0:0,0,0,196,0.7860000133514404,0.7610000371932983,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,15.416446208953857,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Pubmed,gcn,0:1,0,1,160,0.7800000309944153,0.76500004529953,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,7.365793943405151,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Pubmed,gcn,0:2,0,2,163,0.7800000309944153,0.7610000371932983,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,13.53792953491211,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Pubmed,gcn,0:3,0,3,170,0.7800000309944153,0.7640000581741333,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,14.09438419342041,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Pubmed,gcn,0:4,0,4,186,0.7760000228881836,0.7630000114440918,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,14.284159421920776,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Pubmed,gcn,0:5,0,5,131,0.7780000567436218,0.76500004529953,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,12.721982955932617,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Pubmed,gcn,0:6,0,6,154,0.784000039100647,0.7600000500679016,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,9.93955683708191,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Pubmed,gcn,0:7,0,7,182,0.784000039100647,0.7670000195503235,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,14.234996557235718,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Pubmed,gcn,0:8,0,8,141,0.7800000309944153,0.7670000195503235,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,12.140581607818604,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Pubmed,gcn,0:9,0,9,177,0.784000039100647,0.7690000534057617,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,15.87515664100647,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
