dataset,model,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,reliability_components,normalize_features,rw_steps,rw_samples,qk_strength_init,fixed_qk_strength,elapsed_sec,qk_strength_mean,qk_strength_layer1,qk_strength_layer2,qk_gamma_q_abs_dev_mean,qk_gamma_k_abs_dev_mean,qk_gamma_q_std,qk_gamma_k_std,qk_gamma_q_abs_dev_max,qk_gamma_k_abs_dev_max,gate_corr_degree,gate_corr_local_similarity,gate_corr_neighbor_variance,gate_corr_rwse_mean,gate_corr_layer1_local_similarity,gate_corr_layer2_local_similarity
Pubmed,linear_gt,0:0,0,0,21,0.7240000367164612,0.7240000367164612,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,12.980836153030396,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Pubmed,linear_gt,0:1,0,1,14,0.7240000367164612,0.6950000524520874,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,11.648559093475342,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Pubmed,linear_gt,0:2,0,2,153,0.7360000610351562,0.7130000591278076,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,25.62307572364807,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Pubmed,linear_gt,0:3,0,3,30,0.7120000123977661,0.7230000495910645,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,12.504284620285034,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Pubmed,linear_gt,0:4,0,4,29,0.7260000109672546,0.7320000529289246,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,13.193086862564087,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Pubmed,linear_gt,0:5,0,5,38,0.7320000529289246,0.7330000400543213,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,14.00231122970581,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Pubmed,linear_gt,0:6,0,6,40,0.7260000109672546,0.7410000562667847,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,13.651958465576172,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Pubmed,linear_gt,0:7,0,7,33,0.718000054359436,0.7260000109672546,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,13.587668895721436,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Pubmed,linear_gt,0:8,0,8,58,0.7200000286102295,0.7330000400543213,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,16.0991427898407,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Pubmed,linear_gt,0:9,0,9,43,0.7200000286102295,0.734000027179718,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,13.776276350021362,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
