dataset,model,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,reliability_components,normalize_features,rw_steps,rw_samples,qk_strength_init,fixed_qk_strength,elapsed_sec,qk_strength_mean,qk_strength_layer1,qk_strength_layer2,qk_gamma_q_abs_dev_mean,qk_gamma_k_abs_dev_mean,qk_gamma_q_std,qk_gamma_k_std,qk_gamma_q_abs_dev_max,qk_gamma_k_abs_dev_max,gate_corr_degree,gate_corr_local_similarity,gate_corr_neighbor_variance,gate_corr_rwse_mean,gate_corr_layer1_local_similarity,gate_corr_layer2_local_similarity
Pubmed,mlp,0:0,0,0,105,0.6800000071525574,0.703000009059906,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,4.307819366455078,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Pubmed,mlp,0:1,0,1,29,0.6860000491142273,0.7010000348091125,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,2.310166358947754,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Pubmed,mlp,0:2,0,2,41,0.690000057220459,0.7020000219345093,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,2.653799057006836,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Pubmed,mlp,0:3,0,3,64,0.6820000410079956,0.7010000348091125,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,3.0166828632354736,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Pubmed,mlp,0:4,0,4,30,0.6940000057220459,0.7020000219345093,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,2.4491167068481445,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Pubmed,mlp,0:5,0,5,85,0.6820000410079956,0.703000009059906,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,3.474252462387085,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Pubmed,mlp,0:6,0,6,13,0.6840000152587891,0.6850000619888306,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,1.269085168838501,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Pubmed,mlp,0:7,0,7,17,0.6780000329017639,0.7000000476837158,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,2.170867681503296,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Pubmed,mlp,0:8,0,8,19,0.6880000233650208,0.690000057220459,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,2.149012327194214,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Pubmed,mlp,0:9,0,9,15,0.690000057220459,0.690000057220459,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,2.216291666030884,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
