dataset,model,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,reliability_components,normalize_features,rw_steps,rw_samples,qk_strength_init,fixed_qk_strength,elapsed_sec,qk_strength_mean,qk_strength_layer1,qk_strength_layer2,qk_gamma_q_abs_dev_mean,qk_gamma_k_abs_dev_mean,qk_gamma_q_std,qk_gamma_k_std,qk_gamma_q_abs_dev_max,qk_gamma_k_abs_dev_max,gate_corr_degree,gate_corr_local_similarity,gate_corr_neighbor_variance,gate_corr_rwse_mean,gate_corr_layer1_local_similarity,gate_corr_layer2_local_similarity
Pubmed,reliability_gt,0:0,0,0,47,0.7360000610351562,0.7430000305175781,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,24.93544888496399,0.0067697386257350445,0.0066940560936927795,0.006845421157777309,0.00018178680329583585,0.00019021760090254247,0.00024224197841249406,0.0002484951983205974,0.0021744966506958008,0.0021834969520568848,-0.42719023052701943,0.6279523639462727,-0.4435851045154308,0.036694582078453,0.5152191712825359,0.4499972189695252
Pubmed,reliability_gt,0:1,0,1,53,0.734000027179718,0.7280000448226929,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,25.194187879562378,0.006826664321124554,0.0066916365176439285,0.006961692124605179,0.000346682732924819,0.0003431164368521422,0.0003931863757316023,0.0004634773649740964,0.002197742462158203,0.0026096701622009277,-0.1773456258593433,0.3297299127786484,-0.13485876096031307,-0.02120905224804772,0.5907690182396527,0.19283890627841527
Pubmed,reliability_gt,0:2,0,2,163,0.7400000095367432,0.7380000352859497,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,43.27307963371277,0.006860313238576055,0.006693050265312195,0.007027576211839914,0.00024237950856331736,0.0002714732545427978,0.00036146820639260113,0.000382692291168496,0.002340465784072876,0.002255082130432129,-0.20701710857220867,-0.03400368192206176,-0.21695031890395094,-0.04866027016946044,0.2965366101603657,-0.08064725528346214
Pubmed,reliability_gt,0:3,0,3,31,0.7360000610351562,0.7470000386238098,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,21.673648834228516,0.006817793473601341,0.006692176219075918,0.006943410728126764,0.00017844082321971655,0.00027012397185899317,0.00025640029343776405,0.0003825657768175006,0.002047210931777954,0.002149432897567749,-0.161154642008684,0.3522516828193692,-0.10364462023122827,-0.19698040609412645,0.4776092710340052,0.25215661746517903
Pubmed,reliability_gt,0:4,0,4,73,0.7600000500679016,0.737000048160553,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,28.56182837486267,0.006792866857722402,0.006693921983242035,0.006891811732202768,0.00017512931663077325,0.0002717508759815246,0.0002622143365442753,0.00034881767351180315,0.002429872751235962,0.0024025142192840576,0.053363432267169275,0.01577482824308474,0.07407739839686203,0.04357780474380884,-0.5889355227612125,0.13192674254412917
Pubmed,reliability_gt,0:5,0,5,162,0.7360000610351562,0.734000027179718,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,43.209630489349365,0.007001047488301992,0.006690895184874535,0.00731119979172945,0.0004023686924483627,0.00041511922609061003,0.0004944922402501106,0.0005614875699393451,0.0024278759956359863,0.0023818612098693848,-0.15295325126521506,-0.07570536269643263,-0.12997095809544762,-0.12057506101716257,-0.23115771052192347,-0.012441147558526901
Pubmed,reliability_gt,0:6,0,6,24,0.734000027179718,0.7350000143051147,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,20.32479953765869,0.00660019600763917,0.006690616253763437,0.006509775761514902,0.00010065137030323967,0.00012639498163480312,0.0001624692667974159,0.00019031809642910957,0.0020159482955932617,0.0021083950996398926,0.06855174791632275,0.48303611334255475,-0.004615170279483039,0.1607364911167138,0.6639446280467948,-0.03023046114414843
Pubmed,reliability_gt,0:7,0,7,77,0.7220000624656677,0.7210000157356262,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,29.18838095664978,0.006656571524217725,0.006692254915833473,0.006620888132601976,0.0002439366653561592,0.0002687061205506325,0.00031251669861376286,0.00035869411658495665,0.002400219440460205,0.0025797784328460693,-0.21215504341089833,0.40483101355522244,-0.1196187994499327,-0.21061488431001466,0.2530295387664174,0.3657913676697324
Pubmed,reliability_gt,0:8,0,8,154,0.7500000596046448,0.7480000257492065,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,41.90003561973572,0.007125198841094971,0.006694873329252005,0.007555524352937937,0.0003268294676672667,0.0003587558167055249,0.00039444415597245097,0.000497454428113997,0.002420663833618164,0.0025835633277893066,-0.0965472967827958,0.22815564337487423,-0.04383406838662879,-0.10693098813267718,0.2613186380922624,0.1818712658470318
Pubmed,reliability_gt,0:9,0,9,48,0.7500000596046448,0.7400000095367432,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,24.447311401367188,0.006660553859546781,0.006692575290799141,0.00662853242829442,9.464727190788835e-05,0.0001228959154104814,0.00014195626135915518,0.000188891077414155,0.0019890666007995605,0.002005070447921753,0.03993877217527018,0.15613167033656766,-0.01299630485452208,-0.11011768442686098,0.7411977811413678,-0.008234408088683856
