dataset,model,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,reliability_components,normalize_features,rw_steps,rw_samples,qk_strength_init,fixed_qk_strength,elapsed_sec,qk_strength_mean,qk_strength_layer1,qk_strength_layer2,qk_gamma_q_abs_dev_mean,qk_gamma_k_abs_dev_mean,qk_gamma_q_std,qk_gamma_k_std,qk_gamma_q_abs_dev_max,qk_gamma_k_abs_dev_max,gate_corr_degree,gate_corr_local_similarity,gate_corr_neighbor_variance,gate_corr_rwse_mean,gate_corr_layer1_local_similarity,gate_corr_layer2_local_similarity
Squirrel,gate_gt,0:0,0,0,178,0.40985578298568726,0.41018250584602356,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,20.804439306259155,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2806748620766725,-0.017619816663017134,0.12859896999043965,-0.14720531144779891,-0.22657548488163415,0.007117095097266603
Squirrel,gate_gt,1:0,1,0,238,0.4056490659713745,0.41114312410354614,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,24.613099813461304,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.27251743692996183,-0.02690623612882739,0.1008541389370158,-0.18025059945203947,-0.01778588751627854,-0.024543207051426607
Squirrel,gate_gt,2:0,2,0,416,0.44651442766189575,0.4130643606185913,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,37.637868881225586,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3727310798510742,0.03505998349513347,0.18651832163791673,-0.15139113662062648,0.017477238528944495,0.03370219476316171
Squirrel,gate_gt,3:0,3,0,367,0.4068509638309479,0.4255523383617401,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,33.76909065246582,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.39694296280778857,-0.001801757863730295,0.22144034430103954,-0.1567557490458841,0.07133496506259354,-0.01097982818173143
Squirrel,gate_gt,4:0,4,0,78,0.40444713830947876,0.4265129566192627,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,13.266345262527466,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2148648550802489,0.2201678300219178,0.0600292821525706,-0.03356033830466576,0.07880559448058028,0.20955286122320066
Squirrel,gate_gt,5:0,5,0,192,0.418870210647583,0.4130643606185913,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,21.30997371673584,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3146740211062095,0.08944711493741409,0.2044122415757799,-0.12719414043301747,0.3876613897227145,0.04273946114290018
Squirrel,gate_gt,6:0,6,0,458,0.4399038553237915,0.4005763530731201,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,35.796321868896484,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.427460000214216,0.01181977425381553,0.33676262796676243,-0.1861349683621167,-0.14341003330033997,0.03143964514867103
Squirrel,gate_gt,7:0,7,0,202,0.411057710647583,0.42843419313430786,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,21.111173152923584,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.23565255493528425,0.06254315958486835,0.11959727070648254,-0.09816660396861905,-0.11321508934856711,0.0771333614327284
Squirrel,gate_gt,8:0,8,0,301,0.43569713830947876,0.42170989513397217,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,30.04582929611206,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3078398149827591,0.021955568588701718,0.08334600552820656,-0.12908697131508232,0.01674316663808028,0.019607878992402294
Squirrel,gate_gt,9:0,9,0,108,0.42307692766189575,0.37367913126945496,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,16.00399422645569,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2804408981646843,-0.05829561863790902,0.1478436226548871,-0.20403778305410805,0.09795569086010855,-0.07038113149339457
