dataset,model,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,reliability_components,normalize_features,rw_steps,rw_samples,qk_strength_init,fixed_qk_strength,elapsed_sec,qk_strength_mean,qk_strength_layer1,qk_strength_layer2,qk_gamma_q_abs_dev_mean,qk_gamma_k_abs_dev_mean,qk_gamma_q_std,qk_gamma_k_std,qk_gamma_q_abs_dev_max,qk_gamma_k_abs_dev_max,gate_corr_degree,gate_corr_local_similarity,gate_corr_neighbor_variance,gate_corr_rwse_mean,gate_corr_layer1_local_similarity,gate_corr_layer2_local_similarity
Squirrel,gcn,0:0,0,0,488,0.47295674681663513,0.47934678196907043,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,25.06233549118042,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Squirrel,gcn,1:0,1,0,487,0.46514424681663513,0.4630163311958313,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,24.00657606124878,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Squirrel,gcn,2:0,2,0,487,0.48557692766189575,0.4630163311958313,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,28.635793924331665,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Squirrel,gcn,3:0,3,0,450,0.48497599363327026,0.49183475971221924,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,25.41643762588501,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Squirrel,gcn,4:0,4,0,436,0.4717548191547394,0.47742554545402527,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,22.798166275024414,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Squirrel,gcn,5:0,5,0,497,0.49038463830947876,0.4755043089389801,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,26.810941696166992,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Squirrel,gcn,6:0,6,0,492,0.4993990659713745,0.4620557129383087,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,28.56911301612854,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Squirrel,gcn,7:0,7,0,485,0.4945913553237915,0.48030737042427063,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,25.690457105636597,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Squirrel,gcn,8:0,8,0,496,0.4603365659713745,0.4457252621650696,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,25.954302549362183,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Squirrel,gcn,9:0,9,0,438,0.473557710647583,0.4495677053928375,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,28.814983129501343,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
