dataset,model,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,reliability_components,normalize_features,rw_steps,rw_samples,qk_strength_init,fixed_qk_strength,elapsed_sec,qk_strength_mean,qk_strength_layer1,qk_strength_layer2,qk_gamma_q_abs_dev_mean,qk_gamma_k_abs_dev_mean,qk_gamma_q_std,qk_gamma_k_std,qk_gamma_q_abs_dev_max,qk_gamma_k_abs_dev_max,gate_corr_degree,gate_corr_local_similarity,gate_corr_neighbor_variance,gate_corr_rwse_mean,gate_corr_layer1_local_similarity,gate_corr_layer2_local_similarity
Squirrel,linear_gt,0:0,0,0,367,0.4134615659713745,0.419788658618927,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,31.559629201889038,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Squirrel,linear_gt,1:0,1,0,290,0.4008413553237915,0.3938520550727844,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,27.954500198364258,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Squirrel,linear_gt,2:0,2,0,95,0.411057710647583,0.3717579245567322,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,14.65958023071289,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Squirrel,linear_gt,3:0,3,0,285,0.4038461744785309,0.4332372546195984,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,27.53964591026306,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Squirrel,linear_gt,4:0,4,0,299,0.418870210647583,0.41690680384635925,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,28.289247751235962,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Squirrel,linear_gt,5:0,5,0,204,0.411057710647583,0.3900095820426941,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,22.7738676071167,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Squirrel,linear_gt,6:0,6,0,164,0.4248798191547394,0.38136404752731323,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,18.83407759666443,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Squirrel,linear_gt,7:0,7,0,135,0.38641828298568726,0.41018250584602356,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,17.52021336555481,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Squirrel,linear_gt,8:0,8,0,96,0.3990384638309479,0.40345820784568787,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,12.545861959457397,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Squirrel,linear_gt,9:0,9,0,333,0.4302884638309479,0.3938520550727844,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,30.414008617401123,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
