dataset,model,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,reliability_components,normalize_features,rw_steps,rw_samples,qk_strength_init,fixed_qk_strength,elapsed_sec,qk_strength_mean,qk_strength_layer1,qk_strength_layer2,qk_gamma_q_abs_dev_mean,qk_gamma_k_abs_dev_mean,qk_gamma_q_std,qk_gamma_k_std,qk_gamma_q_abs_dev_max,qk_gamma_k_abs_dev_max,gate_corr_degree,gate_corr_local_similarity,gate_corr_neighbor_variance,gate_corr_rwse_mean,gate_corr_layer1_local_similarity,gate_corr_layer2_local_similarity
Squirrel,mlp,0:0,0,0,60,0.296875,0.32276657223701477,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,3.419264078140259,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Squirrel,mlp,1:0,1,0,84,0.32391828298568726,0.309317946434021,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,3.1186366081237793,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Squirrel,mlp,2:0,2,0,149,0.31069713830947876,0.28049951791763306,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,4.427933692932129,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Squirrel,mlp,3:0,3,0,70,0.3022836744785309,0.29394811391830444,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,2.9005649089813232,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Squirrel,mlp,4:0,4,0,108,0.29867789149284363,0.32276657223701477,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,3.709937334060669,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Squirrel,mlp,5:0,5,0,55,0.29807692766189575,0.3102785646915436,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,2.70086669921875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Squirrel,mlp,6:0,6,0,106,0.3197115361690521,0.2833813428878784,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,3.609229564666748,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Squirrel,mlp,7:0,7,0,39,0.2920673191547394,0.30739670991897583,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,2.512863874435425,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Squirrel,mlp,8:0,8,0,86,0.309495210647583,0.30643612146377563,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,2.528937816619873,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Squirrel,mlp,9:0,9,0,150,0.32151442766189575,0.2795388996601105,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,1.935774803161621,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
