dataset,model,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,reliability_components,normalize_features,rw_steps,rw_samples,qk_strength_init,fixed_qk_strength,elapsed_sec,qk_strength_mean,qk_strength_layer1,qk_strength_layer2,qk_gamma_q_abs_dev_mean,qk_gamma_k_abs_dev_mean,qk_gamma_q_std,qk_gamma_k_std,qk_gamma_q_abs_dev_max,qk_gamma_k_abs_dev_max,gate_corr_degree,gate_corr_local_similarity,gate_corr_neighbor_variance,gate_corr_rwse_mean,gate_corr_layer1_local_similarity,gate_corr_layer2_local_similarity
Squirrel,qk_gt,0:0,0,0,458,0.4134615659713745,0.42267048358917236,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,56.0501184463501,0.008486530277878046,0.006711793132126331,0.01026126742362976,0.0015943017788231373,0.001594450557604432,0.001601760508492589,0.0011653100373223424,0.004182547330856323,0.004239499568939209,nan,nan,nan,nan,nan,nan
Squirrel,qk_gt,1:0,1,0,168,0.40024039149284363,0.38616713881492615,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,32.1731162071228,0.00784348975867033,0.006711442954838276,0.008975536562502384,0.001128404401242733,0.000519745924975723,0.0009583188802935183,0.0006979895406402647,0.0036461949348449707,0.0038994550704956055,nan,nan,nan,nan,nan,nan
Squirrel,qk_gt,2:0,2,0,165,0.4218750298023224,0.3756003677845001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,29.66576337814331,0.0075532738119363785,0.006650065071880817,0.00845648255199194,0.0010395256103947759,0.000530168937984854,0.0009644366800785065,0.000680563214700669,0.003652632236480713,0.0037646591663360596,nan,nan,nan,nan,nan,nan
Squirrel,qk_gt,3:0,3,0,202,0.4062500298023224,0.4255523383617401,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,32.565584897994995,0.008258775109425187,0.006700634490698576,0.009816915728151798,0.0012555932626128197,0.0007707283366471529,0.0012869184138253331,0.000928106892388314,0.0038346052169799805,0.004122674465179443,nan,nan,nan,nan,nan,nan
Squirrel,qk_gt,4:0,4,0,175,0.41826924681663513,0.41018250584602356,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,30.829086542129517,0.007588805630803108,0.006673633120954037,0.00850397814065218,0.0008602702291682363,0.0005578188574872911,0.0008286477532237768,0.0007137305801734328,0.0036895573139190674,0.0037609636783599854,nan,nan,nan,nan,nan,nan
Squirrel,qk_gt,5:0,5,0,484,0.4375000298023224,0.4121037423610687,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,55.446014165878296,0.009801595471799374,0.00672769732773304,0.012875493615865707,0.0021824007853865623,0.0025315626990050077,0.0022379085421562195,0.001238187775015831,0.0046384334564208984,0.004896432161331177,nan,nan,nan,nan,nan,nan
Squirrel,qk_gt,6:0,6,0,132,0.426682710647583,0.384245902299881,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,27.44801354408264,0.007175636710599065,0.006665324792265892,0.007685948628932238,0.0006674574106000364,0.00039021478733047843,0.000622423249296844,0.0005067090969532728,0.0034283995628356934,0.0035587549209594727,nan,nan,nan,nan,nan,nan
Squirrel,qk_gt,7:0,7,0,18,0.3900240659713745,0.3659942150115967,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,11.902847528457642,0.006660859100520611,0.006693365052342415,0.006628353148698807,4.318466380937025e-05,6.332710472634062e-05,7.580540113849565e-05,0.00010749878856586292,0.0020142793655395508,0.002625405788421631,nan,nan,nan,nan,nan,nan
Squirrel,qk_gt,8:0,8,0,465,0.43870192766189575,0.43419787287712097,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,58.39250135421753,0.010183994891121984,0.0066155907697975636,0.013752399012446404,0.0022501940838992596,0.0029297075234353542,0.0024411410558968782,0.0013135486515238881,0.005019485950469971,0.005078643560409546,nan,nan,nan,nan,nan,nan
Squirrel,qk_gt,9:0,9,0,150,0.42007213830947876,0.37271854281425476,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,29.59465479850769,0.0073149430099874735,0.006728741806000471,0.007901144213974476,0.0007745294133201241,0.0004584768321365118,0.0007508468115702271,0.0006073382683098316,0.0034874677658081055,0.0036559104919433594,nan,nan,nan,nan,nan,nan
