dataset,model,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,reliability_components,normalize_features,rw_steps,rw_samples,qk_strength_init,fixed_qk_strength,elapsed_sec,qk_strength_mean,qk_strength_layer1,qk_strength_layer2,qk_gamma_q_abs_dev_mean,qk_gamma_k_abs_dev_mean,qk_gamma_q_std,qk_gamma_k_std,qk_gamma_q_abs_dev_max,qk_gamma_k_abs_dev_max,gate_corr_degree,gate_corr_local_similarity,gate_corr_neighbor_variance,gate_corr_rwse_mean,gate_corr_layer1_local_similarity,gate_corr_layer2_local_similarity
Squirrel,reliability_gt,0:0,0,0,256,0.4302884638309479,0.44188278913497925,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,41.35017251968384,0.00771290622651577,0.006707232445478439,0.0087185800075531,0.0011916462099179626,0.000788264733273536,0.0011877751676365733,0.0008008803124539554,0.0036793649196624756,0.0038149356842041016,0.3270151860717704,0.06921845849494981,0.07318714794613342,-0.11960895462693706,0.05899023732726551,0.06319299507715223
Squirrel,reliability_gt,1:0,1,0,439,0.4368990659713745,0.4332372546195984,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,55.13284993171692,0.00826171599328518,0.0066439127549529076,0.00987951923161745,0.001595655339770019,0.0015062132151797414,0.0016687775496393442,0.0010125072440132499,0.0038730502128601074,0.004076242446899414,0.2712155921496644,0.03516439385958599,0.09757077825957454,-0.15480035148303192,0.09858873339668231,0.018858662506011457
Squirrel,reliability_gt,2:0,2,0,311,0.44951924681663513,0.41114312410354614,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,45.82965588569641,0.007287074578925967,0.006703342776745558,0.007870806381106377,0.001006969716399908,0.000912195595446974,0.001059033558703959,0.0008356447797268629,0.0035736560821533203,0.0036056935787200928,0.2364970095267863,0.08357946263870168,-0.007627733253638918,-0.08998789268336069,-0.03913002694955631,0.09183341199453417
Squirrel,reliability_gt,3:0,3,0,46,0.42007213830947876,0.4082612693309784,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,16.21266460418701,0.006642920197919011,0.00667936634272337,0.006606474053114653,0.00013115907495375723,0.00013308943016454577,0.0001874778390629217,0.00018978120351675898,0.0022801756858825684,0.003089696168899536,0.23660709594934742,0.040586386222134355,-0.031397807552456254,-0.2062795401957689,0.13846161089335618,0.021783397549255342
Squirrel,reliability_gt,4:0,4,0,130,0.41826924681663513,0.44092217087745667,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,25.680834770202637,0.00699938228353858,0.006677864585071802,0.007320899982005358,0.0005645224591717124,0.000399319629650563,0.0005907805170863867,0.0005101789720356464,0.002838611602783203,0.003443896770477295,0.28582514514313995,0.0007770881913609182,0.18301803713469353,-0.26504365778451383,0.16092387422373933,-0.04995407398075063
Squirrel,reliability_gt,5:0,5,0,480,0.4477163553237915,0.43419787287712097,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,55.282801151275635,0.008306200616061687,0.006670450791716576,0.0099419504404068,0.0015689926221966743,0.0017522304551675916,0.001679644687101245,0.0009503505425527692,0.003833472728729248,0.004108786582946777,0.0548505987296019,-0.07446180802276169,0.019086454535116846,-0.128010088186747,0.22840027809602423,-0.13492049564520087
Squirrel,reliability_gt,6:0,6,0,288,0.4453125298023224,0.4024975895881653,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,42.22054934501648,0.007505224086344242,0.006656068377196789,0.008354379795491695,0.0009445069008506835,0.0008138077682815492,0.0011216690763831139,0.0008445479325018823,0.0036156177520751953,0.003731846809387207,0.06462138873248217,-0.009966558539831236,-0.060818078688634175,-0.15513445775143864,0.09538234773342175,-0.02735394181833066
Squirrel,reliability_gt,7:0,7,0,136,0.40204328298568726,0.44188278913497925,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,26.356883764266968,0.007357753114774823,0.006675978656858206,0.00803952757269144,0.0007098632049746811,0.0005183245521038771,0.000762735668104142,0.000645221269223839,0.003480374813079834,0.003672957420349121,0.15154410060102588,0.012053495681006969,-0.03431909235686844,-0.1934076012839912,0.03206657375620123,0.006546921568481595
Squirrel,reliability_gt,8:0,8,0,173,0.43569713830947876,0.4255523383617401,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,31.068416595458984,0.00698382593691349,0.006716807838529348,0.007250844035297632,0.0005688463570550084,0.00044645569869317114,0.0006406632019206882,0.0005619432195089757,0.00314176082611084,0.003475368022918701,0.007854359221009036,-0.016531585800715825,-0.09980735074687434,-0.21633477193005096,0.18540928961659972,-0.05142149680304871
Squirrel,reliability_gt,9:0,9,0,53,0.43930289149284363,0.39769449830055237,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,17.293893814086914,0.006635484052821994,0.00668672239407897,0.006584245711565018,0.00016078750195447356,0.0001505043765064329,0.0002115186653099954,0.00021345099958125502,0.0024853944778442383,0.00323408842086792,0.19341194286635294,0.030824892866783863,-0.03895827239238832,-0.16352282627701986,0.11556740634363141,0.017678509401005967
