dataset,model,n,test_acc_mean,test_acc_std
Actor,gate_gt,10,0.3593421161174774,0.008351892664145528
Actor,gcn,10,0.2744736969470978,0.013199934462697321
Actor,linear_gt,10,0.3511842280626297,0.005286134843624254
Actor,mlp,10,0.3536184340715408,0.010490281154007281
Actor,qk_gt,10,0.3546710640192032,0.0068777565823178255
Actor,reliability_gt,10,0.35269738733768463,0.007112875199549779
Chameleon,gate_gt,10,0.5833333373069763,0.019688049431036348
Chameleon,gcn,10,0.6473684310913086,0.022208747665046172
Chameleon,linear_gt,10,0.5682017624378204,0.019552014417655857
Chameleon,mlp,10,0.48377192914485934,0.022282251911592065
Chameleon,qk_gt,10,0.5758772015571594,0.020482981334135283
Chameleon,reliability_gt,10,0.5815789461135864,0.014171494626092183
Citeseer,gate_gt,10,0.6272000312805176,0.01928108158972217
Citeseer,gcn,10,0.6842000365257264,0.01739999391567476
Citeseer,linear_gt,10,0.6149000287055969,0.01371458643547513
Citeseer,mlp,10,0.5125000178813934,0.012515994838250517
Citeseer,qk_gt,10,0.6225000262260437,0.011164676042376111
Citeseer,reliability_gt,10,0.6211000323295593,0.011157512636526083
Cora,gate_gt,10,0.6978000342845917,0.021070355963237357
Cora,gcn,10,0.8088000416755676,0.004975947294705665
Cora,linear_gt,10,0.6793000280857087,0.0082831133428375
Cora,mlp,10,0.5255000233650208,0.006974950425182311
Cora,qk_gt,10,0.6875000417232513,0.014678211750694638
Cora,reliability_gt,10,0.6998000323772431,0.007794875581753188
Pubmed,gate_gt,10,0.7309000313282012,0.010113857458749563
Pubmed,gcn,10,0.7642000377178192,0.0028213459419158217
Pubmed,linear_gt,10,0.7254000425338745,0.012499596618255181
Pubmed,mlp,10,0.697700035572052,0.006325329329497974
Pubmed,qk_gt,10,0.7284000277519226,0.008662562934033972
Pubmed,reliability_gt,10,0.7371000289916992,0.00785429974175226
Squirrel,gate_gt,10,0.412391921877861,0.015370141386912665
Squirrel,gcn,10,0.4687800109386444,0.013814158952819955
Squirrel,linear_gt,10,0.4014409095048904,0.017881115737571982
Squirrel,mlp,10,0.3016330361366272,0.015525153994464698
Squirrel,qk_gt,10,0.3989433109760284,0.023475388032512635
Squirrel,reliability_gt,10,0.4237271696329117,0.016383763335046164
