tag,family,label,components,graph_type,model,n,left_mean,right_mean,mean_delta,std_delta,ci95_low,ci95_high,wins,ties,losses,paired_t_pvalue
rel_only_degree,only,Only degree,degree,heterophily,gate_gt,10,0.8530158936977387,0.8411111295223236,0.011904764175415038,0.02236349788357186,-0.004093118477653718,0.027902646828483795,9,0,1,0.12659187414908657
rel_only_degree,only,Only degree,degree,heterophily,reliability_gt,10,0.8728571772575379,0.8636508107185363,0.009206366539001466,0.02307265720128186,-0.007298818129437116,0.025711551207440047,8,0,2,0.23873976880113576
rel_only_degree,only,Only degree,degree,homophily,gate_gt,10,0.9663492202758789,0.9685714423656464,-0.002222222089767456,0.010182950084500606,-0.009506665756049516,0.005062221576514603,5,1,4,0.5075328879167105
rel_only_degree,only,Only degree,degree,homophily,reliability_gt,10,0.9709523916244507,0.9682539880275727,0.0026984035968780516,0.005894192698169891,-0.0015180478549838275,0.006914855048739931,8,0,2,0.1816182909062487
rel_only_degree,only,Only degree,degree,noisy,gate_gt,10,0.6277777910232544,0.6071428656578064,0.020634925365447997,0.022572200059899693,0.004487746169248328,0.03678210456164767,9,0,1,0.017858856933132845
rel_only_degree,only,Only degree,degree,noisy,reliability_gt,10,0.6200000047683716,0.6117460429668427,0.00825396180152893,0.017287910334965163,-0.004113064246695594,0.020620987849753455,7,1,2,0.16537425903137243
rel_only_local_sim,only,Only local similarity,local_similarity,heterophily,gate_gt,10,0.8574603378772736,0.8411111295223236,0.016349208354949952,0.014178518220763105,0.006206507429045554,0.026491909280854348,9,0,1,0.0053472700489026505
rel_only_local_sim,only,Only local similarity,local_similarity,heterophily,reliability_gt,10,0.8665079653263092,0.8636508107185363,0.002857154607772827,0.022853209659973436,-0.013491046746488615,0.01920535596203427,7,0,3,0.7017887002473011
rel_only_local_sim,only,Only local similarity,local_similarity,homophily,gate_gt,10,0.9692063629627228,0.9685714423656464,0.0006349205970764161,0.007890520177243203,-0.00500961750355485,0.0062794586977076815,4,1,5,0.8048614044465927
rel_only_local_sim,only,Only local similarity,local_similarity,homophily,reliability_gt,10,0.9715873181819916,0.9682539880275727,0.0033333301544189453,0.003774809110566328,0.0006329943883876194,0.006033665920450271,7,1,2,0.020970176852437267
rel_only_local_sim,only,Only local similarity,local_similarity,noisy,gate_gt,10,0.6165079474449158,0.6071428656578064,0.009365081787109375,0.032594058715066425,-0.013951303208902834,0.03268146678312159,7,1,2,0.3872442399927748
rel_only_local_sim,only,Only local similarity,local_similarity,noisy,reliability_gt,10,0.6204761981964111,0.6117460429668427,0.008730155229568482,0.024133586500453382,-0.008533972539797822,0.025994282998934786,7,1,2,0.28216441731337055
rel_only_neighbor_var,only,Only neighbor variance,neighbor_variance,heterophily,gate_gt,10,0.8560317635536194,0.8411111295223236,0.014920634031295777,0.018664580082787752,0.0015687977717011355,0.028272470290890417,9,0,1,0.032343803752995906
rel_only_neighbor_var,only,Only neighbor variance,neighbor_variance,heterophily,reliability_gt,10,0.8646031975746155,0.8636508107185363,0.0009523868560791015,0.018331635340172053,-0.01216127508257289,0.014066048794731093,6,0,4,0.8731330565387166
rel_only_neighbor_var,only,Only neighbor variance,neighbor_variance,homophily,gate_gt,10,0.9680952548980712,0.9685714423656464,-0.00047618746757507326,0.008598502917014092,-0.00662718591042199,0.005674810975271843,4,2,4,0.8648558039040666
rel_only_neighbor_var,only,Only neighbor variance,neighbor_variance,homophily,reliability_gt,10,0.9680952489376068,0.9682539880275727,-0.0001587390899658203,0.006753029501941366,-0.004989565380522577,0.004672087200590936,2,2,6,0.9423708903891295
rel_only_neighbor_var,only,Only neighbor variance,neighbor_variance,noisy,gate_gt,10,0.6228571474552155,0.6071428656578064,0.01571428179740906,0.025202630087864573,-0.002314593685014389,0.03374315727983251,6,1,3,0.08011812219662391
rel_only_neighbor_var,only,Only neighbor variance,neighbor_variance,noisy,reliability_gt,10,0.6195238113403321,0.6117460429668427,0.00777776837348938,0.016195142339903722,-0.003807538542824912,0.01936307528980367,6,1,3,0.16315566143218838
