"archive_date","category","entry","type","file_count","size_bytes","has_summary","has_raw_results","has_config","archived_path","description"
"2026-06-19","01_synthetic_baselines","batch_ablation_full","directory","2","10193","True","True","False","archive/2026-06-19/01_synthetic_baselines/batch_ablation_full","Synthetic baseline and architecture ablation results"
"2026-06-19","01_synthetic_baselines","batch_main","directory","2","6757","True","True","False","archive/2026-06-19/01_synthetic_baselines/batch_main","Synthetic baseline and architecture ablation results"
"2026-06-19","02_qk_diagnostics","batch_diagnostics_n10_full","directory","2","43965","True","True","False","archive/2026-06-19/02_qk_diagnostics/batch_diagnostics_n10_full","Q/K initialization, fixed-strength, residual, and diagnostic sweeps"
"2026-06-19","02_qk_diagnostics","batch_qk_clean_reliability_full","directory","2","10175","True","True","False","archive/2026-06-19/02_qk_diagnostics/batch_qk_clean_reliability_full","Q/K initialization, fixed-strength, residual, and diagnostic sweeps"
"2026-06-19","02_qk_diagnostics","batch_qk_fixed_002","directory","2","34269","True","True","False","archive/2026-06-19/02_qk_diagnostics/batch_qk_fixed_002","Q/K initialization, fixed-strength, residual, and diagnostic sweeps"
"2026-06-19","02_qk_diagnostics","batch_qk_fixed_005","directory","2","34110","True","True","False","archive/2026-06-19/02_qk_diagnostics/batch_qk_fixed_005","Q/K initialization, fixed-strength, residual, and diagnostic sweeps"
"2026-06-19","02_qk_diagnostics","batch_qk_fixed_010","directory","2","33631","True","True","False","archive/2026-06-19/02_qk_diagnostics/batch_qk_fixed_010","Q/K initialization, fixed-strength, residual, and diagnostic sweeps"
"2026-06-19","02_qk_diagnostics","batch_qk_init_m2","directory","2","36571","True","True","False","archive/2026-06-19/02_qk_diagnostics/batch_qk_init_m2","Q/K initialization, fixed-strength, residual, and diagnostic sweeps"
"2026-06-19","02_qk_diagnostics","batch_qk_init_m3","directory","2","36768","True","True","False","archive/2026-06-19/02_qk_diagnostics/batch_qk_init_m3","Q/K initialization, fixed-strength, residual, and diagnostic sweeps"
"2026-06-19","02_qk_diagnostics","batch_qk_init_m5","directory","2","37313","True","True","False","archive/2026-06-19/02_qk_diagnostics/batch_qk_init_m5","Q/K initialization, fixed-strength, residual, and diagnostic sweeps"
"2026-06-19","02_qk_diagnostics","batch_qk_residual_full","directory","2","10186","True","True","False","archive/2026-06-19/02_qk_diagnostics/batch_qk_residual_full","Q/K initialization, fixed-strength, residual, and diagnostic sweeps"
"2026-06-19","02_qk_diagnostics","batch_qk_residual_repeat","directory","2","7196","True","True","False","archive/2026-06-19/02_qk_diagnostics/batch_qk_residual_repeat","Q/K initialization, fixed-strength, residual, and diagnostic sweeps"
"2026-06-19","03_reliability_ablation","batch_rel_only_degree","directory","3","24418","True","True","True","archive/2026-06-19/03_reliability_ablation/batch_rel_only_degree","Reliability component and learnable encoder ablations"
"2026-06-19","03_reliability_ablation","batch_rel_only_local_sim","directory","3","25112","True","True","True","archive/2026-06-19/03_reliability_ablation/batch_rel_only_local_sim","Reliability component and learnable encoder ablations"
"2026-06-19","03_reliability_ablation","batch_rel_only_neighbor_var","directory","3","25216","True","True","True","archive/2026-06-19/03_reliability_ablation/batch_rel_only_neighbor_var","Reliability component and learnable encoder ablations"
"2026-06-19","03_reliability_ablation","batch_rel_only_rwse","directory","3","24252","True","True","True","archive/2026-06-19/03_reliability_ablation/batch_rel_only_rwse","Reliability component and learnable encoder ablations"
"2026-06-19","03_reliability_ablation","batch_rel_without_degree","directory","3","26720","True","True","True","archive/2026-06-19/03_reliability_ablation/batch_rel_without_degree","Reliability component and learnable encoder ablations"
"2026-06-19","03_reliability_ablation","batch_rel_without_local_sim","directory","3","26054","True","True","True","archive/2026-06-19/03_reliability_ablation/batch_rel_without_local_sim","Reliability component and learnable encoder ablations"
"2026-06-19","03_reliability_ablation","batch_rel_without_neighbor_var","directory","3","25953","True","True","True","archive/2026-06-19/03_reliability_ablation/batch_rel_without_neighbor_var","Reliability component and learnable encoder ablations"
"2026-06-19","03_reliability_ablation","batch_rel_without_rwse","directory","3","26877","True","True","True","archive/2026-06-19/03_reliability_ablation/batch_rel_without_rwse","Reliability component and learnable encoder ablations"
