model,graph_type,seed,best_val_acc,test_acc_at_best_val,gate_local_similarity_corr,elapsed_sec
mlp,heterophily,0,0.6277777552604675,0.6634920835494995,nan,0.1339874267578125
mlp,heterophily,1,0.6499999761581421,0.6714285612106323,nan,0.09358811378479004
mlp,heterophily,2,0.7388888597488403,0.6380952596664429,nan,0.10161685943603516
mlp,heterophily,3,0.7222222089767456,0.6650793552398682,nan,0.16322541236877441
mlp,heterophily,4,0.6499999761581421,0.5952380895614624,nan,0.1760730743408203
gcn,heterophily,0,0.8388888835906982,0.761904776096344,nan,0.9600856304168701
gcn,heterophily,1,0.8500000238418579,0.8111110925674438,nan,0.7957749366760254
gcn,heterophily,2,0.8500000238418579,0.8111110925674438,nan,1.4836645126342773
gcn,heterophily,3,0.8333333134651184,0.7777777910232544,nan,1.5965807437896729
gcn,heterophily,4,0.8388888835906982,0.8079364895820618,nan,0.8346245288848877
linear_gt,heterophily,0,0.8388888835906982,0.817460298538208,nan,4.97710657119751
linear_gt,heterophily,1,0.855555534362793,0.8380952477455139,nan,2.888444662094116
linear_gt,heterophily,2,0.8777777552604675,0.7952380776405334,nan,4.057620525360107
linear_gt,heterophily,3,0.8444444537162781,0.8238095045089722,nan,3.592900037765503
linear_gt,heterophily,4,0.7888888716697693,0.8015872836112976,nan,3.7202229499816895
qk_gt,heterophily,0,0.8166666626930237,0.7523809671401978,nan,4.811922788619995
qk_gt,heterophily,1,0.7944444417953491,0.817460298538208,nan,2.514155864715576
qk_gt,heterophily,2,0.8722222447395325,0.7888888716697693,nan,6.677605867385864
qk_gt,heterophily,3,0.855555534362793,0.8222222328186035,nan,2.901423931121826
qk_gt,heterophily,4,0.8222222328186035,0.7952380776405334,nan,3.7973129749298096
gate_gt,heterophily,0,0.8722222447395325,0.8333333134651184,-0.15255905931219557,2.9156081676483154
gate_gt,heterophily,1,0.8833333253860474,0.8571428656578064,0.37749608452831457,3.496079206466675
gate_gt,heterophily,2,0.8999999761581421,0.8349206447601318,0.06237073901391221,4.130466938018799
gate_gt,heterophily,3,0.9166666865348816,0.8650793433189392,0.30877339495752315,4.220489263534546
gate_gt,heterophily,4,0.855555534362793,0.8126984238624573,-0.017956024638813958,4.3864195346832275
reliability_gt,heterophily,0,0.855555534362793,0.8190476298332214,-0.08223191226522636,5.942786931991577
reliability_gt,heterophily,1,0.855555534362793,0.8698412775993347,-0.46582150990844967,3.5977699756622314
reliability_gt,heterophily,2,0.8888888955116272,0.8047618865966797,-0.10010449261937412,3.304265022277832
reliability_gt,heterophily,3,0.8722222447395325,0.841269850730896,0.12372023758759883,4.923949956893921
reliability_gt,heterophily,4,0.8388888835906982,0.8079364895820618,0.18639404487285388,3.563159704208374
mlp,homophily,0,0.6277777552604675,0.6634920835494995,nan,0.11095404624938965
mlp,homophily,1,0.6499999761581421,0.6714285612106323,nan,0.09014606475830078
mlp,homophily,2,0.7388888597488403,0.6380952596664429,nan,0.09066915512084961
mlp,homophily,3,0.7222222089767456,0.6650793552398682,nan,0.09717917442321777
mlp,homophily,4,0.6499999761581421,0.5952380895614624,nan,0.12477540969848633
gcn,homophily,0,1.0,0.9984126687049866,nan,0.4442572593688965
gcn,homophily,1,0.9944444298744202,0.9984126687049866,nan,0.5793929100036621
gcn,homophily,2,0.9944444298744202,0.9968253970146179,nan,0.5412039756774902
gcn,homophily,3,1.0,0.9968253970146179,nan,0.40658998489379883
gcn,homophily,4,1.0,0.9920634627342224,nan,0.42475414276123047
linear_gt,homophily,0,0.9555555582046509,0.9396825432777405,nan,5.322152376174927
linear_gt,homophily,1,0.9333333373069763,0.9428571462631226,nan,2.275667190551758
linear_gt,homophily,2,0.9444444179534912,0.9285714030265808,nan,1.9533820152282715
linear_gt,homophily,3,0.9611111283302307,0.9111111164093018,nan,2.592203378677368
linear_gt,homophily,4,0.894444465637207,0.8666666746139526,nan,2.5973124504089355
qk_gt,homophily,0,0.9222221970558167,0.8952381014823914,nan,3.4446640014648438
qk_gt,homophily,1,0.9277777671813965,0.9460317492485046,nan,4.025634050369263
qk_gt,homophily,2,0.949999988079071,0.9285714030265808,nan,3.964597702026367
