graph_type,model,n,test_acc_mean,test_acc_std,best_val_acc_mean,gate_local_similarity_corr_mean,elapsed_sec_mean,delta_vs_linear_gt
heterophily,gate_gt,5,0.8406349182128906,0.01863575229061981,0.8855555534362793,0.11562502690974807,3.8298126220703126,0.02539683580398555
heterophily,gcn,5,0.7939682483673096,0.02036203889719448,0.8422222256660461,nan,1.1341460704803468,-0.021269834041595437
heterophily,linear_gt,5,0.815238082408905,0.015409101382725566,0.8411110997200012,nan,3.847258949279785,0.0
heterophily,mlp,5,0.6466666698455811,0.028119888819875063,0.6777777552604676,nan,0.1336981773376465,-0.16857141256332397
heterophily,qk_gt,5,0.7952380895614624,0.024895847321172542,0.8322222232818604,nan,4.140484285354614,-0.019999992847442694
heterophily,reliability_gt,5,0.8285714268684388,0.024281054765698706,0.8622222185134888,-0.06760872646651948,4.266386318206787,0.013333344459533714
homophily,gate_gt,5,0.9568253874778747,0.010109004310782025,0.9733333230018616,-0.052259818493685016,2.290035533905029,0.03904761075973506
homophily,gcn,5,0.9965079188346863,0.0023328488573087568,0.997777771949768,nan,0.47923965454101564,0.07873014211654661
homophily,linear_gt,5,0.9177777767181396,0.027864260484243113,0.9377777814865113,nan,2.948143482208252,0.0
homophily,mlp,5,0.6466666698455811,0.028119888819875063,0.6777777552604676,nan,0.10274477005004883,-0.27111110687255857
homophily,qk_gt,5,0.9158730030059814,0.02278206477571555,0.9311111092567443,nan,3.3080413818359373,-0.0019047737121582475
homophily,reliability_gt,5,0.9682539582252503,0.012816919975928348,0.9777777791023254,0.13442870936381948,3.51809139251709,0.05047618150711064
noisy,gate_gt,5,0.6047618985176086,0.039802989420972636,0.6299999952316284,0.017594788066314208,3.200151491165161,0.014285695552825883
noisy,gcn,5,0.7895238041877747,0.021962194155144627,0.7944444417953491,nan,1.47446665763855,0.19904760122299192
noisy,linear_gt,5,0.5904762029647828,0.056921970607287535,0.6333333373069763,nan,3.2062721252441406,0.0
noisy,mlp,5,0.5571428656578064,0.02278207308141789,0.5911111116409302,nan,0.10467877388000488,-0.03333333730697641
noisy,qk_gt,5,0.58031747341156,0.06860815927996339,0.6311111092567444,nan,2.801548624038696,-0.010158729553222723
noisy,reliability_gt,5,0.5965079545974732,0.06237428297172742,0.6155555486679077,-0.07215854213421193,3.5257978439331055,0.00603175163269043
