model,graph_type,seed,best_val_acc,test_acc_at_best_val,gate_local_similarity_corr,elapsed_sec
mlp,heterophily,0,0.6277777552604675,0.6634920835494995,nan,0.13841986656188965
mlp,heterophily,1,0.6499999761581421,0.6714285612106323,nan,0.10981154441833496
mlp,heterophily,2,0.7388888597488403,0.6380952596664429,nan,0.1079401969909668
mlp,heterophily,3,0.7222222089767456,0.6650793552398682,nan,0.11642861366271973
mlp,heterophily,4,0.6499999761581421,0.5952380895614624,nan,0.14865636825561523
gcn,heterophily,0,0.8388888835906982,0.761904776096344,nan,1.00455641746521
gcn,heterophily,1,0.8500000238418579,0.8111110925674438,nan,0.8483750820159912
gcn,heterophily,2,0.8500000238418579,0.8111110925674438,nan,1.4931161403656006
gcn,heterophily,3,0.8333333134651184,0.7777777910232544,nan,1.381845235824585
gcn,heterophily,4,0.8388888835906982,0.8079364895820618,nan,0.78175950050354
linear_gt,heterophily,0,0.8388888835906982,0.817460298538208,nan,4.8400304317474365
linear_gt,heterophily,1,0.855555534362793,0.8380952477455139,nan,3.1267669200897217
linear_gt,heterophily,2,0.8777777552604675,0.7952380776405334,nan,4.868205547332764
linear_gt,heterophily,3,0.8444444537162781,0.8238095045089722,nan,3.63159441947937
linear_gt,heterophily,4,0.7888888716697693,0.8015872836112976,nan,3.5863468647003174
qk_gt,heterophily,0,0.8666666746139526,0.8222222328186035,nan,6.1397693157196045
qk_gt,heterophily,1,0.8833333253860474,0.8650793433189392,nan,5.665890216827393
qk_gt,heterophily,2,0.8500000238418579,0.8015872836112976,nan,3.5544512271881104
qk_gt,heterophily,3,0.8666666746139526,0.8333333134651184,nan,4.176343202590942
qk_gt,heterophily,4,0.800000011920929,0.7873015999794006,nan,4.478271722793579
gate_gt,heterophily,0,0.8722222447395325,0.8333333134651184,-0.15255947373680484,2.8032374382019043
gate_gt,heterophily,1,0.8833333253860474,0.8571428656578064,0.37749634376240426,3.4247865676879883
gate_gt,heterophily,2,0.8999999761581421,0.8349206447601318,0.06237256928124735,4.000858783721924
gate_gt,heterophily,3,0.9111111164093018,0.8698412775993347,0.3037618728219076,4.0743489265441895
gate_gt,heterophily,4,0.855555534362793,0.8126984238624573,-0.017922087416827423,4.247687339782715
reliability_gt,heterophily,0,0.9166666865348816,0.8126984238624573,-0.1816743300318729,6.844268798828125
reliability_gt,heterophily,1,0.9166666865348816,0.89682537317276,-0.07931766563386448,8.149091243743896
reliability_gt,heterophily,2,0.8888888955116272,0.8333333134651184,0.019581342540842712,3.4872536659240723
reliability_gt,heterophily,3,0.8833333253860474,0.8714285492897034,0.04831391210850222,2.776599884033203
reliability_gt,heterophily,4,0.855555534362793,0.8238095045089722,0.08572840478143769,2.7782557010650635
mlp,homophily,0,0.6277777552604675,0.6634920835494995,nan,0.11009550094604492
mlp,homophily,1,0.6499999761581421,0.6714285612106323,nan,0.09019756317138672
mlp,homophily,2,0.7388888597488403,0.6380952596664429,nan,0.09024333953857422
mlp,homophily,3,0.7222222089767456,0.6650793552398682,nan,0.09695076942443848
mlp,homophily,4,0.6499999761581421,0.5952380895614624,nan,0.1342170238494873
gcn,homophily,0,1.0,0.9984126687049866,nan,0.39958882331848145
gcn,homophily,1,0.9944444298744202,0.9984126687049866,nan,0.5464987754821777
gcn,homophily,2,0.9944444298744202,0.9968253970146179,nan,0.5041253566741943
gcn,homophily,3,1.0,0.9968253970146179,nan,0.37686824798583984
gcn,homophily,4,1.0,0.9920634627342224,nan,0.3933742046356201
linear_gt,homophily,0,0.9555555582046509,0.9396825432777405,nan,5.477914571762085
linear_gt,homophily,1,0.9333333373069763,0.9428571462631226,nan,2.269414186477661
linear_gt,homophily,2,0.9444444179534912,0.9285714030265808,nan,1.934077501296997
linear_gt,homophily,3,0.9611111283302307,0.9111111164093018,nan,2.591486930847168
linear_gt,homophily,4,0.894444465637207,0.8666666746139526,nan,2.551015853881836
qk_gt,homophily,0,0.9222221970558167,0.9190475940704346,nan,5.154702186584473
qk_gt,homophily,1,0.9222221970558167,0.9428571462631226,nan,3.58221435546875
qk_gt,homophily,2,0.9333333373069763,0.9158729910850525,nan,2.4258174896240234
qk_gt,homophily,3,0.9666666388511658,0.9190475940704346,nan,2.959146738052368
