graph_type,model,n,test_acc_mean,test_acc_std,best_val_acc_mean,qk_strength_mean,qk_gamma_q_abs_dev_mean,qk_gamma_k_abs_dev_mean,qk_gamma_q_std_mean,qk_gamma_k_std_mean,qk_gamma_q_abs_dev_max_mean,qk_gamma_k_abs_dev_max_mean,gate_corr_degree_mean,gate_corr_local_similarity_mean,gate_corr_neighbor_variance_mean,gate_corr_rwse_mean,gate_corr_layer1_local_similarity_mean,gate_corr_layer2_local_similarity_mean,elapsed_sec_mean,delta_vs_linear_gt
heterophily,gate_gt,10,0.8441270053386688,0.03470932790863327,0.8611111223697663,nan,nan,nan,nan,nan,nan,nan,-0.15060262362940605,0.03690851218275256,-0.15728231188920982,-0.20671679313403132,0.03934998035316909,-0.01885451411949144,9.685648870468139,0.034126996994018555
heterophily,linear_gt,10,0.8100000083446502,0.035450880428131236,0.8338889062404633,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.85194776058197,0.0
heterophily,qk_gt,10,0.813968276977539,0.0394392714098261,0.8327777981758118,0.02,0.002465708728414029,0.0031417952850461006,0.0030384115409106014,0.003373458283022046,0.00979243814945221,0.009826838970184326,nan,nan,nan,nan,nan,nan,19.889090633392335,0.003968268632888794
heterophily,reliability_gt,10,0.860793673992157,0.024916598804336883,0.8816666901111603,0.02,0.0018881934694945813,0.002494410495273769,0.002341403649188578,0.002932640165090561,0.009212592244148254,0.00953853726387024,0.023139907538897126,0.06942994124682464,0.05042399430303219,0.11579093728914,0.016884166051637887,0.007173869771574473,17.7629935503006,0.05079366564750676
homophily,gate_gt,10,0.9693650960922241,0.009147324706893112,0.9800000250339508,nan,nan,nan,nan,nan,nan,nan,-0.10009690032033894,-0.0013033281868344705,-0.012773264202854965,-0.03242310979077402,0.04592655739351637,-0.04368245224411328,6.530412220954895,0.04793650507926939
homophily,linear_gt,10,0.9214285910129547,0.023748594001203157,0.9350000321865082,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.995889568328858,0.0
homophily,qk_gt,10,0.9246031939983368,0.019037693823436518,0.9383333563804627,0.02,0.0019733924302272497,0.002450412802863866,0.0024197447346523404,0.002599402260966599,0.009119096398353576,0.00945693552494049,nan,nan,nan,nan,nan,nan,13.73395619392395,0.00317460298538208
homophily,reliability_gt,10,0.968412721157074,0.008907296685783272,0.9805555820465088,0.02,0.0012362431385554372,0.0016232149209827185,0.0015746994642540813,0.0019893750664778053,0.008100596070289613,0.008755886554718017,-0.0775615857338058,-0.0407467352612279,-0.06471533133715042,-0.032302619975174675,0.0009747208983823489,-0.05098805609081749,11.412037038803101,0.046984130144119285
noisy,gate_gt,10,0.6058730244636535,0.043931557780182505,0.648333340883255,nan,nan,nan,nan,nan,nan,nan,-0.13355238753288906,-0.12835412703909124,-0.0790206670220396,-0.11996915655004783,-0.08751612516835656,-0.11012991552613678,7.345537114143371,0.007619041204452448
noisy,linear_gt,10,0.5982539832592011,0.042493752401237206,0.6350000143051148,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.965280055999756,0.0
noisy,qk_gt,10,0.5958730220794678,0.04678206923186608,0.6277777850627899,0.02,0.0021618402446620167,0.002530189778190106,0.00269450064515695,0.002767421619500965,0.00935806930065155,0.009391969442367554,nan,nan,nan,nan,nan,nan,11.373178458213806,-0.0023809611797332986
noisy,reliability_gt,10,0.6039682626724243,0.046447218437459345,0.6361111283302308,0.02,0.0018540282850153743,0.0021316730068065225,0.002321299514733255,0.002538770530372858,0.009006837010383606,0.009143400192260741,-0.07120625881810572,0.07818782690110762,0.04073645537808665,-0.028177962296720545,0.04471058575519193,0.07827441780191832,11.09683268070221,0.005714279413223222
