graph_type,model,n,test_acc_mean,test_acc_std,best_val_acc_mean,qk_strength_mean,qk_gamma_q_abs_dev_mean,qk_gamma_k_abs_dev_mean,qk_gamma_q_std_mean,qk_gamma_k_std_mean,qk_gamma_q_abs_dev_max_mean,qk_gamma_k_abs_dev_max_mean,gate_corr_degree_mean,gate_corr_local_similarity_mean,gate_corr_neighbor_variance_mean,gate_corr_rwse_mean,gate_corr_layer1_local_similarity_mean,gate_corr_layer2_local_similarity_mean,elapsed_sec_mean,delta_vs_linear_gt
heterophily,gate_gt,10,0.8519047617912292,0.02700325311611778,0.8744444370269775,nan,nan,nan,nan,nan,nan,nan,-0.10859943833385301,0.08630615225218756,-0.15899923750249348,-0.15533383035663076,0.04612133179829272,0.04591188187430802,5.474583005905151,0.03126985430717466
heterophily,linear_gt,10,0.8206349074840545,0.03249124569026325,0.8388888835906982,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.83044114112854,0.0
heterophily,qk_gt,10,0.8234920561313629,0.031425365853066524,0.8394444465637207,0.00683737185318023,0.0006449934386182577,0.0009191556368023157,0.0008125183347146958,0.0009579623991157859,0.0031799256801605226,0.003272923827171326,nan,nan,nan,nan,nan,nan,6.036753129959107,0.0028571486473083496
heterophily,reliability_gt,10,0.8558730065822602,0.026615595273041134,0.8755555629730225,0.006776287336833775,0.0004035507736261934,0.0005816542456159368,0.0005122740345541388,0.0007075065164826811,0.0027345865964889526,0.0028916656970977782,0.07585312826493484,0.04665691372206832,0.15996038528415452,0.02518714600449876,0.10819160976042781,0.0014921870449465195,5.095638227462769,0.03523809909820563
homophily,gate_gt,10,0.9657142758369446,0.015277728923080672,0.97833331823349,nan,nan,nan,nan,nan,nan,nan,-0.035694850018572345,-0.047736642476177676,0.018253656848931425,-0.09694889771767615,0.0023426642596571794,-0.03662279293914107,2.6756749868392946,0.04746031165122988
homophily,linear_gt,10,0.9182539641857147,0.024325104552557014,0.9377777814865113,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.2117493391036986,0.0
homophily,qk_gt,10,0.9292063355445862,0.014394644370064885,0.9427777707576752,0.006785161164589226,0.0005262207327177748,0.0007528837682912126,0.0006526375596877188,0.0007720270310528577,0.002782973647117615,0.003058561682701111,nan,nan,nan,nan,nan,nan,4.602585744857788,0.010952371358871504
homophily,reliability_gt,10,0.9707936406135559,0.010218082024438172,0.9811111032962799,0.006791863730177284,0.0002660733734956011,0.0003926717210561037,0.000343765239813365,0.00048543932789471,0.0021820336580276488,0.002569526433944702,-0.07245914019308068,-0.05186532340351,-0.03237938269867064,-0.05146302495073188,0.037006625741638606,-0.052174103945988114,3.598849391937256,0.052539676427841187
noisy,gate_gt,10,0.6028571486473083,0.040298705522425884,0.6438888907432556,nan,nan,nan,nan,nan,nan,nan,-0.1275632545909026,-0.049631475159139404,-0.0937048442407148,-0.08628888941699057,-0.04192628757682134,-0.03775688638915261,3.3428045511245728,0.0015872985124587569
noisy,linear_gt,10,0.6012698501348496,0.04666127046815236,0.6372222185134888,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.8633885622024535,0.0
noisy,qk_gt,10,0.5968254029750824,0.043487428589019,0.6327777683734894,0.006952078104950488,0.00067751158203464,0.0009286989807151258,0.0008129357942380011,0.000852881299215369,0.002971959114074707,0.0030691206455230715,nan,nan,nan,nan,nan,nan,4.228607988357544,-0.0044444471597672175
noisy,reliability_gt,10,0.6177777826786042,0.04209072891553319,0.6455555438995362,0.006816141633316874,0.0004893587203696371,0.0006306946976110339,0.0006154647358926013,0.0007490974967367947,0.002766925096511841,0.0029385119676589968,-0.15859015086185832,0.12461965473766987,0.007062407670422436,-0.08676561837297724,0.0727253310362874,0.10762997582523245,4.140284776687622,0.0165079325437546
