model,graph_type,seed,best_val_acc,test_acc_at_best_val,gate_local_similarity_corr,elapsed_sec
mlp,heterophily,0,0.6277777552604675,0.6634920835494995,nan,0.1396341323852539
mlp,heterophily,1,0.6499999761581421,0.6714285612106323,nan,0.12065482139587402
mlp,heterophily,2,0.7388888597488403,0.6380952596664429,nan,0.10083413124084473
mlp,heterophily,3,0.7222222089767456,0.6650793552398682,nan,0.09939002990722656
mlp,heterophily,4,0.6499999761581421,0.5952380895614624,nan,0.12361526489257812
gcn,heterophily,0,0.8388888835906982,0.761904776096344,nan,0.8785574436187744
gcn,heterophily,1,0.8500000238418579,0.8111110925674438,nan,0.743417501449585
gcn,heterophily,2,0.8500000238418579,0.8111110925674438,nan,1.3252742290496826
gcn,heterophily,3,0.8333333134651184,0.7777777910232544,nan,1.3570501804351807
gcn,heterophily,4,0.8388888835906982,0.8079364895820618,nan,0.8446838855743408
linear_gt,heterophily,0,0.8388888835906982,0.817460298538208,nan,5.314572334289551
linear_gt,heterophily,1,0.855555534362793,0.8380952477455139,nan,3.0546717643737793
linear_gt,heterophily,2,0.8777777552604675,0.7952380776405334,nan,4.942648887634277
linear_gt,heterophily,3,0.8444444537162781,0.8238095045089722,nan,4.239421844482422
linear_gt,heterophily,4,0.7888888716697693,0.8015872836112976,nan,4.107204437255859
qk_gt,heterophily,0,0.800000011920929,0.7698412537574768,nan,5.65097451210022
qk_gt,heterophily,1,0.8500000238418579,0.8539682626724243,nan,3.69279408454895
qk_gt,heterophily,2,0.8722222447395325,0.8190476298332214,nan,5.035655498504639
qk_gt,heterophily,3,0.8666666746139526,0.8396825194358826,nan,4.497294664382935
qk_gt,heterophily,4,0.7722222208976746,0.7650793790817261,nan,3.2641313076019287
gate_gt,heterophily,0,0.8722222447395325,0.8333333134651184,-0.15255905931219557,3.564110279083252
gate_gt,heterophily,1,0.8833333253860474,0.8571428656578064,0.37749608452831457,4.018469572067261
gate_gt,heterophily,2,0.8999999761581421,0.8349206447601318,0.06237073901391221,4.237008571624756
gate_gt,heterophily,3,0.9166666865348816,0.8650793433189392,0.30877339495752315,4.945287466049194
gate_gt,heterophily,4,0.855555534362793,0.8126984238624573,-0.017956024638813958,4.515422344207764
reliability_gt,heterophily,0,0.8722222447395325,0.8301587104797363,-0.3707092530788172,5.054062366485596
reliability_gt,heterophily,1,0.8388888835906982,0.8539682626724243,-0.06956715271296415,2.457993745803833
reliability_gt,heterophily,2,0.9222221970558167,0.8539682626724243,-0.30241197503026906,7.1891303062438965
