model,graph_type,seed,reliability_components,reliability_encoder,best_val_acc,test_acc_at_best_val,qk_strength_init,fixed_qk_strength,elapsed_sec,qk_strength_mean,qk_strength_layer1,qk_strength_layer2,qk_gamma_q_abs_dev_mean,qk_gamma_k_abs_dev_mean,qk_gamma_q_std,qk_gamma_k_std,qk_gamma_q_abs_dev_max,qk_gamma_k_abs_dev_max,gate_corr_degree,gate_corr_local_similarity,gate_corr_neighbor_variance,gate_corr_rwse_mean,gate_corr_layer1_local_similarity,gate_corr_layer2_local_similarity
gate_gt,heterophily,0,neighbor_variance,separate,0.8666666746139526,0.8238095641136169,-5.0,nan,8.725721836090088,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.1374693994807564,-0.061338386298337294,0.407808837854294,-0.015904969283868167,-0.05634402011349627,-0.024140979198350357
gate_gt,heterophily,1,neighbor_variance,separate,0.8888888955116272,0.879365086555481,-5.0,nan,9.615828037261963,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.16990969279212717,0.1160565142892407,-0.29344670095981223,-0.039098032993477895,0.10614346663724546,0.043745980298403486
gate_gt,heterophily,2,neighbor_variance,separate,0.9000000357627869,0.8253968358039856,-5.0,nan,8.249025344848633,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.09465994634464082,-0.03174515954273067,-0.04897516809214427,-0.11091684718156432,-0.041633867925060894,-0.023712340173268006
gate_gt,heterophily,3,neighbor_variance,separate,0.894444465637207,0.8571428656578064,-5.0,nan,6.637527704238892,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.2463601862076581,0.07306748137095158,-0.6927856057221549,-0.04198697308876801,0.05450296623734111,0.04546374437079362
gate_gt,heterophily,4,neighbor_variance,separate,0.8833333253860474,0.8666666746139526,-5.0,nan,15.20681381225586,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.13809923114008676,-0.03598539868119982,0.4109907008920253,0.004193829939345422,-0.0603667485194486,-0.020959124638455662
gate_gt,heterophily,5,neighbor_variance,separate,0.8111111521720886,0.8079364895820618,-5.0,nan,10.048513412475586,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.20590308096708843,0.04955907015976276,-0.5217248026011998,-0.09254741045254997,-0.03169226506438646,0.07446375697744144
gate_gt,heterophily,6,neighbor_variance,separate,0.8611111044883728,0.8873016238212585,-5.0,nan,8.72292947769165,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.22072823279116885,0.03615053745624142,-0.6438146957899834,-0.040583489631153116,0.03108475242432385,0.09336266327501226
gate_gt,heterophily,7,neighbor_variance,separate,0.8666666746139526,0.8666666746139526,-5.0,nan,10.11422848701477,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.12500189464521297,0.05286870647057414,-0.708784996404169,-0.08651740350291577,0.04456230574665749,0.05403097238181636
gate_gt,heterophily,8,neighbor_variance,separate,0.9000000357627869,0.8904762268066406,-5.0,nan,7.271759748458862,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.17032531648682647,-0.020233945801818188,-0.659269222896664,-0.062099039864585,-0.0331089061707466,-0.0031260434429066512
gate_gt,heterophily,9,neighbor_variance,separate,0.8444444537162781,0.8555555939674377,-5.0,nan,6.463277339935303,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.04396372869491819,0.12190732473884887,-0.02091192337617508,-0.058060751797670035,0.08613704363777158,0.07354265195073009
reliability_gt,heterophily,0,neighbor_variance,separate,0.8777778148651123,0.8396825790405273,-5.0,nan,10.822507858276367,0.006739306729286909,0.006640184670686722,0.006838428787887096,0.00017363205552101135,0.0002549467608332634,0.00021129785454832017,0.00030660562333650887,0.0005947351455688477,0.0008698999881744385,-0.060115727768396056,0.13448180640831536,0.0031474680480412603,0.008316376886323865,0.0990457117364599,0.1372270480945589
reliability_gt,heterophily,1,neighbor_variance,separate,0.9277778267860413,0.8968254327774048,-5.0,nan,27.11463165283203,0.006703846855089068,0.00661399494856596,0.006793698761612177,0.0002997317351400852,0.00046108660171739757,0.00036528886994346976,0.0005473794881254435,0.0010390877723693848,0.0012435317039489746,0.10551297996073972,0.11382829767387061,0.061959259888739675,-0.05120584139179445,0.038367566836506946,0.10640719198934181
reliability_gt,heterophily,2,neighbor_variance,separate,0.9111111164093018,0.8317460417747498,-5.0,nan,16.98050093650818,0.0068803823087364435,0.0067322999238967896,0.0070284646935760975,0.0002512554929126054,0.0004114639014005661,0.00030865464941598475,0.00046981056220829487,0.001015782356262207,0.0014293789863586426,-0.0017177675244309213,0.03990067802379191,0.12815736365417918,0.07549902805210304,-0.005926682535576856,0.04470596749187079
reliability_gt,heterophily,3,neighbor_variance,separate,0.8833333253860474,0.8730158805847168,-5.0,nan,10.029648542404175,0.006810357794165611,0.00656674662604928,0.007053968962281942,0.00023250097001437098,0.0003286106511950493,0.0002950028283521533,0.00038128503365442157,0.0008751749992370605,0.0010142028331756592,0.007011620950225218,0.07652456968894684,0.11444362385613893,-0.010898846050488522,0.012006061868361683,0.07511612057815287
reliability_gt,heterophily,4,neighbor_variance,separate,0.8611111044883728,0.8222222328186035,-5.0,nan,10.753472089767456,0.006690651178359985,0.006651202216744423,0.006730100139975548,0.0002037310041487217,0.00029456010088324547,0.00022888499370310456,0.00036606259527616203,0.000667870044708252,0.0010254383087158203,0.14126309671968554,-0.001992370913542881,0.2814794764773032,0.03117600807768034,-0.03819940401839013,0.009327996755259391
reliability_gt,heterophily,5,neighbor_variance,separate,0.8166666626930237,0.8476190567016602,-5.0,nan,18.25395655632019,0.006752607645466924,0.006708929315209389,0.006796285975724459,0.00022000681201461703,0.00026826048269867897,0.0002647504734341055,0.0003377899993211031,0.0006751418113708496,0.0010097026824951172,0.017797380722456665,0.0834698681059341,0.1079194117023258,-0.06017716609432794,0.047204643707144174,0.03615633030408286
reliability_gt,heterophily,6,neighbor_variance,separate,0.8888888955116272,0.8904762268066406,-5.0,nan,14.813880681991577,0.006786886602640152,0.006734158843755722,0.006839614361524582,0.00016004778444766998,0.00020936410874128342,0.00019586642156355083,0.00025149856810458004,0.0005484223365783691,0.0006653666496276855,0.02376648675663123,0.14407202376747333,0.04731501970270013,0.006267866070777107,0.10960843186437724,0.08742205835300433
reliability_gt,heterophily,7,neighbor_variance,separate,0.8888888955116272,0.8841270208358765,-5.0,nan,16.475922107696533,0.006707872962579131,0.006652308162301779,0.0067634377628564835,0.00024338533694390208,0.00036629708483815193,0.00029977213125675917,0.00042056769598275423,0.0008535981178283691,0.0009920895099639893,-0.04506221303537953,0.11405629582671398,-0.29637858234057507,-0.0042018183303587624,0.05773003165957584,0.09027736348461583
reliability_gt,heterophily,8,neighbor_variance,separate,0.9000000357627869,0.8730158805847168,-5.0,nan,14.884246587753296,0.006666938774287701,0.006718246266245842,0.006615631282329559,0.00021056461264379323,0.00031778402626514435,0.00025735978852026165,0.0003709502052515745,0.0007794499397277832,0.0009257197380065918,0.1539761389923173,0.08941883957776009,0.3004029190746661,0.12086703701584142,0.0705366305317722,0.029021493663090814
reliability_gt,heterophily,9,neighbor_variance,separate,0.8777778148651123,0.8873016238212585,-5.0,nan,20.301539182662964,0.006544994655996561,0.006632715463638306,0.0064572738483548164,0.00016201473772525787,0.00025907065719366074,0.000213500956306234,0.0002919341204687953,0.0005641281604766846,0.000780642032623291,0.026816043536803242,0.09403512994272198,0.22488299936506223,0.022160075975373374,0.09348561586587865,0.09087145158433056
gate_gt,homophily,0,neighbor_variance,separate,0.9777777791023254,0.9603174924850464,-5.0,nan,8.412750959396362,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.05140577673171569,-0.14782721497144155,0.2823849292580098,-0.006351498129886736,-0.129330952337102,-0.13380060516344214
gate_gt,homophily,1,neighbor_variance,separate,0.9555555582046509,0.9714285731315613,-5.0,nan,5.55007791519165,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.030997631991487994,-0.16028719943575698,0.17916794847551057,-0.1376497096981721,-0.08330924360439505,-0.11539256994459778
