model,graph_type,seed,reliability_components,reliability_encoder,best_val_acc,test_acc_at_best_val,qk_strength_init,fixed_qk_strength,elapsed_sec,qk_strength_mean,qk_strength_layer1,qk_strength_layer2,qk_gamma_q_abs_dev_mean,qk_gamma_k_abs_dev_mean,qk_gamma_q_std,qk_gamma_k_std,qk_gamma_q_abs_dev_max,qk_gamma_k_abs_dev_max,gate_corr_degree,gate_corr_local_similarity,gate_corr_neighbor_variance,gate_corr_rwse_mean,gate_corr_layer1_local_similarity,gate_corr_layer2_local_similarity
gate_gt,heterophily,0,"degree,local_similarity,rwse",separate,0.8722222447395325,0.8301587700843811,-5.0,nan,11.0268714427948,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.4270131810951029,-0.12426609407582244,-0.22241455271322622,-0.3465839705878038,-0.1841657690856915,-0.060698376829294805
gate_gt,heterophily,1,"degree,local_similarity,rwse",separate,0.8888888955116272,0.8888888955116272,-5.0,nan,12.312094926834106,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.22634804692806212,0.2581517851394986,-0.07465506496814667,-0.24015894020342704,0.2570231798333477,0.1319381202482376
gate_gt,heterophily,2,"degree,local_similarity,rwse",separate,0.9055556058883667,0.8317460417747498,-5.0,nan,10.631757020950317,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.1803548519965312,-0.09064585753918797,-0.12198219876706273,-0.38009227878870055,-0.6010421593681005,0.025298071654450097
gate_gt,heterophily,3,"degree,local_similarity,rwse",separate,0.894444465637207,0.8587301969528198,-5.0,nan,6.885191440582275,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.18061478163678277,0.34486474326027294,-0.03984867656752734,-0.3348044676930701,0.34442225957099404,0.06783407962501968
gate_gt,heterophily,4,"degree,local_similarity,rwse",separate,0.8500000238418579,0.8126984238624573,-5.0,nan,12.413592338562012,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.07925645312832838,-0.042357704072996695,0.05414525511627518,-0.6322606564192694,-0.04252797760762352,0.009714693013081328
gate_gt,heterophily,5,"degree,local_similarity,rwse",separate,0.8055555820465088,0.8301587700843811,-5.0,nan,8.232120752334595,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.159524059895568,0.0995475459941787,0.001132481099132985,0.1372731580386002,0.16940176914547206,0.044939060547980504
gate_gt,heterophily,6,"degree,local_similarity,rwse",separate,0.8666666746139526,0.8841270208358765,-5.0,nan,9.119961977005005,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.09429273817315763,0.05090522287909209,-0.006949807268733869,0.13121349645018615,0.05747231976569831,0.030771676843354977
gate_gt,heterophily,7,"degree,local_similarity,rwse",separate,0.8611111044883728,0.8492063879966736,-5.0,nan,11.434520244598389,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.39019904164456043,0.2717332683478858,-0.21434448590438862,-0.36897995036094094,0.2672387448287645,0.027961876179704304
gate_gt,heterophily,8,"degree,local_similarity,rwse",separate,0.894444465637207,0.879365086555481,-5.0,nan,8.392296552658081,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.18233513167349172,-0.16683056336097976,-0.1731997260726587,0.1218261614115133,-0.35409769779405,-0.09960867790860105
gate_gt,heterophily,9,"degree,local_similarity,rwse",separate,0.8388888835906982,0.865079402923584,-5.0,nan,7.581231117248535,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.01103999813708788,0.31848559442896895,0.005208651694072396,-0.1843310014548157,0.3268552617317239,0.21527250519177285
reliability_gt,heterophily,0,"degree,local_similarity,rwse",separate,0.8666666746139526,0.8253968358039856,-5.0,nan,13.717158317565918,0.0068233129568398,0.006649221293628216,0.006997404620051384,0.00041346592479385436,0.0005690176039934158,0.0005277501186355948,0.0006825643940828741,0.0026308000087738037,0.0032404065132141113,-0.1687330471746702,0.10350762318872032,0.011791377069782663,0.27549849318259334,-0.06814947315638933,0.16570014837941405
reliability_gt,heterophily,1,"degree,local_similarity,rwse",separate,0.9333333373069763,0.9158730506896973,-5.0,nan,27.147714138031006,0.006973154377192259,0.006619414314627647,0.00732689443975687,0.0006637838087044656,0.0009496997809037566,0.0008158478885889053,0.001138064544647932,0.002768099308013916,0.0034419894218444824,0.1682275398110728,-0.20604824978008654,0.05154551267859192,0.2491966177926799,-0.20561889161584776,0.0033795189429204333
reliability_gt,heterophily,2,"degree,local_similarity,rwse",separate,0.9111111164093018,0.826984167098999,-5.0,nan,12.708888053894043,0.006755325710400939,0.006405159365385771,0.007105492055416107,0.000404243910452351,0.000615266093518585,0.0005254503339529037,0.0007281368598341942,0.0030313730239868164,0.0032274723052978516,0.02169190465916625,-0.07965065809112443,0.0894325215083584,0.12298195870525575,-0.7093426964471611,0.05961670669673049
reliability_gt,heterophily,3,"degree,local_similarity,rwse",separate,0.9222222566604614,0.8888888955116272,-5.0,nan,25.909148931503296,0.00649205525405705,0.00611874321475625,0.006865367293357849,0.00037717417581006885,0.0005454435013234615,0.0005015964270569384,0.000669324304908514,0.0023283958435058594,0.0028519928455352783,-0.1339754140349107,0.29011059919918036,0.03262337646468504,0.035315217738389186,0.22311257631132586,0.11424906428076965
reliability_gt,heterophily,4,"degree,local_similarity,rwse",separate,0.894444465637207,0.8920634984970093,-5.0,nan,20.36173176765442,0.006753930589184165,0.00659661740064621,0.00691124377772212,0.00036570761585608125,0.000625367509201169,0.00047628418542444706,0.0008026161813177168,0.002599000930786133,0.0032123029232025146,0.025370015819949528,0.007981584191665895,0.053849272050038796,-0.10241488185292887,0.23720226516401627,-0.055352403271377054
reliability_gt,heterophily,5,"degree,local_similarity,rwse",separate,0.8277778029441833,0.8809524178504944,-5.0,nan,20.934730052947998,0.006663799285888672,0.006574153900146484,0.006753444671630859,0.00038837961619719863,0.000671497022267431,0.0005118155386298895,0.0007251742063090205,0.0026900172233581543,0.0031974613666534424,-0.025084300681477118,0.12087649733325696,-0.013198841010862232,-0.09365385655468221,0.2574760955246031,-0.05647961651369932
reliability_gt,heterophily,6,"degree,local_similarity,rwse",separate,0.8888888955116272,0.8809524178504944,-5.0,nan,25.942005157470703,0.006681689061224461,0.006506257224828005,0.006857120897620916,0.00035575366928242147,0.0005556754767894745,0.00046117091551423073,0.0006848396733403206,0.002684175968170166,0.0030088424682617188,-0.33980408340508134,-0.5119795280833612,-0.046491417043189084,-0.13453764594434003,-0.5232253767616518,-0.025199065883500776
reliability_gt,heterophily,7,"degree,local_similarity,rwse",separate,0.894444465637207,0.882539689540863,-5.0,nan,25.86642551422119,0.006712311878800392,0.0065356288105249405,0.006888994947075844,0.000480364979011938,0.0006593340076506138,0.0006119429599493742,0.0007765970658510923,0.0028117895126342773,0.0028783082962036133,0.0100442662192291,0.18189217280073777,0.010804537997638091,0.11974247861719796,0.22761938786035676,0.11057995241661767
reliability_gt,heterophily,8,"degree,local_similarity,rwse",separate,0.9166666865348816,0.8873016238212585,-5.0,nan,17.17553400993347,0.0067708478309214115,0.006663510110229254,0.006878185551613569,0.0003664652758743614,0.000615825061686337,0.0004675118834711611,0.0007175118080340326,0.002590358257293701,0.003108799457550049,-0.035371657105863576,0.5089436398834243,0.08196336750930196,-0.023106454922640598,0.507526205366038,-0.09977361701586901
reliability_gt,heterophily,9,"degree,local_similarity,rwse",separate,0.8500000238418579,0.8873016238212585,-5.0,nan,13.152917861938477,0.006584845250472426,0.006609081756323576,0.006560608744621277,0.0003693531034514308,0.0005078999092802405,0.0004923642263747752,0.000613860203884542,0.002914339303970337,0.002998262643814087,0.14577896753065023,0.35902614416056167,0.04307550231509373,-0.23297287163632172,0.3604781282574483,0.0562422484637438
gate_gt,homophily,0,"degree,local_similarity,rwse",separate,0.9722222685813904,0.958730161190033,-5.0,nan,9.11347508430481,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.17924494912383787,-0.11862497420384896,0.1302131022280193,-0.0008265139213757597,-0.2534601679600236,-0.09299735390574451
gate_gt,homophily,1,"degree,local_similarity,rwse",separate,0.9611111283302307,0.9793651103973389,-5.0,nan,8.866574048995972,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.17255080174345416,-0.05753837490467874,-0.013195909388216706,-0.42550611455071263,-0.04240383507073138,-0.06689750519497285
gate_gt,homophily,2,"degree,local_similarity,rwse",separate,0.9777777791023254,0.9650793671607971,-5.0,nan,6.378739595413208,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.01148856546821442,-0.13527986246715948,0.10385821234022373,-0.20238531954878242,-0.20169223429526376,-0.13368100644256198
gate_gt,homophily,3,"degree,local_similarity,rwse",separate,0.9944444894790649,0.9698413014411926,-5.0,nan,8.026346921920776,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0878201242122524,-0.04178007625226842,-0.07808468034999037,-0.016237112890108103,0.32250379308937926,-0.0711281731202138
gate_gt,homophily,4,"degree,local_similarity,rwse",separate,0.9777777791023254,0.9682539701461792,-5.0,nan,7.124822616577148,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00398087478281314,0.017177182517168543,0.043814743737015126,-0.28994328105590056,0.11699017720420161,0.014647054283383207
