dataset,family,control_mode,split,seed,reported_test_primary_at_best_val,recomputed_test_primary_at_best_val,reproduction_delta,reproduction_status,base_alpha,alpha_mean,alpha_std,adjustment_mean,relation_to_base_norm,relation_update_gate_mean,preference_count,local_preference_count,global_preference_count,alpha_auc_for_local_preference,alpha_corr_signed_preference,alpha_corr_local_minus_global_correct,alpha_corr_local_advantage,mean_alpha_local_win_nodes,mean_alpha_global_win_nodes,mean_alpha_both_correct,mean_alpha_both_wrong,alpha_gap_local_minus_global,high_alpha_local_preference_rate,low_alpha_global_preference_rate
Amazon-ratings,iterative_relation_finetune,combined,0,0,0.4844030737876892,0.4646415114402771,-0.01976156234741211,suspect,0.75,0.75,0.0,0.0,0.0,0.49869927763938904,2345,1017,1328,0.5,nan,nan,nan,0.75,0.75,0.75,0.75,0.0,0.4336887001991272,0.5663112998008728
Amazon-ratings,iterative_relation_finetune,combined,1,0,0.4907724857330322,0.4636616110801697,-0.02711087465286255,suspect,1.0,1.0,0.0,0.0,0.0,0.4980141818523407,1811,904,907,0.5,nan,nan,nan,1.0,1.0,1.0,1.0,0.0,0.49917173385620117,0.5008282661437988
Amazon-ratings,iterative_relation_finetune,combined,2,0,0.4768904149532318,0.481136679649353,0.004246264696121216,suspect,0.75,0.7994043827056885,0.004441351629793644,0.06374233216047287,0.5467530488967896,0.4398738145828247,1885,956,929,0.5257385229990407,0.055222198916659436,0.030446141771970775,-0.03725173153793541,0.7996183037757874,0.7991366982460022,0.8001524209976196,0.7989090085029602,0.00048160552978515625,0.49145299196243286,0.5472102761268616
Amazon-ratings,iterative_relation_finetune,feature_only,0,0,0.4791768789291382,0.482443243265152,0.003266364336013794,suspect,0.75,0.7980311512947083,0.004095700103789568,0.06793054193258286,0.615156352519989,0.5715069770812988,2345,1017,1328,0.4162068628496286,-0.13559352834098515,-0.09169791902399761,-0.06419631856264443,0.797896683216095,0.7990133166313171,0.7976154088973999,0.7978664636611938,-0.001116633415222168,0.3773292005062103,0.4171907901763916
Amazon-ratings,iterative_relation_finetune,feature_only,1,0,0.4808100461959839,0.4636616110801697,-0.01714843511581421,suspect,1.0,1.0,0.0,0.0,0.0,0.4967385530471802,1811,904,907,0.5,nan,nan,nan,1.0,1.0,1.0,1.0,0.0,0.49917173385620117,0.5008282661437988
Amazon-ratings,iterative_relation_finetune,feature_only,2,0,0.48097336292266846,0.48521965742111206,0.0042462944984436035,suspect,0.75,0.8057956695556641,0.003965982235968113,0.07329955697059631,0.6000745296478271,0.48299580812454224,1885,956,929,0.5708240065576429,0.16437829632620884,0.09720203604457572,0.033371858740971795,0.8063672184944153,0.8049919009208679,0.8062232732772827,0.8056232333183289,0.0013753175735473633,0.5441478490829468,0.6193415522575378
Amazon-ratings,iterative_relation_finetune,reliability_only,0,0,0.4672546088695526,0.4646415114402771,-0.0026130974292755127,suspect,0.75,0.75,0.0,0.0,0.0,0.4989258944988251,2345,1017,1328,0.5,nan,nan,nan,0.75,0.75,0.75,0.75,0.0,0.4336887001991272,0.5663112998008728
Amazon-ratings,iterative_relation_finetune,reliability_only,1,0,0.4716642200946808,0.4636616110801697,-0.008002609014511108,suspect,1.0,1.0,0.0,0.0,0.0,0.4991818964481354,1811,904,907,0.5,nan,nan,nan,1.0,1.0,1.0,1.0,0.0,0.49917173385620117,0.5008282661437988
Amazon-ratings,iterative_relation_finetune,reliability_only,2,0,0.48407644033432007,0.4850563406944275,0.0009799003601074219,ok,0.75,0.8007795214653015,0.0049620335921645164,0.066639743745327,0.5556600093841553,0.5036306381225586,1885,956,929,0.5054750237579437,0.021906117911630097,0.012298259565836614,-0.051577045936674476,0.8010764718055725,0.8008630871772766,0.801534116268158,0.8002006411552429,0.00021338462829589844,0.49799999594688416,0.48878923058509827
Amazon-ratings,iterative_relation_frozen,combined,0,0,0.4715009033679962,0.4646415114402771,-0.006859391927719116,suspect,0.75,0.75,0.0,0.0,0.0,0.49869927763938904,2345,1017,1328,0.5,nan,nan,nan,0.75,0.75,0.75,0.75,0.0,0.4336887001991272,0.5663112998008728
Amazon-ratings,iterative_relation_frozen,combined,1,0,0.4636616110801697,0.4636616110801697,0.0,ok,1.0,1.0,0.0,0.0,0.0,0.4980142116546631,1811,904,907,0.5,nan,nan,nan,1.0,1.0,1.0,1.0,0.0,0.49917173385620117,0.5008282661437988
Amazon-ratings,iterative_relation_frozen,combined,2,0,0.4768904149532318,0.4728074371814728,-0.004082977771759033,suspect,0.75,0.75,0.0,0.0,0.0,0.4964543581008911,1885,956,929,0.5,nan,nan,nan,0.75,0.75,0.75,0.75,0.0,0.5071617960929871,0.49283820390701294
Amazon-ratings,iterative_relation_frozen,feature_only,0,0,0.4700310230255127,0.4646415114402771,-0.005389511585235596,suspect,0.75,0.75,0.0,0.0,0.0,0.4977710247039795,2345,1017,1328,0.5,nan,nan,nan,0.75,0.75,0.75,0.75,0.0,0.4336887001991272,0.5663112998008728
