dataset,comparison,n,mean_delta,ci95_low,ci95_high,wins,ties,losses,pvalue
Cora,Reliability gate - ordinary gate,3,0.0,0.0,0.0,0,3,0,nan
Cora,ordinary_gate - validation-selected fixed alpha,3,-0.19933334986368814,-0.2528624383644806,-0.1458042613628957,0,0,3,0.0038727422565829933
Cora,reliability_gate - validation-selected fixed alpha,3,-0.19933334986368814,-0.2528624383644806,-0.1458042613628957,0,0,3,0.0038727422565829933
Cora,alpha=0 fallback - global expert,3,0.0,0.0,0.0,0,3,0,nan
Cora,alpha=1 fallback - GCN,3,0.0,0.0,0.0,0,3,0,nan
Cora,ordinary_gate - GCN,3,-0.19933334986368814,-0.2528624383644806,-0.1458042613628957,0,0,3,0.0038727422565829933
Cora,reliability_gate - GCN,3,-0.19933334986368814,-0.2528624383644806,-0.1458042613628957,0,0,3,0.0038727422565829933
Cora,ordinary_gate - fixed_alpha_000,3,0.05500000715255737,-0.02768854740092952,0.13768856170604427,3,0,0,0.10348584034587502
Cora,ordinary_gate - fixed_alpha_050,3,0.0,0.0,0.0,0,3,0,nan
Cora,ordinary_gate - fixed_alpha_100,3,-0.19933334986368814,-0.2528624383644806,-0.1458042613628957,0,0,3,0.0038727422565829933
Cora,reliability_gate - fixed_alpha_000,3,0.05500000715255737,-0.02768854740092952,0.13768856170604427,3,0,0,0.10348584034587502
Cora,reliability_gate - fixed_alpha_050,3,0.0,0.0,0.0,0,3,0,nan
Cora,reliability_gate - fixed_alpha_100,3,-0.19933334986368814,-0.2528624383644806,-0.1458042613628957,0,0,3,0.0038727422565829933
Chameleon,Reliability gate - ordinary gate,3,0.0,0.0,0.0,0,3,0,nan
Chameleon,ordinary_gate - validation-selected fixed alpha,3,-0.046783626079559326,-0.18355524903355924,0.08998799687444059,0,1,2,0.2789390622530874
Chameleon,reliability_gate - validation-selected fixed alpha,3,-0.046783626079559326,-0.18355524903355924,0.08998799687444059,0,1,2,0.2789390622530874
Chameleon,alpha=0 fallback - global expert,3,0.0,0.0,0.0,0,3,0,nan
Chameleon,alpha=1 fallback - GCN,3,0.0,0.0,0.0,0,3,0,nan
Chameleon,ordinary_gate - GCN,3,-0.03801168998082479,-0.20452993741586087,0.12850655745421127,1,0,2,0.4295695124948904
Chameleon,reliability_gate - GCN,3,-0.03801168998082479,-0.20452993741586087,0.12850655745421127,1,0,2,0.4295695124948904
Chameleon,ordinary_gate - fixed_alpha_000,3,0.021198829015096027,-0.03336861019549038,0.07576626822568244,2,1,0,0.23657783112576444
Chameleon,ordinary_gate - fixed_alpha_050,3,-0.0029239853223164878,-0.015504878750972978,0.009656908106340002,0,2,1,0.42264973081037416
Chameleon,ordinary_gate - fixed_alpha_100,3,-0.03801168998082479,-0.20452993741586087,0.12850655745421127,1,0,2,0.4295695124948904
Chameleon,reliability_gate - fixed_alpha_000,3,0.021198829015096027,-0.03336861019549038,0.07576626822568244,2,1,0,0.23657783112576444
Chameleon,reliability_gate - fixed_alpha_050,3,-0.0029239853223164878,-0.015504878750972978,0.009656908106340002,0,2,1,0.42264973081037416
Chameleon,reliability_gate - fixed_alpha_100,3,-0.03801168998082479,-0.20452993741586087,0.12850655745421127,1,0,2,0.4295695124948904
Actor,Reliability gate - ordinary gate,3,-0.00043859084447224933,-0.0013821428915663792,0.0005049612026218806,0,1,2,0.18350341907227394
Actor,ordinary_gate - validation-selected fixed alpha,3,0.0,-0.007123789119274849,0.007123789119274849,2,0,1,1.0
Actor,reliability_gate - validation-selected fixed alpha,3,-0.00043859084447224933,-0.006626002493642515,0.0057488208046980165,2,0,1,0.7891856276212273
Actor,alpha=0 fallback - global expert,3,0.0,0.0,0.0,0,3,0,nan
Actor,alpha=1 fallback - GCN,3,0.0,0.0,0.0,0,3,0,nan
Actor,ordinary_gate - GCN,3,0.07368420561154683,0.04815559335803683,0.09921281786505683,3,0,0,0.0064214641217919515
Actor,reliability_gate - GCN,3,0.07324561476707458,0.048121263228383046,0.09836996630576612,3,0,0,0.006295605780829507
Actor,ordinary_gate - fixed_alpha_000,3,0.0,-0.007123789119274849,0.007123789119274849,2,0,1,1.0
Actor,ordinary_gate - fixed_alpha_050,3,0.0057017505168914795,0.003205314140395717,0.008198186893387242,3,0,0,0.01019693108218941
Actor,ordinary_gate - fixed_alpha_100,3,0.07368420561154683,0.04815559335803683,0.09921281786505683,3,0,0,0.0064214641217919515
Actor,reliability_gate - fixed_alpha_000,3,-0.00043859084447224933,-0.006626002493642515,0.0057488208046980165,2,0,1,0.7891856276212273
Actor,reliability_gate - fixed_alpha_050,3,0.00526315967241923,0.0024324821593875146,0.008093837185450946,3,0,0,0.015267903199087818
Actor,reliability_gate - fixed_alpha_100,3,0.07324561476707458,0.048121263228383046,0.09836996630576612,3,0,0,0.006295605780829507
