dataset,split,seed,primary_metric,local_only,global_only,best_fixed_alpha,best_fixed_alpha_score,oracle_union,oracle_union_minus_best_fixed,oracle_union_minus_best_single,local_minus_global,best_single_expert,local_win_rate,global_win_rate,both_correct_rate,both_wrong_rate,disagreement_rate
Roman-empire,0,0,accuracy,0.38792797923088074,0.6602541208267212,0.5,0.6934345364570618,0.7333215475082397,0.03988701105117798,0.07306742668151855,-0.27232614159584045,global,0.07306741923093796,0.345393568277359,0.31486058235168457,0.26667842268943787,0.41846098750829697
Roman-empire,1,0,accuracy,0.39498764276504517,0.6657253503799438,0.5,0.6980233192443848,0.7389692664146423,0.04094594717025757,0.07324391603469849,-0.2707377076148987,global,0.07324390858411789,0.34398165345191956,0.3217437267303467,0.2610307037830353,0.41722556203603745
Roman-empire,2,0,accuracy,0.3808683454990387,0.6574302911758423,0.5,0.692728579044342,0.7241440415382385,0.031415462493896484,0.06671375036239624,-0.2765619456768036,global,0.06671372801065445,0.34327566623687744,0.31415459513664246,0.27585598826408386,0.4099893942475319
Roman-empire,3,0,accuracy,0.38051536679267883,0.658136248588562,0.5,0.6914930939674377,0.7250264883041382,0.03353339433670044,0.06689023971557617,-0.2776208817958832,global,0.06689022481441498,0.34451112151145935,0.31362512707710266,0.2749735116958618,0.41140134632587433
Roman-empire,4,0,accuracy,0.3798093795776367,0.6606071591377258,0.5,0.6897282004356384,0.728203296661377,0.038475096225738525,0.06759613752365112,-0.2807977795600891,global,0.0675961896777153,0.34839391708374023,0.3122132122516632,0.27179667353630066,0.41599010676145554
Roman-empire,5,0,accuracy,0.3838686943054199,0.6659018993377686,0.5,0.697493851184845,0.734557032585144,0.03706318140029907,0.06865513324737549,-0.28203320503234863,global,0.06865513324737549,0.35068830847740173,0.31521356105804443,0.26544299721717834,0.4193434417247772
Roman-empire,6,0,accuracy,0.3842216730117798,0.6584892272949219,0.5,0.6860218644142151,0.7290858030319214,0.0430639386177063,0.07059657573699951,-0.2742675542831421,global,0.07059653848409653,0.3448641002178192,0.31362512707710266,0.270914226770401,0.41546063870191574
Roman-empire,7,0,accuracy,0.39498764276504517,0.658136248588562,0.5,0.6951994299888611,0.7262619137763977,0.03106248378753662,0.0681256651878357,-0.26314860582351685,global,0.0681256651878357,0.33127427101135254,0.3268619775772095,0.2737380862236023,0.39939993619918823
Roman-empire,8,0,accuracy,0.38369220495224,0.6657253503799438,0.5,0.6872573494911194,0.7336745262145996,0.046417176723480225,0.06794917583465576,-0.28203314542770386,global,0.06794916838407516,0.349982351064682,0.31574302911758423,0.266325443983078,0.41793151944875717
Roman-empire,9,0,accuracy,0.3821037709712982,0.648958683013916,0.5,0.6869043707847595,0.7181432843208313,0.031238913536071777,0.06918460130691528,-0.2668549120426178,global,0.06918460875749588,0.33603954315185547,0.31291916966438293,0.2818566858768463,0.40522415190935135
Amazon-ratings,0,0,accuracy,0.3702433407306671,0.42103543877601624,0.0,0.42103543877601624,0.5871304869651794,0.1660950481891632,0.1660950481891632,-0.05079209804534912,global,0.1660950481891632,0.21688714623451233,0.2041482925415039,0.41286951303482056,0.38298219442367554
Amazon-ratings,1,0,accuracy,0.4234852194786072,0.4239751696586609,0.75,0.4409603178501129,0.5716152191162109,0.13065490126609802,0.14764004945755005,-0.0004899501800537109,global,0.14764004945755005,0.14812999963760376,0.27584517002105713,0.42838478088378906,0.2957700490951538
Amazon-ratings,2,0,accuracy,0.42152538895606995,0.41711580753326416,0.5,0.43655070662498474,0.5732483863830566,0.1366976797580719,0.1517229974269867,0.004409581422805786,local,0.15613260865211487,0.1517230123281479,0.2653927803039551,0.42675158381462097,0.30785562098026276
Amazon-ratings,3,0,accuracy,0.4122162461280823,0.41139963269233704,0.5,0.43214109539985657,0.5611628293991089,0.12902173399925232,0.1489465832710266,0.0008166134357452393,local,0.14976318180561066,0.1489465981721878,0.2624530494213104,0.4388371706008911,0.29870977997779846
Amazon-ratings,4,0,accuracy,0.40960314869880676,0.42854809761047363,0.5,0.4345908761024475,0.5691654682159424,0.13457459211349487,0.14061737060546875,-0.01894494891166687,global,0.14061734080314636,0.15956230461597443,0.268985778093338,0.43083456158638,0.3001796454191208
Amazon-ratings,5,0,accuracy,0.3615874648094177,0.36779356002807617,1.0,0.3615874648094177,0.41237956285476685,0.05079209804534912,0.044586002826690674,-0.006206095218658447,global,0.04458598792552948,0.05079209432005882,0.31700146198272705,0.5876204371452332,0.0953780822455883
Amazon-ratings,6,0,accuracy,0.4130328297615051,0.4221786558628082,0.5,0.4347541928291321,0.5683488249778748,0.13359463214874268,0.14617016911506653,-0.0091458261013031,global,0.14617018401622772,0.15531602501869202,0.2668626606464386,0.43165114521980286,0.30148620903491974
Amazon-ratings,7,0,accuracy,0.368610143661499,0.41515597701072693,0.75,0.4158092439174652,0.588437020778656,0.1726277768611908,0.17328104376792908,-0.046545833349227905,global,0.17328107357025146,0.21982687711715698,0.19532908499240875,0.4115629494190216,0.39310795068740845
Amazon-ratings,8,0,accuracy,0.419075608253479,0.4205454885959625,0.5,0.4373672902584076,0.5784745812416077,0.14110729098320007,0.15792909264564514,-0.0014698803424835205,global,0.15792912244796753,0.15939898788928986,0.2611464858055115,0.42152538895606995,0.3173281103372574
Amazon-ratings,9,0,accuracy,0.42038217186927795,0.4200555384159088,0.75,0.43655070662498474,0.5714519023895264,0.13490119576454163,0.1510697305202484,0.0003266334533691406,local,0.15139637887477875,0.1510697305202484,0.268985778093338,0.42854809761047363,0.30246610939502716
