dataset,split,seed,preference_label_balance,preference_count,local_preference_count,global_preference_count,reliability_preference_auc,feature_preference_auc,combined_preference_auc,degree_auc,neighbor_variance_auc,local_similarity_auc,rwse_auc,mean_degree_local_win,mean_degree_global_win,mean_neighbor_variance_local_win,mean_neighbor_variance_global_win,mean_local_similarity_local_win,mean_local_similarity_global_win,mean_rwse_local_win,mean_rwse_global_win
Roman-empire,0,0,0.17460986925347954,2371,414,1957,0.698242898649466,0.7706609989163142,0.8537974667920681,0.6355076166566691,0.6326070911061247,0.501982231503904,0.5849502220444878,0.4504213333129883,-0.06483423709869385,0.27706921100616455,-0.005473962984979153,0.21501211822032928,0.21399526298046112,0.14777563512325287,-0.005722614470869303
Roman-empire,1,0,0.17554991539763112,2364,415,1949,0.6809528519413723,0.7638424400526683,0.8313549735112847,0.5897710905190799,0.573511902922104,0.5176358589823635,0.5458430953161028,0.27129223942756653,-0.09875782579183578,0.12797681987285614,-0.021939625963568687,0.2184096872806549,0.21288351714611053,0.07977605611085892,-0.0038218197878450155
Roman-empire,2,0,0.16272061988807576,2323,378,1945,0.6762666449041772,0.7736755484827464,0.8478733967165843,0.6204138953496281,0.6216461963248596,0.5200412127147346,0.5867010786033922,0.3693424463272095,-0.10416004806756973,0.24335041642189026,-0.017619647085666656,0.22000721096992493,0.2162548452615738,0.1512523591518402,-0.0068400888703763485
Roman-empire,3,0,0.1625911625911626,2331,379,1952,0.7074051645832432,0.769387462693023,0.831841504822873,0.6451356297850253,0.6521516393442623,0.495252822353908,0.5853430890176912,0.4124724864959717,-0.13307321071624756,0.2969701886177063,-0.03629561886191368,0.2160346806049347,0.2175384908914566,0.13894137740135193,-0.011288340203464031
Roman-empire,4,0,0.16249469664828173,2357,383,1974,0.7045547734120591,0.7387162353414228,0.8252068006803857,0.6351796593310953,0.6214899436803776,0.494489724115856,0.5659308609839135,0.45091375708580017,-0.08090009540319443,0.2619493901729584,-0.005075367633253336,0.2161336988210678,0.21608515083789825,0.09460475295782089,-0.022721461951732635
Roman-empire,5,0,0.1637205387205387,2376,389,1987,0.7044866180300488,0.7549327699455199,0.828350861577115,0.6398744797481832,0.6342679861257556,0.5107181253986387,0.5647544514925421,0.47195708751678467,-0.07228639721870422,0.28778257966041565,0.0026335541624575853,0.2158135026693344,0.21522510051727295,0.10567538440227509,-0.0035878538619726896
Roman-empire,6,0,0.16992353440951571,2354,400,1954,0.7019600818833163,0.7551209058341863,0.850968526100307,0.642434749232344,0.6309448567041965,0.5305002558853633,0.5612224923234391,0.45895522832870483,-0.09380785375833511,0.2730760872364044,-0.0038310259114950895,0.22310279309749603,0.21478624641895294,0.09995150566101074,-0.006622245069593191
Roman-empire,7,0,0.17057003977021654,2263,386,1877,0.7242057522062822,0.7930877185233851,0.8505166164726536,0.6381131283798145,0.6231225552847256,0.49776128261115604,0.5800072323545731,0.4116767644882202,-0.1001194566488266,0.25275668501853943,-0.0007559123332612216,0.21532003581523895,0.21452192962169647,0.13559490442276,-0.009134547784924507
Roman-empire,8,0,0.16258445945945946,2368,385,1983,0.6932563150414891,0.7692738930257841,0.8123674610815306,0.6518799405334958,0.6443130243432815,0.4949630299100798,0.5604731123641865,0.4269741177558899,-0.12812677025794983,0.28999119997024536,-0.025876116007566452,0.2176874577999115,0.21848976612091064,0.09564734250307083,-0.014079633168876171
Roman-empire,9,0,0.17073170731707318,2296,392,1904,0.7052258403361344,0.7852888923426513,0.846894561395987,0.6350841675956096,0.633020172354656,0.49489661936203044,0.5688768811095868,0.39461183547973633,-0.10326366871595383,0.281469464302063,-0.006261790636926889,0.2134637087583542,0.21728676557540894,0.11745961755514145,-0.006444460246711969
Amazon-ratings,0,0,0.43368869936034116,2345,1017,1328,0.5677799694352632,0.531325153119854,0.559898147160915,0.5457401138477214,0.4998763490540333,0.4946730135882764,0.5634836543815379,0.09336001425981522,-0.017744531854987144,-0.010511812753975391,-0.024752283468842506,0.5342594385147095,0.5392796993255615,0.08117365837097168,-0.06111599877476692
Amazon-ratings,1,0,0.4991717283268912,1811,904,907,0.5800442233952249,0.5855453161741031,0.5851294259983804,0.5532680918324535,0.5006720102252881,0.49456537647208043,0.5822212438165302,0.10705023258924484,-0.02582242526113987,0.04605068638920784,0.04228492081165314,0.5024049282073975,0.5060562491416931,0.08385559171438217,-0.10008781403303146
Amazon-ratings,2,0,0.49283819628647213,1885,956,929,0.576818101976751,0.547349244024483,0.5823218379415487,0.5488681760655044,0.5027991586760407,0.519339641761736,0.5839263436186839,0.06634242087602615,-0.0277251023799181,0.04819493368268013,0.036978498101234436,0.5147219896316528,0.5030112266540527,0.09202532470226288,-0.09967108070850372
Amazon-ratings,3,0,0.4986331328594861,1829,917,912,0.5642852359907402,0.5019771518490883,0.5542266926859133,0.5566307227993648,0.5107203839752052,0.4885627714323978,0.5759789502381909,0.10765397548675537,-0.06139795109629631,0.09692030400037766,0.059944599866867065,0.49512723088264465,0.5042421817779541,0.08930453658103943,-0.07769494503736496
Amazon-ratings,4,0,0.46844396082698586,1838,861,977,0.5736527828796346,0.5333275083006715,0.5663619817949898,0.558983805220418,0.5263862091757341,0.49843615704763566,0.5975259065355678,0.0873236432671547,-0.05315703898668289,0.10150054097175598,0.04810720682144165,0.5034185647964478,0.5043771266937256,0.07735826820135117,-0.13560523092746735
Amazon-ratings,5,0,0.4674657534246575,584,273,311,0.4822091092187555,0.4730162656207672,0.501431044839405,0.5284324464388773,0.48563654994523164,0.5324546835800856,0.4848533031812774,-0.12161298096179962,-0.22993162274360657,-0.3121136724948883,-0.26591137051582336,0.5767325758934021,0.5518489480018616,-0.1500319391489029,-0.10681702196598053
Amazon-ratings,6,0,0.4848320693391116,1846,895,951,0.556226024942871,0.5068901303538176,0.5762555146302921,0.5481510200964583,0.5122135476328945,0.48136333997145025,0.5737588777470348,0.06660480052232742,-0.043256547302007675,0.08503828197717667,0.046352285891771317,0.5017947554588318,0.514098048210144,0.06495979428291321,-0.09552357345819473
Amazon-ratings,7,0,0.4407976734524304,2407,1061,1346,0.5469986121478378,0.5694328712294465,0.5420676056259129,0.5404350237307315,0.5125092255056698,0.48234444782110014,0.5464440314654515,0.09925814718008041,-0.008341891691088676,0.03853398188948631,-0.01292797364294529,0.5156245231628418,0.5287730693817139,0.051739223301410675,-0.04573803395032883
Amazon-ratings,8,0,0.49768399382398354,1943,967,976,0.5662698984522013,0.5458612702798922,0.5647939376472783,0.5346850789156933,0.5108461398274196,0.5093505772458338,0.5711242519538203,0.08426778763532639,-0.014455236494541168,0.08179907500743866,0.04792734980583191,0.5122936367988586,0.5053259134292603,0.07715890556573868,-0.08642105013132095
