dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,primary_metric,best_val_primary,test_primary_at_best_val,best_val_acc,test_acc_at_best_val,best_val_roc_auc,test_roc_auc_at_best_val,test_macro_f1_at_best_val,backbone_training_mode,base_alpha,baseline_val_acc,baseline_test_acc,baseline_val_primary,baseline_test_primary,baseline_val_roc_auc,baseline_test_roc_auc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,relation_steps,causal_interventions,save_external_expert_logits,reuse_compatible_backbone_cache,compatible_backbone_cache_config,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,relation_abs_mean,relation_norm_mean,relation_to_base_norm,relation_relative_strength,relation_to_branch_disagreement,relation_state_norm_mean,relation_update_gate_mean,relation_update_gate_std,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean,causal_normal_test_primary,causal_normal_test_acc,causal_restore_max_abs_logit_delta,causal_zero_all_test_primary,causal_zero_all_test_acc,causal_zero_all_primary_drop,causal_zero_all_acc_drop,causal_zero_all_prediction_change_rate,causal_zero_all_normal_only_correct_rate,causal_zero_all_intervention_only_correct_rate,causal_zero_layer_0_test_primary,causal_zero_layer_0_test_acc,causal_zero_layer_0_primary_drop,causal_zero_layer_0_acc_drop,causal_zero_layer_0_prediction_change_rate,causal_zero_layer_0_normal_only_correct_rate,causal_zero_layer_0_intervention_only_correct_rate,causal_zero_layer_1_test_primary,causal_zero_layer_1_test_acc,causal_zero_layer_1_primary_drop,causal_zero_layer_1_acc_drop,causal_zero_layer_1_prediction_change_rate,causal_zero_layer_1_normal_only_correct_rate,causal_zero_layer_1_intervention_only_correct_rate,causal_shuffled_reliability_test_primary,causal_shuffled_reliability_test_acc,causal_shuffled_reliability_primary_drop,causal_shuffled_reliability_acc_drop,causal_shuffled_reliability_prediction_change_rate,causal_shuffled_reliability_normal_only_correct_rate,causal_shuffled_reliability_intervention_only_correct_rate,causal_constant_reliability_test_primary,causal_constant_reliability_test_acc,causal_constant_reliability_primary_drop,causal_constant_reliability_acc_drop,causal_constant_reliability_prediction_change_rate,causal_constant_reliability_normal_only_correct_rate,causal_constant_reliability_intervention_only_correct_rate
Amazon-ratings,iterative_relation_finetune_combined,iterative_relation_finetune,combined,undirected,0:0,0,0,-1,accuracy,0.4710109233856201,0.4775436818599701,0.4710109233856201,0.4775436818599701,nan,nan,0.3669840006520091,finetuned,0.75,0.4710109233856201,0.4775436818599701,0.4710109233856201,0.4775436818599701,nan,nan,0.3669840006520091,1.430511474609375e-06,260997,166144,94853,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,3.9601120948791504,0.75,0.0,0.75,0.75,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.190499782562256,0.4961759150028229,0.17065013945102692,nan,nan,nan,nan,nan,0.4775436818599701,0.4775436818599701,1.1920928955078125e-06,0.4775436818599701,0.4775436818599701,0.0,0.0,0.0,0.0,0.0,0.4775436818599701,0.4775436818599701,0.0,0.0,0.0,0.0,0.0,0.4775436818599701,0.4775436818599701,0.0,0.0,0.0,0.0,0.0,0.4775436818599701,0.4775436818599701,0.0,0.0,0.0,0.0,0.0,0.4775436818599701,0.4775436818599701,0.0,0.0,0.0,0.0,0.0
Amazon-ratings,iterative_relation_finetune_combined,iterative_relation_finetune,combined,undirected,1:0,1,0,182,accuracy,0.4822799265384674,0.47395068407058716,0.4822799265384674,0.47395068407058716,nan,nan,0.4007103765347475,finetuned,0.75,0.4667646586894989,0.46496814489364624,0.4667646586894989,0.46496814489364624,nan,nan,0.3665667587690266,1.430511474609375e-06,260997,166144,94853,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,8.963662385940552,0.7962599396705627,0.060652099549770355,0.6525524258613586,0.8499107360839844,nan,0.06913052499294281,0.09991073608398438,0.045092690736055374,0.5285288691520691,0.5664294958114624,0.045911505818367004,0.047923218458890915,7.611143589019775,0.5373560190200806,0.45274341106414795,-0.18773908294474875,0.012804415786216296,-0.06400277519914051,-0.6048031508870693,-0.5518693664599292,0.47395068407058716,0.47395068407058716,1.9073486328125e-06,0.44553321599960327,0.44553321599960327,0.028417468070983887,0.028417468070983887,0.24906091392040253,0.10272742062807083,0.07430997490882874,0.45418912172317505,0.45418912172317505,0.01976156234741211,0.01976156234741211,0.2261963039636612,0.08933529257774353,0.06957373768091202,0.4693777561187744,0.4693777561187744,0.004572927951812744,0.004572927951812744,0.08525232970714569,0.029560672119259834,0.024987751618027687,0.4715009033679962,0.4715009033679962,0.0024497807025909424,0.0024497807025909424,0.09064184129238129,0.029560672119259834,0.02711089327931404,0.4661113917827606,0.4661113917827606,0.007839292287826538,0.007839292287826538,0.09080515801906586,0.032827045768499374,0.024987751618027687
Amazon-ratings,iterative_relation_finetune_combined,iterative_relation_finetune,combined,undirected,2:0,2,0,-1,accuracy,0.4827698767185211,0.47084760665893555,0.4827698767185211,0.47084760665893555,nan,nan,0.36412438281986587,finetuned,0.75,0.4827698767185211,0.47084760665893555,0.4827698767185211,0.47084760665893555,nan,nan,0.36412438281986587,1.430511474609375e-06,260997,166144,94853,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.921382188796997,0.75,0.0,0.75,0.75,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.155271291732788,0.49328407645225525,0.17210403084754944,nan,nan,nan,nan,nan,0.47084760665893555,0.47084760665893555,9.5367431640625e-07,0.47084760665893555,0.47084760665893555,0.0,0.0,0.0,0.0,0.0,0.47084760665893555,0.47084760665893555,0.0,0.0,0.0,0.0,0.0,0.47084760665893555,0.47084760665893555,0.0,0.0,0.0,0.0,0.0,0.47084760665893555,0.47084760665893555,0.0,0.0,0.0,0.0,0.0,0.47084760665893555,0.47084760665893555,0.0,0.0,0.0,0.0,0.0
Amazon-ratings,iterative_relation_finetune_combined,iterative_relation_finetune,combined,undirected,3:0,3,0,-1,accuracy,0.46594804525375366,0.4484729766845703,0.46594804525375366,0.4484729766845703,nan,nan,0.33333179934815227,finetuned,0.5,0.46594804525375366,0.4484729766845703,0.46594804525375366,0.4484729766845703,nan,nan,0.33333179934815227,1.1920928955078125e-06,260997,166144,94853,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.9289073944091797,0.5,0.0,0.5,0.5,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8285350799560547,0.4823572635650635,0.15397754311561584,nan,nan,nan,nan,nan,0.4484729766845703,0.4484729766845703,9.5367431640625e-07,0.4484729766845703,0.4484729766845703,0.0,0.0,0.0,0.0,0.0,0.4484729766845703,0.4484729766845703,0.0,0.0,0.0,0.0,0.0,0.4484729766845703,0.4484729766845703,0.0,0.0,0.0,0.0,0.0,0.4484729766845703,0.4484729766845703,0.0,0.0,0.0,0.0,0.0,0.4484729766845703,0.4484729766845703,0.0,0.0,0.0,0.0,0.0
Amazon-ratings,iterative_relation_finetune_combined,iterative_relation_finetune,combined,undirected,4:0,4,0,-1,accuracy,0.4731340706348419,0.4716642200946808,0.4731340706348419,0.4716642200946808,nan,nan,0.37045097629284973,finetuned,1.0,0.4731340706348419,0.4716642200946808,0.4731340706348419,0.4716642200946808,nan,nan,0.37045097629284973,1.1920928955078125e-06,260997,166144,94853,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.921478033065796,1.0,0.0,1.0,1.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0209507942199707,0.49580609798431396,0.09469117224216461,nan,nan,nan,nan,nan,0.4716642200946808,0.4716642200946808,1.9073486328125e-06,0.4716642200946808,0.4716642200946808,0.0,0.0,0.0,0.0,0.0,0.4716642200946808,0.4716642200946808,0.0,0.0,0.0,0.0,0.0,0.4716642200946808,0.4716642200946808,0.0,0.0,0.0,0.0,0.0,0.4716642200946808,0.4716642200946808,0.0,0.0,0.0,0.0,0.0,0.4716642200946808,0.4716642200946808,0.0,0.0,0.0,0.0,0.0
Amazon-ratings,iterative_relation_finetune_combined,iterative_relation_finetune,combined,undirected,5:0,5,0,199,accuracy,0.48848602175712585,0.48962926864624023,0.48848602175712585,0.48962926864624023,nan,nan,0.400335674841575,finetuned,0.75,0.4683978259563446,0.4768904149532318,0.4683978259563446,0.4768904149532318,nan,nan,0.3774703401873754,1.430511474609375e-06,260997,166144,94853,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,8.969961643218994,0.7960867881774902,0.05834338441491127,0.6515206694602966,0.8499078750610352,nan,0.0664328932762146,0.09990787506103516,0.04873933270573616,0.5638969540596008,0.5972940921783447,0.04518770053982735,0.04719344526529312,7.457970142364502,0.4685323238372803,0.4514269232749939,-0.5612125950238176,-0.04910221852852344,-0.005962207824470931,-0.47868602150980105,-0.5721844081226651,0.48962926864624023,0.48962926864624023,1.9073486328125e-06,0.45157602429389954,0.45157602429389954,0.0380532443523407,0.0380532443523407,0.2534705102443695,0.1050138846039772,0.0669606402516365,0.4693777561187744,0.4693777561187744,0.02025151252746582,0.02025151252746582,0.2100277692079544,0.08214927464723587,0.06189776211977005,0.4870161712169647,0.4870161712169647,0.0026130974292755127,0.0026130974292755127,0.0857422798871994,0.029397353529930115,0.026784256100654602,0.4816266596317291,0.4816266596317291,0.008002609014511108,0.008002609014511108,0.10387065261602402,0.03870651498436928,0.03070390224456787,0.4806467294692993,0.4806467294692993,0.008982539176940918,0.008982539176940918,0.08263922482728958,0.03152049705386162,0.022537970915436745
Amazon-ratings,iterative_relation_finetune_combined,iterative_relation_finetune,combined,undirected,6:0,6,0,-1,accuracy,0.47672709822654724,0.46692797541618347,0.47672709822654724,0.46692797541618347,nan,nan,0.3587679379968507,finetuned,1.0,0.47672709822654724,0.46692797541618347,0.47672709822654724,0.46692797541618347,nan,nan,0.3587679379968507,1.430511474609375e-06,260997,166144,94853,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.9314539432525635,1.0,0.0,1.0,1.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0045673847198486,0.4973319172859192,0.0918673574924469,nan,nan,nan,nan,nan,0.46692797541618347,0.46692797541618347,1.430511474609375e-06,0.46692797541618347,0.46692797541618347,0.0,0.0,0.0,0.0,0.0,0.46692797541618347,0.46692797541618347,0.0,0.0,0.0,0.0,0.0,0.46692797541618347,0.46692797541618347,0.0,0.0,0.0,0.0,0.0,0.46692797541618347,0.46692797541618347,0.0,0.0,0.0,0.0,0.0,0.46692797541618347,0.46692797541618347,0.0,0.0,0.0,0.0,0.0
Amazon-ratings,iterative_relation_finetune_combined,iterative_relation_finetune,combined,undirected,7:0,7,0,-1,accuracy,0.47035765647888184,0.4634982943534851,0.47035765647888184,0.4634982943534851,nan,nan,0.3718889321762172,finetuned,1.0,0.47035765647888184,0.4634982943534851,0.47035765647888184,0.4634982943534851,nan,nan,0.3718889321762172,1.430511474609375e-06,260997,166144,94853,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.9291529655456543,1.0,0.0,1.0,1.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0164389610290527,0.494498610496521,0.09297356009483337,nan,nan,nan,nan,nan,0.4634982943534851,0.4634982943534851,1.430511474609375e-06,0.4634982943534851,0.4634982943534851,0.0,0.0,0.0,0.0,0.0,0.4634982943534851,0.4634982943534851,0.0,0.0,0.0,0.0,0.0,0.4634982943534851,0.4634982943534851,0.0,0.0,0.0,0.0,0.0,0.4634982943534851,0.4634982943534851,0.0,0.0,0.0,0.0,0.0,0.4634982943534851,0.4634982943534851,0.0,0.0,0.0,0.0,0.0
Amazon-ratings,iterative_relation_finetune_combined,iterative_relation_finetune,combined,undirected,8:0,8,0,189,accuracy,0.47885024547576904,0.4827698767185211,0.47885024547576904,0.4827698767185211,nan,nan,0.3945525866047343,finetuned,0.75,0.4641515612602234,0.46594804525375366,0.4641515612602234,0.46594804525375366,nan,nan,0.35874470961361193,1.1920928955078125e-06,260997,166144,94853,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,8.933807611465454,0.7903949022293091,0.06331203132867813,0.6509531736373901,0.8499528765678406,nan,0.06761821359395981,0.09995287656784058,0.039458222687244415,0.4658254384994507,0.5871104001998901,0.04005597531795502,0.041672151535749435,7.724619388580322,0.5339246392250061,0.4586952328681946,-0.17158368617020162,-0.39914200803967853,0.34237345317926976,-0.6676234943274807,-0.6317847341143458,0.4827698767185211,0.4827698767185211,1.9073486328125e-06,0.46170178055763245,0.46170178055763245,0.021068096160888672,0.021068096160888672,0.19173607230186462,0.0777396708726883,0.056671567261219025,0.46072185039520264,0.46072185039520264,0.02204802632331848,0.02204802632331848,0.18210028111934662,0.07430997490882874,0.05226196348667145,0.4806467294692993,0.4806467294692993,0.0021231472492218018,0.0021231472492218018,0.046709127724170685,0.01682181842625141,0.014698676764965057,0.4795035123825073,0.4795035123825073,0.003266364336013794,0.003266364336013794,0.07104360312223434,0.025477707386016846,0.022211333736777306,0.4760738015174866,0.4760738015174866,0.006696075201034546,0.006696075201034546,0.07920953631401062,0.029560672119259834,0.022864608094096184
Amazon-ratings,iterative_relation_finetune_combined,iterative_relation_finetune,combined,undirected,9:0,9,0,151,accuracy,0.47656378149986267,0.47770699858665466,0.47656378149986267,0.47770699858665466,nan,nan,0.3917206794903839,finetuned,0.75,0.46333494782447815,0.457782119512558,0.46333494782447815,0.457782119512558,nan,nan,0.3407033152746546,1.430511474609375e-06,260997,166144,94853,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,8.947305917739868,0.7953773736953735,0.06455150246620178,0.6507601737976074,0.849905252456665,nan,0.07291312515735626,0.09990525245666504,0.04179513454437256,0.4853440225124359,0.5659726858139038,0.04823489487171173,0.050743382424116135,7.707331657409668,0.5162527561187744,0.46626436710357666,0.282743485184318,-0.22167251051982167,0.3318470957783311,-0.1581016359697934,-0.03207824887355974,0.47770699858665466,0.47770699858665466,1.430511474609375e-06,0.4505960941314697,0.4505960941314697,0.027110904455184937,0.027110904455184937,0.24987751245498657,0.09684795141220093,0.06973705440759659,0.45157602429389954,0.45157602429389954,0.026130974292755127,0.026130974292755127,0.2433447688817978,0.09668462723493576,0.07055365294218063,0.47983014583587646,0.47983014583587646,-0.0021231472492218018,-0.0021231472492218018,0.04033970087766647,0.01208557840436697,0.014208720996975899,0.47934019565582275,0.47934019565582275,-0.0016331970691680908,-0.0016331970691680908,0.05797811597585678,0.01763841323554516,0.019271599128842354,0.470684289932251,0.470684289932251,0.0070227086544036865,0.0070227086544036865,0.06189776211977005,0.022864608094096184,0.015841906890273094
