dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,primary_metric,best_val_primary,test_primary_at_best_val,best_val_acc,test_acc_at_best_val,best_val_roc_auc,test_roc_auc_at_best_val,test_macro_f1_at_best_val,backbone_training_mode,base_alpha,baseline_val_acc,baseline_test_acc,baseline_val_primary,baseline_test_primary,baseline_val_roc_auc,baseline_test_roc_auc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,relation_steps,causal_interventions,save_external_expert_logits,reuse_compatible_backbone_cache,compatible_backbone_cache_config,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,relation_abs_mean,relation_norm_mean,relation_to_base_norm,relation_relative_strength,relation_to_branch_disagreement,relation_state_norm_mean,relation_update_gate_mean,relation_update_gate_std,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean,causal_normal_test_primary,causal_normal_test_acc,causal_restore_max_abs_logit_delta,causal_zero_all_test_primary,causal_zero_all_test_acc,causal_zero_all_primary_drop,causal_zero_all_acc_drop,causal_zero_all_prediction_change_rate,causal_zero_all_normal_only_correct_rate,causal_zero_all_intervention_only_correct_rate,causal_zero_layer_0_test_primary,causal_zero_layer_0_test_acc,causal_zero_layer_0_primary_drop,causal_zero_layer_0_acc_drop,causal_zero_layer_0_prediction_change_rate,causal_zero_layer_0_normal_only_correct_rate,causal_zero_layer_0_intervention_only_correct_rate,causal_zero_layer_1_test_primary,causal_zero_layer_1_test_acc,causal_zero_layer_1_primary_drop,causal_zero_layer_1_acc_drop,causal_zero_layer_1_prediction_change_rate,causal_zero_layer_1_normal_only_correct_rate,causal_zero_layer_1_intervention_only_correct_rate,causal_shuffled_reliability_test_primary,causal_shuffled_reliability_test_acc,causal_shuffled_reliability_primary_drop,causal_shuffled_reliability_acc_drop,causal_shuffled_reliability_prediction_change_rate,causal_shuffled_reliability_normal_only_correct_rate,causal_shuffled_reliability_intervention_only_correct_rate,causal_constant_reliability_test_primary,causal_constant_reliability_test_acc,causal_constant_reliability_primary_drop,causal_constant_reliability_acc_drop,causal_constant_reliability_prediction_change_rate,causal_constant_reliability_normal_only_correct_rate,causal_constant_reliability_intervention_only_correct_rate
Amazon-ratings,iterative_relation_finetune_reliability_only,iterative_relation_finetune,reliability_only,undirected,0:0,0,0,-1,accuracy,0.4710109233856201,0.4775436818599701,0.4710109233856201,0.4775436818599701,nan,nan,0.3669840006520091,finetuned,0.75,0.4710109233856201,0.4775436818599701,0.4710109233856201,0.4775436818599701,nan,nan,0.3669840006520091,1.430511474609375e-06,260997,157568,94853,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,3.9263808727264404,0.75,0.0,0.75,0.75,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.918955087661743,0.49526432156562805,0.16402925550937653,nan,nan,nan,nan,nan,0.4775436818599701,0.4775436818599701,1.430511474609375e-06,0.4775436818599701,0.4775436818599701,0.0,0.0,0.0,0.0,0.0,0.4775436818599701,0.4775436818599701,0.0,0.0,0.0,0.0,0.0,0.4775436818599701,0.4775436818599701,0.0,0.0,0.0,0.0,0.0,0.4775436818599701,0.4775436818599701,0.0,0.0,0.0,0.0,0.0,0.4775436818599701,0.4775436818599701,0.0,0.0,0.0,0.0,0.0
Amazon-ratings,iterative_relation_finetune_reliability_only,iterative_relation_finetune,reliability_only,undirected,1:0,1,0,167,accuracy,0.4817899763584137,0.4728074371814728,0.4817899763584137,0.4728074371814728,nan,nan,0.3906888156518181,finetuned,0.75,0.4667646586894989,0.46496814489364624,0.4667646586894989,0.46496814489364624,nan,nan,0.3665667587690266,1.430511474609375e-06,260997,157568,94853,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,8.845009326934814,0.7933432459831238,0.062311530113220215,0.6526618599891663,0.8499305248260498,nan,0.06883750855922699,0.0999305248260498,0.04600148648023605,0.5360721349716187,0.5498220920562744,0.044831253588199615,0.04669121280312538,7.439181804656982,0.5136096477508545,0.4556356966495514,-0.1897595362631039,0.012626750410204415,-0.01594211153267914,-0.7402578207141132,-0.6498771211516957,0.4728074371814728,0.4728074371814728,1.9073486328125e-06,0.4453698992729187,0.4453698992729187,0.027437537908554077,0.027437537908554077,0.25428712368011475,0.10566715896129608,0.0782296285033226,0.4496161937713623,0.4496161937713623,0.023191243410110474,0.023191243410110474,0.20970112085342407,0.08770210295915604,0.06451085954904556,0.4754205346107483,0.4754205346107483,-0.0026130974292755127,-0.0026130974292755127,0.07137024402618408,0.022374652326107025,0.024987751618027687,0.47476726770401,0.47476726770401,-0.0019598305225372314,-0.0019598305225372314,0.08753878623247147,0.02776416763663292,0.029723990708589554,0.46823450922966003,0.46823450922966003,0.004572927951812744,0.004572927951812744,0.08802874386310577,0.03070390224456787,0.026130981743335724
Amazon-ratings,iterative_relation_finetune_reliability_only,iterative_relation_finetune,reliability_only,undirected,2:0,2,0,180,accuracy,0.488812655210495,0.4871794879436493,0.488812655210495,0.4871794879436493,nan,nan,0.3953288263263598,finetuned,0.75,0.4827698767185211,0.47084760665893555,0.4827698767185211,0.47084760665893555,nan,nan,0.36412438281986587,1.1920928955078125e-06,260997,157568,94853,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,8.807700395584106,0.8016108870506287,0.0542968325316906,0.6511572003364563,0.8499324321746826,nan,0.0676700547337532,0.09993243217468262,0.0465262234210968,0.5259898900985718,0.5603758692741394,0.0444304533302784,0.04656437784433365,7.474537372589111,0.4953266680240631,0.4505678415298462,0.09957967395140445,-0.01816049200010794,-0.062048681979234174,-0.4117780005927179,-0.31808219080490313,0.4871794879436493,0.4871794879436493,1.430511474609375e-06,0.46643802523612976,0.46643802523612976,0.02074146270751953,0.02074146270751953,0.2191736102104187,0.0857422798871994,0.06500081717967987,0.46219173073768616,0.46219173073768616,0.024987757205963135,0.024987757205963135,0.2159072309732437,0.08672219514846802,0.06173444166779518,0.4919157326221466,0.4919157326221466,-0.0047362446784973145,-0.0047362446784973145,0.05454842373728752,0.01682181842625141,0.021558059379458427,0.48538297414779663,0.48538297414779663,0.0017965137958526611,0.0017965137958526611,0.08133267611265182,0.02694757468998432,0.025151070207357407,0.48048341274261475,0.48048341274261475,0.006696075201034546,0.006696075201034546,0.10583047568798065,0.03544014319777489,0.028744079172611237
Amazon-ratings,iterative_relation_finetune_reliability_only,iterative_relation_finetune,reliability_only,undirected,3:0,3,0,-1,accuracy,0.46594804525375366,0.4484729766845703,0.46594804525375366,0.4484729766845703,nan,nan,0.33333179934815227,finetuned,0.5,0.46594804525375366,0.4484729766845703,0.46594804525375366,0.4484729766845703,nan,nan,0.33333179934815227,1.1920928955078125e-06,260997,157568,94853,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.899671792984009,0.5,0.0,0.5,0.5,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.52787184715271,0.48235851526260376,0.1451001912355423,nan,nan,nan,nan,nan,0.4484729766845703,0.4484729766845703,1.1920928955078125e-06,0.4484729766845703,0.4484729766845703,0.0,0.0,0.0,0.0,0.0,0.4484729766845703,0.4484729766845703,0.0,0.0,0.0,0.0,0.0,0.4484729766845703,0.4484729766845703,0.0,0.0,0.0,0.0,0.0,0.4484729766845703,0.4484729766845703,0.0,0.0,0.0,0.0,0.0,0.4484729766845703,0.4484729766845703,0.0,0.0,0.0,0.0,0.0
Amazon-ratings,iterative_relation_finetune_reliability_only,iterative_relation_finetune,reliability_only,undirected,4:0,4,0,-1,accuracy,0.4731340706348419,0.4716642200946808,0.4731340706348419,0.4716642200946808,nan,nan,0.37045097629284973,finetuned,1.0,0.4731340706348419,0.4716642200946808,0.4731340706348419,0.4716642200946808,nan,nan,0.37045097629284973,1.1920928955078125e-06,260997,157568,94853,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.9024016857147217,1.0,0.0,1.0,1.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5761218070983887,0.49724143743515015,0.07551811635494232,nan,nan,nan,nan,nan,0.4716642200946808,0.4716642200946808,9.5367431640625e-07,0.4716642200946808,0.4716642200946808,0.0,0.0,0.0,0.0,0.0,0.4716642200946808,0.4716642200946808,0.0,0.0,0.0,0.0,0.0,0.4716642200946808,0.4716642200946808,0.0,0.0,0.0,0.0,0.0,0.4716642200946808,0.4716642200946808,0.0,0.0,0.0,0.0,0.0,0.4716642200946808,0.4716642200946808,0.0,0.0,0.0,0.0,0.0
Amazon-ratings,iterative_relation_finetune_reliability_only,iterative_relation_finetune,reliability_only,undirected,5:0,5,0,173,accuracy,0.48423975706100464,0.4817899763584137,0.48423975706100464,0.4817899763584137,nan,nan,0.39284356457612,finetuned,0.75,0.4683978259563446,0.4768904149532318,0.4683978259563446,0.4768904149532318,nan,nan,0.3774703401873754,1.1920928955078125e-06,260997,157568,94853,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,8.833101987838745,0.7957972884178162,0.05572565644979477,0.6549732089042664,0.8499477505683899,nan,0.0638372004032135,0.09994775056838989,0.03907174617052078,0.4663930833339691,0.5522602200508118,0.03835197538137436,0.0400119349360466,7.37523078918457,0.5362873077392578,0.42744916677474976,-0.5074637026095984,-0.15653992615756068,0.10896680127175691,-0.5052223758733163,-0.5838271548578237,0.4817899763584137,0.4817899763584137,1.9073486328125e-06,0.4603952169418335,0.4603952169418335,0.0213947594165802,0.0213947594165802,0.241221621632576,0.09178507328033447,0.07039032876491547,0.46594804525375366,0.46594804525375366,0.015841931104660034,0.015841931104660034,0.20349501073360443,0.07626979798078537,0.060427892953157425,0.4773803651332855,0.4773803651332855,0.004409611225128174,0.004409611225128174,0.06957373768091202,0.02433447539806366,0.019924873486161232,0.4770537316799164,0.4770537316799164,0.0047362446784973145,0.0047362446784973145,0.10109423100948334,0.03201045095920563,0.02727421186864376,0.46872448921203613,0.46872448921203613,0.013065487146377563,0.013065487146377563,0.08868201822042465,0.03364363685250282,0.02057814784348011
Amazon-ratings,iterative_relation_finetune_reliability_only,iterative_relation_finetune,reliability_only,undirected,6:0,6,0,-1,accuracy,0.47672709822654724,0.46692797541618347,0.47672709822654724,0.46692797541618347,nan,nan,0.3587679379968507,finetuned,1.0,0.47672709822654724,0.46692797541618347,0.47672709822654724,0.46692797541618347,nan,nan,0.3587679379968507,1.430511474609375e-06,260997,157568,94853,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.903027296066284,1.0,0.0,1.0,1.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5485172271728516,0.4988187253475189,0.07168672978878021,nan,nan,nan,nan,nan,0.46692797541618347,0.46692797541618347,1.430511474609375e-06,0.46692797541618347,0.46692797541618347,0.0,0.0,0.0,0.0,0.0,0.46692797541618347,0.46692797541618347,0.0,0.0,0.0,0.0,0.0,0.46692797541618347,0.46692797541618347,0.0,0.0,0.0,0.0,0.0,0.46692797541618347,0.46692797541618347,0.0,0.0,0.0,0.0,0.0,0.46692797541618347,0.46692797541618347,0.0,0.0,0.0,0.0,0.0
Amazon-ratings,iterative_relation_finetune_reliability_only,iterative_relation_finetune,reliability_only,undirected,7:0,7,0,-1,accuracy,0.47035765647888184,0.4634982943534851,0.47035765647888184,0.4634982943534851,nan,nan,0.3718889321762172,finetuned,1.0,0.47035765647888184,0.4634982943534851,0.47035765647888184,0.4634982943534851,nan,nan,0.3718889321762172,1.1920928955078125e-06,260997,157568,94853,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.926818370819092,1.0,0.0,1.0,1.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5765798091888428,0.4964739680290222,0.07333497703075409,nan,nan,nan,nan,nan,0.4634982943534851,0.4634982943534851,1.1920928955078125e-06,0.4634982943534851,0.4634982943534851,0.0,0.0,0.0,0.0,0.0,0.4634982943534851,0.4634982943534851,0.0,0.0,0.0,0.0,0.0,0.4634982943534851,0.4634982943534851,0.0,0.0,0.0,0.0,0.0,0.4634982943534851,0.4634982943534851,0.0,0.0,0.0,0.0,0.0,0.4634982943534851,0.4634982943534851,0.0,0.0,0.0,0.0,0.0
Amazon-ratings,iterative_relation_finetune_reliability_only,iterative_relation_finetune,reliability_only,undirected,8:0,8,0,192,accuracy,0.4796668291091919,0.48195329308509827,0.4796668291091919,0.48195329308509827,nan,nan,0.3834192717943224,finetuned,0.75,0.4641515612602234,0.46594804525375366,0.4641515612602234,0.46594804525375366,nan,nan,0.35874470961361193,1.430511474609375e-06,260997,157568,94853,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,8.846716165542603,0.7961434721946716,0.06207654997706413,0.6517334580421448,0.8499106764793396,nan,0.07059090584516525,0.0999106764793396,0.04221286624670029,0.4743639826774597,0.5898282527923584,0.04287414252758026,0.04488714411854744,7.675235748291016,0.5469072461128235,0.4534057080745697,0.21656095626001448,-0.39506787453797904,0.41811373480943775,-0.56194436720072,-0.4091205538202767,0.48195329308509827,0.48195329308509827,1.6689300537109375e-06,0.46856117248535156,0.46856117248535156,0.013392120599746704,0.013392120599746704,0.1447003036737442,0.056018292903900146,0.042626164853572845,0.4679078757762909,0.4679078757762909,0.014045417308807373,0.014045417308807373,0.13473787903785706,0.053241875022649765,0.039196472615003586,0.48309651017189026,0.48309651017189026,-0.0011432170867919922,-0.0011432170867919922,0.04915890842676163,0.015841906890273094,0.01698513701558113,0.4785235822200775,0.4785235822200775,0.003429710865020752,0.003429710865020752,0.07594316452741623,0.02727421186864376,0.0238445196300745,0.46921443939208984,0.46921443939208984,0.012738853693008423,0.012738853693008423,0.09194839000701904,0.03854319825768471,0.025804344564676285
Amazon-ratings,iterative_relation_finetune_reliability_only,iterative_relation_finetune,reliability_only,undirected,9:0,9,0,-1,accuracy,0.46333494782447815,0.457782119512558,0.46333494782447815,0.457782119512558,nan,nan,0.3407033152746546,finetuned,0.75,0.46333494782447815,0.457782119512558,0.46333494782447815,0.457782119512558,nan,nan,0.3407033152746546,1.1920928955078125e-06,260997,157568,94853,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.8876051902770996,0.75,0.0,0.75,0.75,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7845067977905273,0.5006281733512878,0.16083481907844543,nan,nan,nan,nan,nan,0.457782119512558,0.457782119512558,1.430511474609375e-06,0.457782119512558,0.457782119512558,0.0,0.0,0.0,0.0,0.0,0.457782119512558,0.457782119512558,0.0,0.0,0.0,0.0,0.0,0.457782119512558,0.457782119512558,0.0,0.0,0.0,0.0,0.0,0.457782119512558,0.457782119512558,0.0,0.0,0.0,0.0,0.0,0.457782119512558,0.457782119512558,0.0,0.0,0.0,0.0,0.0
