dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,primary_metric,best_val_primary,test_primary_at_best_val,best_val_acc,test_acc_at_best_val,best_val_roc_auc,test_roc_auc_at_best_val,test_macro_f1_at_best_val,backbone_training_mode,base_alpha,baseline_val_acc,baseline_test_acc,baseline_val_primary,baseline_test_primary,baseline_val_roc_auc,baseline_test_roc_auc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,relation_steps,causal_interventions,save_external_expert_logits,reuse_compatible_backbone_cache,compatible_backbone_cache_config,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,relation_abs_mean,relation_norm_mean,relation_to_base_norm,relation_relative_strength,relation_to_branch_disagreement,relation_state_norm_mean,relation_update_gate_mean,relation_update_gate_std,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean,causal_normal_test_primary,causal_normal_test_acc,causal_restore_max_abs_logit_delta,causal_zero_all_test_primary,causal_zero_all_test_acc,causal_zero_all_primary_drop,causal_zero_all_acc_drop,causal_zero_all_prediction_change_rate,causal_zero_all_normal_only_correct_rate,causal_zero_all_intervention_only_correct_rate,causal_zero_layer_0_test_primary,causal_zero_layer_0_test_acc,causal_zero_layer_0_primary_drop,causal_zero_layer_0_acc_drop,causal_zero_layer_0_prediction_change_rate,causal_zero_layer_0_normal_only_correct_rate,causal_zero_layer_0_intervention_only_correct_rate,causal_zero_layer_1_test_primary,causal_zero_layer_1_test_acc,causal_zero_layer_1_primary_drop,causal_zero_layer_1_acc_drop,causal_zero_layer_1_prediction_change_rate,causal_zero_layer_1_normal_only_correct_rate,causal_zero_layer_1_intervention_only_correct_rate,causal_shuffled_reliability_test_primary,causal_shuffled_reliability_test_acc,causal_shuffled_reliability_primary_drop,causal_shuffled_reliability_acc_drop,causal_shuffled_reliability_prediction_change_rate,causal_shuffled_reliability_normal_only_correct_rate,causal_shuffled_reliability_intervention_only_correct_rate,causal_constant_reliability_test_primary,causal_constant_reliability_test_acc,causal_constant_reliability_primary_drop,causal_constant_reliability_acc_drop,causal_constant_reliability_prediction_change_rate,causal_constant_reliability_normal_only_correct_rate,causal_constant_reliability_intervention_only_correct_rate
Amazon-ratings,iterative_relation_frozen_combined,iterative_relation_frozen,combined,undirected,0:0,0,0,-1,accuracy,0.4710109233856201,0.4775436818599701,0.4710109233856201,0.4775436818599701,nan,nan,0.3669840006520091,frozen,0.75,0.4710109233856201,0.4775436818599701,0.4710109233856201,0.4775436818599701,nan,nan,0.3669840006520091,1.430511474609375e-06,166144,166144,0,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,3.6364095211029053,0.75,0.0,0.75,0.75,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.190499782562256,0.4961759150028229,0.17065013945102692,nan,nan,nan,nan,nan,0.4775436818599701,0.4775436818599701,1.430511474609375e-06,0.4775436818599701,0.4775436818599701,0.0,0.0,0.0,0.0,0.0,0.4775436818599701,0.4775436818599701,0.0,0.0,0.0,0.0,0.0,0.4775436818599701,0.4775436818599701,0.0,0.0,0.0,0.0,0.0,0.4775436818599701,0.4775436818599701,0.0,0.0,0.0,0.0,0.0,0.4775436818599701,0.4775436818599701,0.0,0.0,0.0,0.0,0.0
Amazon-ratings,iterative_relation_frozen_combined,iterative_relation_frozen,combined,undirected,1:0,1,0,-1,accuracy,0.4667646586894989,0.46496814489364624,0.4667646586894989,0.46496814489364624,nan,nan,0.3665667587690266,frozen,0.75,0.4667646586894989,0.46496814489364624,0.4667646586894989,0.46496814489364624,nan,nan,0.3665667587690266,1.430511474609375e-06,166144,166144,0,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.566225051879883,0.75,0.0,0.75,0.75,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0269253253936768,0.48275840282440186,0.1677202433347702,nan,nan,nan,nan,nan,0.46496814489364624,0.46496814489364624,1.430511474609375e-06,0.46496814489364624,0.46496814489364624,0.0,0.0,0.0,0.0,0.0,0.46496814489364624,0.46496814489364624,0.0,0.0,0.0,0.0,0.0,0.46496814489364624,0.46496814489364624,0.0,0.0,0.0,0.0,0.0,0.46496814489364624,0.46496814489364624,0.0,0.0,0.0,0.0,0.0,0.46496814489364624,0.46496814489364624,0.0,0.0,0.0,0.0,0.0
Amazon-ratings,iterative_relation_frozen_combined,iterative_relation_frozen,combined,undirected,2:0,2,0,1,accuracy,0.48521965742111206,0.4719908535480499,0.48521965742111206,0.4719908535480499,nan,nan,0.3585936880254755,frozen,0.75,0.4827698767185211,0.47084760665893555,0.4827698767185211,0.47084760665893555,nan,nan,0.36412438281986587,1.430511474609375e-06,166144,166144,0,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.713747501373291,0.7493757605552673,0.019222324714064598,0.7155435085296631,0.7843711972236633,nan,0.017773114144802094,0.034456491470336914,0.02132362872362137,0.2551669776439667,0.15909148752689362,0.023786183446645737,0.024842850863933563,5.076709747314453,0.49347084760665894,0.21707721054553986,-0.17225705177693348,-0.09141464378429061,0.059032404569077726,-0.27622912914014336,-0.2886770674415835,0.4719908535480499,0.4719908535480499,1.1920928955078125e-06,0.47084760665893555,0.47084760665893555,0.0011432468891143799,0.0011432468891143799,0.050138819962739944,0.018618324771523476,0.01747509464621544,0.4711742699146271,0.4711742699146271,0.0008165836334228516,0.0008165836334228516,0.03054058365523815,0.011268985457718372,0.010452392511069775,0.4719908535480499,0.4719908535480499,0.0,0.0,0.03462354838848114,0.013228809460997581,0.013228809460997581,0.4716642200946808,0.4716642200946808,0.0003266334533691406,0.0003266334533691406,0.004572921898216009,0.001959823537617922,0.0016331863589584827,0.4716642200946808,0.4716642200946808,0.0003266334533691406,0.0003266334533691406,0.004246284253895283,0.0016331863589584827,0.0013065490638837218
Amazon-ratings,iterative_relation_frozen_combined,iterative_relation_frozen,combined,undirected,3:0,3,0,-1,accuracy,0.46594804525375366,0.4484729766845703,0.46594804525375366,0.4484729766845703,nan,nan,0.33333179934815227,frozen,0.5,0.46594804525375366,0.4484729766845703,0.46594804525375366,0.4484729766845703,nan,nan,0.33333179934815227,9.5367431640625e-07,166144,166144,0,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.5587306022644043,0.5,0.0,0.5,0.5,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.828535556793213,0.4823572635650635,0.15397754311561584,nan,nan,nan,nan,nan,0.4484729766845703,0.4484729766845703,1.1920928955078125e-06,0.4484729766845703,0.4484729766845703,0.0,0.0,0.0,0.0,0.0,0.4484729766845703,0.4484729766845703,0.0,0.0,0.0,0.0,0.0,0.4484729766845703,0.4484729766845703,0.0,0.0,0.0,0.0,0.0,0.4484729766845703,0.4484729766845703,0.0,0.0,0.0,0.0,0.0,0.4484729766845703,0.4484729766845703,0.0,0.0,0.0,0.0,0.0
Amazon-ratings,iterative_relation_frozen_combined,iterative_relation_frozen,combined,undirected,4:0,4,0,9,accuracy,0.47460395097732544,0.46055853366851807,0.47460395097732544,0.46055853366851807,nan,nan,0.3656197308475674,frozen,1.0,0.4731340706348419,0.4716642200946808,0.4731340706348419,0.4716642200946808,nan,nan,0.37045097629284973,1.430511474609375e-06,166144,166144,0,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.9375057220458984,0.9842435121536255,0.028262244537472725,0.9107333421707153,1.0,nan,0.01575651206076145,0.08926665782928467,0.012001649476587772,0.2035871297121048,291645184.0,0.049397893249988556,0.058083999902009964,4.758795261383057,0.4823291301727295,0.2674597203731537,0.18559637051473887,-0.12163496263848673,0.12554103837068617,0.16169555438988062,0.1774958924972822,0.46055853366851807,0.46055853366851807,1.1920928955078125e-06,0.4716642200946808,0.4716642200946808,-0.01110568642616272,-0.01110568642616272,0.09978768229484558,0.02792748622596264,0.03903315216302872,0.47084760665893555,0.47084760665893555,-0.01028907299041748,-0.01028907299041748,0.09603135287761688,0.02727421186864376,0.03756328672170639,0.4636616110801697,0.4636616110801697,-0.0031030774116516113,-0.0031030774116516113,0.01192225981503725,0.0021231421269476414,0.005226196255534887,0.4602319002151489,0.4602319002151489,0.0003266334533691406,0.0003266334533691406,0.022048015147447586,0.007349338382482529,0.00702270120382309,0.4585987329483032,0.4585987329483032,0.0019598007202148438,0.0019598007202148438,0.02694757468998432,0.009962436743080616,0.008002612739801407
Amazon-ratings,iterative_relation_frozen_combined,iterative_relation_frozen,combined,undirected,5:0,5,0,-1,accuracy,0.4683978259563446,0.4768904149532318,0.4683978259563446,0.4768904149532318,nan,nan,0.3774703401873754,frozen,0.75,0.4683978259563446,0.4768904149532318,0.4683978259563446,0.4768904149532318,nan,nan,0.3774703401873754,1.430511474609375e-06,166144,166144,0,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.5639889240264893,0.75,0.0,0.75,0.75,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.072699785232544,0.4945697784423828,0.1729011982679367,nan,nan,nan,nan,nan,0.4768904149532318,0.4768904149532318,1.1920928955078125e-06,0.4768904149532318,0.4768904149532318,0.0,0.0,0.0,0.0,0.0,0.4768904149532318,0.4768904149532318,0.0,0.0,0.0,0.0,0.0,0.4768904149532318,0.4768904149532318,0.0,0.0,0.0,0.0,0.0,0.4768904149532318,0.4768904149532318,0.0,0.0,0.0,0.0,0.0,0.4768904149532318,0.4768904149532318,0.0,0.0,0.0,0.0,0.0
Amazon-ratings,iterative_relation_frozen_combined,iterative_relation_frozen,combined,undirected,6:0,6,0,1,accuracy,0.4768904149532318,0.46643802523612976,0.4768904149532318,0.46643802523612976,nan,nan,0.3470989082787879,frozen,1.0,0.47672709822654724,0.46692797541618347,0.47672709822654724,0.46692797541618347,nan,nan,0.3587679379968507,1.430511474609375e-06,166144,166144,0,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.6381514072418213,0.9990718960762024,0.0015690010040998459,0.9823910593986511,1.0,nan,0.0009280536905862391,0.017608940601348877,0.0006026776973158121,0.011146048083901405,5932749.0,0.0027835911605507135,0.0033249258995056152,1.927115559577942,0.4946998059749603,0.10531018674373627,-0.1309898463176349,-0.4514054146387469,0.41252086607089644,-0.1621880149821798,-0.2154948427421816,0.46643802523612976,0.46643802523612976,1.430511474609375e-06,0.46692797541618347,0.46692797541618347,-0.0004899501800537109,-0.0004899501800537109,0.05879470705986023,0.018128369003534317,0.018618324771523476,0.46660134196281433,0.46660134196281433,-0.0001633167266845703,-0.0001633167266845703,0.05912134423851967,0.018455006182193756,0.018618324771523476,0.46643802523612976,0.46643802523612976,0.0,0.0,0.00032663726597093046,0.0,0.0,0.46431487798690796,0.46431487798690796,0.0021231472492218018,0.0021231472492218018,0.015678588300943375,0.0066960640251636505,0.004572921898216009,0.4641515612602234,0.4641515612602234,0.002286463975906372,0.002286463975906372,0.01208557840436697,0.005389514844864607,0.003103054128587246
Amazon-ratings,iterative_relation_frozen_combined,iterative_relation_frozen,combined,undirected,7:0,7,0,-1,accuracy,0.47035765647888184,0.4634982943534851,0.47035765647888184,0.4634982943534851,nan,nan,0.3718889321762172,frozen,1.0,0.47035765647888184,0.4634982943534851,0.47035765647888184,0.4634982943534851,nan,nan,0.3718889321762172,1.430511474609375e-06,166144,166144,0,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.556527853012085,1.0,0.0,1.0,1.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0164389610290527,0.494498610496521,0.09297356009483337,nan,nan,nan,nan,nan,0.4634982943534851,0.4634982943534851,1.1920928955078125e-06,0.4634982943534851,0.4634982943534851,0.0,0.0,0.0,0.0,0.0,0.4634982943534851,0.4634982943534851,0.0,0.0,0.0,0.0,0.0,0.4634982943534851,0.4634982943534851,0.0,0.0,0.0,0.0,0.0,0.4634982943534851,0.4634982943534851,0.0,0.0,0.0,0.0,0.0,0.4634982943534851,0.4634982943534851,0.0,0.0,0.0,0.0,0.0
Amazon-ratings,iterative_relation_frozen_combined,iterative_relation_frozen,combined,undirected,8:0,8,0,0,accuracy,0.4646415114402771,0.4672546088695526,0.4646415114402771,0.4672546088695526,nan,nan,0.36283822164176094,frozen,0.75,0.4641515612602234,0.46594804525375366,0.4641515612602234,0.46594804525375366,nan,nan,0.35874470961361193,1.1920928955078125e-06,166144,166144,0,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.6306569576263428,0.7497259974479675,0.0051541393622756,0.7357297539710999,0.7646709084510803,nan,0.0045932880602777,0.014670908451080322,0.006188925821334124,0.0785505473613739,0.046907633543014526,0.007268222980201244,0.0075595686212182045,3.1055197715759277,0.49196532368659973,0.17008578777313232,-0.1959940525394075,-0.33765344926467555,0.24831519397731697,-0.2695040744840632,-0.3235527822916672,0.4672546088695526,0.4672546088695526,1.1920928955078125e-06,0.46594804525375366,0.46594804525375366,0.0013065636157989502,0.0013065636157989502,0.013065490871667862,0.005552833434194326,0.004246284253895283,0.4667646586894989,0.4667646586894989,0.0004899501800537109,0.0004899501800537109,0.008329249918460846,0.003103054128587246,0.0026130981277674437,0.4662747085094452,0.4662747085094452,0.0009799003601074219,0.0009799003601074219,0.008165931329131126,0.0035930098965764046,0.0026130981277674437,0.46692797541618347,0.46692797541618347,0.0003266334533691406,0.0003266334533691406,0.0017965049482882023,0.0006532745319418609,0.00032663726597093046,0.4667646586894989,0.4667646586894989,0.0004899501800537109,0.0004899501800537109,0.0016331863589584827,0.0008165931794792414,0.00032663726597093046
Amazon-ratings,iterative_relation_frozen_combined,iterative_relation_frozen,combined,undirected,9:0,9,0,0,accuracy,0.4634982943534851,0.4582720696926117,0.4634982943534851,0.4582720696926117,nan,nan,0.3416129227381688,frozen,0.75,0.46333494782447815,0.457782119512558,0.46333494782447815,0.457782119512558,nan,nan,0.3407033152746546,1.430511474609375e-06,166144,166144,0,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.5853967666625977,0.7499027848243713,0.005197463091462851,0.7365552186965942,0.7630610466003418,nan,0.004629477392882109,0.013444781303405762,0.005696339067071676,0.06940354406833649,0.04192230477929115,0.006707464344799519,0.007001550402492285,3.0606467723846436,0.5000663995742798,0.16849105060100555,-0.2129201982284692,-0.34143581982663396,0.24452736271442177,-0.34845991091282796,-0.3939031911498661,0.4582720696926117,0.4582720696926117,1.430511474609375e-06,0.457782119512558,0.457782119512558,0.0004899501800537109,0.0004899501800537109,0.015188632532954216,0.004572921898216009,0.004082965664565563,0.4581087529659271,0.4581087529659271,0.0001633167266845703,0.0001633167266845703,0.004572921898216009,0.0013065490638837218,0.0011432304745540023,0.4572921693325043,0.4572921693325043,0.0009799003601074219,0.0009799003601074219,0.010779029689729214,0.003756328485906124,0.002776416717097163,0.45794543623924255,0.45794543623924255,0.0003266334533691406,0.0003266334533691406,0.0026130981277674437,0.0008165931794792414,0.0004899558844044805,0.4585987329483032,0.4585987329483032,-0.0003266632556915283,-0.0003266632556915283,0.0017965049482882023,0.00032663726597093046,0.0006532745319418609
