dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,primary_metric,best_val_primary,test_primary_at_best_val,best_val_acc,test_acc_at_best_val,best_val_roc_auc,test_roc_auc_at_best_val,test_macro_f1_at_best_val,backbone_training_mode,base_alpha,baseline_val_acc,baseline_test_acc,baseline_val_primary,baseline_test_primary,baseline_val_roc_auc,baseline_test_roc_auc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,relation_steps,causal_interventions,save_external_expert_logits,reuse_compatible_backbone_cache,compatible_backbone_cache_config,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,relation_abs_mean,relation_norm_mean,relation_to_base_norm,relation_relative_strength,relation_to_branch_disagreement,relation_state_norm_mean,relation_update_gate_mean,relation_update_gate_std,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean,causal_normal_test_primary,causal_normal_test_acc,causal_restore_max_abs_logit_delta,causal_zero_all_test_primary,causal_zero_all_test_acc,causal_zero_all_primary_drop,causal_zero_all_acc_drop,causal_zero_all_prediction_change_rate,causal_zero_all_normal_only_correct_rate,causal_zero_all_intervention_only_correct_rate,causal_zero_layer_0_test_primary,causal_zero_layer_0_test_acc,causal_zero_layer_0_primary_drop,causal_zero_layer_0_acc_drop,causal_zero_layer_0_prediction_change_rate,causal_zero_layer_0_normal_only_correct_rate,causal_zero_layer_0_intervention_only_correct_rate,causal_zero_layer_1_test_primary,causal_zero_layer_1_test_acc,causal_zero_layer_1_primary_drop,causal_zero_layer_1_acc_drop,causal_zero_layer_1_prediction_change_rate,causal_zero_layer_1_normal_only_correct_rate,causal_zero_layer_1_intervention_only_correct_rate,causal_shuffled_reliability_test_primary,causal_shuffled_reliability_test_acc,causal_shuffled_reliability_primary_drop,causal_shuffled_reliability_acc_drop,causal_shuffled_reliability_prediction_change_rate,causal_shuffled_reliability_normal_only_correct_rate,causal_shuffled_reliability_intervention_only_correct_rate,causal_constant_reliability_test_primary,causal_constant_reliability_test_acc,causal_constant_reliability_primary_drop,causal_constant_reliability_acc_drop,causal_constant_reliability_prediction_change_rate,causal_constant_reliability_normal_only_correct_rate,causal_constant_reliability_intervention_only_correct_rate
Amazon-ratings,iterative_relation_frozen_reliability_only,iterative_relation_frozen,reliability_only,undirected,0:0,0,0,0,accuracy,0.47133758664131165,0.47672709822654724,0.47133758664131165,0.47672709822654724,nan,nan,0.3680084450962098,frozen,0.75,0.4710109233856201,0.4775436818599701,0.4710109233856201,0.4775436818599701,nan,nan,0.3669840006520091,1.430511474609375e-06,166144,157568,0,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,3.6060657501220703,0.7489722371101379,0.005235431715846062,0.7365335822105408,0.7638894319534302,nan,0.004402949474751949,0.013889431953430176,0.007013218477368355,0.08213798701763153,0.041029442101716995,0.007343164645135403,0.007638315204530954,2.9123141765594482,0.4953118860721588,0.1636362224817276,-0.3865669742458227,-0.14240428770985825,0.0457694237334325,-0.3551419788448141,-0.4365961066129573,0.47672709822654724,0.47672709822654724,1.1920928955078125e-06,0.4775436818599701,0.4775436818599701,-0.0008165836334228516,-0.0008165836334228516,0.016658499836921692,0.004899559076875448,0.005716152023524046,0.4770537316799164,0.4770537316799164,-0.0003266334533691406,-0.0003266334533691406,0.0058794706128537655,0.0014698676532134414,0.0017965049482882023,0.4780336320400238,0.4780336320400238,-0.0013065338134765625,-0.0013065338134765625,0.016658499836921692,0.004899559076875448,0.006206108257174492,0.4770537316799164,0.4770537316799164,-0.0003266334533691406,-0.0003266334533691406,0.001959823537617922,0.00032663726597093046,0.0006532745319418609,0.4768904149532318,0.4768904149532318,-0.0001633167266845703,-0.0001633167266845703,0.0016331863589584827,0.00032663726597093046,0.0004899558844044805
Amazon-ratings,iterative_relation_frozen_reliability_only,iterative_relation_frozen,reliability_only,undirected,1:0,1,0,-1,accuracy,0.4667646586894989,0.46496814489364624,0.4667646586894989,0.46496814489364624,nan,nan,0.3665667587690266,frozen,0.75,0.4667646586894989,0.46496814489364624,0.4667646586894989,0.46496814489364624,nan,nan,0.3665667587690266,1.430511474609375e-06,166144,157568,0,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.540867567062378,0.75,0.0,0.75,0.75,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.746997117996216,0.4835977256298065,0.1597379595041275,nan,nan,nan,nan,nan,0.46496814489364624,0.46496814489364624,1.430511474609375e-06,0.46496814489364624,0.46496814489364624,0.0,0.0,0.0,0.0,0.0,0.46496814489364624,0.46496814489364624,0.0,0.0,0.0,0.0,0.0,0.46496814489364624,0.46496814489364624,0.0,0.0,0.0,0.0,0.0,0.46496814489364624,0.46496814489364624,0.0,0.0,0.0,0.0,0.0,0.46496814489364624,0.46496814489364624,0.0,0.0,0.0,0.0,0.0
Amazon-ratings,iterative_relation_frozen_reliability_only,iterative_relation_frozen,reliability_only,undirected,2:0,2,0,0,accuracy,0.48309651017189026,0.4737873673439026,0.48309651017189026,0.4737873673439026,nan,nan,0.3654148288614318,frozen,0.75,0.4827698767185211,0.47084760665893555,0.4827698767185211,0.47084760665893555,nan,nan,0.36412438281986587,1.1920928955078125e-06,166144,157568,0,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.538388729095459,0.7496582269668579,0.0053499736823141575,0.7363967895507812,0.7643380761146545,nan,0.004373093601316214,0.014338076114654541,0.006779234856367111,0.07960814237594604,0.034611232578754425,0.007292835973203182,0.007615602109581232,2.884742021560669,0.4940495193004608,0.16501010954380035,-0.2939811888284312,0.08867617200895539,-0.1431102526998415,-0.2986219831690657,-0.33452149412698967,0.4737873673439026,0.4737873673439026,1.430511474609375e-06,0.47084760665893555,0.47084760665893555,0.002939760684967041,0.002939760684967041,0.01208557840436697,0.0058794706128537655,0.0029397353064268827,0.4716642200946808,0.4716642200946808,0.0021231472492218018,0.0021231472492218018,0.006369426846504211,0.0035930098965764046,0.0014698676532134414,0.47133758664131165,0.47133758664131165,0.0024497807025909424,0.0024497807025909424,0.011758941225707531,0.005552833434194326,0.003103054128587246,0.47411400079727173,0.47411400079727173,-0.0003266334533691406,-0.0003266334533691406,0.0032663727179169655,0.0013065490638837218,0.0016331863589584827,0.47444063425064087,0.47444063425064087,-0.0006532669067382812,-0.0006532669067382812,0.002776416717097163,0.000979911768808961,0.0016331863589584827
Amazon-ratings,iterative_relation_frozen_reliability_only,iterative_relation_frozen,reliability_only,undirected,3:0,3,0,-1,accuracy,0.46594804525375366,0.4484729766845703,0.46594804525375366,0.4484729766845703,nan,nan,0.33333179934815227,frozen,0.5,0.46594804525375366,0.4484729766845703,0.46594804525375366,0.4484729766845703,nan,nan,0.33333179934815227,1.1920928955078125e-06,166144,157568,0,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.495399236679077,0.5,0.0,0.5,0.5,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.52787184715271,0.48235854506492615,0.1451001912355423,nan,nan,nan,nan,nan,0.4484729766845703,0.4484729766845703,9.5367431640625e-07,0.4484729766845703,0.4484729766845703,0.0,0.0,0.0,0.0,0.0,0.4484729766845703,0.4484729766845703,0.0,0.0,0.0,0.0,0.0,0.4484729766845703,0.4484729766845703,0.0,0.0,0.0,0.0,0.0,0.4484729766845703,0.4484729766845703,0.0,0.0,0.0,0.0,0.0,0.4484729766845703,0.4484729766845703,0.0,0.0,0.0,0.0,0.0
Amazon-ratings,iterative_relation_frozen_reliability_only,iterative_relation_frozen,reliability_only,undirected,4:0,4,0,87,accuracy,0.47444063425064087,0.4656214118003845,0.47444063425064087,0.4656214118003845,nan,nan,0.3704075366470126,frozen,1.0,0.4731340706348419,0.4716642200946808,0.4731340706348419,0.4716642200946808,nan,nan,0.37045097629284973,1.1920928955078125e-06,166144,157568,0,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,5.679229021072388,0.9783385992050171,0.036487843841314316,0.9000095725059509,1.0,nan,0.02166137658059597,0.09999042749404907,0.014690103940665722,0.24578286707401276,372858848.0,0.06102503836154938,0.07129786163568497,4.640512466430664,0.48834556341171265,0.35493743419647217,-0.17602971596817074,-0.03106306206970838,0.016125387099313857,-0.12744357134115766,-0.16206891665755394,0.4656214118003845,0.4656214118003845,1.430511474609375e-06,0.4716642200946808,0.4716642200946808,-0.006042808294296265,-0.006042808294296265,0.10893353074789047,0.03446023166179657,0.04050302132964134,0.4698677062988281,0.4698677062988281,-0.0042462944984436035,-0.0042462944984436035,0.10321737825870514,0.033316999673843384,0.03756328672170639,0.4651314616203308,0.4651314616203308,0.0004899501800537109,0.0004899501800537109,0.01714845560491085,0.006206108257174492,0.005716152023524046,0.4572921693325043,0.4572921693325043,0.008329242467880249,0.008329242467880249,0.09064184129238129,0.0342969112098217,0.025967663154006004,0.456638902425766,0.456638902425766,0.00898250937461853,0.00898250937461853,0.07561652362346649,0.030377265065908432,0.021394740790128708
Amazon-ratings,iterative_relation_frozen_reliability_only,iterative_relation_frozen,reliability_only,undirected,5:0,5,0,-1,accuracy,0.4683978259563446,0.4768904149532318,0.4683978259563446,0.4768904149532318,nan,nan,0.3774703401873754,frozen,0.75,0.4683978259563446,0.4768904149532318,0.4683978259563446,0.4768904149532318,nan,nan,0.3774703401873754,1.430511474609375e-06,166144,157568,0,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.4944403171539307,0.75,0.0,0.75,0.75,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.777132511138916,0.49591389298439026,0.1632816046476364,nan,nan,nan,nan,nan,0.4768904149532318,0.4768904149532318,1.1920928955078125e-06,0.4768904149532318,0.4768904149532318,0.0,0.0,0.0,0.0,0.0,0.4768904149532318,0.4768904149532318,0.0,0.0,0.0,0.0,0.0,0.4768904149532318,0.4768904149532318,0.0,0.0,0.0,0.0,0.0,0.4768904149532318,0.4768904149532318,0.0,0.0,0.0,0.0,0.0,0.4768904149532318,0.4768904149532318,0.0,0.0,0.0,0.0,0.0
Amazon-ratings,iterative_relation_frozen_reliability_only,iterative_relation_frozen,reliability_only,undirected,6:0,6,0,-1,accuracy,0.47672709822654724,0.46692797541618347,0.47672709822654724,0.46692797541618347,nan,nan,0.3587679379968507,frozen,1.0,0.47672709822654724,0.46692797541618347,0.47672709822654724,0.46692797541618347,nan,nan,0.3587679379968507,1.430511474609375e-06,166144,157568,0,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.4947192668914795,1.0,0.0,1.0,1.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5485172271728516,0.4988187253475189,0.07168672978878021,nan,nan,nan,nan,nan,0.46692797541618347,0.46692797541618347,1.430511474609375e-06,0.46692797541618347,0.46692797541618347,0.0,0.0,0.0,0.0,0.0,0.46692797541618347,0.46692797541618347,0.0,0.0,0.0,0.0,0.0,0.46692797541618347,0.46692797541618347,0.0,0.0,0.0,0.0,0.0,0.46692797541618347,0.46692797541618347,0.0,0.0,0.0,0.0,0.0,0.46692797541618347,0.46692797541618347,0.0,0.0,0.0,0.0,0.0
Amazon-ratings,iterative_relation_frozen_reliability_only,iterative_relation_frozen,reliability_only,undirected,7:0,7,0,-1,accuracy,0.47035765647888184,0.4634982943534851,0.47035765647888184,0.4634982943534851,nan,nan,0.3718889321762172,frozen,1.0,0.47035765647888184,0.4634982943534851,0.47035765647888184,0.4634982943534851,nan,nan,0.3718889321762172,1.1920928955078125e-06,166144,157568,0,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.5025174617767334,1.0,0.0,1.0,1.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5765798091888428,0.4964739680290222,0.07333497703075409,nan,nan,nan,nan,nan,0.4634982943534851,0.4634982943534851,1.430511474609375e-06,0.4634982943534851,0.4634982943534851,0.0,0.0,0.0,0.0,0.0,0.4634982943534851,0.4634982943534851,0.0,0.0,0.0,0.0,0.0,0.4634982943534851,0.4634982943534851,0.0,0.0,0.0,0.0,0.0,0.4634982943534851,0.4634982943534851,0.0,0.0,0.0,0.0,0.0,0.4634982943534851,0.4634982943534851,0.0,0.0,0.0,0.0,0.0
Amazon-ratings,iterative_relation_frozen_reliability_only,iterative_relation_frozen,reliability_only,undirected,8:0,8,0,2,accuracy,0.46447819471359253,0.46333494782447815,0.46447819471359253,0.46333494782447815,nan,nan,0.3751378483857263,frozen,0.75,0.4641515612602234,0.46594804525375366,0.4641515612602234,0.46594804525375366,nan,nan,0.35874470961361193,1.1920928955078125e-06,166144,157568,0,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.5966110229492188,0.7490520477294922,0.02906464971601963,0.699913501739502,0.8000524044036865,nan,0.026180079206824303,0.05008649826049805,0.032435595989227295,0.3865661919116974,0.2558237910270691,0.03684881702065468,0.03842143341898918,5.264371871948242,0.48634737730026245,0.2606385350227356,-0.11632809439816755,-0.3615961456941843,0.2854843083540111,-0.23264006735113138,-0.2684526214481422,0.46333494782447815,0.46333494782447815,1.430511474609375e-06,0.46594804525375366,0.46594804525375366,-0.0026130974292755127,-0.0026130974292755127,0.06581740826368332,0.02074146643280983,0.023354563862085342,0.4639882445335388,0.4639882445335388,-0.0006532967090606689,-0.0006532967090606689,0.04899559170007706,0.016168544068932533,0.01682181842625141,0.46872448921203613,0.46872448921203613,-0.005389541387557983,-0.005389541387557983,0.03707332909107208,0.009472480975091457,0.014861995354294777,0.4639882445335388,0.4639882445335388,-0.0006532967090606689,-0.0006532967090606689,0.006369426846504211,0.0011432304745540023,0.0017965049482882023,0.4631716310977936,0.4631716310977936,0.0001633167266845703,0.0001633167266845703,0.006206108257174492,0.0016331863589584827,0.0014698676532134414
Amazon-ratings,iterative_relation_frozen_reliability_only,iterative_relation_frozen,reliability_only,undirected,9:0,9,0,0,accuracy,0.46431487798690796,0.45794543623924255,0.46431487798690796,0.45794543623924255,nan,nan,0.3413157255667859,frozen,0.75,0.46333494782447815,0.457782119512558,0.46333494782447815,0.457782119512558,nan,nan,0.3407033152746546,1.430511474609375e-06,166144,157568,0,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.5343291759490967,0.7498059868812561,0.004935626406222582,0.7364547848701477,0.7627685070037842,nan,0.004063120577484369,0.013545215129852295,0.0057230377569794655,0.06912676244974136,0.03428862988948822,0.006673096213489771,0.006966184824705124,2.780744791030884,0.5004695653915405,0.16058064997196198,-0.18104160847827555,-0.305216678830329,0.20602706707989785,-0.31794512033529215,-0.35726185064730676,0.45794543623924255,0.45794543623924255,1.430511474609375e-06,0.457782119512558,0.457782119512558,0.0001633167266845703,0.0001633167266845703,0.014535358175635338,0.004246284253895283,0.004082965664565563,0.4581087529659271,0.4581087529659271,-0.0001633167266845703,-0.0001633167266845703,0.0026130981277674437,0.0006532745319418609,0.0008165931794792414,0.457782119512558,0.457782119512558,0.0001633167266845703,0.0001633167266845703,0.01192225981503725,0.003756328485906124,0.0035930098965764046,0.457782119512558,0.457782119512558,0.0001633167266845703,0.0001633167266845703,0.000979911768808961,0.00016331863298546523,0.0,0.4582720696926117,0.4582720696926117,-0.0003266334533691406,-0.0003266334533691406,0.0011432304745540023,0.0,0.00032663726597093046
