dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,primary_metric,best_val_primary,test_primary_at_best_val,best_val_acc,test_acc_at_best_val,best_val_roc_auc,test_roc_auc_at_best_val,test_macro_f1_at_best_val,backbone_training_mode,base_alpha,baseline_val_acc,baseline_test_acc,baseline_val_primary,baseline_test_primary,baseline_val_roc_auc,baseline_test_roc_auc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,relation_steps,causal_interventions,save_external_expert_logits,reuse_compatible_backbone_cache,compatible_backbone_cache_config,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,relation_abs_mean,relation_norm_mean,relation_to_base_norm,relation_relative_strength,relation_to_branch_disagreement,relation_state_norm_mean,relation_update_gate_mean,relation_update_gate_std,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean,causal_normal_test_primary,causal_normal_test_acc,causal_restore_max_abs_logit_delta,causal_zero_all_test_primary,causal_zero_all_test_acc,causal_zero_all_primary_drop,causal_zero_all_acc_drop,causal_zero_all_prediction_change_rate,causal_zero_all_normal_only_correct_rate,causal_zero_all_intervention_only_correct_rate,causal_zero_layer_0_test_primary,causal_zero_layer_0_test_acc,causal_zero_layer_0_primary_drop,causal_zero_layer_0_acc_drop,causal_zero_layer_0_prediction_change_rate,causal_zero_layer_0_normal_only_correct_rate,causal_zero_layer_0_intervention_only_correct_rate,causal_zero_layer_1_test_primary,causal_zero_layer_1_test_acc,causal_zero_layer_1_primary_drop,causal_zero_layer_1_acc_drop,causal_zero_layer_1_prediction_change_rate,causal_zero_layer_1_normal_only_correct_rate,causal_zero_layer_1_intervention_only_correct_rate,causal_shuffled_reliability_test_primary,causal_shuffled_reliability_test_acc,causal_shuffled_reliability_primary_drop,causal_shuffled_reliability_acc_drop,causal_shuffled_reliability_prediction_change_rate,causal_shuffled_reliability_normal_only_correct_rate,causal_shuffled_reliability_intervention_only_correct_rate,causal_constant_reliability_test_primary,causal_constant_reliability_test_acc,causal_constant_reliability_primary_drop,causal_constant_reliability_acc_drop,causal_constant_reliability_prediction_change_rate,causal_constant_reliability_normal_only_correct_rate,causal_constant_reliability_intervention_only_correct_rate
Roman-empire,iterative_relation_finetune_combined,iterative_relation_finetune,combined,undirected,0:0,0,0,187,accuracy,0.8448367118835449,0.8379809260368347,0.8448367118835449,0.8379809260368347,nan,nan,0.7934532546125367,finetuned,0.75,0.8222418427467346,0.8090363144874573,0.8222418427467346,0.8090363144874573,nan,nan,0.7501557865885716,4.76837158203125e-06,261842,166144,95698,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,9.208295583724976,0.7830401659011841,0.04872274398803711,0.6530449390411377,0.8492668867111206,nan,0.05194598808884621,0.0992668867111206,0.056612540036439896,0.6328641772270203,0.550553560256958,0.03623990714550018,0.03747094050049782,7.302055835723877,0.5048034191131592,0.4474673271179199,0.12880219486210154,0.4465779719431581,-0.07957649394195933,-0.40898955249994273,-0.10257262842625883,0.8379809260368347,0.8379809260368347,4.76837158203125e-06,0.8028591275215149,0.8028591275215149,0.035121798515319824,0.035121798515319824,0.0961877852678299,0.05453582480549812,0.01941404864192009,0.8102717995643616,0.8102717995643616,0.027709126472473145,0.027709126472473145,0.08365689963102341,0.04518178477883339,0.01747264340519905,0.8344510793685913,0.8344510793685913,0.003529846668243408,0.003529846668243408,0.03053300268948078,0.01411930751055479,0.01058948040008545,0.79085773229599,0.79085773229599,0.04712319374084473,0.04712319374084473,0.11083656549453735,0.0675961822271347,0.020472995936870575,0.7975643873214722,0.7975643873214722,0.04041653871536255,0.04041653871536255,0.10518883913755417,0.06000705808401108,0.01959053985774517
Roman-empire,iterative_relation_finetune_combined,iterative_relation_finetune,combined,undirected,1:0,1,0,187,accuracy,0.8545454144477844,0.8503352999687195,0.8545454144477844,0.8503352999687195,nan,nan,0.8034412352034939,finetuned,1.0,0.8234774470329285,0.8212142586708069,0.8234774470329285,0.8212142586708069,nan,nan,0.763139597456932,4.76837158203125e-06,261842,166144,95698,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,8.1748206615448,0.9836871027946472,0.027684643864631653,0.9003224968910217,1.0,nan,0.016312921419739723,0.09967750310897827,0.1258583813905716,1.6092721223831177,0.7061833143234253,0.03834386169910431,0.03964603319764137,5.676695346832275,0.510567307472229,0.3982314467430115,0.6718581836638506,-0.19805594568316745,0.6247479291082063,0.31184019831088317,0.5012481266797553,0.8503352999687195,0.8503352999687195,7.62939453125e-06,0.7938580513000488,0.7938580513000488,0.056477248668670654,0.056477248668670654,0.13378043472766876,0.08224496990442276,0.0257677361369133,0.8392163515090942,0.8392163515090942,0.011118948459625244,0.011118948459625244,0.04994704946875572,0.025238262489438057,0.01411930751055479,0.821037769317627,0.821037769317627,0.02929753065109253,0.02929753065109253,0.0956583097577095,0.05206494778394699,0.022767383605241776,0.7841510772705078,0.7841510772705078,0.06618422269821167,0.06618422269821167,0.1403106153011322,0.08753971010446548,0.02135545387864113,0.807271420955658,0.807271420955658,0.04306387901306152,0.04306387901306152,0.11542534083127975,0.06565478444099426,0.022590892389416695
Roman-empire,iterative_relation_finetune_combined,iterative_relation_finetune,combined,undirected,2:0,2,0,198,accuracy,0.8466019034385681,0.8434521555900574,0.8466019034385681,0.8434521555900574,nan,nan,0.799771371031991,finetuned,0.75,0.8213592171669006,0.8155665397644043,0.8213592171669006,0.8155665397644043,nan,nan,0.7659687680704805,4.76837158203125e-06,261842,166144,95698,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,8.161404132843018,0.7801352739334106,0.04956551268696785,0.6532158851623535,0.8496061563491821,nan,0.049910061061382294,0.09960615634918213,0.05515243113040924,0.6338130235671997,0.5397473573684692,0.035399097949266434,0.03648170828819275,7.23291540145874,0.4947234094142914,0.4464735984802246,-0.1790526277858315,0.1339656535281736,-0.2061200404384366,-0.29681183468998695,-0.2570339871051512,0.8434521555900574,0.8434521555900574,5.7220458984375e-06,0.8040945529937744,0.8040945529937744,0.03935760259628296,0.03935760259628296,0.09724672883749008,0.057006705552339554,0.017649134621024132,0.8196257948875427,0.8196257948875427,0.02382636070251465,0.02382636070251465,0.07200846821069717,0.03865160420536995,0.014825273305177689,0.8378044366836548,0.8378044366836548,0.005647718906402588,0.005647718906402588,0.03406282886862755,0.016060711815953255,0.010412989184260368,0.7995058298110962,0.7995058298110962,0.04394632577896118,0.04394632577896118,0.1094246357679367,0.06336039304733276,0.01941404864192009,0.8088598251342773,0.8088598251342773,0.03459233045578003,0.03459233045578003,0.09371690452098846,0.05347687751054764,0.018884574994444847
Roman-empire,iterative_relation_finetune_combined,iterative_relation_finetune,combined,undirected,3:0,3,0,197,accuracy,0.8474845290184021,0.8390398621559143,0.8474845290184021,0.8390398621559143,nan,nan,0.7951239590051393,finetuned,0.75,0.8233009576797485,0.8166254758834839,0.8233009576797485,0.8166254758834839,nan,nan,0.7676235435434108,4.76837158203125e-06,261842,166144,95698,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,8.177244424819946,0.7859963774681091,0.05644090846180916,0.6550213098526001,0.8497105836868286,nan,0.0603356696665287,0.09971058368682861,0.07222411036491394,0.8296719789505005,0.6106496453285217,0.040649041533470154,0.04188093543052673,7.509000778198242,0.48837217688560486,0.4572640061378479,0.1670975037711802,0.3472792737013463,0.1698444868208324,0.2843331397593064,0.3907767739394582,0.8390398621559143,0.8390398621559143,4.76837158203125e-06,0.7883868217468262,0.7883868217468262,0.050653040409088135,0.050653040409088135,0.1260148286819458,0.07412636280059814,0.0234733484685421,0.7987998127937317,0.7987998127937317,0.04024004936218262,0.04024004936218262,0.10977761447429657,0.06283091753721237,0.022590892389416695,0.8238615989685059,0.8238615989685059,0.015178263187408447,0.015178263187408447,0.05400635302066803,0.028944581747055054,0.013766325078904629,0.797917366027832,0.797917366027832,0.041122496128082275,0.041122496128082275,0.09495234489440918,0.05577126517891884,0.014648782089352608,0.8123896718025208,0.8123896718025208,0.026650190353393555,0.026650190353393555,0.07412636280059814,0.039710551500320435,0.01306035928428173
Roman-empire,iterative_relation_finetune_combined,iterative_relation_finetune,combined,undirected,4:0,4,0,175,accuracy,0.8490732312202454,0.8376279473304749,0.8490732312202454,0.8376279473304749,nan,nan,0.794457402954618,finetuned,0.5,0.8225948810577393,0.811683714389801,0.8225948810577393,0.811683714389801,nan,nan,0.7566333462232735,4.76837158203125e-06,261842,166144,95698,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,8.150368452072144,0.5431602597236633,0.04834374785423279,0.4023517966270447,0.598896324634552,nan,0.057613570243120193,0.098896324634552,0.04652306064963341,0.552583634853363,0.540194034576416,0.0401449091732502,0.041189130395650864,7.58894157409668,0.5003361701965332,0.46050789952278137,0.5557410529114069,0.33378957130575,0.35024191439523256,-0.10207736426036648,0.299124579402158,0.8376279473304749,0.8376279473304749,5.7220458984375e-06,0.7938580513000488,0.7938580513000488,0.043769896030426025,0.043769896030426025,0.10377690941095352,0.06265442818403244,0.018884574994444847,0.8102717995643616,0.8102717995643616,0.02735614776611328,0.02735614776611328,0.07377338409423828,0.04271090775728226,0.015354746952652931,0.8282738924026489,0.8282738924026489,0.009354054927825928,0.009354054927825928,0.03653370961546898,0.017825625836849213,0.008471584878861904,0.7897987961769104,0.7897987961769104,0.04782915115356445,0.04782915115356445,0.10642427951097488,0.06618425250053406,0.018355099484324455,0.7972114086151123,0.7972114086151123,0.04041653871536255,0.04041653871536255,0.09601129591464996,0.05630074068903923,0.015884220600128174
Roman-empire,iterative_relation_finetune_combined,iterative_relation_finetune,combined,undirected,5:0,5,0,189,accuracy,0.8488967418670654,0.8510412573814392,0.8488967418670654,0.8510412573814392,nan,nan,0.8054106983957428,finetuned,0.75,0.8222418427467346,0.8279209136962891,0.8222418427467346,0.8279209136962891,nan,nan,0.7737918670773842,4.76837158203125e-06,261842,166144,95698,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,8.16092300415039,0.784975528717041,0.05117426812648773,0.6529750227928162,0.8489450216293335,nan,0.054286375641822815,0.0989450216293335,0.0661546140909195,0.7686647772789001,0.5758724212646484,0.03838995471596718,0.03947627916932106,7.386950969696045,0.4958319365978241,0.44959816336631775,0.4414934335742038,0.3384597823337243,0.32018131085446644,0.03587761840110102,0.34760793361394676,0.8510412573814392,0.8510412573814392,4.76837158203125e-06,0.8002117872238159,0.8002117872238159,0.05082947015762329,0.05082947015762329,0.11418990045785904,0.07147899270057678,0.020649487152695656,0.8083303570747375,0.8083303570747375,0.04271090030670166,0.04271090030670166,0.1053653359413147,0.06388986855745316,0.0211789608001709,0.839922308921814,0.839922308921814,0.011118948459625244,0.011118948459625244,0.04553476721048355,0.02364983968436718,0.012530885636806488,0.8007412552833557,0.8007412552833557,0.050300002098083496,0.050300002098083496,0.10430638492107391,0.06441934406757355,0.01411930751055479,0.8146840333938599,0.8146840333938599,0.036357223987579346,0.036357223987579346,0.09495234489440918,0.05453582480549812,0.018178608268499374
Roman-empire,iterative_relation_finetune_combined,iterative_relation_finetune,combined,undirected,6:0,6,0,196,accuracy,0.8490732312202454,0.8459230065345764,0.8490732312202454,0.8459230065345764,nan,nan,0.8053676282321619,finetuned,0.75,0.8270079493522644,0.8206847906112671,0.8270079493522644,0.8206847906112671,nan,nan,0.7680228912639914,6.67572021484375e-06,261842,166144,95698,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,8.163682699203491,0.7879219651222229,0.0545978844165802,0.6565666794776917,0.8495924472808838,nan,0.05998915061354637,0.09959244728088379,0.08157838135957718,0.8999085426330566,0.6597337126731873,0.04450767859816551,0.04592496156692505,7.467945575714111,0.5098211169242859,0.44969284534454346,0.47878819806396666,0.37062926666168455,0.2896563001246294,0.09053259736740114,0.39866320430029817,0.8459230065345764,0.8459230065345764,4.76837158203125e-06,0.774444043636322,0.774444043636322,0.0714789628982544,0.0714789628982544,0.1426050066947937,0.09301093965768814,0.02153194509446621,0.7875043749809265,0.7875043749809265,0.0584186315536499,0.0584186315536499,0.12813271582126617,0.08012706786394119,0.02170843631029129,0.8266854882240295,0.8266854882240295,0.019237518310546875,0.019237518310546875,0.04782915487885475,0.028591597452759743,0.009354040957987309,0.8037415742874146,0.8037415742874146,0.042181432247161865,0.042181432247161865,0.09601129591464996,0.05877161771059036,0.016590187326073647,0.8141545653343201,0.8141545653343201,0.03176844120025635,0.03176844120025635,0.089304618537426,0.050653018057346344,0.018884574994444847
Roman-empire,iterative_relation_finetune_combined,iterative_relation_finetune,combined,undirected,7:0,7,0,198,accuracy,0.8457193374633789,0.8400987982749939,0.8457193374633789,0.8400987982749939,nan,nan,0.798564822653451,finetuned,0.75,0.8197705149650574,0.8199787735939026,0.8197705149650574,0.8199787735939026,nan,nan,0.7677663567943105,4.76837158203125e-06,261842,166144,95698,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,8.175448894500732,0.785417914390564,0.05235223099589348,0.6550992727279663,0.848413348197937,nan,0.05585005134344101,0.09841334819793701,0.06358321011066437,0.723345935344696,0.6050333976745605,0.037504639476537704,0.038583364337682724,7.332122802734375,0.5387531518936157,0.44599685072898865,-0.26459920868544445,0.3905257520815741,-0.21617088622350275,0.1558536361265148,0.09255012303118836,0.8400987982749939,0.8400987982749939,5.7220458984375e-06,0.8007412552833557,0.8007412552833557,0.039357542991638184,0.039357542991638184,0.10095304995775223,0.05806565284729004,0.018708081915974617,0.8074479103088379,0.8074479103088379,0.032650887966156006,0.032650887966156006,0.09195198863744736,0.050653018057346344,0.018002117052674294,0.8268619775772095,0.8268619775772095,0.013236820697784424,0.013236820697784424,0.04588774964213371,0.02364983968436718,0.010412989184260368,0.7991527915000916,0.7991527915000916,0.040946006774902344,0.040946006774902344,0.10448287427425385,0.059301093220710754,0.018355099484324455,0.8069184422492981,0.8069184422492981,0.0331803560256958,0.0331803560256958,0.1025414690375328,0.055065300315618515,0.02188492752611637
Roman-empire,iterative_relation_finetune_combined,iterative_relation_finetune,combined,undirected,8:0,8,0,158,accuracy,0.8462488651275635,0.8379809260368347,0.8462488651275635,0.8379809260368347,nan,nan,0.7938630011976802,finetuned,0.75,0.826654851436615,0.8169784545898438,0.826654851436615,0.8169784545898438,nan,nan,0.7671161612261157,3.814697265625e-06,261842,166144,95698,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,8.162859916687012,0.7850021123886108,0.04690508171916008,0.6516506671905518,0.8493214249610901,nan,0.050298236310482025,0.09932142496109009,0.056798119097948074,0.6799949407577515,0.5905276536941528,0.03485969081521034,0.03587917983531952,7.226280689239502,0.5411967039108276,0.442458838224411,0.3021650293559604,0.445876563403306,0.1024723393235178,0.11421661116711887,0.3383571530610341,0.8379809260368347,0.8379809260368347,4.76837158203125e-06,0.8010942339897156,0.8010942339897156,0.03688669204711914,0.03688669204711914,0.09989409893751144,0.056124247610569,0.01923755742609501,0.8102717995643616,0.8102717995643616,0.027709126472473145,0.027709126472473145,0.09001058340072632,0.0469466969370842,0.01923755742609501,0.8300387859344482,0.8300387859344482,0.007942140102386475,0.007942140102386475,0.03653370961546898,0.018002117052674294,0.010060006752610207,0.7995058298110962,0.7995058298110962,0.038475096225738525,0.038475096225738525,0.10501234978437424,0.05859512835741043,0.020120013505220413,0.8085068464279175,0.8085068464279175,0.029474079608917236,0.029474079608917236,0.1007765606045723,0.04994704946875572,0.020472995936870575
Roman-empire,iterative_relation_finetune_combined,iterative_relation_finetune,combined,undirected,9:0,9,0,195,accuracy,0.8541923761367798,0.8505117893218994,0.8541923761367798,0.8505117893218994,nan,nan,0.8075918123725007,finetuned,1.0,0.8218887448310852,0.8095657825469971,0.8218887448310852,0.8095657825469971,nan,nan,0.7566836900069488,3.814697265625e-06,261842,166144,95698,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,8.199717044830322,0.9852045774459839,0.02527567930519581,0.9004797339439392,1.0,nan,0.014795537106692791,0.09952026605606079,0.12560617923736572,1.663671612739563,386069.15625,0.04090889170765877,0.04234234616160393,5.710309028625488,0.4869270324707031,0.3943919241428375,0.6261956505177402,-0.11996976886047958,0.4950192290380878,0.289046463102041,0.4666118691911935,0.8505117893218994,0.8505117893218994,7.62939453125e-06,0.7899752855300903,0.7899752855300903,0.06053650379180908,0.06053650379180908,0.1316625475883484,0.08171549439430237,0.0211789608001709,0.8335686326026917,0.8335686326026917,0.016943156719207764,0.016943156719207764,0.051006000488996506,0.02770914137363434,0.010765972547233105,0.8178609013557434,0.8178609013557434,0.032650887966156006,0.032650887966156006,0.09318742901086807,0.05188845470547676,0.01923755742609501,0.7661489248275757,0.7661489248275757,0.08436286449432373,0.08436286449432373,0.158136248588562,0.10342393070459366,0.019061066210269928,0.7989763021469116,0.7989763021469116,0.05153548717498779,0.05153548717498779,0.11771972477436066,0.07059653848409653,0.019061066210269928
