dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,primary_metric,best_val_primary,test_primary_at_best_val,best_val_acc,test_acc_at_best_val,best_val_roc_auc,test_roc_auc_at_best_val,test_macro_f1_at_best_val,backbone_training_mode,base_alpha,baseline_val_acc,baseline_test_acc,baseline_val_primary,baseline_test_primary,baseline_val_roc_auc,baseline_test_roc_auc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,relation_steps,causal_interventions,save_external_expert_logits,reuse_compatible_backbone_cache,compatible_backbone_cache_config,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,relation_abs_mean,relation_norm_mean,relation_to_base_norm,relation_relative_strength,relation_to_branch_disagreement,relation_state_norm_mean,relation_update_gate_mean,relation_update_gate_std,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean,causal_normal_test_primary,causal_normal_test_acc,causal_restore_max_abs_logit_delta,causal_zero_all_test_primary,causal_zero_all_test_acc,causal_zero_all_primary_drop,causal_zero_all_acc_drop,causal_zero_all_prediction_change_rate,causal_zero_all_normal_only_correct_rate,causal_zero_all_intervention_only_correct_rate,causal_zero_layer_0_test_primary,causal_zero_layer_0_test_acc,causal_zero_layer_0_primary_drop,causal_zero_layer_0_acc_drop,causal_zero_layer_0_prediction_change_rate,causal_zero_layer_0_normal_only_correct_rate,causal_zero_layer_0_intervention_only_correct_rate,causal_zero_layer_1_test_primary,causal_zero_layer_1_test_acc,causal_zero_layer_1_primary_drop,causal_zero_layer_1_acc_drop,causal_zero_layer_1_prediction_change_rate,causal_zero_layer_1_normal_only_correct_rate,causal_zero_layer_1_intervention_only_correct_rate,causal_shuffled_reliability_test_primary,causal_shuffled_reliability_test_acc,causal_shuffled_reliability_primary_drop,causal_shuffled_reliability_acc_drop,causal_shuffled_reliability_prediction_change_rate,causal_shuffled_reliability_normal_only_correct_rate,causal_shuffled_reliability_intervention_only_correct_rate,causal_constant_reliability_test_primary,causal_constant_reliability_test_acc,causal_constant_reliability_primary_drop,causal_constant_reliability_acc_drop,causal_constant_reliability_prediction_change_rate,causal_constant_reliability_normal_only_correct_rate,causal_constant_reliability_intervention_only_correct_rate
Roman-empire,iterative_relation_finetune_reliability_only,iterative_relation_finetune,reliability_only,undirected,0:0,0,0,195,accuracy,0.8455427885055542,0.8388633728027344,0.8455427885055542,0.8388633728027344,nan,nan,0.7943746956660918,finetuned,0.75,0.8222418427467346,0.8090363144874573,0.8222418427467346,0.8090363144874573,nan,nan,0.7501557865885716,4.76837158203125e-06,261842,157568,95698,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,9.090059995651245,0.7811321020126343,0.05219544097781181,0.6509022116661072,0.8498071432113647,nan,0.05334554612636566,0.09980714321136475,0.05698609724640846,0.633333146572113,0.5529325604438782,0.03633004054427147,0.03757969290018082,7.1952009201049805,0.501232385635376,0.4520946145057678,0.033946001686156815,0.5330178191201143,-0.13882171490704392,-0.38449273652055643,-0.1029180940688373,0.8388633728027344,0.8388633728027344,4.76837158203125e-06,0.8016237020492554,0.8016237020492554,0.037239670753479004,0.037239670753479004,0.09036356955766678,0.053123895078897476,0.015884220600128174,0.8092128038406372,0.8092128038406372,0.029650568962097168,0.029650568962097168,0.07853864878416061,0.044652309268713,0.01500176452100277,0.8362159729003906,0.8362159729003906,0.00264739990234375,0.00264739990234375,0.02170843631029129,0.009177549742162228,0.006530179642140865,0.7917401790618896,0.7917401790618896,0.04712319374084473,0.04712319374084473,0.10748323053121567,0.06618425250053406,0.019061066210269928,0.8005647659301758,0.8005647659301758,0.038298606872558594,0.038298606872558594,0.0984821692109108,0.05647723004221916,0.018178608268499374
Roman-empire,iterative_relation_finetune_reliability_only,iterative_relation_finetune,reliability_only,undirected,1:0,1,0,138,accuracy,0.8586054444313049,0.8533356785774231,0.8586054444313049,0.8533356785774231,nan,nan,0.806129496381518,finetuned,1.0,0.8234774470329285,0.8212142586708069,0.8234774470329285,0.8212142586708069,nan,nan,0.763139597456932,3.814697265625e-06,261842,157568,95698,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,8.009644031524658,0.9829028248786926,0.028439410030841827,0.9001401662826538,1.0,nan,0.01709717884659767,0.09985983371734619,0.12689165771007538,1.5768966674804688,564296.375,0.040572550147771835,0.042119525372982025,5.106948375701904,0.5653091073036194,0.37890225648880005,0.6682642803770534,-0.21170805242541282,0.6246200675719424,0.43524870770443264,0.5766985705980839,0.8533356785774231,0.8533356785774231,5.7220458984375e-06,0.7987998127937317,0.7987998127937317,0.054535865783691406,0.054535865783691406,0.12901517748832703,0.07853864878416061,0.02400282397866249,0.8432756662368774,0.8432756662368774,0.010060012340545654,0.010060012340545654,0.05241793021559715,0.024885280057787895,0.014825273305177689,0.8222731947898865,0.8222731947898865,0.03106248378753662,0.03106248378753662,0.09230497479438782,0.05241793021559715,0.02135545387864113,0.7889163494110107,0.7889163494110107,0.06441932916641235,0.06441932916641235,0.1431344896554947,0.08824567496776581,0.02382633090019226,0.8069184422492981,0.8069184422492981,0.046417236328125,0.046417236328125,0.12072008103132248,0.06918460875749588,0.022767383605241776
Roman-empire,iterative_relation_finetune_reliability_only,iterative_relation_finetune,reliability_only,undirected,2:0,2,0,199,accuracy,0.8462488651275635,0.8423932194709778,0.8462488651275635,0.8423932194709778,nan,nan,0.7957227583668004,finetuned,0.75,0.8213592171669006,0.8155665397644043,0.8213592171669006,0.8155665397644043,nan,nan,0.7659687680704805,4.76837158203125e-06,261842,157568,95698,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,8.046069145202637,0.7777284979820251,0.050370536744594574,0.6512396931648254,0.8497869372367859,nan,0.04963977262377739,0.09978693723678589,0.05589831620454788,0.6407946944236755,0.5596341490745544,0.03644062578678131,0.037593379616737366,6.9556169509887695,0.4847381114959717,0.4410136938095093,-0.20025879591797283,0.250676838097388,-0.4085310459273326,-0.3097008426599181,-0.28180266103845597,0.8423932194709778,0.8423932194709778,5.7220458984375e-06,0.798093855381012,0.798093855381012,0.04429936408996582,0.04429936408996582,0.10360042005777359,0.06212495267391205,0.017825625836849213,0.8113307356834412,0.8113307356834412,0.03106248378753662,0.03106248378753662,0.08330391347408295,0.046417225152254105,0.015354746952652931,0.8378044366836548,0.8378044366836548,0.004588782787322998,0.004588782787322998,0.031591951847076416,0.014825273305177689,0.010236497968435287,0.7963289618492126,0.7963289618492126,0.04606425762176514,0.04606425762176514,0.11489586532115936,0.06671372801065445,0.020649487152695656,0.8055065274238586,0.8055065274238586,0.03688669204711914,0.03688669204711914,0.10007059574127197,0.05541828274726868,0.018531590700149536
Roman-empire,iterative_relation_finetune_reliability_only,iterative_relation_finetune,reliability_only,undirected,3:0,3,0,197,accuracy,0.8467784523963928,0.8404517769813538,0.8467784523963928,0.8404517769813538,nan,nan,0.7979851888418446,finetuned,0.75,0.8233009576797485,0.8166254758834839,0.8233009576797485,0.8166254758834839,nan,nan,0.7676235435434108,4.76837158203125e-06,261842,157568,95698,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,8.076589584350586,0.784076988697052,0.056201618164777756,0.6527174115180969,0.8499138355255127,nan,0.0588408000767231,0.0999138355255127,0.072989821434021,0.8460149765014648,0.6165105700492859,0.04170895367860794,0.04296434670686722,7.200087547302246,0.4973275065422058,0.4483855366706848,0.1570244145610139,0.40587812334647555,0.00468247857333302,0.2674696967949127,0.35698080120762,0.8404517769813538,0.8404517769813538,5.7220458984375e-06,0.7813271880149841,0.7813271880149841,0.05912458896636963,0.05912458896636963,0.1316625475883484,0.08171549439430237,0.022590892389416695,0.7989763021469116,0.7989763021469116,0.04147547483444214,0.04147547483444214,0.10713024437427521,0.06194846332073212,0.020472995936870575,0.8238615989685059,0.8238615989685059,0.0165901780128479,0.0165901780128479,0.05418284237384796,0.03053300268948078,0.01394281629472971,0.7970349192619324,0.7970349192619324,0.04341685771942139,0.04341685771942139,0.10130603611469269,0.05894811078906059,0.015531238168478012,0.8113307356834412,0.8113307356834412,0.029121041297912598,0.029121041297912598,0.08224496990442276,0.044299326837062836,0.01517825573682785
Roman-empire,iterative_relation_finetune_reliability_only,iterative_relation_finetune,reliability_only,undirected,4:0,4,0,197,accuracy,0.8517210483551025,0.8402752876281738,0.8517210483551025,0.8402752876281738,nan,nan,0.79823753516938,finetuned,0.5,0.8225948810577393,0.811683714389801,0.8225948810577393,0.811683714389801,nan,nan,0.7566333462232735,5.7220458984375e-06,261842,157568,95698,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,8.053457975387573,0.5413116216659546,0.05055631697177887,0.40094059705734253,0.5994052290916443,nan,0.05781508609652519,0.09940522909164429,0.045521244406700134,0.539327085018158,0.5605890154838562,0.04013684764504433,0.041331905871629715,7.318199634552002,0.5282942652702332,0.4482077956199646,0.5249580854567633,0.2704158948376878,0.2500398432627944,0.11557072023227132,0.3886049229348986,0.8402752876281738,0.8402752876281738,4.76837158203125e-06,0.8018001914024353,0.8018001914024353,0.038475096225738525,0.038475096225738525,0.09777620434761047,0.057006705552339554,0.018531590700149536,0.8134486079216003,0.8134486079216003,0.026826679706573486,0.026826679706573486,0.07924461364746094,0.044122837483882904,0.01729615218937397,0.8344510793685913,0.8344510793685913,0.0058242082595825195,0.0058242082595825195,0.035827744752168655,0.016590187326073647,0.010765972547233105,0.7940345406532288,0.7940345406532288,0.04624074697494507,0.04624074697494507,0.11030708998441696,0.0658312737941742,0.01959053985774517,0.8023296594619751,0.8023296594619751,0.03794562816619873,0.03794562816619873,0.09707023948431015,0.054888807237148285,0.01694316975772381
Roman-empire,iterative_relation_finetune_reliability_only,iterative_relation_finetune,reliability_only,undirected,5:0,5,0,184,accuracy,0.8471314907073975,0.8505117893218994,0.8471314907073975,0.8505117893218994,nan,nan,0.8022206912539416,finetuned,0.75,0.8222418427467346,0.8279209136962891,0.8222418427467346,0.8279209136962891,nan,nan,0.7737918670773842,5.7220458984375e-06,261842,157568,95698,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,8.070398807525635,0.7829009890556335,0.05237145349383354,0.6513628363609314,0.8497767448425293,nan,0.05394734442234039,0.0997767448425293,0.06820202618837357,0.7835440635681152,0.5930965542793274,0.04012018442153931,0.04127700254321098,7.1522064208984375,0.526018500328064,0.4473881721496582,0.5898128384462659,0.34145771961856364,0.352640792998157,0.07013255704948215,0.42609020129785286,0.8505117893218994,0.8505117893218994,6.67572021484375e-06,0.8048005700111389,0.8048005700111389,0.0457112193107605,0.0457112193107605,0.11013060063123703,0.06777267903089523,0.022061418741941452,0.8139780759811401,0.8139780759811401,0.03653371334075928,0.03653371334075928,0.10130603611469269,0.05824214592576027,0.02170843631029129,0.8420402407646179,0.8420402407646179,0.008471548557281494,0.008471548557281494,0.044652309268713,0.023120366036891937,0.014648782089352608,0.8069184422492981,0.8069184422492981,0.04359334707260132,0.04359334707260132,0.10465937107801437,0.0607130229473114,0.01711966097354889,0.8220967054367065,0.8220967054367065,0.02841508388519287,0.02841508388519287,0.08506882935762405,0.046770207583904266,0.018355099484324455
Roman-empire,iterative_relation_finetune_reliability_only,iterative_relation_finetune,reliability_only,undirected,6:0,6,0,195,accuracy,0.8492497801780701,0.8453935384750366,0.8492497801780701,0.8453935384750366,nan,nan,0.8050864313318455,finetuned,0.75,0.8270079493522644,0.8206847906112671,0.8270079493522644,0.8206847906112671,nan,nan,0.7680228912639914,5.7220458984375e-06,261842,157568,95698,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,8.059272527694702,0.7828694581985474,0.057865362614393234,0.652146577835083,0.8497737646102905,nan,0.060870446264743805,0.09977376461029053,0.09888675808906555,1.0663396120071411,0.6707742810249329,0.0532388836145401,0.0550423301756382,7.085743427276611,0.5272415280342102,0.4435429275035858,0.3401345284273627,0.4290015952927335,0.014044153920035381,-0.18322834292203816,0.1293819697532204,0.8453935384750366,0.8453935384750366,5.7220458984375e-06,0.779032826423645,0.779032826423645,0.0663607120513916,0.0663607120513916,0.1392516791820526,0.09018708020448685,0.02382633090019226,0.7950935363769531,0.7950935363769531,0.050300002098083496,0.050300002098083496,0.1150723546743393,0.07112601399421692,0.020825978368520737,0.8242145776748657,0.8242145776748657,0.0211789608001709,0.0211789608001709,0.054888807237148285,0.03300388157367706,0.01182491984218359,0.8048005700111389,0.8048005700111389,0.040592968463897705,0.040592968463897705,0.09883515536785126,0.059477582573890686,0.018884574994444847,0.8134486079216003,0.8134486079216003,0.03194493055343628,0.03194493055343628,0.08824567496776581,0.04994704946875572,0.018002117052674294
Roman-empire,iterative_relation_finetune_reliability_only,iterative_relation_finetune,reliability_only,undirected,7:0,7,0,195,accuracy,0.8444836735725403,0.8385103940963745,0.8444836735725403,0.8385103940963745,nan,nan,0.7946653471678911,finetuned,0.75,0.8197705149650574,0.8199787735939026,0.8197705149650574,0.8199787735939026,nan,nan,0.7677663567943105,3.814697265625e-06,261842,157568,95698,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,8.062347412109375,0.7840149998664856,0.05578725412487984,0.6539593935012817,0.8496135473251343,nan,0.05841955170035362,0.09961354732513428,0.07441151887178421,0.8269522786140442,0.6253826022148132,0.04282978177070618,0.04409981518983841,7.07334566116333,0.5179329514503479,0.43758049607276917,-0.3694684304271644,0.5162380497992816,-0.5258531839056992,-0.41810881746911455,-0.34928146935833515,0.8385103940963745,0.8385103940963745,5.7220458984375e-06,0.798093855381012,0.798093855381012,0.04041653871536255,0.04041653871536255,0.09901164472103119,0.05859512835741043,0.018178608268499374,0.8086833357810974,0.8086833357810974,0.0298270583152771,0.0298270583152771,0.0818919837474823,0.04606424272060394,0.016237203031778336,0.8201552629470825,0.8201552629470825,0.018355131149291992,0.018355131149291992,0.05347687751054764,0.03000352904200554,0.011648428626358509,0.7959759831428528,0.7959759831428528,0.04253441095352173,0.04253441095352173,0.09989409893751144,0.059124600142240524,0.016590187326073647,0.8078008890151978,0.8078008890151978,0.030709505081176758,0.030709505081176758,0.0864807590842247,0.0469466969370842,0.016237203031778336
Roman-empire,iterative_relation_finetune_reliability_only,iterative_relation_finetune,reliability_only,undirected,8:0,8,0,114,accuracy,0.8455427885055542,0.8385103940963745,0.8455427885055542,0.8385103940963745,nan,nan,0.7923190129502748,finetuned,0.75,0.826654851436615,0.8169784545898438,0.826654851436615,0.8169784545898438,nan,nan,0.7671161612261157,4.76837158203125e-06,261842,157568,95698,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,7.068006277084351,0.7794583439826965,0.04569213092327118,0.6531548500061035,0.8494524955749512,nan,0.04717497527599335,0.09945249557495117,0.06736157834529877,0.7765922546386719,0.5571301579475403,0.039258118718862534,0.040357984602451324,6.684781074523926,0.5519580245018005,0.4235686659812927,0.4971340960470319,0.4071881141218352,0.16104882828999237,0.06308819802708429,0.36843617477547363,0.8385103940963745,0.8385103940963745,4.76837158203125e-06,0.8040945529937744,0.8040945529937744,0.0344158411026001,0.0344158411026001,0.09954112023115158,0.0538298599421978,0.01941404864192009,0.8141545653343201,0.8141545653343201,0.024355828762054443,0.024355828762054443,0.08012706786394119,0.04147546738386154,0.01711966097354889,0.8279209136962891,0.8279209136962891,0.01058948040008545,0.01058948040008545,0.048535119742155075,0.023296857252717018,0.012707376852631569,0.8058595061302185,0.8058595061302185,0.032650887966156006,0.032650887966156006,0.09601129591464996,0.0515354722738266,0.018884574994444847,0.8076243996620178,0.8076243996620178,0.03088599443435669,0.03088599443435669,0.09901164472103119,0.050653018057346344,0.01976703107357025
Roman-empire,iterative_relation_finetune_reliability_only,iterative_relation_finetune,reliability_only,undirected,9:0,9,0,149,accuracy,0.8534862995147705,0.8476879596710205,0.8534862995147705,0.8476879596710205,nan,nan,0.8010410583040802,finetuned,1.0,0.8218887448310852,0.8095657825469971,0.8218887448310852,0.8095657825469971,nan,nan,0.7566836900069488,4.76837158203125e-06,261842,157568,95698,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,8.077152252197266,0.9846665859222412,0.026389462873339653,0.9001055955886841,1.0,nan,0.015333499759435654,0.09989440441131592,0.12129738926887512,1.5719590187072754,222279.21875,0.04125241935253143,0.04289579764008522,5.183803081512451,0.5561708211898804,0.38313156366348267,0.7076454398269683,-0.07789390911068395,0.6096159197622337,0.40494124937257514,0.6088122305882273,0.8476879596710205,0.8476879596710205,7.62939453125e-06,0.7943875789642334,0.7943875789642334,0.05330038070678711,0.05330038070678711,0.11666078120470047,0.07253794372081757,0.01923755742609501,0.8302152752876282,0.8302152752876282,0.017472684383392334,0.017472684383392334,0.046593714505434036,0.02594422735273838,0.008471584878861904,0.8182138800621033,0.8182138800621033,0.029474079608917236,0.029474079608917236,0.08295093476772308,0.0469466969370842,0.01747264340519905,0.7696787714958191,0.7696787714958191,0.07800918817520142,0.07800918817520142,0.15037062764167786,0.09777620434761047,0.01976703107357025,0.7956230044364929,0.7956230044364929,0.05206495523452759,0.05206495523452759,0.1173667460680008,0.07165548950433731,0.01959053985774517
