dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,primary_metric,best_val_primary,test_primary_at_best_val,best_val_acc,test_acc_at_best_val,best_val_roc_auc,test_roc_auc_at_best_val,test_macro_f1_at_best_val,backbone_training_mode,base_alpha,baseline_val_acc,baseline_test_acc,baseline_val_primary,baseline_test_primary,baseline_val_roc_auc,baseline_test_roc_auc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,relation_steps,causal_interventions,save_external_expert_logits,reuse_compatible_backbone_cache,compatible_backbone_cache_config,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,relation_abs_mean,relation_norm_mean,relation_to_base_norm,relation_relative_strength,relation_to_branch_disagreement,relation_state_norm_mean,relation_update_gate_mean,relation_update_gate_std,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean,causal_normal_test_primary,causal_normal_test_acc,causal_restore_max_abs_logit_delta,causal_zero_all_test_primary,causal_zero_all_test_acc,causal_zero_all_primary_drop,causal_zero_all_acc_drop,causal_zero_all_prediction_change_rate,causal_zero_all_normal_only_correct_rate,causal_zero_all_intervention_only_correct_rate,causal_zero_layer_0_test_primary,causal_zero_layer_0_test_acc,causal_zero_layer_0_primary_drop,causal_zero_layer_0_acc_drop,causal_zero_layer_0_prediction_change_rate,causal_zero_layer_0_normal_only_correct_rate,causal_zero_layer_0_intervention_only_correct_rate,causal_zero_layer_1_test_primary,causal_zero_layer_1_test_acc,causal_zero_layer_1_primary_drop,causal_zero_layer_1_acc_drop,causal_zero_layer_1_prediction_change_rate,causal_zero_layer_1_normal_only_correct_rate,causal_zero_layer_1_intervention_only_correct_rate,causal_shuffled_reliability_test_primary,causal_shuffled_reliability_test_acc,causal_shuffled_reliability_primary_drop,causal_shuffled_reliability_acc_drop,causal_shuffled_reliability_prediction_change_rate,causal_shuffled_reliability_normal_only_correct_rate,causal_shuffled_reliability_intervention_only_correct_rate,causal_constant_reliability_test_primary,causal_constant_reliability_test_acc,causal_constant_reliability_primary_drop,causal_constant_reliability_acc_drop,causal_constant_reliability_prediction_change_rate,causal_constant_reliability_normal_only_correct_rate,causal_constant_reliability_intervention_only_correct_rate
Roman-empire,iterative_relation_frozen_combined,iterative_relation_frozen,combined,undirected,0:0,0,0,44,accuracy,0.8335392475128174,0.8236851096153259,0.8335392475128174,0.8236851096153259,nan,nan,0.7734645497512438,frozen,0.75,0.8222418427467346,0.8090363144874573,0.8222418427467346,0.8090363144874573,nan,nan,0.7501557865885716,3.814697265625e-06,166144,166144,0,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,4.8952476978302,0.7817866206169128,0.05583273246884346,0.6503449082374573,0.8498227596282959,nan,0.056459520012140274,0.0998227596282959,0.0749133825302124,0.8953244090080261,0.5740056037902832,0.05101511627435684,0.05253075435757637,6.25520658493042,0.43739157915115356,0.3946503698825836,0.5369052549585814,0.07243534816435322,0.37040267190650444,0.04067490880171907,0.30773790016970554,0.8236851096153259,0.8236851096153259,4.76837158203125e-06,0.8090363144874573,0.8090363144874573,0.014648795127868652,0.014648795127868652,0.07589127868413925,0.035827744752168655,0.0211789608001709,0.8159195184707642,0.8159195184707642,0.007765591144561768,0.007765591144561768,0.053300388157367706,0.02382633090019226,0.016060711815953255,0.8175079226493835,0.8175079226493835,0.006177186965942383,0.006177186965942383,0.0584186352789402,0.025061771273612976,0.018884574994444847,0.8062124848365784,0.8062124848365784,0.01747262477874756,0.01747262477874756,0.06177197024226189,0.03247440606355667,0.01500176452100277,0.8009177446365356,0.8009177446365356,0.022767364978790283,0.022767364978790283,0.07236145436763763,0.038122132420539856,0.015354746952652931
Roman-empire,iterative_relation_frozen_combined,iterative_relation_frozen,combined,undirected,1:0,1,0,165,accuracy,0.8368932008743286,0.8360394835472107,0.8368932008743286,0.8360394835472107,nan,nan,0.7836223996957581,frozen,1.0,0.8234774470329285,0.8212142586708069,0.8234774470329285,0.8212142586708069,nan,nan,0.763139597456932,3.814697265625e-06,166144,166144,0,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,7.08286452293396,0.9712604880332947,0.03659583628177643,0.9000003337860107,1.0,nan,0.02873954363167286,0.09999966621398926,0.008653723634779453,0.14068491756916046,119784.7421875,0.0412573479115963,0.0496043898165226,5.906521797180176,0.5408658981323242,0.3929460346698761,0.146120928986918,0.017350414278605793,0.20658144578055102,0.19086143351018273,0.22552047768813235,0.8360394835472107,0.8360394835472107,3.814697265625e-06,0.8212142586708069,0.8212142586708069,0.014825224876403809,0.014825224876403809,0.07853864878416061,0.037592656910419464,0.022767383605241776,0.8219202160835266,0.8219202160835266,0.014119267463684082,0.014119267463684082,0.07836215943098068,0.03706318140029907,0.022943874821066856,0.8349805474281311,0.8349805474281311,0.0010589361190795898,0.0010589361190795898,0.007412636652588844,0.0035298268776386976,0.0024708788841962814,0.8007412552833557,0.8007412552833557,0.03529822826385498,0.03529822826385498,0.11118955165147781,0.06000705808401108,0.024708788841962814,0.8021531701087952,0.8021531701087952,0.03388631343841553,0.03388631343841553,0.11048358678817749,0.05771267041563988,0.02382633090019226
Roman-empire,iterative_relation_frozen_combined,iterative_relation_frozen,combined,undirected,2:0,2,0,62,accuracy,0.828420102596283,0.828097403049469,0.828420102596283,0.828097403049469,nan,nan,0.7816052981586411,frozen,0.75,0.8213592171669006,0.8155665397644043,0.8213592171669006,0.8155665397644043,nan,nan,0.7659687680704805,4.76837158203125e-06,166144,166144,0,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,4.486769437789917,0.7662844061851501,0.06414264440536499,0.6501122117042542,0.8498932123184204,nan,0.05799056962132454,0.09989321231842041,0.08502746373414993,1.0186289548873901,0.6226456761360168,0.056273091584444046,0.05794144049286842,6.6882004737854,0.45844241976737976,0.4223935604095459,0.5083199701049192,-0.18510356322164367,0.30590457984515695,0.023113790822645888,0.1896032935225257,0.828097403049469,0.828097403049469,5.7220458984375e-06,0.8155665397644043,0.8155665397644043,0.012530863285064697,0.012530863285064697,0.06494881212711334,0.029474055394530296,0.01694316975772381,0.8219202160835266,0.8219202160835266,0.006177186965942383,0.006177186965942383,0.040240027010440826,0.018531590700149536,0.012354394420981407,0.8231556415557861,0.8231556415557861,0.004941761493682861,0.004941761493682861,0.05241793021559715,0.02135545387864113,0.016413696110248566,0.8132721185684204,0.8132721185684204,0.014825284481048584,0.014825284481048584,0.06477232277393341,0.0303565114736557,0.015531238168478012,0.8127426505088806,0.8127426505088806,0.015354752540588379,0.015354752540588379,0.0704200491309166,0.0326508991420269,0.01729615218937397
Roman-empire,iterative_relation_frozen_combined,iterative_relation_frozen,combined,undirected,3:0,3,0,66,accuracy,0.8414827585220337,0.8295093178749084,0.8414827585220337,0.8295093178749084,nan,nan,0.7856063897861532,frozen,0.75,0.8233009576797485,0.8166254758834839,0.8233009576797485,0.8166254758834839,nan,nan,0.7676235435434108,4.76837158203125e-06,166144,166144,0,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,4.662891387939453,0.7708687782287598,0.06106291711330414,0.6501307487487793,0.8498861193656921,nan,0.05646815523505211,0.09988611936569214,0.08343270421028137,0.9981579184532166,0.6203465461730957,0.0498017817735672,0.05107759311795235,6.356873512268066,0.4626701772212982,0.41235026717185974,0.41146231294500396,-0.08551879781333388,0.20935182341458686,0.21739593564174745,0.2956290980869021,0.8295093178749084,0.8295093178749084,3.814697265625e-06,0.8166254758834839,0.8166254758834839,0.01288384199142456,0.01288384199142456,0.07006706297397614,0.03194493427872658,0.019061066210269928,0.8245675563812256,0.8245675563812256,0.004941761493682861,0.004941761493682861,0.044475819915533066,0.019061066210269928,0.01411930751055479,0.8219202160835266,0.8219202160835266,0.007589101791381836,0.007589101791381836,0.052594419568777084,0.0234733484685421,0.015884220600128174,0.8122131824493408,0.8122131824493408,0.017296135425567627,0.017296135425567627,0.07536180317401886,0.03688669204711914,0.01959053985774517,0.8100953102111816,0.8100953102111816,0.019414007663726807,0.019414007663726807,0.09036356955766678,0.044475819915533066,0.025061771273612976
Roman-empire,iterative_relation_frozen_combined,iterative_relation_frozen,combined,undirected,4:0,4,0,123,accuracy,0.8397175669670105,0.8277444243431091,0.8397175669670105,0.8277444243431091,nan,nan,0.781522941848404,frozen,0.5,0.8225948810577393,0.811683714389801,0.8225948810577393,0.811683714389801,nan,nan,0.7566333462232735,4.76837158203125e-06,166144,166144,0,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,6.5844433307647705,0.51434326171875,0.06986202299594879,0.40000835061073303,0.5999961495399475,nan,0.06445872783660889,0.09999614953994751,0.06717889755964279,0.8231791853904724,0.6675334572792053,0.06302716583013535,0.0646316409111023,6.804187774658203,0.509698748588562,0.4444235861301422,0.13612513908287535,0.2906335566204801,0.25845993778294973,0.19394766874348518,0.3239135262513573,0.8277444243431091,0.8277444243431091,4.76837158203125e-06,0.811683714389801,0.811683714389801,0.016060709953308105,0.016060709953308105,0.0864807590842247,0.040063533931970596,0.02400282397866249,0.8190963268280029,0.8190963268280029,0.008648097515106201,0.008648097515106201,0.06000705808401108,0.02612071856856346,0.01747264340519905,0.8226261734962463,0.8226261734962463,0.005118250846862793,0.005118250846862793,0.059654075652360916,0.024532297626137733,0.01941404864192009,0.7952700257301331,0.7952700257301331,0.032474398612976074,0.032474398612976074,0.10095304995775223,0.05435933545231819,0.02188492752611637,0.8012707233428955,0.8012707233428955,0.026473701000213623,0.026473701000213623,0.09883515536785126,0.050653018057346344,0.02417931519448757
Roman-empire,iterative_relation_frozen_combined,iterative_relation_frozen,combined,undirected,5:0,5,0,133,accuracy,0.8434244990348816,0.8411577343940735,0.8434244990348816,0.8411577343940735,nan,nan,0.7872544860609082,frozen,0.75,0.8222418427467346,0.8279209136962891,0.8222418427467346,0.8279209136962891,nan,nan,0.7737918670773842,4.76837158203125e-06,166144,166144,0,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,6.8986005783081055,0.7569259405136108,0.06369584053754807,0.6500147581100464,0.8499976396560669,nan,0.056166619062423706,0.0999976396560669,0.10096859186887741,1.2390984296798706,0.7200750112533569,0.06055421754717827,0.061954136937856674,6.446839809417725,0.4375903308391571,0.42399194836616516,0.19756822323702722,-0.019982461819981534,0.2972600964015246,-0.07848341986407727,0.07425775907182629,0.8411577343940735,0.8411577343940735,4.76837158203125e-06,0.8279209136962891,0.8279209136962891,0.013236820697784424,0.013236820697784424,0.09071655571460724,0.04147546738386154,0.02823861502110958,0.8367455005645752,0.8367455005645752,0.004412233829498291,0.004412233829498291,0.055241793394088745,0.024885280057787895,0.020472995936870575,0.8356865048408508,0.8356865048408508,0.005471229553222656,0.005471229553222656,0.0675961822271347,0.028944581747055054,0.0234733484685421,0.809742271900177,0.809742271900177,0.031415462493896484,0.031415462493896484,0.09707023948431015,0.05365337058901787,0.022237909957766533,0.8205082416534424,0.8205082416534424,0.020649492740631104,0.020649492740631104,0.09142252057790756,0.04571126028895378,0.025061771273612976
Roman-empire,iterative_relation_frozen_combined,iterative_relation_frozen,combined,undirected,6:0,6,0,71,accuracy,0.8397175669670105,0.832686185836792,0.8397175669670105,0.832686185836792,nan,nan,0.7868396576023265,frozen,0.75,0.8270079493522644,0.8206847906112671,0.8270079493522644,0.8206847906112671,nan,nan,0.7680228912639914,3.814697265625e-06,166144,166144,0,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,4.8025221824646,0.7739706635475159,0.060062386095523834,0.6505926847457886,0.849912703037262,nan,0.05637434124946594,0.09991270303726196,0.08080035448074341,0.9726397395133972,0.6024453639984131,0.050854019820690155,0.05223545432090759,6.39954137802124,0.4820205271244049,0.4108743965625763,0.5763296217411686,0.19010891559245513,0.5061694191465043,0.030865681553015854,0.3830872060379321,0.832686185836792,0.832686185836792,4.76837158203125e-06,0.8206847906112671,0.8206847906112671,0.012001395225524902,0.012001395225524902,0.07112601399421692,0.03318037465214729,0.0211789608001709,0.8242145776748657,0.8242145776748657,0.00847160816192627,0.00847160816192627,0.04765266180038452,0.02188492752611637,0.013413342647254467,0.8300387859344482,0.8300387859344482,0.00264739990234375,0.00264739990234375,0.050653018057346344,0.01959053985774517,0.01694316975772381,0.8166254758834839,0.8166254758834839,0.016060709953308105,0.016060709953308105,0.0704200491309166,0.03459230437874794,0.018531590700149536,0.8173314332962036,0.8173314332962036,0.015354752540588379,0.015354752540588379,0.07377338409423828,0.03441581130027771,0.019061066210269928
Roman-empire,iterative_relation_frozen_combined,iterative_relation_frozen,combined,undirected,7:0,7,0,124,accuracy,0.8381288647651672,0.8319802284240723,0.8381288647651672,0.8319802284240723,nan,nan,0.7880737920152323,frozen,0.75,0.8197705149650574,0.8199787735939026,0.8197705149650574,0.8199787735939026,nan,nan,0.7677663567943105,4.76837158203125e-06,166144,166144,0,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,6.604165554046631,0.7603937387466431,0.0663113072514534,0.6500170230865479,0.8499927520751953,nan,0.05941758304834366,0.09999275207519531,0.09108296036720276,1.0892146825790405,0.7429898977279663,0.05820910632610321,0.059747401624917984,6.678313732147217,0.4476224482059479,0.4344220757484436,0.2864931183122277,0.14760053133119558,0.1465518498850084,-0.10192543856259632,0.1061214671655529,0.8319802284240723,0.8319802284240723,5.7220458984375e-06,0.8199787735939026,0.8199787735939026,0.012001454830169678,0.012001454830169678,0.0847158432006836,0.037945639342069626,0.02594422735273838,0.8229791522026062,0.8229791522026062,0.009001076221466064,0.009001076221466064,0.053123895078897476,0.02382633090019226,0.014825273305177689,0.8284503817558289,0.8284503817558289,0.003529846668243408,0.003529846668243408,0.06018354743719101,0.024532297626137733,0.021002469584345818,0.7995058298110962,0.7995058298110962,0.032474398612976074,0.032474398612976074,0.09742322564125061,0.053123895078897476,0.020649487152695656,0.7995058298110962,0.7995058298110962,0.032474398612976074,0.032474398612976074,0.09583479911088943,0.05224143713712692,0.01976703107357025
Roman-empire,iterative_relation_frozen_combined,iterative_relation_frozen,combined,undirected,8:0,8,0,51,accuracy,0.8402470946311951,0.8286268711090088,0.8402470946311951,0.8286268711090088,nan,nan,0.782107077037749,frozen,0.75,0.826654851436615,0.8169784545898438,0.826654851436615,0.8169784545898438,nan,nan,0.7671161612261157,4.76837158203125e-06,166144,166144,0,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,4.145547866821289,0.7642779350280762,0.06216633692383766,0.6502286195755005,0.8497635722160339,nan,0.05574219673871994,0.09977138042449951,0.08154859393835068,0.9707469940185547,0.5970499515533447,0.05093344300985336,0.05225573480129242,6.368093490600586,0.3830389976501465,0.39570778608322144,0.2830136454450198,-0.08733226354246232,0.2014526489661669,-0.019037051753717116,0.09687428807657233,0.8286268711090088,0.8286268711090088,5.7220458984375e-06,0.8169784545898438,0.8169784545898438,0.011648416519165039,0.011648416519165039,0.07183197885751724,0.031591951847076416,0.019943522289395332,0.8205082416534424,0.8205082416534424,0.008118629455566406,0.008118629455566406,0.04782915487885475,0.02188492752611637,0.013766325078904629,0.8224496841430664,0.8224496841430664,0.006177186965942383,0.006177186965942383,0.05171196535229683,0.020825978368520737,0.014648782089352608,0.8141545653343201,0.8141545653343201,0.01447230577468872,0.01447230577468872,0.06900811940431595,0.03247440606355667,0.018002117052674294,0.8120366930961609,0.8120366930961609,0.0165901780128479,0.0165901780128479,0.07553829997777939,0.035298269242048264,0.018708081915974617
Roman-empire,iterative_relation_frozen_combined,iterative_relation_frozen,combined,undirected,9:0,9,0,106,accuracy,0.8344218730926514,0.8231556415557861,0.8344218730926514,0.8231556415557861,nan,nan,0.7713035853779031,frozen,1.0,0.8218887448310852,0.8095657825469971,0.8218887448310852,0.8095657825469971,nan,nan,0.7566836900069488,5.7220458984375e-06,166144,166144,0,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,5.989453315734863,0.9737544655799866,0.03566899523139,0.900001049041748,1.0,nan,0.026245564222335815,0.09999895095825195,0.009193320758640766,0.14766241610050201,6055444.5,0.04278171434998512,0.0510331466794014,5.732676029205322,0.518823504447937,0.38128024339675903,0.0696078585436965,-0.03629433647197017,0.11863915061326047,0.044561058458135266,0.0674138622650516,0.8231556415557861,0.8231556415557861,4.76837158203125e-06,0.8095657825469971,0.8095657825469971,0.013589859008789062,0.013589859008789062,0.07236145436763763,0.033709846436977386,0.020120013505220413,0.8099187612533569,0.8099187612533569,0.0132368803024292,0.0132368803024292,0.07147899270057678,0.033356864005327225,0.020120013505220413,0.8222731947898865,0.8222731947898865,0.0008824467658996582,0.0008824467658996582,0.010236497968435287,0.003882809542119503,0.0030003529973328114,0.7950935363769531,0.7950935363769531,0.028062105178833008,0.028062105178833008,0.09689375013113022,0.050829507410526276,0.022767383605241776,0.7945640683174133,0.7945640683174133,0.028591573238372803,0.028591573238372803,0.09671726077795029,0.05030003562569618,0.02170843631029129
