dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,primary_metric,best_val_primary,test_primary_at_best_val,best_val_acc,test_acc_at_best_val,best_val_roc_auc,test_roc_auc_at_best_val,test_macro_f1_at_best_val,backbone_training_mode,base_alpha,baseline_val_acc,baseline_test_acc,baseline_val_primary,baseline_test_primary,baseline_val_roc_auc,baseline_test_roc_auc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,relation_steps,causal_interventions,save_external_expert_logits,reuse_compatible_backbone_cache,compatible_backbone_cache_config,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,relation_abs_mean,relation_norm_mean,relation_to_base_norm,relation_relative_strength,relation_to_branch_disagreement,relation_state_norm_mean,relation_update_gate_mean,relation_update_gate_std,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean,causal_normal_test_primary,causal_normal_test_acc,causal_restore_max_abs_logit_delta,causal_zero_all_test_primary,causal_zero_all_test_acc,causal_zero_all_primary_drop,causal_zero_all_acc_drop,causal_zero_all_prediction_change_rate,causal_zero_all_normal_only_correct_rate,causal_zero_all_intervention_only_correct_rate,causal_zero_layer_0_test_primary,causal_zero_layer_0_test_acc,causal_zero_layer_0_primary_drop,causal_zero_layer_0_acc_drop,causal_zero_layer_0_prediction_change_rate,causal_zero_layer_0_normal_only_correct_rate,causal_zero_layer_0_intervention_only_correct_rate,causal_zero_layer_1_test_primary,causal_zero_layer_1_test_acc,causal_zero_layer_1_primary_drop,causal_zero_layer_1_acc_drop,causal_zero_layer_1_prediction_change_rate,causal_zero_layer_1_normal_only_correct_rate,causal_zero_layer_1_intervention_only_correct_rate,causal_shuffled_reliability_test_primary,causal_shuffled_reliability_test_acc,causal_shuffled_reliability_primary_drop,causal_shuffled_reliability_acc_drop,causal_shuffled_reliability_prediction_change_rate,causal_shuffled_reliability_normal_only_correct_rate,causal_shuffled_reliability_intervention_only_correct_rate,causal_constant_reliability_test_primary,causal_constant_reliability_test_acc,causal_constant_reliability_primary_drop,causal_constant_reliability_acc_drop,causal_constant_reliability_prediction_change_rate,causal_constant_reliability_normal_only_correct_rate,causal_constant_reliability_intervention_only_correct_rate
Roman-empire,iterative_relation_frozen_fixed,iterative_relation_frozen,fixed,undirected,0:0,0,0,-1,accuracy,0.8222418427467346,0.8090363144874573,0.8222418427467346,0.8090363144874573,nan,nan,0.7501557865885716,fixed_frozen,0.75,0.8222418427467346,0.8090363144874573,0.8222418427467346,0.8090363144874573,nan,nan,0.7501557865885716,3.814697265625e-06,0,0,0,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,2.652172565460205,0.75,0.0,0.75,0.75,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.8090363144874573,0.8090363144874573,4.76837158203125e-06,0.8090363144874573,0.8090363144874573,0.0,0.0,0.0,0.0,0.0,0.8090363144874573,0.8090363144874573,0.0,0.0,0.0,0.0,0.0,0.8090363144874573,0.8090363144874573,0.0,0.0,0.0,0.0,0.0,0.8090363144874573,0.8090363144874573,0.0,0.0,0.0,0.0,0.0,0.8090363144874573,0.8090363144874573,0.0,0.0,0.0,0.0,0.0
Roman-empire,iterative_relation_frozen_fixed,iterative_relation_frozen,fixed,undirected,1:0,1,0,-1,accuracy,0.8234774470329285,0.8212142586708069,0.8234774470329285,0.8212142586708069,nan,nan,0.763139597456932,fixed_frozen,1.0,0.8234774470329285,0.8212142586708069,0.8234774470329285,0.8212142586708069,nan,nan,0.763139597456932,4.76837158203125e-06,0,0,0,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,0.2747781276702881,1.0,0.0,1.0,1.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.8212142586708069,0.8212142586708069,3.814697265625e-06,0.8212142586708069,0.8212142586708069,0.0,0.0,0.0,0.0,0.0,0.8212142586708069,0.8212142586708069,0.0,0.0,0.0,0.0,0.0,0.8212142586708069,0.8212142586708069,0.0,0.0,0.0,0.0,0.0,0.8212142586708069,0.8212142586708069,0.0,0.0,0.0,0.0,0.0,0.8212142586708069,0.8212142586708069,0.0,0.0,0.0,0.0,0.0
Roman-empire,iterative_relation_frozen_fixed,iterative_relation_frozen,fixed,undirected,2:0,2,0,-1,accuracy,0.8213592171669006,0.8155665397644043,0.8213592171669006,0.8155665397644043,nan,nan,0.7659687680704805,fixed_frozen,0.75,0.8213592171669006,0.8155665397644043,0.8213592171669006,0.8155665397644043,nan,nan,0.7659687680704805,4.76837158203125e-06,0,0,0,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,0.3020803928375244,0.75,0.0,0.75,0.75,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.8155665397644043,0.8155665397644043,4.76837158203125e-06,0.8155665397644043,0.8155665397644043,0.0,0.0,0.0,0.0,0.0,0.8155665397644043,0.8155665397644043,0.0,0.0,0.0,0.0,0.0,0.8155665397644043,0.8155665397644043,0.0,0.0,0.0,0.0,0.0,0.8155665397644043,0.8155665397644043,0.0,0.0,0.0,0.0,0.0,0.8155665397644043,0.8155665397644043,0.0,0.0,0.0,0.0,0.0
Roman-empire,iterative_relation_frozen_fixed,iterative_relation_frozen,fixed,undirected,3:0,3,0,-1,accuracy,0.8233009576797485,0.8166254758834839,0.8233009576797485,0.8166254758834839,nan,nan,0.7676235435434108,fixed_frozen,0.75,0.8233009576797485,0.8166254758834839,0.8233009576797485,0.8166254758834839,nan,nan,0.7676235435434108,4.76837158203125e-06,0,0,0,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,0.3042266368865967,0.75,0.0,0.75,0.75,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.8166254758834839,0.8166254758834839,4.76837158203125e-06,0.8166254758834839,0.8166254758834839,0.0,0.0,0.0,0.0,0.0,0.8166254758834839,0.8166254758834839,0.0,0.0,0.0,0.0,0.0,0.8166254758834839,0.8166254758834839,0.0,0.0,0.0,0.0,0.0,0.8166254758834839,0.8166254758834839,0.0,0.0,0.0,0.0,0.0,0.8166254758834839,0.8166254758834839,0.0,0.0,0.0,0.0,0.0
Roman-empire,iterative_relation_frozen_fixed,iterative_relation_frozen,fixed,undirected,4:0,4,0,-1,accuracy,0.8225948810577393,0.811683714389801,0.8225948810577393,0.811683714389801,nan,nan,0.7566333462232735,fixed_frozen,0.5,0.8225948810577393,0.811683714389801,0.8225948810577393,0.811683714389801,nan,nan,0.7566333462232735,3.814697265625e-06,0,0,0,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,0.28340983390808105,0.5,0.0,0.5,0.5,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.811683714389801,0.811683714389801,4.76837158203125e-06,0.811683714389801,0.811683714389801,0.0,0.0,0.0,0.0,0.0,0.811683714389801,0.811683714389801,0.0,0.0,0.0,0.0,0.0,0.811683714389801,0.811683714389801,0.0,0.0,0.0,0.0,0.0,0.811683714389801,0.811683714389801,0.0,0.0,0.0,0.0,0.0,0.811683714389801,0.811683714389801,0.0,0.0,0.0,0.0,0.0
Roman-empire,iterative_relation_frozen_fixed,iterative_relation_frozen,fixed,undirected,5:0,5,0,-1,accuracy,0.8222418427467346,0.8279209136962891,0.8222418427467346,0.8279209136962891,nan,nan,0.7737918670773842,fixed_frozen,0.75,0.8222418427467346,0.8279209136962891,0.8222418427467346,0.8279209136962891,nan,nan,0.7737918670773842,4.76837158203125e-06,0,0,0,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,0.27167701721191406,0.75,0.0,0.75,0.75,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.8279209136962891,0.8279209136962891,4.76837158203125e-06,0.8279209136962891,0.8279209136962891,0.0,0.0,0.0,0.0,0.0,0.8279209136962891,0.8279209136962891,0.0,0.0,0.0,0.0,0.0,0.8279209136962891,0.8279209136962891,0.0,0.0,0.0,0.0,0.0,0.8279209136962891,0.8279209136962891,0.0,0.0,0.0,0.0,0.0,0.8279209136962891,0.8279209136962891,0.0,0.0,0.0,0.0,0.0
Roman-empire,iterative_relation_frozen_fixed,iterative_relation_frozen,fixed,undirected,6:0,6,0,-1,accuracy,0.8270079493522644,0.8206847906112671,0.8270079493522644,0.8206847906112671,nan,nan,0.7680228912639914,fixed_frozen,0.75,0.8270079493522644,0.8206847906112671,0.8270079493522644,0.8206847906112671,nan,nan,0.7680228912639914,3.814697265625e-06,0,0,0,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,0.2899162769317627,0.75,0.0,0.75,0.75,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.8206847906112671,0.8206847906112671,3.814697265625e-06,0.8206847906112671,0.8206847906112671,0.0,0.0,0.0,0.0,0.0,0.8206847906112671,0.8206847906112671,0.0,0.0,0.0,0.0,0.0,0.8206847906112671,0.8206847906112671,0.0,0.0,0.0,0.0,0.0,0.8206847906112671,0.8206847906112671,0.0,0.0,0.0,0.0,0.0,0.8206847906112671,0.8206847906112671,0.0,0.0,0.0,0.0,0.0
Roman-empire,iterative_relation_frozen_fixed,iterative_relation_frozen,fixed,undirected,7:0,7,0,-1,accuracy,0.8197705149650574,0.8199787735939026,0.8197705149650574,0.8199787735939026,nan,nan,0.7677663567943105,fixed_frozen,0.75,0.8197705149650574,0.8199787735939026,0.8197705149650574,0.8199787735939026,nan,nan,0.7677663567943105,4.76837158203125e-06,0,0,0,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,0.26239848136901855,0.75,0.0,0.75,0.75,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.8199787735939026,0.8199787735939026,4.76837158203125e-06,0.8199787735939026,0.8199787735939026,0.0,0.0,0.0,0.0,0.0,0.8199787735939026,0.8199787735939026,0.0,0.0,0.0,0.0,0.0,0.8199787735939026,0.8199787735939026,0.0,0.0,0.0,0.0,0.0,0.8199787735939026,0.8199787735939026,0.0,0.0,0.0,0.0,0.0,0.8199787735939026,0.8199787735939026,0.0,0.0,0.0,0.0,0.0
Roman-empire,iterative_relation_frozen_fixed,iterative_relation_frozen,fixed,undirected,8:0,8,0,-1,accuracy,0.826654851436615,0.8169784545898438,0.826654851436615,0.8169784545898438,nan,nan,0.7671161612261157,fixed_frozen,0.75,0.826654851436615,0.8169784545898438,0.826654851436615,0.8169784545898438,nan,nan,0.7671161612261157,4.76837158203125e-06,0,0,0,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,0.25840282440185547,0.75,0.0,0.75,0.75,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.8169784545898438,0.8169784545898438,4.76837158203125e-06,0.8169784545898438,0.8169784545898438,0.0,0.0,0.0,0.0,0.0,0.8169784545898438,0.8169784545898438,0.0,0.0,0.0,0.0,0.0,0.8169784545898438,0.8169784545898438,0.0,0.0,0.0,0.0,0.0,0.8169784545898438,0.8169784545898438,0.0,0.0,0.0,0.0,0.0,0.8169784545898438,0.8169784545898438,0.0,0.0,0.0,0.0,0.0
Roman-empire,iterative_relation_frozen_fixed,iterative_relation_frozen,fixed,undirected,9:0,9,0,-1,accuracy,0.8218887448310852,0.8095657825469971,0.8218887448310852,0.8095657825469971,nan,nan,0.7566836900069488,fixed_frozen,1.0,0.8218887448310852,0.8095657825469971,0.8218887448310852,0.8095657825469971,nan,nan,0.7566836900069488,4.76837158203125e-06,0,0,0,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,0.26191115379333496,1.0,0.0,1.0,1.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.8095657825469971,0.8095657825469971,5.7220458984375e-06,0.8095657825469971,0.8095657825469971,0.0,0.0,0.0,0.0,0.0,0.8095657825469971,0.8095657825469971,0.0,0.0,0.0,0.0,0.0,0.8095657825469971,0.8095657825469971,0.0,0.0,0.0,0.0,0.0,0.8095657825469971,0.8095657825469971,0.0,0.0,0.0,0.0,0.0,0.8095657825469971,0.8095657825469971,0.0,0.0,0.0,0.0,0.0
