dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,primary_metric,best_val_primary,test_primary_at_best_val,best_val_acc,test_acc_at_best_val,best_val_roc_auc,test_roc_auc_at_best_val,test_macro_f1_at_best_val,backbone_training_mode,base_alpha,baseline_val_acc,baseline_test_acc,baseline_val_primary,baseline_test_primary,baseline_val_roc_auc,baseline_test_roc_auc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,relation_steps,causal_interventions,save_external_expert_logits,reuse_compatible_backbone_cache,compatible_backbone_cache_config,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,relation_abs_mean,relation_norm_mean,relation_to_base_norm,relation_relative_strength,relation_to_branch_disagreement,relation_state_norm_mean,relation_update_gate_mean,relation_update_gate_std,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean,causal_normal_test_primary,causal_normal_test_acc,causal_restore_max_abs_logit_delta,causal_zero_all_test_primary,causal_zero_all_test_acc,causal_zero_all_primary_drop,causal_zero_all_acc_drop,causal_zero_all_prediction_change_rate,causal_zero_all_normal_only_correct_rate,causal_zero_all_intervention_only_correct_rate,causal_zero_layer_0_test_primary,causal_zero_layer_0_test_acc,causal_zero_layer_0_primary_drop,causal_zero_layer_0_acc_drop,causal_zero_layer_0_prediction_change_rate,causal_zero_layer_0_normal_only_correct_rate,causal_zero_layer_0_intervention_only_correct_rate,causal_zero_layer_1_test_primary,causal_zero_layer_1_test_acc,causal_zero_layer_1_primary_drop,causal_zero_layer_1_acc_drop,causal_zero_layer_1_prediction_change_rate,causal_zero_layer_1_normal_only_correct_rate,causal_zero_layer_1_intervention_only_correct_rate,causal_shuffled_reliability_test_primary,causal_shuffled_reliability_test_acc,causal_shuffled_reliability_primary_drop,causal_shuffled_reliability_acc_drop,causal_shuffled_reliability_prediction_change_rate,causal_shuffled_reliability_normal_only_correct_rate,causal_shuffled_reliability_intervention_only_correct_rate,causal_constant_reliability_test_primary,causal_constant_reliability_test_acc,causal_constant_reliability_primary_drop,causal_constant_reliability_acc_drop,causal_constant_reliability_prediction_change_rate,causal_constant_reliability_normal_only_correct_rate,causal_constant_reliability_intervention_only_correct_rate
Roman-empire,iterative_relation_frozen_reliability_only,iterative_relation_frozen,reliability_only,undirected,0:0,0,0,181,accuracy,0.842894971370697,0.8328626751899719,0.842894971370697,0.8328626751899719,nan,nan,0.7810580250335274,frozen,0.75,0.8222418427467346,0.8090363144874573,0.8222418427467346,0.8090363144874573,nan,nan,0.7501557865885716,4.76837158203125e-06,166144,157568,0,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,8.43939471244812,0.7671377658843994,0.06994359195232391,0.6500028371810913,0.8499994277954102,nan,0.06484907865524292,0.09999942779541016,0.09290919452905655,1.1313202381134033,0.755938708782196,0.0626097247004509,0.06440101563930511,6.889338493347168,0.4812152087688446,0.4544546902179718,0.4330047627359997,-0.06607753163910354,0.2735533331981845,0.10146275568395298,0.24753753073156984,0.8328626751899719,0.8328626751899719,4.76837158203125e-06,0.8090363144874573,0.8090363144874573,0.02382636070251465,0.02382636070251465,0.09406989067792892,0.04835863038897514,0.024532297626137733,0.8295093178749084,0.8295093178749084,0.0033533573150634766,0.0033533573150634766,0.06247793510556221,0.02400282397866249,0.020649487152695656,0.8138015866279602,0.8138015866279602,0.01906108856201172,0.01906108856201172,0.0681256577372551,0.03512177616357803,0.016060711815953255,0.8005647659301758,0.8005647659301758,0.03229790925979614,0.03229790925979614,0.10218849033117294,0.055241793394088745,0.022943874821066856,0.7942110896110535,0.7942110896110535,0.03865158557891846,0.03865158557891846,0.10960112512111664,0.06036004051566124,0.02170843631029129
Roman-empire,iterative_relation_frozen_reliability_only,iterative_relation_frozen,reliability_only,undirected,1:0,1,0,81,accuracy,0.834774911403656,0.8318037390708923,0.834774911403656,0.8318037390708923,nan,nan,0.7734509740124543,frozen,1.0,0.8234774470329285,0.8212142586708069,0.8234774470329285,0.8212142586708069,nan,nan,0.763139597456932,4.76837158203125e-06,166144,157568,0,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,5.107760667800903,0.9785776734352112,0.03232951462268829,0.9000051617622375,1.0,nan,0.021422335878014565,0.09999483823776245,0.006668836809694767,0.11757829040288925,136088.578125,0.036078549921512604,0.04298342764377594,5.105431079864502,0.5480120182037354,0.36303478479385376,-0.10009485755980371,0.09149943788027648,-0.20369411603600485,0.11649152605944108,0.026509594822447486,0.8318037390708923,0.8318037390708923,4.76837158203125e-06,0.8212142586708069,0.8212142586708069,0.01058948040008545,0.01058948040008545,0.06036004051566124,0.027003176510334015,0.016413696110248566,0.8217437267303467,0.8217437267303467,0.010060012340545654,0.010060012340545654,0.05983056500554085,0.026650194078683853,0.016590187326073647,0.8295093178749084,0.8295093178749084,0.0022944211959838867,0.0022944211959838867,0.006177197210490704,0.003882809542119503,0.0015884221065789461,0.8146840333938599,0.8146840333938599,0.01711970567703247,0.01711970567703247,0.07412636280059814,0.035827744752168655,0.018708081915974617,0.8069184422492981,0.8069184422492981,0.02488529682159424,0.02488529682159424,0.10042357444763184,0.05012354254722595,0.025238262489438057
Roman-empire,iterative_relation_frozen_reliability_only,iterative_relation_frozen,reliability_only,undirected,2:0,2,0,102,accuracy,0.8368932008743286,0.8339216113090515,0.8368932008743286,0.8339216113090515,nan,nan,0.7859908215886354,frozen,0.75,0.8213592171669006,0.8155665397644043,0.8213592171669006,0.8155665397644043,nan,nan,0.7659687680704805,4.76837158203125e-06,166144,157568,0,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,5.776546001434326,0.7639451026916504,0.06718887388706207,0.6500063538551331,0.8499901294708252,nan,0.06070786342024803,0.09999364614486694,0.08353883028030396,0.9785733819007874,0.6827110648155212,0.05429738759994507,0.05589689314365387,6.877051830291748,0.46384531259536743,0.44648313522338867,0.2632111929634306,-0.07599239958369716,0.17156895160739957,-0.06053902294405195,0.05999661364553704,0.8339216113090515,0.8339216113090515,4.76837158203125e-06,0.8155665397644043,0.8155665397644043,0.018355071544647217,0.018355071544647217,0.07006706297397614,0.03476879373192787,0.016413696110248566,0.8261560201644897,0.8261560201644897,0.007765591144561768,0.007765591144561768,0.04765266180038452,0.020472995936870575,0.012707376852631569,0.8261560201644897,0.8261560201644897,0.007765591144561768,0.007765591144561768,0.0515354722738266,0.022943874821066856,0.01517825573682785,0.8085068464279175,0.8085068464279175,0.025414764881134033,0.025414764881134033,0.08348041027784348,0.04288739711046219,0.01747264340519905,0.8132721185684204,0.8132721185684204,0.020649492740631104,0.020649492740631104,0.07589127868413925,0.038122132420539856,0.01747264340519905
Roman-empire,iterative_relation_frozen_reliability_only,iterative_relation_frozen,reliability_only,undirected,3:0,3,0,108,accuracy,0.8469549417495728,0.8365690112113953,0.8469549417495728,0.8365690112113953,nan,nan,0.7912810044447602,frozen,0.75,0.8233009576797485,0.8166254758834839,0.8233009576797485,0.8166254758834839,nan,nan,0.7676235435434108,4.76837158203125e-06,166144,157568,0,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,6.030595541000366,0.7669497728347778,0.06505604088306427,0.650047242641449,0.8499844670295715,nan,0.05934685841202736,0.09998446702957153,0.08501550555229187,1.009385347366333,0.697472333908081,0.050347499549388885,0.051623597741127014,6.629117488861084,0.45860934257507324,0.43267932534217834,0.2480389724543175,-0.035924323709323476,0.2542238462438439,0.5405522507413237,0.48167976938244456,0.8365690112113953,0.8365690112113953,4.76837158203125e-06,0.8166254758834839,0.8166254758834839,0.019943535327911377,0.019943535327911377,0.07871513813734055,0.03882809728384018,0.018884574994444847,0.8263325095176697,0.8263325095176697,0.010236501693725586,0.010236501693725586,0.05788916349411011,0.026473702862858772,0.016237203031778336,0.8236851096153259,0.8236851096153259,0.012883901596069336,0.012883901596069336,0.05630074068903923,0.02770914137363434,0.014825273305177689,0.8079773783683777,0.8079773783683777,0.028591632843017578,0.028591632843017578,0.09530532360076904,0.050653018057346344,0.022061418741941452,0.8086833357810974,0.8086833357810974,0.02788567543029785,0.02788567543029785,0.09689375013113022,0.050476524978876114,0.022590892389416695
Roman-empire,iterative_relation_frozen_reliability_only,iterative_relation_frozen,reliability_only,undirected,4:0,4,0,134,accuracy,0.8390114307403564,0.8298622965812683,0.8390114307403564,0.8298622965812683,nan,nan,0.7812611108285769,frozen,0.5,0.8225948810577393,0.811683714389801,0.8225948810577393,0.811683714389801,nan,nan,0.7566333462232735,4.76837158203125e-06,166144,157568,0,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,6.852002382278442,0.5174503326416016,0.07200101763010025,0.40000468492507935,0.599997878074646,nan,0.06730946153402328,0.099997878074646,0.06204325333237648,0.7508781552314758,0.6498317122459412,0.05836004018783569,0.05986998602747917,7.048912525177002,0.5098868012428284,0.45267993211746216,0.5506860513177964,0.33384534214400496,0.39865180542530054,0.16106771794286898,0.48146844669967254,0.8298622965812683,0.8298622965812683,4.76837158203125e-06,0.811683714389801,0.811683714389801,0.018178582191467285,0.018178582191467285,0.07553829997777939,0.037592656910419464,0.01941404864192009,0.8220967054367065,0.8220967054367065,0.007765591144561768,0.007765591144561768,0.0538298599421978,0.02364983968436718,0.015884220600128174,0.8212142586708069,0.8212142586708069,0.008648037910461426,0.008648037910461426,0.05365337058901787,0.02417931519448757,0.015531238168478012,0.8012707233428955,0.8012707233428955,0.028591573238372803,0.028591573238372803,0.09742322564125061,0.052947405725717545,0.024355806410312653,0.7996823191642761,0.7996823191642761,0.030179977416992188,0.030179977416992188,0.09830567985773087,0.052770912647247314,0.022590892389416695
Roman-empire,iterative_relation_frozen_reliability_only,iterative_relation_frozen,reliability_only,undirected,5:0,5,0,157,accuracy,0.8427184224128723,0.8480409383773804,0.8427184224128723,0.8480409383773804,nan,nan,0.80225071191763,frozen,0.75,0.8222418427467346,0.8279209136962891,0.8222418427467346,0.8279209136962891,nan,nan,0.7737918670773842,4.76837158203125e-06,166144,157568,0,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,7.034332036972046,0.7584350109100342,0.06664185971021652,0.6500051021575928,0.8499986529350281,nan,0.05937568470835686,0.09999865293502808,0.09992950409650803,1.2066538333892822,0.7410735487937927,0.05969754233956337,0.06109728664159775,6.536489963531494,0.4376894533634186,0.43330809473991394,0.05245822928751924,-0.04610692932922235,0.045161751968873676,-0.36940039327011276,-0.22997326260591472,0.8480409383773804,0.8480409383773804,5.7220458984375e-06,0.8279209136962891,0.8279209136962891,0.02012002468109131,0.02012002468109131,0.08965760469436646,0.04518178477883339,0.025061771273612976,0.839922308921814,0.839922308921814,0.008118629455566406,0.008118629455566406,0.05471231788396835,0.025414753705263138,0.01729615218937397,0.8360394835472107,0.8360394835472107,0.012001454830169678,0.012001454830169678,0.06724320352077484,0.03247440606355667,0.020472995936870575,0.8102717995643616,0.8102717995643616,0.0377691388130188,0.0377691388130188,0.10713024437427521,0.06088951602578163,0.023120366036891937,0.8152135014533997,0.8152135014533997,0.03282743692398071,0.03282743692398071,0.10642427951097488,0.05665372312068939,0.02382633090019226
Roman-empire,iterative_relation_frozen_reliability_only,iterative_relation_frozen,reliability_only,undirected,6:0,6,0,98,accuracy,0.8441306352615356,0.8363925218582153,0.8441306352615356,0.8363925218582153,nan,nan,0.7905705459779103,frozen,0.75,0.8270079493522644,0.8206847906112671,0.8270079493522644,0.8206847906112671,nan,nan,0.7680228912639914,5.7220458984375e-06,166144,157568,0,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,5.68960428237915,0.7752062678337097,0.06092479079961777,0.6501284837722778,0.8499598503112793,nan,0.05768957734107971,0.0999598503112793,0.0810188576579094,0.9573593139648438,0.6412310004234314,0.05015983432531357,0.05151739344000816,6.629894256591797,0.48497408628463745,0.43645378947257996,0.3239462095847881,0.06578584336310468,0.21654274093680217,-0.11942003283085553,0.09664537290960755,0.8363925218582153,0.8363925218582153,4.76837158203125e-06,0.8206847906112671,0.8206847906112671,0.015707731246948242,0.015707731246948242,0.0698905736207962,0.03618072718381882,0.020472995936870575,0.830744743347168,0.830744743347168,0.005647778511047363,0.005647778511047363,0.050653018057346344,0.022237909957766533,0.016590187326073647,0.8303917646408081,0.8303917646408081,0.0060007572174072266,0.0060007572174072266,0.04800564795732498,0.020825978368520737,0.014825273305177689,0.8153900504112244,0.8153900504112244,0.021002471446990967,0.021002471446990967,0.07747969776391983,0.039710551500320435,0.018708081915974617,0.8173314332962036,0.8173314332962036,0.01906108856201172,0.01906108856201172,0.08118601888418198,0.03918107971549034,0.020120013505220413
Roman-empire,iterative_relation_frozen_reliability_only,iterative_relation_frozen,reliability_only,undirected,7:0,7,0,164,accuracy,0.8375992774963379,0.8367455005645752,0.8375992774963379,0.8367455005645752,nan,nan,0.7905700673525039,frozen,0.75,0.8197705149650574,0.8199787735939026,0.8197705149650574,0.8199787735939026,nan,nan,0.7677663567943105,4.291534423828125e-06,166144,157568,0,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,7.022652864456177,0.7613227367401123,0.06883525848388672,0.6500040292739868,0.8499979376792908,nan,0.062207747250795364,0.09999793767929077,0.09180599451065063,1.0884150266647339,0.795708179473877,0.05790150165557861,0.059434227645397186,6.928936004638672,0.4582035541534424,0.4482539892196655,0.32404117426590173,-0.06621463495352702,-0.01671457043300525,-0.3374714856277724,-0.14279142972838282,0.8367455005645752,0.8367455005645752,4.76837158203125e-06,0.8199787735939026,0.8199787735939026,0.016766726970672607,0.016766726970672607,0.08136250823736191,0.03918107971549034,0.022414401173591614,0.8325096964836121,0.8325096964836121,0.004235804080963135,0.004235804080963135,0.055065300315618515,0.022061418741941452,0.017825625836849213,0.8256264925003052,0.8256264925003052,0.01111900806427002,0.01111900806427002,0.05771267041563988,0.026650194078683853,0.015531238168478012,0.7993292808532715,0.7993292808532715,0.03741621971130371,0.03741621971130371,0.09918813407421112,0.057006705552339554,0.01959053985774517,0.8092128038406372,0.8092128038406372,0.02753269672393799,0.02753269672393799,0.09742322564125061,0.05012354254722595,0.022590892389416695
Roman-empire,iterative_relation_frozen_reliability_only,iterative_relation_frozen,reliability_only,undirected,8:0,8,0,84,accuracy,0.8423653841018677,0.8330391645431519,0.8423653841018677,0.8330391645431519,nan,nan,0.787236637428611,frozen,0.75,0.826654851436615,0.8169784545898438,0.826654851436615,0.8169784545898438,nan,nan,0.7671161612261157,4.76837158203125e-06,166144,157568,0,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,5.2138166427612305,0.7605783939361572,0.06673834472894669,0.6500236392021179,0.8499581217765808,nan,0.05975695326924324,0.09997636079788208,0.08450792729854584,1.0047918558120728,0.6406585574150085,0.05219603329896927,0.053530678153038025,6.556981563568115,0.41018474102020264,0.42473524808883667,0.2242736617076686,-0.014995339891726885,0.21243146870986826,0.12154981706363958,0.1960548655684068,0.8330391645431519,0.8330391645431519,4.76837158203125e-06,0.8169784545898438,0.8169784545898438,0.016060709953308105,0.016060709953308105,0.0773032084107399,0.03635721653699875,0.020296504721045494,0.8265089988708496,0.8265089988708496,0.006530165672302246,0.006530165672302246,0.04782915487885475,0.02188492752611637,0.015354746952652931,0.8199787735939026,0.8199787735939026,0.013060390949249268,0.013060390949249268,0.059301093220710754,0.0280621238052845,0.01500176452100277,0.8173314332962036,0.8173314332962036,0.015707731246948242,0.015707731246948242,0.07695022970438004,0.035474762320518494,0.01976703107357025,0.8093892931938171,0.8093892931938171,0.023649871349334717,0.023649871349334717,0.08753971010446548,0.044652309268713,0.021002469584345818
Roman-empire,iterative_relation_frozen_reliability_only,iterative_relation_frozen,reliability_only,undirected,9:0,9,0,51,accuracy,0.8317740559577942,0.8213907480239868,0.8317740559577942,0.8213907480239868,nan,nan,0.7726338851094625,frozen,1.0,0.8218887448310852,0.8095657825469971,0.8218887448310852,0.8095657825469971,nan,nan,0.7566836900069488,4.76837158203125e-06,166144,157568,0,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,4.054312467575073,0.9794836640357971,0.030967161059379578,0.9000641107559204,1.0,nan,0.02051633410155773,0.09993588924407959,0.007589711807668209,0.13189448416233063,5091750.5,0.039265602827072144,0.04672664776444435,4.764697551727295,0.5805602073669434,0.32269468903541565,0.016427596155453732,-0.013463369320375654,-0.023172429664129208,-0.10627227755136837,-0.07417679183524613,0.8213907480239868,0.8213907480239868,5.7220458984375e-06,0.8095657825469971,0.8095657825469971,0.011824965476989746,0.011824965476989746,0.05559477582573891,0.026650194078683853,0.014825273305177689,0.8092128038406372,0.8092128038406372,0.01217794418334961,0.01217794418334961,0.05541828274726868,0.026650194078683853,0.014472290873527527,0.8213907480239868,0.8213907480239868,0.0,0.0,0.0058242143131792545,0.002117896219715476,0.002117896219715476,0.8009177446365356,0.8009177446365356,0.020473003387451172,0.020473003387451172,0.07253794372081757,0.03688669204711914,0.016413696110248566,0.7963289618492126,0.7963289618492126,0.02506178617477417,0.02506178617477417,0.08683374524116516,0.04606424272060394,0.021002469584345818
